"sample.depths","sample.ages","Acer","Alnus","Aquifoliaceae","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Liriodendron","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Platanus.occidentalis","Populus","Quercus","Salix","Sambucus","Tilia","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Impatiens","Lycopus","Plantago","Poaceae","Polygonum.aviculare","Polygonum.lapathifolium","Rosaceae","Rumex","Thalictrum","Urtica","Botrychium","Cheilanthes","Dryopteris.type","Huperzia.lucidula","Osmunda","Pteridium","Pediastrum","Sphagnum","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium","Typha.undiff.","Typha.angustifolia","Typha.latifolia","Utricularia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..hidden.","Unknown"
155,2477,15,1,6,3,2,0,0,98,0,0,1,0,8,7,17,3,0,0,4,0,21,14,0,37,127,0,5,8,16,1,3,0,8,0,0,1,15,0,0,0,59,0,0,0,0,0,0,0,0,6,0,2,1,0,0,0,3,0,0,5,1,8,0,0,2,0,7,35,9,13
160,2561,13,1,48,3,7,2,0,30,0,0,0,0,26,35,17,4,0,0,3,0,26,10,0,56,84,3,2,13,2,1,2,0,2,0,0,1,25,0,0,0,54,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,1,0,0,2,5,11,0,16,15,0,19,31,7,1
165,2646,7,1,137,1,6,0,0,9,0,0,0,0,28,18,18,4,0,0,1,0,18,7,0,52,36,0,2,15,1,1,1,0,1,0,1,1,14,0,0,0,65,1,0,0,0,0,0,0,0,7,0,5,2,0,0,0,0,0,0,0,4,35,0,5,14,0,9,18,4,2
175,2821,33,1,2,0,5,1,0,0,0,0,0,0,0,4,12,1,0,0,3,0,25,4,1,53,19,0,3,6,1,3,0,3,0,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,0,2,0,10,41,0,0,0,0,0,0,5,0,1,0,0,0,0,15,45,4,5
185,3001,32,0,0,2,5,0,0,3,0,0,0,0,2,2,7,0,0,0,2,0,32,7,1,25,24,0,5,4,2,5,0,0,2,1,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,49,1,7,17,0,0,0,0,0,0,2,0,0,0,0,1,0,4,11,1,0
195,3182,37,1,6,3,14,4,0,113,0,0,3,0,17,8,13,3,0,2,4,0,44,10,0,50,47,0,6,7,4,4,0,3,1,0,1,1,6,0,0,0,22,0,0,0,0,0,0,0,0,44,0,9,10,0,0,1,2,0,0,2,4,6,0,0,0,0,17,17,2,2
205,3362,13,0,3,1,5,2,0,84,0,0,0,0,2,7,12,4,0,1,3,0,38,10,0,27,149,1,3,9,3,14,7,0,1,0,0,1,16,0,0,0,13,0,0,0,0,1,0,1,0,25,0,9,19,0,0,0,0,0,0,8,0,9,0,2,2,0,10,77,28,8
215,3542,40,4,4,2,11,0,0,29,0,1,0,0,9,4,5,3,0,0,13,0,45,14,0,45,140,1,2,10,1,13,5,1,4,0,2,6,8,0,0,0,15,0,0,0,0,0,0,0,1,40,0,10,2,0,0,0,0,0,0,2,1,9,0,0,3,0,10,28,0,4
225,3722,33,0,3,2,12,1,0,11,0,0,0,0,10,9,11,7,0,1,5,0,24,12,0,65,138,0,4,18,1,6,1,0,9,0,0,2,12,0,0,0,24,0,0,0,0,0,0,0,0,45,0,3,9,0,1,1,1,0,0,4,0,25,0,0,3,0,27,53,3,10
235,3902,61,1,1,3,19,2,0,37,1,0,0,0,10,6,6,6,0,1,2,0,78,15,0,21,31,6,17,22,7,8,2,0,11,0,0,1,5,1,1,0,18,0,0,0,0,0,0,0,0,96,0,3,6,0,0,0,0,0,0,0,2,11,0,0,1,0,14,24,2,1
245,4083,12,0,6,3,4,1,0,265,0,0,8,0,6,3,10,2,0,2,4,0,32,2,0,56,45,13,8,7,19,2,0,3,5,0,1,1,8,0,0,0,17,0,0,0,0,1,0,0,0,57,0,0,2,0,0,0,1,0,0,2,2,8,0,0,0,0,9,31,7,6
255,4263,2,0,0,0,14,1,0,190,10,0,0,0,26,10,1,9,0,2,3,0,18,5,0,126,32,0,2,23,9,4,0,1,2,0,0,1,7,0,0,0,22,0,0,0,0,0,0,0,0,10,0,0,3,0,0,1,1,0,0,1,5,3,0,1,4,0,17,22,7,3
265,4382,11,0,0,0,6,0,0,47,0,0,0,0,6,3,11,6,0,9,6,0,21,1,3,59,7,0,0,10,3,3,0,1,17,0,0,0,80,0,0,0,159,0,0,0,0,0,0,0,0,3,0,0,6,0,1,1,1,0,0,16,1,21,0,0,2,0,8,36,11,9
275,4439,4,0,0,3,6,0,0,0,0,0,0,0,9,9,0,5,0,6,1,0,5,0,0,92,0,0,2,7,0,3,0,2,10,0,1,0,30,0,0,0,346,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,7,1,0,0,2,0,13,10,4,2
285,4496,1,0,8,1,2,0,0,0,0,0,0,0,16,4,1,4,0,3,0,0,5,1,0,64,3,0,2,4,0,0,0,1,7,0,0,0,7,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,6,4,1,0
295,4554,3,2,11,2,3,1,0,4,0,0,1,0,22,8,7,12,0,2,9,0,8,4,0,140,0,1,7,12,0,6,0,2,1,0,0,1,3,0,0,0,251,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,3,0,2,0,2,3,0,0,1,0,4,1,6,5
310,4640,3,0,7,5,2,0,0,12,0,0,0,0,12,10,10,7,0,4,3,0,8,4,4,102,1,0,3,10,2,1,0,1,2,0,0,0,3,0,0,0,282,0,0,0,0,1,0,0,0,6,0,3,3,0,0,0,2,0,0,0,9,2,0,0,0,0,12,15,6,5
320,4697,14,0,28,5,10,0,0,12,0,2,0,0,25,18,8,8,0,0,5,0,12,17,0,148,7,1,8,14,0,5,0,0,8,0,0,0,8,0,0,0,101,0,0,0,0,0,0,0,0,6,0,1,10,0,0,2,2,0,0,2,4,8,0,0,3,0,12,15,2,5
330,NA,8,0,8,3,6,0,0,8,0,0,0,0,25,7,15,8,0,5,8,0,7,7,0,111,2,0,1,15,0,4,1,1,6,0,2,2,10,0,0,0,204,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,1,0,0,11,12,5,0,0,4,0,2,12,9,7
