"sample.depths","sample.ages","upland.sum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Poaceae","Abies.balsamea","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Populus.tremuloides.type","Taxus","Populus.balsamifera.type","Juniperus.communis.Thuja.occidentalis.type","Fagus","Ranunculaceae.undiff.","Rosaceae","Acer.saccharum","Fraxinus.nigra.type","Tsuga.canadensis","Thalictrum","Juniperus.type","Nemopanthus.mucronatus","Ulmus","Fraxinus.pennsylvanica.type","Onagraceae","cf..Diapensia.lapponica","Juglans.cinerea","Viburnum.edule","Carya.ovata","cf..Oxyria.digyna","Morus.rubra.type","Brassicaceae","Ribes","Acer.rubrum"
55,2593,520,0,5,75,2,5,66,8,7,2,0,254,18,2,2,0,1,7,1,0,16,15,1,30,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2742,399,0,10,62,3,2,71,6,4,2,0,152,12,1,0,0,0,1,0,0,8,3,8,49,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
65,2890,579,0,10,111,0,1,113,7,5,3,0,214,16,0,0,0,1,3,1,0,14,7,5,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3039,581,0,6,130,0,3,105,6,5,0,0,253,1,2,1,1,0,2,2,1,16,13,1,29,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,3187,560,0,21,119,2,4,90,0,11,0,0,224,1,1,3,0,0,3,2,0,25,16,5,28,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
80,3353,582,0,6,111,0,1,125,6,5,0,0,239,2,1,1,0,0,4,1,0,20,14,1,38,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
85,3537,400,0,13,72,0,1,103,2,2,1,0,160,4,0,2,0,0,0,2,0,9,9,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,3721,592,0,5,151,0,1,143,10,5,1,0,185,2,0,5,1,0,6,1,0,23,16,1,30,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
95,3905,397,0,1,57,0,5,94,7,7,4,0,155,12,0,2,0,0,4,1,0,12,2,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,4090,526,0,0,140,0,2,134,17,3,1,0,167,2,0,2,0,0,3,1,0,19,6,1,24,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,4274,340,0,2,65,0,0,81,6,4,1,0,79,10,0,0,0,1,5,1,0,28,12,5,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,4458,448,0,5,119,1,1,124,5,8,2,0,119,1,2,1,0,0,4,3,0,24,5,0,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,4642,416,0,2,87,2,3,99,11,5,0,0,118,10,0,2,0,0,3,2,0,22,10,1,37,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4826,514,0,2,104,0,2,118,4,6,3,0,147,13,1,3,0,1,6,3,1,40,10,1,46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,5010,665,0,4,155,1,3,186,8,3,1,0,166,17,0,4,0,1,4,4,0,41,5,3,54,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,5194,558,0,4,117,1,3,161,11,4,1,0,187,3,1,0,1,0,0,5,0,21,10,3,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,5378,351,0,10,87,1,0,95,6,1,0,0,85,3,0,2,2,0,2,3,0,30,2,2,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,5490,460,0,5,136,0,1,117,6,3,3,0,124,1,1,3,0,0,2,1,0,35,8,1,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,5529,373,0,1,86,1,1,112,4,0,3,0,105,1,1,3,1,0,2,1,0,22,8,3,15,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,5569,428,0,4,86,0,1,132,5,11,1,0,118,1,0,3,0,0,1,1,0,41,3,2,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,5608,345,0,7,60,1,0,109,3,4,1,0,84,6,0,2,0,0,0,2,0,33,1,4,24,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5648,538,1,4,98,1,1,197,8,1,2,0,170,1,0,4,1,0,0,1,0,18,5,4,16,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
165,5688,665,0,6,105,0,2,249,11,4,2,0,171,4,2,2,1,1,3,2,0,37,3,14,42,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5727,550,0,3,100,0,5,204,5,0,1,0,165,0,0,1,0,0,0,1,0,31,12,2,16,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5767,373,0,0,58,0,1,165,4,1,1,0,86,4,3,1,1,1,3,0,0,18,2,4,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5806,669,0,7,106,0,2,267,18,4,4,0,198,1,1,1,0,1,3,0,1,16,5,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
185,5846,582,0,1,114,0,2,240,7,4,2,0,158,1,0,1,0,0,2,1,0,25,6,4,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,5885,403,0,2,58,0,3,186,9,1,0,0,87,0,1,3,1,0,2,0,0,30,2,4,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,5925,591,0,1,88,2,0,273,7,0,3,0,121,4,2,2,0,0,5,0,1,43,2,3,27,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6000,820,0,3,129,1,4,369,16,10,3,0,172,2,1,1,0,0,3,1,0,60,5,2,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,6110,502,0,10,88,1,1,229,6,1,1,0,122,2,0,0,0,0,2,0,0,26,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,6220,463,1,7,100,0,4,228,6,5,4,0,62,0,0,2,0,1,3,0,1,22,2,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,6330,575,0,4,163,0,1,289,7,2,2,0,62,1,1,0,1,0,3,0,0,29,1,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6440,573,0,4,195,0,2,249,3,5,12,0,53,2,1,0,0,0,1,2,0,25,3,3,10,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,6550,782,0,0,304,0,3,257,13,4,13,0,85,3,1,6,1,1,1,0,0,68,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
230,6660,546,0,11,248,1,0,138,10,3,4,0,57,1,0,2,1,1,2,1,0,49,5,3,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,6770,544,0,11,270,1,4,128,6,8,9,0,38,4,0,6,0,0,0,1,0,40,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,6880,570,0,4,334,1,3,124,8,3,4,0,31,4,0,2,1,2,2,0,0,21,6,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,6990,387,0,0,250,0,2,57,5,2,1,0,29,0,0,6,0,1,0,0,0,25,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,7100,784,0,31,385,0,2,139,7,5,7,0,44,3,3,5,3,0,3,1,0,107,8,6,17,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
255,NA,510,0,0,256,0,2,106,9,5,2,0,60,2,3,7,1,0,0,1,0,19,11,9,10,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,NA,831,0,39,469,1,4,203,10,6,0,0,36,6,3,5,0,0,9,2,0,12,4,6,10,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
