"sample.depths","sample.ages","upland.sum","Abies","Acer.spicatum","Alnus.undiff.","Betula","Corylus","Cupressaceae","Ericaceae","Juglans.nigra","Larix","Ostrya.Carpinus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Poaceae","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Fraxinus.nigra","Picea.glauca","Picea.mariana","Artemisia","Cyperaceae","Thalictrum","Amaranthaceae","Rumex.Oxyria.digyna","Populus.balsamifera","Carya","Tilia","Saxifraga.oppositifolia.type","Juglans.cinerea","Shepherdia.canadensis","Acer.undiff.","Potentilla","Fabaceae","Cornus.sericea","Castanea","Epilobium","Campanula.type","Spiraea","Caryophyllaceae","Fagus","Rhamnus","Morus","Rosaceae.undiff.","Saxifragaceae.undiff.","Nyssa","Apiaceae","Dryas","Plantago","Ranunculus"
354,NA,287,1,0,3,42,0,1,1,0,0,2,54,5,9,2,2,2,0,28,2,3,0,11,4,1,20,0,4,7,4,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
355,NA,317,0,0,2,53,0,1,0,0,0,2,64,3,14,3,3,3,1,30,3,8,0,6,5,2,14,0,2,8,4,81,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,NA,248,0,0,0,40,0,5,0,0,0,0,45,2,10,2,2,2,0,21,1,1,0,4,4,1,14,1,4,5,2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,NA,306,0,0,2,20,0,1,2,0,0,2,68,2,9,3,1,0,0,36,5,6,1,5,5,1,33,0,1,4,3,91,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
361,NA,309,0,0,5,27,1,7,0,0,0,2,88,2,8,7,1,2,1,26,5,7,0,11,8,1,29,1,2,5,3,54,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
362,NA,293,1,0,1,32,0,3,0,0,0,1,64,4,9,6,0,1,1,20,6,16,0,13,2,1,44,0,1,6,3,55,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,NA,406,0,0,0,50,0,9,2,0,1,2,76,6,5,9,0,0,1,11,27,16,0,12,3,1,80,1,7,20,4,55,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
364,NA,299,0,0,0,48,0,7,2,0,0,1,37,5,3,6,0,0,2,2,14,5,0,7,1,2,81,1,29,6,4,31,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
365,NA,312,0,0,0,41,0,4,0,1,0,1,24,3,3,2,3,0,1,3,27,7,0,5,3,0,106,0,39,3,4,28,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,12631,298,0,0,1,39,0,10,3,0,0,5,36,13,5,2,0,0,0,1,15,3,0,2,1,0,99,1,26,9,3,20,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,12716,418,0,0,0,77,0,19,4,0,0,8,51,7,7,6,2,0,2,6,19,7,0,4,1,0,100,3,26,14,1,45,0,0,0,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
368,12800,338,0,0,0,50,0,21,0,0,0,7,60,10,11,8,2,1,0,7,10,3,0,2,2,1,53,1,18,5,6,51,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
370,12969,332,0,0,0,89,0,18,1,0,0,3,33,3,6,4,0,0,3,1,6,6,0,13,0,1,31,3,18,4,8,44,0,0,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
372,13138,319,0,0,1,72,0,35,2,0,0,1,26,7,14,5,2,0,1,2,10,4,0,3,5,0,16,1,1,1,9,47,1,0,0,48,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,13307,330,0,0,1,81,0,9,1,0,0,4,44,11,17,4,0,0,1,4,13,8,0,21,0,0,8,2,4,1,27,34,0,0,0,32,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
376,13476,364,0,0,0,58,0,5,3,0,0,3,33,14,29,5,1,0,1,2,12,11,0,6,3,0,15,1,2,5,50,65,0,0,1,27,1,0,3,0,2,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0
378,13645,380,0,0,1,30,0,6,9,0,0,2,51,13,25,11,3,0,4,1,17,7,0,19,0,0,17,2,5,2,70,58,0,0,0,13,1,0,0,1,7,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
380,13815,340,0,0,1,26,0,4,3,0,0,4,36,7,35,2,3,0,0,2,4,17,0,8,3,0,12,2,7,2,74,72,0,1,2,7,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,NA,331,0,0,2,27,0,3,1,0,0,6,53,4,42,5,7,0,2,4,4,18,0,9,1,0,10,6,3,1,35,68,0,0,0,0,0,0,0,0,5,1,3,6,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
384,NA,360.5,0,0,0,40,0,0,5,0,0,15,35,22,38,5,3,1,2,1,8,14,0,14,3,0,20.5,3,5,3,10,54,0,0,0,4,1,0,2,0,17,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,11,8,1
386,NA,284.5,0,0,0,31,0,5,0,0,0,3,47.5,10,27,3,0,1,4,0,3,20,0,20,2,0,21.5,1,2,0.5,14,37,0,0,0,12,2,0,3,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,2,4,1,0
388,NA,261,0,0,4,26,0,1,2,0,0,6,66,14,25,12,0,2,8,6,1,10,0,16.5,0,0,17,1,0,0.5,19,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
