"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Cyperaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Poaceae.undiff.","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Juniperus.type","Myrica","Populus","Amaranthaceae","Viburnum","Cerealia","Plantago","Rosaceae","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.herbs","Iva.annua.type","Corylus","Fagus","Liquidambar","Nyssa","Rhus","Tilia","Celtis","Picea","Tsuga","Vitis","Acer","Rhamnus","Abies","Cornus","Ceanothus","Castanea","Pinus.strobus","Cephalanthus","Morus","Larix","Shepherdia.canadensis","Ericaceae","Ilex"
1380,4814,439,1,3,82,11,1,10,11,5,3,12,256,2,10,11,0,1,7,1,0,2,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1413,5119,330,1,0,47,11,2,7,6,3,2,11,196,1,2,20,0,0,4,1,0,0,2,0,0,0,0,1,1,1,4,0,1,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
1460,5552,487,0,0,48,12,0,7,3,9,5,14,277,1,12,41,0,2,4,0,0,1,0,0,0,0,0,7,4,2,3,0,2,19,0,0,0,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0
1503,5949,369,0,1,25,9,3,9,3,9,1,9,168,1,17,39,0,0,4,0,0,1,0,0,0,0,0,7,16,1,3,0,1,30,0,0,0,1,1,1,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0
1524,6143,448,0,0,50,3,1,14,5,7,5,7,215,0,2,51,0,0,8,0,0,2,1,0,0,0,0,20,4,0,5,0,1,40,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
1556,6438,373,2,0,44,11,1,4,11,7,9,10,173,0,14,24,0,0,8,0,0,0,0,0,0,0,0,9,6,0,2,0,2,21,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1586,6715,428,2,2,37,15,0,9,13,10,7,15,217,2,8,27,0,0,19,0,0,0,1,0,0,0,0,5,10,1,1,1,1,17,0,0,0,0,1,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
1620,7029,345,0,0,40,10,3,7,1,12,3,3,174,1,11,26,0,0,8,0,0,0,1,0,0,0,0,11,3,0,3,0,3,15,0,0,0,0,1,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0
1636,7177,484,1,0,41,10,2,6,7,25,5,14,256,1,21,32,1,1,4,0,0,1,1,0,0,0,0,8,11,0,2,1,1,20,0,0,0,2,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
1684,7620,409,0,1,47,10,6,15,3,4,7,18,206,2,12,45,1,0,1,0,0,0,3,0,0,0,0,5,4,1,3,1,3,2,0,1,0,1,1,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0
1716,7915,445,1,0,32,20,5,27,20,7,11,4,244,1,16,24,0,1,5,0,0,0,1,0,0,0,0,2,2,1,1,0,5,3,0,0,0,1,1,2,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0
1732,8063,393,1,0,33,8,2,8,7,11,23,14,218,2,13,24,0,0,4,0,0,0,4,0,0,0,0,4,1,0,0,0,4,2,1,0,0,0,1,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1780,8506,384,0,2,29,10,1,13,9,11,14,2,235,0,17,22,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0
1812,8801,357,0,0,23,10,3,11,8,13,17,9,201,1,6,24,0,1,5,0,0,0,1,0,0,0,0,4,0,2,0,0,5,3,0,0,0,0,0,3,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0
