"sample.depths","sample.ages","Artemisia","Betula","Carya","Corylus","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Ostrya.Carpinus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Cupressaceae","Fraxinus.pennsylvanica.type","Tilia","Acer.saccharum","Amorpha.canescens","Acer.rubrum","Vitis","Iva.annua","Brassicaceae","Larix","Picea","Dalea.purpurea","Iva.xanthifolia","Acer.saccharinum","Lycopus.type","Morus","Populus.balsamifera.type","Potentilla.type","Rumex","Urtica.type","cf..Ceanothus","Apiaceae","Ranunculaceae.undiff.","Thalictrum","cf..Lysimachia.thyrsiflora","Juglans.nigra","Celtis","Humulus.Cannabis.sativa","Plantago","Ericaceae","Abies","Ephedra","Euphorbia","Xanthium","Tidestromia","Hydrophyllum"
912,7023,0.0262008733624454,0.0393013100436681,0,0.00436681222707424,0.0349344978165939,0.0218340611353712,0,0.0611353711790393,0.275109170305677,0,0.0393013100436681,0.126637554585153,0.0131004366812227,0,0.0262008733624454,0.0611353711790393,0.0349344978165939,0,0.0480349344978166,0.0655021834061135,0.0174672489082969,0.0698689956331878,0,0.00873362445414847,0.00436681222707424,0.00873362445414847,0,0,0,0,0.00436681222707424,0,0.00436681222707424,0,0,0,0,0,0,0,0,0.00436681222707424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,7141,0.0444444444444444,0.0444444444444444,0.0037037037037037,0.00740740740740741,0.0185185185185185,0.0185185185185185,0,0.0259259259259259,0.237037037037037,0,0.0666666666666667,0.159259259259259,0.0111111111111111,0.00740740740740741,0.0444444444444444,0.0592592592592593,0.0296296296296296,0.00740740740740741,0.0481481481481481,0.062962962962963,0.0111111111111111,0.0740740740740741,0.0037037037037037,0,0.0037037037037037,0,0.0037037037037037,0,0,0,0,0.0037037037037037,0.0037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,7212,0.040650406504065,0.048780487804878,0,0.0040650406504065,0.0121951219512195,0.0203252032520325,0,0.0284552845528455,0.369918699186992,0.008130081300813,0.0203252032520325,0.0934959349593496,0,0.0121951219512195,0.032520325203252,0.0691056910569106,0.0365853658536585,0,0.065040650406504,0.0447154471544715,0.008130081300813,0.0691056910569106,0,0.0040650406504065,0,0.0040650406504065,0,0,0,0,0,0.0040650406504065,0.0040650406504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,7260,0.0454545454545455,0.090909090909091,0,0.0101010101010101,0.0252525252525253,0.00505050505050505,0,0.0303030303030303,0.353535353535354,0,0.0202020202020202,0.095959595959596,0.00505050505050505,0.0252525252525253,0.0353535353535354,0.0303030303030303,0.0252525252525253,0.00505050505050505,0.0454545454545455,0.0454545454545455,0.0151515151515152,0.0555555555555556,0.00505050505050505,0,0,0.0101010101010101,0.00505050505050505,0,0,0,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0.00505050505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,7331,0.0444444444444444,0.0666666666666667,0,0.00740740740740741,0.0296296296296296,0,0,0.0259259259259259,0.37037037037037,0,0.0296296296296296,0.103703703703704,0.0185185185185185,0,0.0111111111111111,0.0592592592592593,0.0555555555555556,0.00740740740740741,0.0703703703703704,0.00740740740740741,0.0111111111111111,0.0666666666666667,0.0037037037037037,0.0037037037037037,0,0.0037037037037037,0,0,0,0,0,0,0.0037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,7378,0.0334728033472803,0.0460251046025105,0,0.00418410041841004,0.0334728033472803,0.00836820083682008,0,0.0334728033472803,0.364016736401674,0,0.0502092050209205,0.117154811715481,0.0125523012552301,0.00418410041841004,0.0292887029288703,0.0669456066945607,0.0502092050209205,0,0.0334728033472803,0.0251046025104603,0.0167364016736402,0.0418410041841004,0,0,0,0.0167364016736402,0,0,0,0,0,0,0,0,0.00418410041841004,0,0,0,0,0,0.00418410041841004,0,0,0,0,0,0,0,0.00418410041841004,0,0,0,0,0,0,0,0,0
930,7449,0.0510204081632653,0.0612244897959184,0,0.00680272108843537,0.0170068027210884,0.00340136054421769,0,0.0136054421768707,0.418367346938776,0,0.0102040816326531,0.139455782312925,0.00340136054421769,0.00680272108843537,0.0102040816326531,0.0272108843537415,0.0578231292517007,0.00340136054421769,0.054421768707483,0.0102040816326531,0.0340136054421769,0.0510204081632653,0,0,0,0.0102040816326531,0,0,0,0.00340136054421769,0,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340136054421769,0,0,0,0,0,0,0,0,0
932,7497,0.0337552742616034,0.0421940928270042,0,0.00843881856540084,0.0210970464135021,0.0126582278481013,0,0.0168776371308017,0.362869198312236,0,0.0464135021097046,0.139240506329114,0.00421940928270042,0.0253164556962025,0.0210970464135021,0.0337552742616034,0.0253164556962025,0.00843881856540084,0.0379746835443038,0.029535864978903,0.0337552742616034,0.0759493670886076,0,0.00421940928270042,0,0.00843881856540084,0,0,0.00421940928270042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421940928270042,0,0,0,0,0,0,0
935,7568,0.0612244897959184,0.0272108843537415,0,0.00680272108843537,0.0238095238095238,0.00680272108843537,0,0.0238095238095238,0.404761904761905,0,0.0136054421768707,0.139455782312925,0.00680272108843537,0.0136054421768707,0.0272108843537415,0.0374149659863946,0.0340136054421769,0.00680272108843537,0.0748299319727891,0.00680272108843537,0.0170068027210884,0.054421768707483,0,0.00340136054421769,0,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00340136054421769,0,0,0,0,0,0
937,7615,0.0666666666666667,0.0291666666666667,0,0.0125,0.0208333333333333,0.00416666666666667,0,0.0125,0.470833333333333,0,0.00833333333333333,0.104166666666667,0.00416666666666667,0.0208333333333333,0.0208333333333333,0.0333333333333333,0.0333333333333333,0,0.0375,0.0291666666666667,0.025,0.0625,0,0,0,0,0,0,0,0,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
