"sample.depths","sample.ages","upland.sum","Acer.rubrum","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Fagus","Herbs.undiff.","Juglans.nigra","Nyssa","Quercus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Pinus","Poaceae","Plantago","Polygonum","Rubiaceae","Fraxinus.nigra.type","Ostrya.Carpinus","Picea","Acer.saccharum.type","Myrica","Artemisia","Liquidambar","Iva.annua.type","Populus","Platanus","Corylus","Juglans.cinerea","Rhamnaceae","Abies","Cupressaceae","Salix","Caprifoliaceae","Ilex","Thalictrum","Ranunculus","Potentilla.type","Anacardiaceae","Lamiaceae","Sanguisorba","Cornus","Rumex","Brassicaceae","Larix","Shepherdia","Polygonaceae.undiff.","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Onagraceae","Ericaceae","Campanulaceae","Amaranthaceae"
360,15695,296,0,1,2,0,0,27,0,0,0,0,4,0,0,7,0,1,7,58,20,0,0,0,0,5,133,0,0,0,0,0,0,0,1,0,0,19,1,0,0,0,2,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
380,15889,297,0,0,3,3,0,18,0,0,0,0,10,0,0,2,0,0,7,42,6,0,0,0,2,3,126,0,0,0,0,0,0,0,0,0,0,68,2,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
390,15987,298,0,0,7,0,0,41,2,0,0,0,8,0,0,4,0,0,7,46,20,0,0,0,3,2,125,0,0,2,0,0,0,0,0,0,0,20,0,3,0,0,1,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
400,16084,291,0,1,9,0,0,59,0,0,0,0,9,0,0,7,0,1,9,45,28,0,0,0,1,0,102,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0
420,16242,295,0,0,4,1,0,34,0,0,0,0,1,0,0,6,0,1,5,46,18,0,0,0,0,2,161,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,1,0,0,0,0,0
440,16386,300,0,0,7,0,0,50,0,0,0,0,3,0,0,8,0,1,1,45,19,0,0,0,3,1,139,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,11,0,0,3,0,0,3,0,0,0,0,0,0,0
460,16531,297,0,0,9,0,0,40,0,0,0,0,5,0,0,4,1,1,1,41,20,0,0,0,1,3,149,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,3,0,0,1,1,0,0,0
480,16676,297,0,1,17,0,0,28,0,0,0,0,6,0,0,0,1,1,0,55,19,0,0,0,1,1,150,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0
500,16821,297,0,0,5,2,0,36,0,0,0,0,10,0,0,2,0,2,3,49,31,0,0,0,1,2,135,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0
520,16966,296,0,1,9,0,0,21,0,0,0,0,6,0,0,5,0,1,10,54,38,0,0,0,1,2,129,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,10,0,1,1,0,0,0,1,0,0,0,0,0,0
