"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cerealia","Corylus","Cyperaceae","Ericaceae","Fabaceae","Fagopyrum","Fagus","Filicopsida.undiff.","Fraxinus","Galium","Gentianaceae","Impatiens","Indeterminable","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Larix","Liquidambar","Lycopodiaceae","Myrica","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Ranunculus","Rhamnaceae.Vitaceae","Rhus","Rosaceae","Rubiaceae.undiff.","Rumex","Salix","Sambucus","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urticaceae","Viburnum"
143,1131,0,45,0,10,2,4,0,13,0,2,1,0,69,17,0,4,0,0,0,0,1,0,0,0,99,15,27,0,0,0,3,1,0,0,0,0,0,0,0,7,0,0,3,16,0,5,2,7,27,1,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,6,131,0,42,30,0,0
173,1324,0,54,1,6,0,2,0,30,0,0,1,0,61,7,0,1,0,0,0,0,0,1,0,0,117,8,19,0,0,0,2,2,0,0,0,0,1,0,0,5,0,0,2,20,1,2,3,5,34,0,12,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,3,114,0,37,31,0,0
193,1449,1,45,0,6,1,3,0,3,2,1,1,0,58,12,0,3,0,0,0,1,2,0,0,0,126,10,39,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,8,10,1,6,8,11,26,0,5,0,0,0,68,1,0,0,0,0,1,0,1,0,0,0,11,101,0,40,34,0,0
223,1629,0,53,0,12,0,2,0,1,0,0,1,0,56,9,0,4,0,0,0,0,1,0,0,0,100,3,30,0,0,0,1,1,0,0,0,1,0,0,0,7,0,0,0,22,0,6,6,5,24,0,6,1,0,0,101,1,0,0,0,0,0,0,0,0,0,0,13,86,0,48,33,0,0
248,1777,0,49,2,8,0,2,0,1,1,1,0,0,57,15,0,3,0,0,0,1,2,0,0,0,111,9,40,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,3,14,2,7,4,7,29,0,9,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,7,79,0,42,22,0,0
273,1924,0,38,5,11,0,0,0,0,1,1,0,0,67,18,0,0,0,0,0,2,2,0,0,0,102,4,31,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,11,0,5,4,5,27,0,7,0,0,0,121,1,0,0,0,0,0,0,0,0,0,0,11,78,0,44,19,0,0
298,2073,1,54,0,8,0,1,0,0,0,2,2,0,61,17,0,2,0,0,0,1,1,0,0,0,76,8,52,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,2,20,0,2,9,10,44,0,2,0,0,2,102,0,0,0,0,0,0,0,0,0,0,0,5,67,0,53,27,0,0
323,2224,0,43,2,15,0,4,0,11,0,1,0,0,59,12,0,8,0,0,0,1,3,0,0,0,94,12,29,0,0,0,2,4,0,0,0,2,0,0,0,5,0,0,2,14,1,7,2,17,25,0,9,1,0,0,76,0,0,0,0,0,0,0,2,0,0,0,10,123,0,34,29,0,0
348,2379,0,52,2,10,0,4,0,13,0,2,0,0,66,10,0,3,0,0,0,0,1,1,0,0,119,10,24,0,0,0,1,5,0,0,0,0,0,2,0,8,0,0,1,13,1,5,4,11,27,0,4,1,0,0,79,0,0,0,0,0,0,0,0,0,0,1,9,110,0,39,22,0,0
373,2541,0,49,2,4,0,5,0,6,1,0,3,0,79,17,1,0,0,0,0,1,6,0,0,0,121,6,42,0,0,0,2,1,3,0,0,1,0,0,0,4,0,0,2,15,0,1,4,5,18,0,7,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,7,74,0,47,17,0,1
393,2677,0,52,0,9,1,2,1,1,1,4,0,0,44,14,0,3,0,0,0,0,1,0,0,0,124,12,47,0,0,0,3,1,0,0,0,0,0,2,0,4,0,0,2,18,0,3,3,9,16,0,7,2,0,0,80,0,0,0,0,0,0,0,3,0,0,0,13,77,1,42,29,0,1
413,2818,0,0,54,7,1,2,0,0,0,0,0,0,50,16,0,7,0,0,0,8,2,0,0,0,87,4,53,0,0,0,3,0,0,3,0,0,0,0,0,2,1,0,2,14,0,15,2,3,14,0,5,1,0,3,95,0,0,0,0,0,0,0,0,0,0,1,9,82,0,28,56,0,0
438,3005,0,0,53,5,1,1,0,0,4,1,0,0,42,11,0,4,0,0,0,13,1,0,0,0,98,8,47,0,0,0,5,0,0,2,0,0,0,3,0,0,0,0,3,19,1,11,1,2,20,0,3,1,0,8,102,0,0,0,0,1,0,2,2,0,0,2,8,62,0,33,72,0,0
463,3205,0,0,70,7,0,1,0,0,1,1,1,0,47,16,0,7,0,0,0,5,0,0,0,0,88,3,38,0,0,0,4,0,0,2,0,0,0,0,0,2,1,0,3,11,0,28,0,2,20,0,2,1,4,0,98,0,0,0,0,0,0,0,1,0,0,1,10,59,0,49,61,0,0
488,3419,0,0,43,5,0,5,0,2,1,2,0,0,53,9,0,10,0,0,0,11,3,0,0,0,98,6,46,0,2,0,4,0,0,0,0,0,0,1,0,4,1,0,4,14,0,25,2,3,26,0,11,0,1,4,89,0,0,0,0,0,0,0,2,0,0,1,6,57,0,42,92,0,0
513,3650,0,0,70,9,1,3,0,0,2,1,0,0,26,19,0,7,0,0,0,9,1,0,0,0,85,4,45,0,0,0,4,0,0,3,0,0,0,0,0,4,3,0,7,15,0,19,1,2,23,0,4,0,4,5,107,0,0,1,0,0,0,0,0,0,0,0,8,40,1,54,94,0,0
538,3899,0,0,36,5,0,5,0,0,0,0,0,0,50,18,0,2,0,0,0,9,1,0,0,0,97,7,44,0,0,0,4,0,0,5,0,0,0,1,1,3,0,0,2,21,0,15,1,6,20,0,2,0,4,6,117,0,0,1,0,0,0,0,2,0,0,0,9,27,0,53,95,0,0
563,4168,0,0,41,5,0,6,0,1,0,0,1,0,52,24,0,3,1,0,0,9,1,0,0,0,94,11,37,0,0,0,4,0,0,11,0,0,0,0,0,1,2,0,6,20,0,15,1,4,15,0,12,1,7,6,94,0,0,2,0,0,0,0,2,0,0,1,7,37,1,61,63,0,0
588,4459,0,0,43,6,1,4,0,1,0,0,0,0,55,16,0,2,0,0,0,7,0,0,0,0,95,6,56,0,0,0,4,0,0,9,0,0,0,1,0,0,0,0,2,15,0,11,0,1,16,0,9,0,2,13,112,0,0,0,0,0,0,0,0,0,0,0,9,23,0,42,82,0,0
613,4774,0,0,52,9,1,6,0,0,0,0,0,0,69,15,0,3,0,0,0,11,0,0,0,0,95,6,39,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,11,0,23,0,0,14,0,7,1,7,3,91,0,0,0,0,0,0,0,0,0,0,0,5,44,0,42,76,0,0
638,5113,0,0,53,5,1,5,0,0,1,1,0,0,46,16,0,0,1,0,0,11,0,0,0,0,107,9,45,0,0,1,6,0,0,9,0,0,0,0,0,2,0,0,3,20,0,13,0,1,20,0,5,0,0,1,109,0,0,0,0,1,3,0,2,0,0,1,5,39,0,48,81,0,0
663,5480,0,0,42,2,0,3,0,0,0,0,0,0,55,8,0,2,0,0,0,6,2,0,0,0,68,3,49,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,2,8,1,16,1,0,9,0,17,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,9,132,0,44,56,0,0
688,5877,0,0,21,3,0,2,0,0,0,1,0,0,28,11,0,2,0,0,0,2,0,0,0,0,65,7,38,0,0,0,4,0,0,9,0,0,0,0,0,1,0,0,6,8,1,33,0,0,12,0,13,0,1,0,56,0,0,0,0,0,0,0,0,0,0,1,7,244,0,42,45,0,0
706,6183,0,0,21,3,1,3,0,0,0,2,0,0,19,11,0,1,0,4,0,3,0,0,0,0,60,4,30,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,4,8,0,22,0,0,13,0,21,1,1,1,72,0,0,0,0,0,0,0,1,0,0,0,3,207,0,36,63,0,0
721,6452,0,0,22,3,1,4,0,0,0,1,1,0,27,11,0,0,0,3,0,5,0,0,0,0,54,5,45,0,0,0,1,0,0,10,0,0,1,0,2,1,1,0,3,6,0,8,1,0,5,0,25,1,4,1,72,0,0,0,0,0,1,0,0,0,0,0,5,210,0,31,54,0,0
736,6734,0,0,26,0,0,5,0,0,0,0,0,0,20,11,0,2,0,2,0,2,2,1,0,0,66,3,41,0,0,0,2,0,0,12,0,0,0,0,1,2,0,1,1,6,1,16,0,0,7,0,26,0,0,2,80,0,0,0,0,0,1,0,0,0,0,0,11,183,0,36,53,0,0
756,7132,0,0,26,4,1,4,0,0,0,2,0,0,24,8,0,1,0,1,0,2,0,0,0,0,64,4,39,0,0,0,4,0,0,3,0,0,0,1,0,1,0,0,5,7,1,12,0,0,17,0,19,3,1,0,68,0,0,0,0,0,0,0,0,0,0,0,7,196,0,47,59,0,0
771,7447,0,0,24,1,0,2,0,0,0,4,1,0,24,11,0,2,0,1,0,6,0,1,0,0,51,3,40,0,0,0,2,0,0,5,0,0,0,1,0,3,0,0,1,12,0,22,0,1,19,0,29,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,11,171,0,48,59,0,0
786,7777,0,0,35,6,0,0,0,0,0,2,0,0,24,10,0,2,1,6,0,5,3,0,0,0,76,4,54,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,1,5,0,16,0,3,14,0,30,0,1,0,82,0,0,0,0,0,0,0,1,0,0,0,6,135,0,44,51,0,0
801,8124,0,0,34,1,0,1,0,0,0,1,2,0,23,13,0,4,0,5,0,2,2,0,0,0,61,0,45,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,6,0,13,1,0,16,0,24,0,1,0,83,1,0,0,0,0,0,0,0,0,0,0,8,146,0,41,50,0,0
813,8413,0,0,20,5,1,3,0,0,0,1,2,0,32,12,0,1,0,4,0,5,0,0,0,0,69,1,54,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,17,0,13,0,0,11,0,19,2,0,3,85,0,0,0,0,0,0,0,0,0,0,0,8,149,0,41,34,0,0
825,8713,0,0,22,2,0,1,0,0,0,4,1,0,33,7,0,1,0,1,0,5,1,0,0,0,65,4,60,0,0,0,5,0,0,9,0,0,0,0,0,1,0,0,1,19,0,21,0,1,13,0,19,1,0,1,82,0,0,0,0,1,0,0,1,0,0,0,4,146,0,48,39,0,0
837,9024,0,0,18,4,2,8,0,0,0,0,0,0,25,17,0,1,1,1,0,4,0,0,0,0,78,3,47,0,0,0,3,0,0,7,0,0,1,0,0,0,0,0,0,6,0,9,0,1,27,0,14,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,2,154,0,40,37,0,0
849,9346,0,0,18,3,0,2,0,0,0,2,0,0,29,14,0,0,1,0,0,4,1,0,0,0,68,3,33,0,0,0,3,0,0,13,0,0,1,1,1,0,0,0,0,18,0,20,1,2,17,0,11,1,0,1,81,0,0,0,0,0,0,0,0,0,0,0,6,171,0,25,33,0,0
861,9681,0,0,16,1,1,5,0,0,0,1,1,0,64,13,0,0,2,0,0,9,2,0,0,0,46,2,25,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,9,1,25,0,1,20,0,9,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,7,165,0,40,39,0,0
873,10027,0,0,26,1,1,2,0,1,1,2,0,0,34,14,0,0,0,0,0,3,2,1,0,0,39,3,46,0,0,0,2,0,0,17,0,0,0,0,0,1,0,0,1,14,0,19,2,4,23,0,5,0,0,0,81,0,0,0,0,0,0,0,1,0,0,1,6,161,0,38,29,0,0
884,10356,0,0,18,1,1,2,0,1,0,3,0,0,22,8,0,0,0,0,0,7,0,0,0,0,18,0,45,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,2,18,1,20,0,6,41,0,9,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,6,193,0,39,25,0,0
896,10727,0,0,18,2,1,1,0,0,0,1,2,0,26,2,0,0,0,0,0,1,1,0,0,0,17,2,74,0,0,0,2,0,0,24,0,0,0,1,0,0,0,0,1,16,0,25,2,4,32,0,6,2,0,0,116,0,0,0,0,0,0,0,1,0,0,0,4,140,0,26,33,0,0
901,10885,1,0,19,1,4,0,0,2,0,1,0,0,25,4,0,0,0,0,0,1,0,0,0,0,13,1,55,0,0,0,0,0,0,29,0,0,0,1,1,0,0,0,0,21,0,25,2,6,41,0,1,1,0,0,109,0,0,0,0,0,0,0,0,0,0,0,3,173,0,27,30,0,0
907,11078,0,0,12,2,2,5,0,1,0,2,1,0,12,5,0,0,0,0,0,1,1,0,0,0,5,5,57,0,0,0,1,0,0,11,0,0,0,2,0,0,0,0,0,20,0,24,0,4,42,0,3,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,6,178,0,36,31,0,0
913,11274,2,0,24,2,0,5,0,0,0,1,0,0,16,4,0,0,0,0,0,1,0,0,0,0,1,2,32,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,35,0,31,3,15,121,0,2,1,0,1,114,0,0,0,0,0,0,0,2,0,0,0,5,103,0,39,41,0,0
919,11474,3,0,23,0,0,0,0,0,0,1,2,0,26,2,0,0,0,0,0,3,0,0,0,0,0,0,35,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,35,0,30,8,26,149,0,0,0,0,0,174,0,0,0,0,0,0,0,1,0,0,0,2,25,0,39,39,0,0
925,11677,6,0,20,0,1,1,0,0,0,0,2,0,39,1,0,0,0,0,0,3,0,0,0,0,0,2,22,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,22,9,22,3,24,249,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,42,27,0,0
931,11882,12,0,0,7,0,3,1,2,0,8,8,0,13,1,0,0,0,0,0,2,3,0,0,0,0,2,4,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,0,9,278,53,3,0,153,0,0,16,0,0,21,0,0,0,0,0,1,1,2,0,0,3,0,4,0,2,31,0,0
941,12227,22,0,1,3,1,5,0,0,0,7,2,0,7,0,0,0,0,0,0,2,22,1,0,0,0,3,7,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,18,307,60,5,3,81,0,0,8,1,0,58,0,0,0,0,0,0,1,5,0,0,3,0,4,0,5,44,0,0
955,12717,17,0,1,0,1,10,0,0,0,11,7,0,7,3,0,0,0,0,0,1,30,1,0,0,0,5,15,0,0,0,6,0,0,0,0,0,0,2,5,0,0,0,1,31,335,53,9,0,33,0,0,18,2,5,69,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,37,0,0
967,13140,13,0,1,3,0,5,0,0,0,8,7,0,10,3,1,0,0,0,0,3,46,0,0,0,1,10,32,0,0,0,5,0,0,0,0,0,0,2,8,0,0,0,0,30,270,41,4,0,41,0,0,9,0,8,44,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,20,0,0
979,13567,14,0,0,3,0,5,0,2,0,9,6,0,13,2,0,0,0,0,0,3,19,0,0,0,0,5,16,0,0,0,4,0,0,1,0,0,0,0,6,0,0,0,0,19,271,25,8,1,48,0,0,10,0,7,41,0,0,0,0,0,0,0,4,0,0,1,0,0,1,3,33,0,0
991,NA,11,0,3,2,0,4,0,0,0,11,3,0,17,3,1,0,0,0,0,5,27,0,0,0,0,5,31,0,0,0,4,0,0,2,0,0,0,0,9,0,0,0,0,37,218,18,2,0,22,0,0,5,0,5,48,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,33,0,0
