"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Caryophyllaceae","Cyperaceae","Picea","Pinus.undiff.","Quercus","Alnus","Myrica","Populus","Poaceae","Pinus.strobus","Ericales","cf..Myrica","Artemisia","Ranunculaceae.undiff.","Rosaceae.undiff.","Coptis.trifolia","Sanguisorba","Thalictrum","Pinus.banksiana.P..resinosa","Juniperus","Fagus","Asteraceae.subf..Asteroideae.undiff.","Acer","Ulmus","Tilia","Plantago","Potentilla","Corylus","Amaranthaceae","Galium","Fraxinus","Taxus","Tsuga","Salix","Gentianaceae","Nemopanthus","Larix","Linnaea.borealis","Cornus","Epilobium","Polygonaceae.undiff.","Rumex","Shepherdia.canadensis","Apiaceae","Brassicaceae","Fabaceae","Limonium"
135,2482,355,15,1,145,0,1,96,1,1,72,5,0,4,0,1,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2541,346,17,1,146,0,2,104,0,1,63,4,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2660,307,3,1,95,0,1,112,1,0,80,4,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2720,349,0,0,107,0,1,45,1,0,160,12,0,2,2,0,14,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2779,317,5,0,93,0,0,45,2,1,156,5,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2898,306,8,0,121,0,1,103,2,0,59,1,1,0,2,0,2,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3017,353,17,0,114,0,1,142,5,0,53,7,0,0,1,0,7,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,3136,341,20,0,110,0,1,140,1,0,53,4,0,1,2,2,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3279,303,10,0,87,0,1,85,3,1,91,9,1,2,2,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3493,341,19,1,160,0,1,112,1,3,25,7,1,0,2,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3708,358,14,0,167,0,0,110,3,0,51,3,0,2,1,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3815,398,21,0,149,0,1,157,6,1,44,3,0,2,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,3923,308,29,0,126,0,0,76,3,0,54,8,0,0,0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
235,4030,310,21,0,122,0,1,99,1,1,43,4,0,0,3,1,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240,4137,303,10,1,130,0,1,58,1,2,81,4,0,1,3,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4352,388,7,1,206,0,3,67,1,1,75,10,0,0,4,0,7,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,4567,339,11,0,190,0,2,64,2,1,44,8,0,0,2,2,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,4781,304,9,0,182,0,0,43,1,1,50,5,0,0,4,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,4996,365,7,0,183,0,1,99,2,2,50,4,0,1,1,0,10,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,5211,307,14,0,192,0,1,52,2,1,30,2,0,1,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
295,5318,376,14,0,221,0,2,68,4,0,49,4,0,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,5417,342,19,0,144,0,2,100,5,1,48,4,0,1,4,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
310,5597,312,10,0,138,0,1,46,1,1,87,6,0,1,4,1,10,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,5778,303,5,0,172,0,0,60,5,0,40,4,0,0,2,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,5958,317,14,0,197,0,0,59,2,0,31,4,1,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6138,363,10,0,207,0,0,65,1,1,56,6,1,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6319,306,9,0,180,0,4,60,1,0,33,4,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
360,6499,341,16,0,174,0,3,85,4,1,45,1,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,6679,412,20,0,269,0,1,53,3,2,35,4,0,2,4,1,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
380,6860,310,10,0,187,0,1,63,2,1,28,3,0,0,3,0,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,7040,334,7,0,219,0,0,48,1,1,39,4,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400,7306,388,10,0,263,0,0,46,0,4,39,7,1,2,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
410,7830,394,7,0,226,0,1,45,3,1,83,8,1,0,2,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
420,8354,400,17,0,179,0,2,77,4,1,90,8,1,2,4,0,11,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,8616,378,48,0,128,0,0,72,4,2,88,6,0,1,2,0,22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
430,8878,312,40,0,98,0,0,62,3,0,78,6,0,2,2,0,13,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
435,9140,405,24,0,113,0,2,34,3,0,196,2,0,2,0,1,16,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
440,9364,317,22,0,118,0,0,43,2,1,106,11,1,0,2,1,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,9739,311,22,1,138,0,2,62,5,0,46,6,4,2,2,0,14,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
460,10114,375,22,0,167,0,5,73,12,1,38,24,1,1,6,0,18,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
465,10302,328,24,0,139,0,4,35,4,0,59,19,2,6,5,0,22,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
470,10489,327,9,2,166,0,6,71,4,1,20,18,2,7,1,1,16,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,10677,367,1,0,203,0,5,78,13,1,11,14,3,1,2,1,26,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
480,10864,334,1,0,210,0,8,27,2,2,21,16,4,4,1,2,20,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
490,11239,314,0,1,173,0,13,38,9,0,18,20,0,5,0,2,19,1,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
495,11427,306,0,1,179,0,12,17,11,0,19,13,0,10,1,6,25,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
500,NA,321,0,2,144,0,17,43,11,0,15,27,6,9,6,3,19,1,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
505,NA,304,1,0,165,0,13,9,4,0,11,32,3,13,6,1,30,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
510,NA,210,0,3,106,0,13,8,3,0,12,14,8,5,1,1,24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
520,NA,178,0,1,72,0,18,8,10,0,6,13,3,2,1,2,14,2,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0
530,NA,69,0,0,27,0,12,1,4,0,7,7,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
535,NA,34,0,0,7,0,7,1,2,0,2,3,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
540,NA,63,0,0,13,0,15,2,4,0,0,6,1,1,0,1,9,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
550,NA,117,0,2,8,0,6,10,28,0,5,1,6,5,2,0,9,4,0,0,0,0,0,2,20,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
560,NA,37,0,2,1,1,6,0,10,0,4,0,0,0,0,1,1,5,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,NA,31,0,1,2,0,5,1,7,0,1,0,0,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
580,NA,21,0,1,1,0,2,0,4,0,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
590,NA,25,0,0,0,0,3,1,4,0,1,0,0,8,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
600,NA,21,0,1,0,0,2,1,6,0,1,0,0,6,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
610,NA,21,0,0,0,1,1,0,10,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
620,NA,52,4,3,10,0,1,6,9,0,3,1,0,3,1,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
