"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.complanatum.type","Dryopteris","Dryopteris.type.undiff.","Ephedra","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lonicera","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.cathartica","Rosaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Saxifraga.cernua.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum","Woodsia.type"
250,3050,8,0,0,2,0,19,2,0,2,0,0,0,0,0,0,188,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,49,4,2,0,0,0,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,19,0,21,16,4,0,0,0,0,1,0,0,0,0,13,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,30,2,0,0,0,8,0,5,6,0,0
275,3355,6,0,0,2,0,25,1,10,3,0,0,0,1,1,0,251,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,1,0,35,13,7,0,0,0,18,0,3,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,4,0,0,8,4,23,0,36,19,7,0,0,0,0,4,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0,9,0,0,2,0,0
300,3608,5,0,0,2,0,18,0,0,9,0,0,0,1,2,0,363,0,0,4,0,0,0,0,2,8,0,0,0,0,0,0,1,0,51,10,6,0,0,0,16,1,3,0,0,0,0,1,0,0,3,0,0,2,2,0,0,0,8,0,0,3,2,19,0,50,55,9,0,0,0,4,3,0,0,0,0,24,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,43,0,0,0,0,7,0,3,1,0,0
325,3741,7,0,0,1,0,17,0,4,3,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,29,3,2,0,0,0,12,0,4,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,3,1,4,0,17,12,3,0,0,0,0,2,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,47,1,0,0,0,10,0,0,3,0,0
350,3874,3,0,0,0,0,12,2,1,6,1,0,0,0,1,0,221,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,47,3,2,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,3,3,15,0,10,22,4,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,56,1,0,0,0,9,0,2,1,0,0
375,4007,1,0,0,1,0,11,2,12,0,0,0,0,0,0,0,309,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,3,0,32,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,9,0,47,0,29,6,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0,4,0,0,12,0,1,2,0,0
400,4139,5,0,0,3,0,28,0,8,0,0,1,0,1,1,0,306,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,21,5,2,3,0,0,2,1,2,1,1,0,0,0,0,0,2,0,0,0,5,0,0,0,3,0,0,6,4,43,0,32,44,5,0,1,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,1,9,0,3,3,0,0
425,4272,0,0,0,3,0,19,0,7,5,1,0,0,0,2,0,339,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,40,5,3,0,0,0,4,0,1,2,0,0,1,1,0,0,1,0,0,0,5,0,0,0,6,0,0,2,0,34,0,58,7,9,0,0,0,3,1,0,0,0,0,23,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,28,0,0,3,0,8,1,1,0,0,0
450,4405,2,0,0,2,1,20,3,11,1,0,1,0,0,0,0,246,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,23,6,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,3,0,0,3,2,31,0,27,37,4,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,5,0,1,0,0,0
475,4538,3,0,0,1,0,19,0,9,4,0,2,0,0,0,0,251,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,1,0,16,6,3,0,0,0,5,1,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,3,0,0,2,1,34,0,35,22,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,1,1,0,0,7,0,0,0,0,0
500,4671,0,0,0,2,0,22,0,7,1,0,1,0,0,1,0,375,0,0,1,0,0,1,0,0,18,0,0,0,0,0,0,1,0,13,5,1,2,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,3,0,12,0,29,29,3,0,0,3,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,22,1,7,6,0,0
525,5227,4,0,0,0,0,16,1,25,4,1,1,0,1,2,0,358,0,0,2,0,1,1,0,1,2,0,0,0,0,0,0,1,0,23,9,2,0,0,0,15,0,0,1,1,0,0,0,0,2,2,0,0,0,6,0,0,1,2,0,0,7,3,10,5,51,42,2,0,0,0,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,75,0,0,0,0,10,1,4,2,0,0
550,5784,0,0,1,0,0,12,0,10,3,0,0,0,3,1,0,233,0,0,0,0,0,2,0,1,4,0,0,0,0,0,0,1,0,7,12,3,0,0,0,19,1,4,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,3,1,10,0,39,103,5,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,154,0,0,0,1,3,0,13,4,0,0
575,6341,0,0,0,1,0,8,0,14,1,1,0,0,0,0,0,230,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,1,1,1,0,0,26,0,3,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,23,0,33,27,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,1,0,0,7,0,2,1,0,0
600,6897,0,0,0,1,0,13,0,1,10,1,1,0,0,1,0,335,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,1,0,12,13,5,0,0,0,10,3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,4,0,0,2,1,57,0,41,30,2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,179,0,0,0,0,17,0,2,0,0,0
625,7454,1,0,0,0,1,3,0,6,1,0,1,0,3,0,0,128,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,1,0,5,2,1,0,0,0,1,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,3,2,22,0,148,51,2,0,0,0,5,1,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,141,0,0,0,0,15,0,3,2,0,0
650,8011,9,0,0,4,0,11,1,1,4,1,1,0,0,1,0,92,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,6,11,1,0,0,0,4,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,4,60,0,137,46,5,0,0,0,4,0,0,0,0,0,49,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,7,0,0,0,0,0
675,8567,2,1,0,0,0,3,2,2,11,0,3,0,0,1,0,124,0,0,0,0,0,3,0,8,1,1,0,0,0,0,0,0,0,3,4,1,1,0,0,4,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,7,5,25,4,123,61,2,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,3,0,0,0,0,15,1,5,1,0,0
700,9124,6,0,0,0,0,5,2,4,15,0,1,0,0,4,0,148,0,0,1,0,0,0,0,1,7,0,1,0,0,0,0,0,0,6,9,5,0,0,0,4,0,6,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,6,0,0,4,0,134,0,88,41,8,0,0,0,4,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,10,0,1,0,0,0
705,9235,9,0,0,0,0,3,0,25,9,0,1,0,1,0,0,195,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,4,2,0,0,2,9,1,9,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,4,9,61,0,63,76,4,0,0,0,26,0,0,0,0,0,31,0,0,0,0,0,1,3,0,0,0,0,0,6,0,0,4,0,0,0,1,7,1,0,1,0,0
720,9569,0,0,0,0,0,0,0,49,6,0,1,0,1,1,0,197,0,0,1,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,8,2,0,0,2,5,0,0,2,1,1,1,0,0,0,16,0,0,0,1,0,0,0,7,0,0,1,8,43,0,130,139,10,0,0,1,23,2,0,0,0,0,21,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0
740,10015,0,0,0,1,0,3,0,24,5,0,1,0,3,5,0,422,0,0,0,0,0,0,0,5,13,0,0,0,0,2,0,0,0,0,16,0,0,0,3,18,0,16,1,2,0,1,1,0,0,50,0,0,0,0,0,0,0,14,0,0,7,53,16,0,49,100,9,0,0,2,81,4,0,0,0,0,44,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,2,0,1,0,0,19,0,3,5,0,0
750,10237,1,0,0,0,0,2,0,0,1,1,0,0,3,2,0,84,0,0,0,1,0,3,0,9,13,0,0,1,0,0,0,0,0,6,2,0,1,0,2,29,2,61,4,2,0,4,3,0,0,33,0,0,0,0,0,0,0,7,0,11,47,50,24,0,27,24,6,1,0,0,95,0,1,0,0,0,48,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,1,1,0,1,11,1,4,4,1,1
760,10460,1,0,0,0,0,2,0,9,3,0,2,0,4,2,0,151,0,0,0,0,0,0,0,5,11,0,0,4,0,1,0,2,0,0,4,0,0,0,2,79,0,134,8,0,0,7,2,0,0,0,3,0,0,0,0,0,0,16,0,0,2,7,5,0,24,15,6,0,0,4,183,4,0,0,0,0,31,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,2,0,0,0,0,11,2,13,2,1,0
770,10681,0,0,0,0,0,1,0,4,4,0,1,0,3,3,0,132,0,0,0,1,0,0,0,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,160,0,96,0,1,0,4,1,0,0,4,0,0,0,0,1,0,0,1,0,1,1,2,10,0,20,13,9,0,0,2,130,8,0,0,0,0,14,0,0,0,0,0,6,7,1,0,0,0,0,0,0,0,1,1,0,0,0,5,1,7,3,0,0
780,10902,0,0,0,0,1,2,0,5,1,0,0,0,14,5,0,203,1,0,1,2,0,0,0,1,34,0,0,4,0,2,0,3,0,0,5,0,0,0,1,1,0,3,0,0,0,29,0,0,1,1,0,0,0,0,0,0,0,4,0,0,5,2,2,0,36,22,8,0,0,4,103,1,0,0,0,0,10,0,0,2,0,0,5,16,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,11,1,0,0
790,11123,1,0,1,0,0,0,0,5,2,0,1,0,17,11,0,59,0,0,1,1,0,0,1,7,96,0,0,1,0,1,1,11,0,4,8,0,2,0,0,0,0,6,1,0,0,86,6,0,0,0,0,0,0,1,0,0,0,1,0,0,14,5,15,0,31,26,37,0,0,2,30,0,0,0,0,1,26,0,0,1,0,0,0,92,0,0,0,2,1,0,0,0,4,0,0,0,0,11,1,4,1,0,0
805,11454,0,0,0,0,0,0,0,25,2,0,1,0,27,4,0,43,0,0,0,2,0,0,0,2,293,0,0,0,0,0,0,1,2,0,1,0,0,0,4,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,27,4,0,78,21,140,0,0,0,3,1,0,0,0,0,11,0,0,9,0,0,14,40,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,0,0
810,11564,0,0,0,0,0,0,0,21,7,0,1,0,24,3,0,32,1,0,0,8,0,0,5,6,323,0,0,0,0,0,0,0,5,0,2,0,0,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,6,35,7,0,43,18,131,0,0,0,0,0,0,0,0,0,10,1,0,13,0,0,4,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
820,11785,1,0,0,0,0,0,0,8,6,0,1,0,7,2,0,13,1,0,0,3,0,0,0,2,208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,11,0,21,22,53,1,0,0,0,0,0,0,0,0,7,0,0,5,0,0,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0
830,NA,0,0,0,0,0,0,0,8,12,0,3,0,70,5,1,14,1,0,0,2,0,0,0,3,165,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,1,4,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,7,8,0,2,17,9,0,21,20,124,0,0,0,1,0,0,1,0,0,11,0,0,15,0,0,6,88,7,0,3,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0
840,NA,0,0,0,0,0,2,0,3,8,0,3,0,9,4,0,0,0,0,1,5,0,0,0,5,109,0,0,0,0,0,0,0,11,0,3,0,0,0,7,0,0,3,1,0,0,2,0,2,2,1,0,0,0,0,0,1,0,4,2,0,2,19,2,0,26,22,102,0,0,0,1,0,0,1,0,0,6,0,0,17,0,0,8,24,8,2,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
845,NA,0,0,0,0,0,0,0,6,0,1,5,0,11,4,0,39,0,0,0,3,0,0,0,39,25,0,0,0,0,3,1,0,2,5,0,5,0,0,14,0,0,5,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,11,3,1,0,40,17,53,0,0,2,9,7,41,0,0,0,16,0,0,3,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,9,23,5,59,0,0
848,NA,0,0,0,0,0,1,0,19,3,2,1,0,15,2,2,50,0,0,1,4,1,0,0,20,36,0,0,0,0,0,0,0,16,0,3,1,0,0,10,1,0,4,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,3,1,0,27,26,15,0,74,79,134,0,0,0,1,0,0,0,0,0,36,0,0,10,0,0,1,157,0,0,0,2,0,0,0,0,1,0,0,0,0,11,3,4,2,0,0
850,NA,0,0,0,0,0,0,0,16,2,0,0,0,4,5,0,40,0,0,1,0,0,0,0,3,19,0,0,0,0,1,0,0,1,1,0,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,8,14,14,0,0,0,1,2,0,0,0,0,28,0,0,6,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,14,157,1,0,0,0
853,NA,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,6,18,5,0,0,1,1,2,0,0,0,0,8,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,1,0,0,0
855,NA,0,0,0,0,1,1,0,16,0,3,2,0,15,3,0,44,0,0,0,4,0,0,0,8,90,0,0,0,0,0,0,0,11,4,0,0,0,0,5,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,12,5,0,65,30,99,0,0,1,0,0,6,0,0,0,13,0,0,5,0,0,0,57,0,0,0,1,0,0,0,0,4,0,0,0,0,8,6,2,4,0,0
