"sample.depths","sample.ages","Acer.rubrum","Acer.saccharum","Acer.undiff.","Ailanthus","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae.type","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","cf..Arisaema","cf..Podophyllum","Cornus","Corylus","Cupressaceae","Cyperaceae","Epilobium.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Gleditsia","Humulus","Indeterminable","Juglans","Lamiaceae","Larix","Liliaceae","Liquidambar","Liriodendron","Lycopodium","Morus","Myrica","Nymphaeaceae","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.lanceolata","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus","Potamogeton","Prunus.Pyrus","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae.undiff.","Rumex","Salix","Sambucus","Selaginella","Sparganium","Thalictrum","Tilia","Tradescantia","Tsuga","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica","Viburnum","Vitis","Zea"
20.5,65,6,13,0,0,6,0,32,0,0,0,4,152,0,0,0,8,0,28,2,0,0,0,0,0,0,0,0,0,0,0,50,16,0,0,58,2,0,2,0,0,0,0,0,0,4,0,0,6,5,6,18,58,4,2,0,6,0,0,0,2,0,108,0,0,0,0,20,0,0,0,2,0,2,0,180,10,0,2,0,0,0,0,0
21.5,74,8,18,8,0,6,0,24,0,0,0,0,142,2,0,0,6,0,12,0,0,0,0,0,6,2,0,0,0,0,0,62,20,0,0,48,4,0,0,0,0,0,0,2,0,2,4,0,6,14,16,10,66,4,0,0,20,0,0,0,2,0,116,0,0,0,0,20,0,0,0,0,0,4,0,256,6,0,6,10,0,0,0,2
24.5,99,8,10,0,0,2,2,14,2,0,0,0,158,0,4,2,4,0,26,8,0,0,0,0,0,2,0,0,0,0,0,58,12,0,0,46,2,0,0,0,0,0,0,0,4,0,0,0,8,6,12,10,32,2,0,0,22,0,0,0,0,0,128,2,0,0,0,12,0,0,0,4,2,0,0,144,8,4,2,6,2,0,0,0
25.5,109,6,12,2,0,12,0,20,0,0,0,2,128,0,0,0,8,0,26,0,0,0,0,0,0,0,0,0,0,2,0,82,12,0,0,56,2,0,0,0,0,0,0,0,0,2,2,0,14,5,22,24,34,0,0,0,6,0,4,0,0,2,154,0,0,0,2,6,2,0,0,0,0,2,0,196,4,2,0,8,0,0,0,0
26.5,121,4,8,2,0,2,0,8,0,2,0,0,196,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,62,10,0,0,62,0,0,0,0,4,0,0,0,0,0,0,0,12,9,12,16,60,4,0,4,10,0,0,0,0,0,128,0,0,0,2,4,0,0,0,0,0,8,0,214,4,2,2,2,0,0,0,0
27.5,133,4,8,4,0,10,0,16,0,0,0,2,154,0,0,2,16,0,42,0,0,0,0,0,6,2,0,0,0,0,0,100,22,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,60,0,0,4,4,0,0,0,0,0,124,0,0,0,4,6,4,0,0,0,0,4,0,174,2,0,2,2,0,0,0,0
28.5,141,2,24,0,0,2,0,14,0,2,0,0,128,0,0,0,8,0,28,0,0,0,0,0,0,6,0,2,0,0,0,80,16,0,0,36,4,0,0,0,0,0,0,0,0,4,2,0,12,8,10,26,44,0,0,0,2,0,0,0,0,0,110,0,2,0,2,6,0,0,0,0,0,6,0,248,8,0,2,4,0,0,0,0
30.5,150,2,15,0,0,2,0,8,0,0,0,0,154,0,0,0,6,0,12,0,0,0,0,0,2,0,0,0,0,2,0,92,14,0,0,78,4,0,0,0,0,2,0,0,0,0,0,0,8,6,12,12,44,0,0,2,6,0,2,0,0,0,136,0,0,0,0,6,0,0,0,0,0,0,0,216,10,0,2,8,0,0,0,4
32.5,180,10,14,2,0,8,0,4,0,0,0,0,130,0,0,0,10,0,10,0,0,0,0,0,0,2,0,0,0,0,0,74,14,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,2,12,16,6,64,0,0,2,2,0,0,0,0,0,98,0,2,0,2,0,0,0,0,0,0,0,0,198,4,0,0,2,0,0,0,0
33.5,195,10,10,2,0,8,0,2,0,0,0,0,108,0,0,0,4,0,30,0,0,0,0,0,4,0,0,0,0,0,0,64,12,0,0,38,0,0,0,0,0,0,0,0,0,4,0,0,0,9,14,12,42,0,0,2,6,0,0,0,0,0,106,2,0,0,2,0,2,0,0,0,0,4,0,196,6,2,0,0,0,0,0,0
37,247,10,16,0,0,6,0,2,0,0,2,0,176,0,0,0,18,0,10,0,0,0,0,0,4,0,2,0,0,0,0,116,14,0,0,46,4,0,0,0,0,0,0,0,0,2,2,0,2,2,14,6,28,0,0,2,4,0,0,0,0,2,200,0,0,0,0,4,0,0,0,0,0,2,0,136,12,0,0,0,0,0,0,0
41,306,2,14,0,0,6,0,4,0,2,0,0,136,0,0,0,14,0,14,0,0,0,0,0,0,2,0,0,0,0,0,86,6,0,0,64,4,0,0,0,0,0,0,0,2,0,0,0,6,5,6,12,48,0,0,0,4,0,0,0,0,2,124,0,0,0,0,2,2,0,0,0,0,0,0,242,6,4,2,2,0,0,0,0
45,365,8,14,2,0,4,0,6,0,0,0,0,152,0,0,0,12,0,22,0,0,0,0,0,4,4,0,0,0,0,0,120,14,0,0,68,2,0,0,2,0,0,0,0,0,0,0,6,10,9,18,8,46,0,0,0,8,0,2,0,0,0,172,0,0,0,0,4,2,0,0,0,0,4,0,258,10,4,0,2,0,0,0,0
49,425,2,20,0,0,10,0,4,0,2,0,0,122,0,2,0,14,0,18,0,0,0,0,0,0,0,2,0,0,0,0,90,10,0,0,40,0,0,0,0,0,0,0,0,0,0,0,4,6,5,4,18,26,0,0,0,6,0,0,0,0,0,110,0,0,0,0,2,0,0,2,0,0,0,0,194,6,0,0,2,0,0,0,0
51,454,4,14,0,0,8,0,2,0,0,0,0,188,0,0,0,8,0,22,0,0,0,0,2,0,2,0,0,0,0,0,86,10,2,0,34,0,0,0,0,0,0,0,0,0,4,0,2,10,0,8,10,38,0,0,2,2,0,0,0,0,0,136,0,4,0,0,2,2,0,0,0,0,6,0,156,8,0,0,2,0,0,0,0
53,484,0,18,0,0,4,0,4,0,0,0,2,118,0,0,0,8,0,12,2,0,0,0,0,0,0,0,0,0,0,0,82,16,0,0,32,2,0,0,0,0,0,0,0,0,4,0,0,12,5,10,10,46,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,4,0,0,0,2,0,0,198,4,2,0,2,0,0,0,0
57,544,2,10,0,0,4,0,2,0,0,0,0,152,0,0,0,6,2,20,0,0,0,0,0,0,0,0,0,0,0,0,98,12,0,0,62,2,0,0,0,0,0,0,0,0,0,2,0,8,5,14,20,52,0,0,0,2,0,0,0,0,0,138,0,0,0,0,0,2,0,0,0,0,0,0,218,2,2,2,6,0,0,0,0
63,633,0,17,0,0,10,0,4,0,0,0,0,180,0,0,0,6,0,24,8,0,0,0,0,0,2,2,0,0,0,0,72,4,0,0,56,0,0,0,0,0,0,0,0,0,0,6,0,12,0,6,12,32,0,0,0,2,0,0,0,0,0,94,0,0,0,4,0,0,0,0,0,4,0,4,206,10,0,0,4,0,0,0,0
69,722,0,10,2,0,4,0,6,0,2,0,2,176,0,4,0,8,0,32,0,0,2,2,0,4,6,2,0,0,0,0,62,12,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,12,5,14,32,34,0,0,4,4,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,2,0,206,6,2,2,6,0,0,0,0
