"sample.depths","sample.ages","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Fraxinus.americana.type","Poaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Thalictrum","Juniperus.communis.Thuja.occidentalis.type","Salix.undiff.","Ostrya.Carpinus","Carya.ovata","Corylus.cornuta","Rumex.type","Juglans.cinerea","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Plantago","Castanea.dentata","Taxus","Picea.glauca.type","Ranunculaceae.undiff.","Myrica.gale","Amaranthaceae","Impatiens","Ilex.Nemopanthus","Pinus.resinosa.type","Fabaceae.undiff.","Potentilla.palustris.type","Rhamnus.alnifolia.R..frangula","cf..Sarcobatus.vermiculatus","Acer.saccharinum","Caryophyllaceae","Shepherdia.canadensis","Onagraceae","Elaeagnus.commutata","Polygonum.viviparum","Apiaceae","Picea.rubens.type","Salix.vestita.type","Caprifoliaceae.undiff.","Salix.herbacea.type","Dryas","Oxytropis.maydelliana.type","Viburnum.nudum","Asteraceae.subf..Cichorioideae","Saxifraga.oppositifolia.type","Sambucus","Brassicaceae","Prunus.pensylvanica"
200,4307,0.00165837479270315,0.021558872305141,0.00829187396351575,0.00165837479270315,0,0.469320066334992,0.0066334991708126,0.00497512437810945,0.0116086235489221,0.00165837479270315,0.00165837479270315,0.00165837479270315,0.033167495854063,0.155887230514096,0.00497512437810945,0.0132669983416252,0.0033167495854063,0,0,0,0.0033167495854063,0.0182421227197347,0.0066334991708126,0.0497512437810945,0.140961857379768,0.0033167495854063,0.021558872305141,0,0,0,0.00165837479270315,0.00165837479270315,0,0.0033167495854063,0,0,0,0,0,0,0.00497512437810945,0.00165837479270315,0,0.00165837479270315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4738,0,0.0443548387096774,0.00403225806451613,0,0.00201612903225806,0.479838709677419,0.00806451612903226,0,0.00403225806451613,0.00604838709677419,0,0,0.0403225806451613,0.0907258064516129,0,0.00806451612903226,0.00403225806451613,0.00201612903225806,0.00201612903225806,0,0.0241935483870968,0.00403225806451613,0.00806451612903226,0.060483870967742,0.167338709677419,0.00403225806451613,0.0141129032258065,0,0,0,0,0,0,0.00201612903225806,0,0.00201612903225806,0,0.00201612903225806,0.00201612903225806,0,0.0120967741935484,0,0,0,0,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,5169,0,0.0332778702163062,0.0133111480865225,0,0,0.430948419301165,0.00665557404326123,0,0.00499168053244592,0.00499168053244592,0,0.00166389351081531,0.0349417637271215,0.0881863560732113,0.00166389351081531,0.0133111480865225,0.00499168053244592,0,0,0,0.00665557404326123,0.0266222961730449,0.00665557404326123,0.0748752079866889,0.211314475873544,0.0116472545757072,0.0166389351081531,0,0,0,0,0,0,0,0,0,0,0.00166389351081531,0.00166389351081531,0,0.00166389351081531,0,0,0,0,0,0.00166389351081531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,5599,0,0.0379746835443038,0.0232067510548523,0,0.00210970464135021,0.436708860759494,0.00421940928270042,0,0.00843881856540084,0.00421940928270042,0,0,0.0316455696202532,0.090717299578059,0,0.00632911392405063,0.00843881856540084,0,0.00421940928270042,0,0.00632911392405063,0.0126582278481013,0,0.0506329113924051,0.227848101265823,0.0253164556962025,0.0105485232067511,0,0,0,0,0.00421940928270042,0,0,0,0,0,0,0,0,0.00421940928270042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,6030,0,0.0324675324675325,0.012987012987013,0,0,0.467532467532468,0.012987012987013,0,0.0064935064935065,0.0064935064935065,0.00216450216450216,0,0.0346320346320346,0.132034632034632,0,0.0064935064935065,0.00432900432900433,0.00216450216450216,0.00216450216450216,0,0.0064935064935065,0.0173160173160173,0.00216450216450216,0.0735930735930736,0.0952380952380952,0.025974025974026,0.0194805194805195,0,0,0.00432900432900433,0,0,0,0.00432900432900433,0,0,0.00432900432900433,0.00216450216450216,0,0,0.0108225108225108,0.00216450216450216,0,0,0,0,0,0.00865800865800866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,6461,0,0.0332749562171629,0.0175131348511384,0.00175131348511384,0.00350262697022767,0.546409807355517,0.00350262697022767,0,0.00350262697022767,0.00350262697022767,0.00525394045534151,0.00175131348511384,0.0245183887915937,0.115586690017513,0,0.0140105078809107,0.00700525394045534,0,0.00175131348511384,0,0.00525394045534151,0.0472854640980736,0.00350262697022767,0.0157618213660245,0.0788091068301226,0.00525394045534151,0.0385288966725044,0,0.00175131348511384,0,0,0.00175131348511384,0,0,0,0.00175131348511384,0,0.00175131348511384,0.00350262697022767,0,0.010507880910683,0.00175131348511384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,6892,0,0.031986531986532,0.0218855218855219,0,0,0.552188552188552,0.00841750841750842,0,0.00673400673400673,0.00841750841750842,0,0,0.0336700336700337,0.0656565656565657,0.00673400673400673,0.0269360269360269,0.0101010101010101,0,0.00168350168350168,0,0.00168350168350168,0.0151515151515152,0.00168350168350168,0.0892255892255892,0.063973063973064,0.00673400673400673,0.0202020202020202,0,0.00168350168350168,0.00168350168350168,0,0.00505050505050505,0,0.00673400673400673,0,0,0,0,0.00336700336700337,0,0.00336700336700337,0,0.00168350168350168,0,0.00168350168350168,0,0,0,0.00168350168350168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,7322,0.0021505376344086,0.0064516129032258,0.0516129032258065,0,0.0021505376344086,0.653763440860215,0.0064516129032258,0,0.0021505376344086,0.0021505376344086,0,0.0021505376344086,0.0344086021505376,0.0473118279569892,0.0021505376344086,0.0301075268817204,0.0043010752688172,0.0021505376344086,0.0021505376344086,0,0,0.00860215053763441,0.010752688172043,0.0473118279569892,0.0301075268817204,0.0021505376344086,0.0301075268817204,0,0,0,0,0.0021505376344086,0.0021505376344086,0,0,0.0021505376344086,0,0,0,0,0.0021505376344086,0,0,0.00860215053763441,0.0021505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7753,0,0.00607287449392713,0.105263157894737,0,0,0.564777327935223,0.01417004048583,0,0,0.00202429149797571,0.00607287449392713,0,0.0323886639676113,0.0506072874493927,0.00607287449392713,0.00809716599190283,0.00202429149797571,0,0,0,0.00404858299595142,0.0445344129554656,0.00202429149797571,0.0445344129554656,0.0323886639676113,0,0.0364372469635627,0,0,0,0.00202429149797571,0.00202429149797571,0,0,0,0,0,0.00404858299595142,0,0,0.00607287449392713,0.00404858299595142,0,0.0161943319838057,0,0,0,0,0,0.00202429149797571,0.00202429149797571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,8184,0,0.00811688311688312,0.112012987012987,0,0.00324675324675325,0.608766233766234,0.00162337662337662,0,0,0.00324675324675325,0.00324675324675325,0,0.0227272727272727,0.0438311688311688,0.0113636363636364,0.0162337662337662,0.00324675324675325,0,0.00487012987012987,0,0.00487012987012987,0.0422077922077922,0.00162337662337662,0.0308441558441558,0.00974025974025974,0.00162337662337662,0.0194805194805195,0.00324675324675325,0,0,0.00487012987012987,0.00487012987012987,0,0.0064935064935065,0,0,0,0,0,0,0.00487012987012987,0,0,0.0194805194805195,0.00162337662337662,0,0,0,0,0,0,0.00162337662337662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,8614,0,0.016750418760469,0.180904522613065,0.0016750418760469,0,0.50251256281407,0.0067001675041876,0,0,0.0083752093802345,0,0.0033500837520938,0.0134003350083752,0.0586264656616415,0.0301507537688442,0.0234505862646566,0.0016750418760469,0,0.0033500837520938,0,0,0.0318257956448911,0,0.0268006700167504,0.0234505862646566,0,0.0201005025125628,0.0033500837520938,0,0.0016750418760469,0.0050251256281407,0.0050251256281407,0,0.0016750418760469,0,0,0,0.0016750418760469,0,0,0.0083752093802345,0,0,0.016750418760469,0,0,0,0,0,0,0.0016750418760469,0,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,9045,0,0.0132450331125828,0.36158940397351,0,0.00132450331125828,0.396026490066225,0.0105960264900662,0.00132450331125828,0,0,0.00132450331125828,0.00132450331125828,0.0384105960264901,0.0370860927152318,0.0145695364238411,0.0172185430463576,0.00132450331125828,0,0.00264900662251656,0,0.00397350993377483,0.0105960264900662,0,0.0384105960264901,0.00927152317880795,0.00264900662251656,0.0211920529801325,0.00132450331125828,0,0,0.00264900662251656,0.00132450331125828,0,0.00132450331125828,0,0,0,0.00132450331125828,0,0,0,0,0.00132450331125828,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,9476,0,0.0217821782178218,0.461386138613861,0,0.00396039603960396,0.156435643564356,0.0099009900990099,0,0,0.00396039603960396,0,0,0.0752475247524752,0.0178217821782178,0.0594059405940594,0.0356435643564356,0.00792079207920792,0.00198019801980198,0.0217821782178218,0,0.00198019801980198,0,0,0.0158415841584158,0.00594059405940594,0,0.0673267326732673,0.00198019801980198,0,0,0.00396039603960396,0.00396039603960396,0,0,0,0,0,0,0,0,0,0.0118811881188119,0,0.0099009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,9627,0,0.00563380281690141,0.132394366197183,0.0028169014084507,0.0028169014084507,0.354929577464789,0.0197183098591549,0,0.0028169014084507,0,0,0,0.138028169014085,0.0112676056338028,0.129577464788732,0.0253521126760563,0.00563380281690141,0,0.00845070422535211,0,0.00563380281690141,0.0028169014084507,0,0.0253521126760563,0.0253521126760563,0.0028169014084507,0.0169014084507042,0.0028169014084507,0,0,0.0140845070422535,0.00845070422535211,0,0.0028169014084507,0,0.0028169014084507,0,0.00563380281690141,0,0,0,0.0028169014084507,0,0.0394366197183099,0,0,0,0,0,0,0,0,0,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,9777,0,0.00218340611353712,0.0305676855895196,0.00218340611353712,0.00655021834061135,0.478165938864629,0.0283842794759825,0,0,0.0109170305676856,0,0,0.0109170305676856,0.0174672489082969,0.12882096069869,0.0240174672489083,0.0152838427947598,0,0.106986899563319,0,0.0109170305676856,0,0.00218340611353712,0.0262008733624454,0.0131004366812227,0,0.00436681222707424,0.0196506550218341,0,0.00873362445414847,0.0349344978165939,0,0,0.00218340611353712,0,0,0,0.00218340611353712,0,0.00218340611353712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218340611353712,0.00436681222707424,0.00218340611353712,0.00218340611353712,0,0,0,0,0,0,0,0,0,0,0,0,0
460,9907,0,0.00175746924428822,0.0246045694200351,0.00175746924428822,0.0140597539543058,0.555360281195079,0.0263620386643234,0,0,0.00351493848857645,0.00175746924428822,0,0.00878734622144113,0.0140597539543058,0.114235500878735,0.0298769771528998,0.00527240773286467,0.00175746924428822,0.0650263620386643,0,0.00878734622144113,0.00175746924428822,0,0.0140597539543058,0.0175746924428823,0,0.0070298769771529,0.015817223198594,0,0.00527240773286467,0.0439367311072056,0.00351493848857645,0.00175746924428822,0.00351493848857645,0,0,0,0.00175746924428822,0,0,0,0,0,0.00175746924428822,0,0,0,0,0.00175746924428822,0,0,0,0,0.00175746924428822,0.00175746924428822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,10057,0,0,0.0174129353233831,0,0.0373134328358209,0.59452736318408,0.0223880597014925,0,0,0.0099502487562189,0,0,0.00248756218905473,0.0149253731343284,0.164179104477612,0.00497512437810945,0.00746268656716418,0,0.0149253731343284,0,0.0124378109452736,0,0,0.027363184079602,0.0124378109452736,0,0.00248756218905473,0.0174129353233831,0,0,0.0149253731343284,0.00248756218905473,0,0.00497512437810945,0,0,0,0.00746268656716418,0,0,0.00248756218905473,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,10208,0,0,0.0135135135135135,0.00540540540540541,0.027027027027027,0.645945945945946,0.0432432432432432,0.0027027027027027,0,0.0027027027027027,0,0,0.0162162162162162,0.00540540540540541,0.0756756756756757,0.0189189189189189,0.00810810810810811,0,0.0027027027027027,0,0.0189189189189189,0,0,0.0189189189189189,0.0216216216216216,0,0.0027027027027027,0,0,0,0.0621621621621622,0.0027027027027027,0,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027027027027027,0,0,0,0,0,0,0,0,0,0,0,0
480,10337,0,0.00176991150442478,0.0212389380530973,0,0.104424778761062,0.454867256637168,0.0973451327433628,0,0,0,0,0,0.0247787610619469,0.0212389380530973,0.0265486725663717,0.015929203539823,0.00176991150442478,0.00707964601769911,0.00353982300884956,0,0.0353982300884956,0.00353982300884956,0,0.0389380530973451,0.015929203539823,0,0.00707964601769911,0,0.00176991150442478,0,0.0920353982300885,0.00176991150442478,0,0,0,0.00353982300884956,0,0.0088495575221239,0,0,0,0.00707964601769911,0,0.00176991150442478,0,0,0,0,0,0,0,0,0,0,0,0.00176991150442478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,10553,0,0.00315457413249211,0.0189274447949527,0,0.00315457413249211,0.0347003154574132,0.621451104100946,0,0.00315457413249211,0,0,0,0,0.028391167192429,0.00315457413249211,0.00630914826498423,0.00315457413249211,0.00946372239747634,0,0,0.0946372239747634,0,0.00630914826498423,0.028391167192429,0.00946372239747634,0.0126182965299685,0.00315457413249211,0.00315457413249211,0,0,0.0536277602523659,0,0,0,0,0,0,0.00946372239747634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0.00630914826498423,0,0,0,0,0.00315457413249211,0.028391167192429,0.00315457413249211,0,0,0,0,0,0,0,0,0,0
497,10703,0,0.00659340659340659,0.0043956043956044,0.0043956043956044,0.010989010989011,0.0615384615384615,0.151648351648352,0,0,0.00879120879120879,0.00659340659340659,0,0.0835164835164835,0.0395604395604396,0.00659340659340659,0.010989010989011,0.0043956043956044,0.0373626373626374,0.00659340659340659,0,0.215384615384615,0.0043956043956044,0,0.103296703296703,0.0043956043956044,0,0.0241758241758242,0,0,0,0.138461538461538,0,0.0021978021978022,0,0,0,0,0,0,0,0,0,0.0021978021978022,0,0,0,0,0,0.0153846153846154,0.0021978021978022,0,0,0,0.032967032967033,0,0,0,0.0021978021978022,0,0,0,0.00659340659340659,0.0021978021978022,0,0,0,0,0,0,0,0
500,10768,0,0.00413223140495868,0.00413223140495868,0,0.00619834710743802,0.0475206611570248,0.37396694214876,0.00413223140495868,0.00206611570247934,0,0.00206611570247934,0,0.0330578512396694,0.0206611570247934,0,0.00826446280991736,0.00206611570247934,0.0371900826446281,0.00413223140495868,0,0.12603305785124,0.00206611570247934,0.00206611570247934,0.0351239669421488,0.00619834710743802,0,0.0185950413223141,0,0,0,0.206611570247934,0,0,0,0,0,0,0.0144628099173554,0,0,0,0,0,0,0.00206611570247934,0,0,0,0.00619834710743802,0.00413223140495868,0,0,0,0.00826446280991736,0,0,0,0,0,0,0.00206611570247934,0,0.00206611570247934,0.00206611570247934,0.0103305785123967,0.00206611570247934,0,0,0,0,0
504,NA,0,0,0.0225225225225225,0,0.0315315315315315,0.072072072072072,0.130630630630631,0,0,0,0,0,0.0585585585585586,0.0135135135135135,0.018018018018018,0.0225225225225225,0.0135135135135135,0.0135135135135135,0.009009009009009,0,0.072072072072072,0,0,0.0315315315315315,0,0,0.0315315315315315,0,0,0,0.297297297297297,0,0,0,0,0,0,0.0585585585585586,0,0,0,0,0.072072072072072,0,0,0,0,0,0,0,0,0,0,0.0045045045045045,0,0.018018018018018,0,0,0,0,0,0,0,0,0,0,0.0045045045045045,0.0045045045045045,0,0,0
510,NA,0,0.00583090379008746,0.00583090379008746,0.0145772594752187,0.032069970845481,0.110787172011662,0.110787172011662,0,0,0.032069970845481,0.0116618075801749,0,0.0087463556851312,0.0233236151603499,0.0495626822157434,0.0524781341107872,0.00291545189504373,0.0087463556851312,0.0087463556851312,0,0.0670553935860058,0,0,0.0204081632653061,0,0,0.0116618075801749,0.0174927113702624,0,0,0.215743440233236,0,0,0.0145772594752187,0,0,0,0.0145772594752187,0,0,0,0,0.0845481049562682,0,0,0,0,0,0.0116618075801749,0.00291545189504373,0,0,0,0.00291545189504373,0,0.0204081632653061,0,0,0,0,0,0,0.00291545189504373,0,0,0,0.0116618075801749,0,0.0233236151603499,0,0
517,NA,0,0.00656455142231947,0.0153172866520788,0.0175054704595186,0.0131291028446389,0.0940919037199125,0.0897155361050328,0.00218818380743982,0,0.0175054704595186,0.00218818380743982,0,0.118161925601751,0.0831509846827133,0.00656455142231947,0.0722100656455142,0.00218818380743982,0.0153172866520788,0.00218818380743982,0,0.0787746170678337,0.00218818380743982,0,0.242888402625821,0.00437636761487965,0,0.0328227571115974,0,0.00437636761487965,0,0.00656455142231947,0,0,0.00218818380743982,0,0,0,0.0087527352297593,0,0,0,0,0.0131291028446389,0,0,0,0,0.00437636761487965,0,0,0,0,0,0.0109409190371991,0,0.0240700218818381,0,0,0,0,0,0,0,0,0,0,0.00218818380743982,0,0,0.00218818380743982,0.00218818380743982
521,NA,0,0.0403225806451613,0.032258064516129,0,0.00806451612903226,0.120967741935484,0.104838709677419,0,0,0,0.0161290322580645,0,0.0161290322580645,0.129032258064516,0.00806451612903226,0.0483870967741935,0,0,0.00806451612903226,0,0.169354838709677,0,0,0.112903225806452,0,0,0.153225806451613,0,0,0,0.0161290322580645,0,0,0,0,0,0,0.00806451612903226,0,0,0,0,0,0,0,0,0.00806451612903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
