"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Indeterminable","Juglans.cinerea","Larix","Lycopodium.type","Myrica.gale","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Sagittaria","Salix","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tsuga","Typha.latifolia","Ulmus","Unknown"
190,6937,2,0,0,1,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,64,124,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0
200,7271,2,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,1,4,30,146,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,5,0
210,7647,1,0,3,0,0,0,0,12,0,0,0,0,0,6,1,0,0,0,1,1,1,0,0,2,2,0,1,0,3,4,1,35,141,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0
220,8033,1,0,4,0,2,2,2,24,0,0,0,0,1,10,2,1,0,0,0,2,2,0,2,2,3,0,2,0,0,3,3,45,110,0,1,0,0,4,6,0,0,1,1,0,0,0,0,1,1,1,0
230,8420,1,1,2,0,2,0,2,37,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,7,0,0,3,8,112,23,0,0,1,0,1,10,0,0,2,0,0,0,0,0,0,0,1,0
240,8806,3,0,7,0,4,1,0,54,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,8,0,8,0,0,4,7,84,38,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,0
250,9193,2,0,8,0,3,2,0,46,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,10,0,6,0,0,1,7,131,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,1,1
260,9579,0,0,1,0,3,0,4,56,0,0,0,1,1,2,0,0,0,0,0,2,1,0,3,1,3,0,9,0,0,4,12,108,5,0,1,1,0,2,7,1,0,1,1,0,1,0,0,0,0,1,1
270,9966,0,1,7,2,3,4,1,51,0,0,0,0,1,7,0,0,0,0,0,0,6,0,3,0,4,0,0,0,0,9,25,93,0,0,0,0,0,0,13,0,0,4,3,0,3,0,0,0,0,5,0
280,10352,0,1,6,1,0,4,0,31,0,0,1,1,2,1,0,6,0,0,0,2,5,1,4,0,5,0,0,0,0,5,29,105,3,0,2,0,0,1,10,2,0,4,3,0,4,0,0,1,0,3,0
290,10739,0,0,5,1,5,1,0,44,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,9,0,2,0,0,8,10,101,13,2,1,2,0,3,8,0,0,3,0,0,0,0,1,0,0,6,0
300,11125,0,0,3,0,3,2,2,57,0,0,1,0,1,0,1,1,0,0,0,2,5,0,1,0,16,0,0,0,0,3,16,94,3,0,1,2,0,1,15,4,0,5,5,0,0,0,0,1,0,4,0
310,NA,0,0,3,4,1,4,1,51,0,0,1,0,3,0,1,2,0,0,0,3,2,0,1,0,8,1,0,0,0,3,40,85,0,0,0,0,0,1,12,2,0,3,1,0,2,0,0,0,0,1,0
320,NA,1,0,4,0,2,5,1,46,0,0,0,0,0,3,0,8,0,0,0,0,2,1,6,0,0,0,0,0,0,3,36,82,4,0,0,3,0,1,15,0,0,9,5,0,3,0,0,0,0,3,2
330,NA,0,0,7,0,7,1,0,23,0,0,0,0,0,2,0,2,0,0,0,1,0,0,2,0,1,1,0,0,0,3,94,49,3,0,0,2,0,2,19,0,0,1,3,0,1,0,0,0,0,4,0
335,NA,0,0,4,2,2,1,1,24,0,0,1,0,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,105,32,4,0,1,5,0,2,16,0,0,0,1,0,0,0,0,0,0,5,1
340,NA,0,0,4,0,1,6,1,10,0,0,1,0,0,12,2,0,0,0,0,2,2,0,1,0,4,0,0,0,0,9,95,47,3,0,0,2,1,0,18,0,0,0,3,0,0,0,0,0,0,12,1
345,NA,0,1,0,1,0,5,0,8,4,0,2,0,8,5,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,3,107,35,5,1,0,4,0,0,17,0,0,0,3,0,0,0,0,1,0,8,2
350,NA,1,0,2,1,2,11,2,8,0,0,1,0,18,15,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,3,56,59,3,0,2,18,2,5,25,0,0,0,1,1,0,2,0,0,0,7,0
355,NA,1,1,1,0,2,10,1,34,0,0,1,0,20,0,0,1,1,0,1,0,21,0,0,0,0,0,0,0,0,4,27,57,2,3,7,24,0,0,15,0,0,0,4,0,0,0,0,0,0,10,6
370,NA,0,0,2,0,3,3,0,15,0,0,0,0,2,2,1,0,1,0,0,0,12,0,0,1,0,0,0,0,0,0,15,39,2,0,2,9,0,1,7,0,0,0,1,1,0,1,0,0,0,11,11
