"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Portulaca","Rosaceae","Rumex","Thalictrum","Xanthium","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Isoëtes","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
21,119,0,6,11,3,165,11,19,0,0,0,3,0,46,6,0,0,2,2,2,0,0,0,0,11,0,3,3,3,24,50,0,1,107,0,1,0,53,5,0,19,0,5,0,2,5,0,0,0,29,0,0,0,14,0,0,0,1,3,2,0,0,0,2,2,13,0
23,135,0,3,3,3,155,3,16,1,0,0,3,3,50,2,0,0,2,3,0,0,0,0,0,8,0,2,4,3,31,59,0,0,105,0,0,0,75,5,0,22,1,2,0,2,3,0,1,0,14,0,0,0,12,0,0,0,2,0,6,0,0,0,2,3,8,0
25,150,0,8,16,6,170,3,27,0,0,0,6,3,50,7,0,0,0,1,0,0,0,0,0,8,0,0,3,6,17,44,3,2,97,0,2,0,64,6,0,19,0,0,2,3,2,0,0,0,22,0,0,0,8,1,0,0,0,2,6,0,0,0,3,1,10,0
27,166,0,0,5,2,163,6,16,0,0,0,0,0,48,9,0,0,2,1,0,0,0,0,0,5,0,3,2,3,26,70,3,3,79,0,0,0,73,8,0,28,0,0,0,3,2,0,0,0,22,0,0,0,16,0,0,0,0,0,6,0,0,0,0,3,12,1
29,182,0,3,8,6,154,5,17,0,1,0,3,2,58,11,0,0,0,2,2,0,0,0,0,3,0,2,2,5,34,50,0,4,93,0,0,0,66,2,0,15,0,0,1,0,5,0,0,1,9,0,0,0,11,0,0,1,0,2,6,0,2,0,2,2,7,0
31,198,0,2,9,7,145,5,16,0,0,0,0,3,62,4,2,0,1,0,0,0,0,0,0,6,0,3,6,7,37,40,3,0,111,0,0,0,52,2,0,10,0,0,0,0,2,0,0,0,15,0,0,0,14,0,0,0,0,1,4,0,0,0,0,3,16,1
33,220,0,3,12,2,133,6,11,0,0,0,2,3,64,2,2,0,3,1,0,0,0,0,0,3,0,2,0,6,45,50,0,0,95,0,0,0,68,3,1,5,0,2,0,2,3,0,0,1,8,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,5,0
35,251,0,3,17,3,144,2,21,0,0,1,3,4,85,11,2,0,0,9,0,0,0,0,0,3,0,1,1,9,23,41,1,0,74,0,0,0,83,8,0,5,1,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,8,0,0,0,3,2,12,0
37,281,0,5,9,2,151,3,24,3,0,0,6,0,60,8,0,0,1,0,0,0,0,0,0,8,0,2,4,5,27,41,0,1,83,0,0,0,91,3,0,6,0,0,0,0,2,0,0,0,14,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,7,2
39,312,0,3,14,2,127,2,13,3,0,0,3,1,64,8,1,1,2,1,2,0,0,1,0,9,0,1,5,16,52,38,0,0,91,0,0,0,80,5,0,5,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,6,0,0,0,2,0,4,0
41,342,0,6,8,0,137,0,20,1,0,0,2,0,61,3,1,0,0,0,0,0,0,0,0,3,0,5,5,11,19,73,0,0,86,0,0,0,90,5,0,6,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,12,0
43,373,0,2,11,6,146,5,21,0,0,0,2,2,69,4,0,0,1,2,0,0,0,0,0,9,0,3,0,6,11,71,2,0,80,0,0,0,65,4,0,4,0,0,0,0,3,0,0,0,2,0,0,0,1,1,0,0,0,3,6,0,2,0,0,0,13,0
45,403,0,1,6,3,112,2,32,0,0,0,4,0,77,2,0,0,6,1,1,0,0,0,0,4,0,5,3,8,13,70,2,0,94,0,0,0,83,5,0,2,1,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,2,3,0,0,0,0,2,19,0
47,434,0,0,5,11,124,2,24,0,0,0,2,2,70,8,3,0,3,2,0,0,0,0,0,8,0,2,0,3,13,59,6,0,87,0,0,0,103,6,0,4,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,9,2,0,0,1,0,13,0
49,464,0,4,8,3,154,5,17,1,0,0,5,0,78,3,0,0,1,6,0,0,0,0,0,4,0,2,4,11,35,50,0,0,86,0,0,0,70,0,0,6,0,0,0,2,3,0,0,0,5,0,0,0,3,0,0,0,0,1,5,0,0,0,0,2,12,0
51,495,0,2,7,3,132,3,13,1,0,1,2,2,91,5,5,0,2,3,0,0,0,0,0,6,0,9,3,8,20,31,2,3,96,0,0,0,96,3,0,2,0,0,0,1,2,0,0,0,3,0,0,0,3,0,0,2,0,2,6,0,0,0,1,2,4,0
53,524,0,3,23,3,139,2,11,0,0,1,0,2,119,3,0,0,0,5,0,0,0,0,0,6,0,2,3,2,5,34,3,0,67,0,0,0,108,2,0,5,0,2,0,2,0,0,0,0,3,0,0,0,2,1,0,2,0,0,3,0,0,0,0,2,15,0
55,553,0,2,11,6,157,8,9,0,0,0,0,0,116,8,0,0,0,5,2,0,0,1,0,6,0,0,2,0,2,29,1,0,40,0,0,1,149,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,14,1
57,581,0,3,10,5,119,6,8,1,0,0,1,0,133,3,0,2,4,1,0,0,0,0,0,8,0,2,0,0,0,36,1,3,63,0,0,0,130,5,0,2,0,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,16,1
59,610,0,2,3,2,107,6,12,0,0,0,0,2,125,2,2,0,0,5,0,0,0,1,0,0,1,5,2,0,12,21,0,0,59,8,0,2,153,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,2,0
61,639,0,0,9,6,117,3,5,0,0,0,0,2,127,2,5,0,3,6,0,0,0,0,0,3,0,3,0,2,18,15,2,0,55,0,0,0,150,3,1,3,2,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,2,1,3,0
63,668,0,2,12,5,107,2,13,1,0,0,0,3,132,5,0,0,1,0,3,0,0,0,0,6,0,5,2,16,11,23,0,0,56,0,0,0,130,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,14,0
65,697,0,0,10,3,156,3,7,1,0,2,0,2,97,12,1,0,0,3,0,0,0,0,0,3,1,0,0,2,10,32,3,0,38,0,0,2,153,5,1,4,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,3,3,0,0,0,0,0,7,0
67,726,0,5,11,3,137,2,10,0,0,0,2,0,111,2,2,0,3,2,1,0,0,0,0,6,0,0,2,5,13,26,2,0,45,0,0,2,130,4,1,5,2,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,2,2,2,0,0,0,0,0,8,2
69,755,0,3,12,3,141,1,13,0,0,0,2,0,90,5,0,0,1,3,0,0,0,0,0,3,0,0,3,2,15,20,3,1,48,0,0,2,143,2,0,5,0,0,0,0,2,0,0,0,2,0,0,0,2,1,0,1,0,2,2,0,0,0,0,0,3,3
71,784,0,8,2,0,121,3,7,0,0,0,0,2,105,10,2,2,1,2,0,0,0,0,0,3,0,0,2,6,13,30,0,1,63,0,0,0,134,2,0,5,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1
73,813,0,0,7,2,136,3,6,0,0,0,2,2,112,3,0,0,0,0,3,0,0,0,0,5,0,2,0,0,18,31,1,0,49,0,0,0,128,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,3,0,0,1,0,0,9,0
75,842,0,3,14,3,125,0,10,0,0,0,2,0,115,6,3,0,0,2,2,0,0,0,0,3,1,3,0,3,16,31,0,0,75,0,0,4,119,5,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,11,0
77,868,0,0,5,2,136,5,8,0,0,0,0,0,112,2,0,0,3,2,0,0,0,0,0,2,0,0,2,0,23,27,2,0,57,0,0,1,139,3,0,5,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,14,0
79,894,0,2,12,3,131,8,11,1,0,0,2,0,102,4,5,0,0,2,2,0,0,0,0,6,0,2,2,0,9,29,1,2,65,0,1,3,119,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,9,1
81,920,0,3,9,5,110,0,2,0,0,0,0,0,113,8,0,0,3,5,0,0,0,0,0,0,0,2,2,2,26,30,4,0,74,0,0,0,120,0,1,3,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,4,1
83,946,0,0,10,2,149,3,8,0,0,3,2,0,127,3,2,0,0,2,2,0,0,0,0,9,0,5,2,5,17,30,0,0,48,0,1,0,113,5,0,3,0,0,0,0,6,0,0,0,2,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,8,0
85,972,0,4,7,2,140,5,12,0,0,0,0,0,119,12,2,0,0,3,2,0,0,0,0,8,0,2,2,3,6,32,3,1,53,0,0,2,115,6,1,2,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,14,0
87,998,0,5,7,2,143,2,6,0,0,0,0,0,98,2,2,0,1,0,0,0,0,0,0,8,0,3,2,0,6,28,0,0,66,0,0,2,138,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,8,1
89,1024,1,2,9,2,145,3,0,0,0,0,2,0,87,2,0,0,0,2,1,0,0,0,0,0,0,3,2,5,20,38,2,0,53,0,0,4,149,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0
91,1050,0,8,5,6,120,3,6,0,0,1,0,7,104,3,0,2,2,5,0,0,0,0,0,2,1,3,6,6,13,28,2,0,83,0,0,0,134,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2
93,1077,0,2,3,2,111,5,5,0,0,0,0,2,101,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,11,40,0,0,69,0,0,2,165,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
95,1088,0,2,3,2,138,5,6,1,0,0,0,0,91,8,0,0,1,2,0,0,0,0,0,3,0,2,0,3,11,40,2,0,75,0,0,2,156,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,12,0
97,1099,0,10,10,5,85,3,6,0,0,0,0,0,114,5,1,0,0,8,0,0,0,1,0,3,0,2,1,2,24,30,0,0,72,0,0,1,152,3,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0
99,1111,0,0,10,4,107,5,1,0,0,0,2,0,94,5,2,0,1,5,0,0,0,0,0,2,0,2,2,3,26,14,0,0,74,0,0,2,150,2,1,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,1
101,1122,0,6,10,2,142,3,10,1,0,0,0,0,95,13,3,0,1,2,0,0,0,0,0,3,0,2,0,5,11,42,0,0,66,0,0,0,135,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12,1
103,1133,0,8,3,0,137,6,8,1,0,2,0,0,84,7,0,0,2,5,2,0,0,0,0,8,0,3,4,0,5,33,0,0,50,0,0,2,165,4,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,16,1
105,1145,0,6,6,6,133,0,5,2,0,0,2,3,114,4,3,0,0,0,0,0,0,0,0,5,0,2,0,2,14,33,2,0,69,0,1,2,115,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,11,0
107,1156,0,5,11,6,133,3,2,4,0,0,2,0,99,2,2,0,1,5,1,0,0,0,0,1,0,2,1,2,11,46,3,0,62,0,0,0,137,3,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,13,2
109,1167,1,5,6,2,142,3,3,3,0,0,0,5,106,10,1,0,3,3,0,0,0,0,0,10,0,3,6,2,13,22,2,0,67,0,0,1,115,3,0,4,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,11,0
111,1178,1,9,5,0,138,3,8,2,0,0,0,0,112,6,0,0,0,2,0,2,2,0,0,6,1,3,1,3,10,26,2,0,86,0,2,0,139,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,15,0
113,1190,1,5,4,0,131,2,10,0,0,0,2,0,110,6,0,0,1,3,0,0,0,0,0,0,0,2,2,3,13,24,3,0,70,0,0,2,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,11,0
115,1201,0,3,6,6,117,3,6,3,0,0,0,2,98,16,0,1,3,0,2,0,0,0,0,2,0,10,2,3,6,30,2,0,59,0,0,0,134,5,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,12,0
117,1212,0,2,2,3,154,0,5,0,0,0,2,0,94,5,2,1,3,2,0,0,0,1,0,3,0,2,2,1,13,30,0,0,82,0,0,0,130,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,17,1
119,1224,0,6,14,0,113,5,8,1,0,0,0,0,101,10,5,0,3,0,0,0,0,0,0,6,0,3,2,4,13,35,3,0,75,0,0,0,134,6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0
121,1235,0,5,6,3,126,2,8,3,0,0,0,0,122,5,2,0,1,0,4,0,0,0,0,4,0,6,1,5,18,26,1,0,50,0,0,2,138,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,11,1
