"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Rhus","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Iva.undiff.","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Primula.type","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Polypodium","Pteridium","Thelypteris.palustris","Woodsia","Sphagnum","Brasenia.schreberi","Eriocaulon","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
40,513,0,19,6,1,4,0,1,0,57,0,15,4,0,0,6,0,0,1,4,53,4,4,1,4,0,0,0,0,0,0,58,8,16,5,10,4,30,0,2,234,1,1,0,0,0,0,16,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,11,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,1,0,0,2,8,0,0,2,1,4,3,1,7,2,2
44,583,0,27,13,0,5,0,0,0,54,0,22,2,0,0,12,0,0,0,11,72,8,4,0,2,1,0,0,0,0,0,61,22,25,8,5,7,48,2,1,246,0,0,0,0,0,0,20,5,0,3,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,9,0,0,2,0,3,0,0,2,4,0,0,7,1,3,1,3,5,3,2
48,653,0,29,3,2,0,1,0,0,52,0,8,3,0,0,13,0,0,0,6,63,2,2,0,1,0,0,0,0,1,0,69,8,11,6,10,6,29,3,0,195,1,0,0,0,0,0,20,7,0,3,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,6,0,0,4,0,0,5,1,3,0,1
52,722,0,18,5,0,3,0,0,0,34,1,21,2,0,0,11,0,0,3,4,39,2,1,1,4,0,0,1,0,0,0,61,17,20,3,10,4,28,2,0,233,0,0,1,0,0,0,17,7,0,1,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,1,0,0,1,6,0,0,4,0,4,7,3,4,4,3
56,786,1,16,4,2,5,0,0,0,46,1,10,1,0,0,3,0,0,1,2,51,1,2,0,1,1,1,0,0,1,0,77,19,10,0,14,2,24,4,0,190,1,0,0,0,0,0,13,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,1,7,0,0,5,0,0,5,2,3,6,1
60,851,1,18,4,0,2,1,1,0,56,0,20,1,0,0,4,0,0,3,7,57,7,0,1,0,1,0,1,0,0,0,63,19,14,2,8,6,22,5,0,206,0,0,0,0,0,1,11,5,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,3,0,0,1,2,0,0,3,0,1,4,2,6,4,0
64,916,0,17,5,2,8,0,0,0,46,1,32,3,0,0,3,0,2,0,3,46,5,2,0,1,1,0,0,0,2,0,69,15,7,3,6,3,22,0,0,272,0,0,0,0,0,2,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,3,0,0,6,1,1,5,2,11,3,1
68,980,0,12,7,0,1,0,0,0,43,0,19,0,0,0,3,1,0,0,3,32,4,3,0,0,0,0,2,0,0,0,74,29,5,2,12,2,19,3,0,247,0,0,0,0,0,1,20,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,8,0,0,6,0,2,2,0,14,2,4
72,1045,0,13,2,0,12,0,1,0,31,0,12,1,0,0,3,0,3,6,6,32,4,0,0,1,0,0,0,0,2,0,69,13,11,1,4,2,14,3,0,240,0,0,0,0,0,0,21,2,0,1,1,2,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,1,9,4,1
76,1110,1,16,5,2,7,0,0,0,44,1,12,1,0,0,2,0,0,0,2,35,2,3,2,2,1,0,0,0,2,0,64,17,7,2,8,3,30,4,0,268,0,1,0,0,0,1,36,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,2,2,0,0,9,2,2,3,1,14,1,0
80,1175,0,10,3,0,4,0,0,0,41,0,7,1,0,0,3,0,1,4,8,34,1,1,0,1,0,0,0,0,0,0,60,9,2,0,6,2,24,2,0,260,0,0,2,0,0,0,20,6,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,11,0,3,6,2,17,2,1
84,1237,0,11,6,0,5,0,0,0,38,1,16,1,0,0,3,0,0,0,5,31,3,0,1,0,0,0,0,0,0,0,127,2,12,2,6,1,26,2,0,204,1,0,0,0,0,0,14,6,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,0,0,1,0,3,0,0,0,2,0,0,10,0,4,1,0,12,0,1
88,1298,0,10,3,0,6,0,0,0,26,1,14,3,0,0,7,0,4,3,5,17,1,0,0,0,0,0,0,0,0,0,135,10,4,0,6,2,24,0,0,232,0,0,1,0,0,0,6,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,4,0,2,0,0,1,2,0,0,11,0,3,11,4,7,2,1
92,1359,0,3,3,1,2,1,0,0,28,0,6,0,0,0,6,0,0,1,3,24,3,0,0,2,0,0,0,0,1,0,121,5,3,1,7,1,22,1,0,246,0,0,0,0,0,0,24,4,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,2,0,0,1,1,0,0,9,1,1,2,1,6,6,2
96,1420,0,12,7,0,2,0,0,0,43,1,15,0,0,0,6,0,0,4,0,30,4,1,0,0,0,0,0,0,1,0,141,2,4,0,8,0,18,3,0,283,0,1,1,0,0,0,14,7,0,1,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,1,7,0,0,17,0,2,6,0,12,2,2
100,1482,0,9,9,1,6,0,0,0,46,0,18,0,0,0,4,0,0,2,4,40,1,2,0,1,0,0,0,0,0,0,122,11,5,2,4,4,30,2,0,183,0,0,0,0,0,1,18,5,0,1,0,2,0,0,0,1,1,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,2,0,0,0,0,1,1,0,1,18,0,1,0,0,6,3,0
104,1543,0,6,9,0,3,0,1,0,49,0,16,4,0,0,4,0,0,3,2,43,3,1,1,0,0,0,0,0,0,0,111,7,13,1,4,1,30,2,0,196,0,0,0,0,0,0,25,4,0,1,1,0,0,0,0,2,1,0,0,1,0,0,3,0,0,8,0,3,0,0,0,0,0,0,1,0,1,0,0,0,2,0,6,0,0,1,0,0,0,0,1,2,0,0,14,0,3,7,1,14,1,1
108,1604,0,5,9,0,6,0,0,0,42,0,22,2,0,0,6,1,1,1,6,41,5,4,0,0,2,0,0,0,1,0,101,6,6,0,9,6,26,4,0,201,1,0,0,0,0,0,20,0,0,0,0,1,0,0,1,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,0,1,5,0,1,23,0,1,1,1,10,1,2
112,1665,0,10,8,0,2,0,1,0,56,0,15,1,0,0,5,0,0,3,1,61,3,3,1,1,0,0,0,0,1,0,105,8,10,1,6,2,18,2,0,181,0,0,0,0,0,0,18,2,0,2,0,2,0,0,2,3,1,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,18,1,0,10,0,19,2,1
116,1726,0,9,3,1,8,0,0,0,47,0,14,1,0,0,4,0,0,0,5,56,2,1,2,2,1,0,0,0,0,0,95,15,9,2,12,2,6,3,0,204,0,0,0,0,0,1,20,8,0,0,0,2,0,0,0,1,8,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,2,1,0,1,30,0,3,3,1,10,4,6
120,1788,0,16,8,0,6,0,0,0,30,1,9,3,0,0,7,0,1,9,3,60,3,1,0,1,2,0,0,0,1,0,103,18,11,2,3,2,12,1,0,165,0,0,0,0,0,1,21,9,0,2,0,2,0,0,0,2,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,2,0,0,1,2,0,0,16,1,2,11,5,10,0,3
124,1831,1,11,4,2,3,0,0,0,39,0,19,1,0,0,4,0,0,2,1,65,4,2,1,0,2,0,0,0,0,0,121,21,14,2,5,1,28,1,0,175,0,0,0,0,0,1,22,2,0,2,1,3,0,0,0,1,3,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,1,0,0,1,0,0,0,0,1,1,0,1,9,0,2,5,0,21,0,2
128,1869,0,24,4,2,4,0,0,0,53,0,12,2,0,0,7,0,0,4,9,50,7,2,2,2,1,0,0,0,0,0,89,13,8,1,2,5,30,2,0,165,0,1,0,0,0,0,14,5,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,6,0,0,1,0,1,0,0,0,1,0,0,15,0,6,8,2,9,4,2
132,1907,0,20,10,2,2,0,0,0,40,1,15,3,0,0,3,0,0,5,5,71,6,1,0,4,1,0,0,0,1,0,107,32,4,0,6,1,29,4,1,219,0,1,1,0,0,0,20,7,0,2,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,1,0,0,13,0,4,2,1,14,3,3
136,1945,0,21,3,0,7,0,0,0,34,0,8,0,0,0,9,0,0,6,3,79,2,3,1,0,0,0,0,0,1,0,98,17,8,2,8,5,31,2,0,190,0,0,0,0,0,1,15,9,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,2,2,0,0,11,1,3,5,1,5,6,3
140,1983,0,11,8,1,6,0,0,0,46,0,16,0,0,0,4,1,0,1,3,86,4,1,0,0,1,0,0,0,2,0,108,18,12,0,8,0,34,6,0,231,0,0,0,0,0,0,24,5,0,2,0,3,0,0,0,1,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,1,1,1,0,0,0,0,0,0,15,1,4,1,2,14,0,4
144,2021,0,16,6,1,3,0,0,0,44,0,13,1,0,0,7,0,0,4,5,73,5,1,0,2,0,0,0,0,0,0,78,13,5,0,2,4,27,3,0,186,2,0,0,0,0,0,22,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,1,0,0,0,0,2,0,0,15,0,1,4,3,7,1,6
148,2059,1,5,3,1,4,1,0,0,44,0,16,2,0,0,4,0,1,0,3,59,3,1,0,0,2,0,0,0,2,1,61,16,6,2,8,6,28,2,0,197,1,0,0,0,0,0,24,4,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,19,1,2,2,1,8,1,3
152,2096,0,16,4,0,8,0,0,0,47,0,21,1,0,0,3,0,1,10,7,70,8,2,0,1,0,0,0,0,0,0,93,12,14,0,4,4,22,4,0,197,0,0,0,0,0,0,12,9,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,1,0,0,0,0,0,1,30,0,1,6,1,3,6,2
156,2134,0,13,4,0,5,0,0,0,40,1,14,0,0,0,6,0,0,1,10,74,4,4,0,2,0,0,0,0,0,0,110,17,4,2,11,2,29,1,0,160,0,0,0,0,0,0,19,8,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,1,2,0,0,12,0,2,2,1,20,1,4
160,2172,0,16,2,1,6,0,0,0,41,0,9,1,0,0,8,0,0,5,5,80,3,2,0,0,0,0,0,0,0,0,107,16,9,1,3,3,26,4,0,199,0,1,1,0,0,1,16,2,0,1,0,1,0,0,0,0,5,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,2,0,0,0,7,0,1,4,0,1,8,0,4,4,2
164,2210,0,7,5,1,5,0,0,0,33,2,10,0,0,0,10,0,1,1,5,66,1,3,0,4,1,0,0,0,0,0,112,17,7,2,7,0,22,2,1,178,0,0,0,0,0,1,6,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,1,1,0,0,0,2,0,0,5,0,1,4,1,11,2,3
168,2248,0,10,4,0,2,0,0,0,41,0,10,1,0,0,12,0,0,4,6,69,8,1,0,0,2,0,0,0,0,0,101,11,10,2,4,5,30,2,0,183,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,0,3,4,2,0,0,1,3,0,0,3,0,2,5,6,10,0,3
172,2286,0,16,4,0,0,0,0,0,36,1,12,2,0,0,10,0,0,1,9,69,6,1,1,0,1,0,0,0,0,0,124,18,5,1,5,1,24,3,0,206,0,1,0,0,0,2,20,7,0,0,0,1,0,0,1,1,9,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,4,0,0,0,2,5,0,0,2,0,2,3,1,16,2,5
176,NA,0,11,6,0,2,0,0,0,55,0,12,3,0,0,10,0,1,7,8,62,1,3,1,0,1,0,0,0,1,0,115,13,2,0,1,2,25,1,0,190,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,0,0,2,2,0,0,0,0,2,0,0,10,0,5,6,1,5,2,10
