"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ostrya.Carpinus","Picea","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Pinus","Poaceae","Ambrosia.type","Potentilla.type","Quercus","Ranunculaceae.undiff.","Populus","Larix","Sarcobatus.vermiculatus","Galium","Rumex","Ulmus","Lamiaceae","Rosaceae.undiff.","Myrica","Ranunculus","Fraxinus","Fabaceae","Polygonum","Shepherdia.argentea","Saxifragaceae","Shepherdia.canadensis","Juglans","Ericaceae","Primulaceae","Acer","Caryophyllaceae","Apiaceae","Rubus","Urticaceae","Asteraceae.subf..Cichorioideae","Lonicera","Elaeagnus","Cupressaceae","Plantago"
330,7428,363,0,126,70,10,2,18,0,4,16,1,8,21,33,42,2,0,0,0,3,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
350,7889,322,0,96,58,19,1,27,0,9,10,2,7,20,25,33,2,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0
370,8351,298,0,129,26,20,1,11,0,7,5,1,5,24,15,43,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
390,8812,268,0,109,26,12,0,11,0,5,8,0,3,26,18,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
410,9273,312,0,142,18,23,0,20,0,6,8,1,5,24,10,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
430,9734,317,0,98,24,19,0,34,0,11,21,1,6,14,14,58,5,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
450,10195,243,0,106,35,26,0,9,0,15,8,0,4,9,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
470,10656,292,0,120,26,25,0,19,0,14,7,3,1,8,22,33,6,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
490,11117,380,0,156,21,27,0,28,0,12,16,3,2,25,16,64,4,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,11463,335,0,132,25,45,1,32,0,9,6,1,1,15,14,36,8,0,0,2,1,0,3,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
515,11693,374,0,140,24,36,1,52,0,41,9,1,4,3,16,31,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
525,11924,389,0,126,27,31,2,55,1,66,7,0,1,6,17,28,17,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,12154,329,0,116,24,20,2,32,0,54,10,3,1,7,17,23,11,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
545,12385,366,2,98,37,15,0,17,0,111,14,7,2,3,23,12,2,0,0,13,1,0,1,1,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
555,12616,289,1,92,61,20,2,16,0,40,18,2,4,4,3,16,2,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
560,12731,314,2,75,63,26,0,27,0,41,10,4,6,5,21,6,13,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,5
567,12892,287,0,34,57,14,1,26,0,86,8,1,4,3,10,16,11,0,0,0,5,0,2,0,0,2,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
570,12961,328,0,68,16,9,1,27,0,168,8,1,4,1,16,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
575,13077,322,0,24,25,1,0,46,0,203,7,0,0,1,3,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
580,13192,320,1,26,21,4,0,70,0,156,9,2,3,0,17,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
585,13307,368,0,4,13,0,0,64,0,282,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,13422,353,1,4,7,0,0,138,0,183,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
593,13492,210,1,1,1,0,0,1,0,195,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
