"sample.depths","sample.ages","Abies","Acer.negundo.type","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Brassicaceae","Campanula","Carya","Castanea","Celtis","Chenopodium.type","Cornus","Corylus","Cyperaceae","Dalea","Diphasiastrum.complanatum.type","Dracocephalum.type","Dryopteris.type","Ephedra.trifurca.type","Equisetum","Ericaceae","Euphorbia.subg..Chamaesyce","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.Cannabis.sativa","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.Thuja","Laportea.type","Larix","Lemna","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopus.type","Medicago","Melilotus.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Phlox","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.convolvulus","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae.type","Potentilla.type","Pteridium","Quercus","Ranunculus.type","Rhamnus","Rhus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Stachys.type","Thalictrum","Thelypteris.palustris.type","Tidestromia.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vicia.type","Vitis","Xanthium","Zanthoxylum"
345,196,0,1,1,0,28,12,15,0,0,11,4,0,28,0,0,0,7,0,1,3,0,9,28,0,0,0,5,1,1,0,0,0,0,9,0,1,0,0,1,0,0,0,1,0,8,0,9,0,0,0,0,1,0,0,0,0,2,0,0,0,86,0,2,4.5,4,6.5,0,2,230,0,0,0,11,0,2,0,0,170,0,0,1,1,1,0,2,0,0,0,4,0,0,2,0,0,11,2,0,25,0,0,6,0,0,0,0
355,218,0,0,0,0,11,10,11,1,0,6,1,0,20,1,0,0,4,0,0,3,1,7,18,1,0,0,7,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,4,1,0,59,0,2,4,1,12,0,3,86,0,0,0,7,0,0,0,0,125,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,8,0,0,24,0,0,4,0,0,0,0
375,265,0,0,0,0,10,3,8,0,0,10,4,0,59,2,0,0,4,1,0,1,0,9,22,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,64,0,0.5,3,3,14.5,0,4,65,0,0,0,9,0,7,0,0,154,0,0,0,1,0,1,6,0,1,0,0,0,0,0,1,0,7,1,1,25,0,1,3,0,0,0,0
395,316,0,2,0,0,2,4,4,0,0,4.5,2,0,19,2,0,0,2,0,0,1,0,14,7,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,2,2,0,32,0,0,1,10.5,3.5,0,0,24,0,0,0,3,0,4,0,0,97,0,0,0,2,0,1,3,0,1,0,0,0,0,0,0,0,6,0,1,16,2,0,2,0,0,0,0
405,344,0,0,0,0,1,8,14,0,1,11,6,0,9,1,0,0,1,0,0,4,0,4,38,1,0,0,7,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,2,0,19,0,2,4,2,21,0,1,41,0,0,0,0,0,2,0,0,209,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,3,0,0,4,2,0,0,0,0,0,0
425,404,1,0,0,0,1,5,17,0,0,8,4,0,16,3,0,0,4,0,2,5,0,4,28,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,9,0,0,6.5,10,19.5,0,2,54,0,0,0,1,0,6,1,0,189,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,4,1,1,2,1,0,0,0,0,0,0
445,470,0,0,0,0,0,8,16,0,1,9,4,0,11,1,0,1,2,0,1,2,2,9,19,0,0,0,3,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,2,3,2,15,0,1,62,0,0,0,1,0,1,0,0,182,0,0,1,1,0,0,6,0,0,0,0,1,0,1,0,0,1,0,1,2,0,0,0,0,2,0,0
485,618,0,0,1,0,0,5,6,0,0,9,2,0,18,0,0,1,1,0,0,2,0,1,19,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,4,2.5,14,0,0,201,0,0,0,0,0,0,0,1,122,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
545,872,0,0,1,0,1,8,12,1,0,15,4,0,14,0,0,0,0,0,0,2,0,0,14,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,5,2,4.5,0,2,146,0,0,0,2,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,1,8,2,0,1,0,1,0,0
605,1151,0,0,0,0,0,6,6,0,0,8,4,0,5,0,0,0,1,0,0,1,0,1,8,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0.5,5,6,0,0,108,0,0,0,1,2,0,0,0,93,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
665,1445,0,2,0,0,4,6,6,0,0,11,7,0,10,0,0,0,2,0,0,4,0,0,12,0,0,0,5,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,2,4,8.5,0,2,199,0,0,0,1,0,0,0,0,157,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,4,0,1,11,0,0,0,0,0,0,0
725,1740,0,0,0,0,1,5,15,0,0,7,4,0,13,0,0,0,1,0,0,0,0,3,18,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,19,0,0,0,1,11,0,1,222,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0
785,2023,0,0,0,0,0,1,8,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,3,5.5,0,0,143,0,0,0,3,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0
845,2283,0,0,0,0,1,3,13,0,0,3,3,0,7,0,0,0,1,0,0,3,0,1,18,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1.5,4,10.5,0,0,286,0,0,0,1,0,0,0,0,148,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,1,5,1,0,0,0,0,0,0
905,2505,0,0,0,0,4,10,5,0,0,7,5,0,10,0,0,0,3,0,1,3,0,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,4,17,0,3,223,0,0,0,1,0,0,0,2,160,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,2,7,1,0,0,0,0,0,0
965,2678,0,0,0,0,3,7,13,0,1,8,4,0,8,0,0,0,1,0,0,2,0,0,11,0,0,0,6,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,4,4.5,0,0,72,0,0,0,1,0,0,0,0,162,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,2,0,1,10,3,0,0,0,0,0,0
1005,2770,0,0,0,0,4,15,6,0,0,13,4,0,12,0,0,0,2,0,1,0,0,1,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0.5,4,1,7.5,0,0,33,0,0,0,3,0,0,0,0,149,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0
1025,2813,0,0,0,0,2,7,6,0,1,9,4,0,7,0,0,0,4,0,0,6,0,0,16,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,0,1,1,10.5,0,0,46,0,0,0,5,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,2,13,1,0,0,0,0,0,0
1045,2856,0,0,0,0,5,7,10,1,1,14,6,0,8,0,0,0,0,0,0,3,0,1,13,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0.5,3,4,13.5,0,0,46,0,0,0,1,0,0,0,0,153,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,9,0,0,2,0,0,0,0
1065,2899,0,1,2,0,4,8,19,1,0,13,5,1,6,0,0,0,3,0,0,10,0,0,17,0,0,0,6,0,0,0,0,0,3,2,1,1,0,0,8,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,3,2,13,1,1,74,0,0,0,1,0,0,0,0,137,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,4,0,0,3,1,0,0,0,0,3,0
1085,2944,0,0,0,0,8,4,12,0,0,12,7,0,10,0,0,0,3,0,0,4,0,1,18,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,4,1,9,0,0,76,0,0,0,5,0,0,0,0,131,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,6,0,1,6,0,0,1,0,1,0,0
1105,2993,0,1,0,0,5,9,17,2,0,14,9,0,6,0,0,0,7,0,1,3,0,1,13,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,5,0,14,0,1,97,0,1,0,3,0,0,0,0,143,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,8,0,0,1,0,1,0,0
1125,3046,0,0,0,0,2,2,8,0,0,12,7,0,5,0,0,0,3,0,0,1,0,0,8,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,1,0,1,14,0,0,47,0,1,0,3,0,0,0,0,165,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,11,0,0,0,0,0,0,0
1145,3106,0,0,0,0,4,8,12,2,0,7,2,0,7,1,0,0,3,0,0,3,0,1,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,0,1,2,2,9.5,0,5,87,0,0,0,2,1,0,0,0,186,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,3,0,0,13,1,0,0,0,1,0,0
1165,3172,0,0,1,0,4,5,12,4,0,21,5,0,6,0,0,0,5,0,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,22,0,0.5,2,3,12,0,3,136,0,0,0,1,0,0,0,1,97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,5,13,0,1,1,0,1,0,0
1185,3247,0,0,0,0,4,3,16,0,0,9,5,0,7,0,0,0,1,0,0,5,0,1,9,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,1.5,0,0,5.5,0,0,163,0,0,0,1,0,1,0,1,84,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,13,5,0,1,0,1,0,0
1205,3332,0,1,0,0,8,6,11,0,0,5,2,0,7,0,0,0,2,0,0,3,0,2,15,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,27,0,0,0.5,5,6.5,0,0,184,0,0,0,0,2,0,0,0,84,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,12,0,4,16,1,0,0,0,0,1,0
1225,3428,0,0,0,0,3,7,21,0,0,16,0,0,0,0,0,0,0,0,0,8,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,5,2,0,14,0,1,0,0,7,0,0,59,0,0,0,0,0,1,0,0,152,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,1,0,0
1245,3536,0,0,0,0,3,1,8,0,0,15,7,0,2,1,0,0,9,0,0,5,0,2,20,0,0,0,0,1,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,8,0,1,1,0,8,0,1,85,0,0,0,2,0,0,0,0,125,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,7,0,1,2,1,0,1,0,0,0,0
1265,3657,0,0,0,0,0,7,17,0,0,8,6,0,1,0,0,0,1,0,1,2,0,0,8,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,8,0,0,1,6,6.5,0,0,61,0,0,0,1,0,0,0,0,119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,1,0,0
1285,3794,0,0,1,0,5,6,8,0,0,8,3,0,7,0,0,0,0,0,0,3,0,7,15,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,6,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,1,1,4,7.5,0,1,56,0,0,0,2,0,2,0,0,177,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,1,0,0
1305,3946,0,0,0,0,0,9,16,2,0,10,6,0,5,0,0,0,0,0,0,5,0,2,14,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,15,0,0,0,0,8.5,0,0,104,0,0,1,4,0,0,0,0,122,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,6,13,1,0,2,0,1,0,0
1325,4116,0,0,0,0,7,10,17,0,0,22,9,0,3,0,0,0,2,0,0,10,0,1,32,0,0,0,1,0,0,0,1,0,1,3,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,60,0,0,7,3,11.5,0,1,141,0,0,0,1,0,0,0,0,83,0,0,0,0,1,1,9,0,0,0,1,0,0,1,0,0,1,0,3,9,0,0,0,0,0,1,0
1345,4302,0,0,0,0,4,12,6,1,0,17,6,0,12,0,0,0,0,0,0,8,0,4,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,35,0,0,0,0,8.5,0,2,117,0,0,0,5,3,0,0,0,106,0,0,0,0,0,1,7,0,0,0,1,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0
1365,4503,0,0,0,0,1,3,14,3,0,19,7,0,2,0,0,0,1,0,0,10,0,2,7,1,0,0,0,0,2,0,0,0,8,1,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,29,0,1,0,0,14.5,0,4,76,0,0,0,3,0,0,0,0,137,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,5,15,0,0,0,0,2,0,0
1385,4718,0,0,0,0,5,5,10,0,0,29,2,0,4,0,0,0,2,0,0,2,0,1,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,37,0,0,0,0,9.5,0,1,56,0,0,0,5,0,1,0,0,114,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,4,9,0,0,0,0,0,1,0
1405,4945,0,0,0,0,8,1,7,1,0,9,2,0,1,0,0,0,3,0,1,6,0,3,7,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,75,0,0,3,1,3,0,0,38,0,0,0,1,0,0,0,0,70,0,0,0,0,0,2,6,0,1,0,0,0,0,2,0,0,1,0,2,10,1,1,0,0,0,0,0
1445,5434,0,1,0,0,4,2,24,1,0,11,2,0,6,0,0,0,1,0,0,10,0,1,14,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,1,3,0,0,77,0,0,0,1,0,0,0,0,139,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,6,0,4,29,0,0,0,0,1,0,0
1465,5692,0,0,0,0,3,2,11,2,0,16,6,0,5,0,0,0,5,0,0,13,0,4,7,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,2,3,4.5,0,2,59,0,0,0,3,0,1,0,0,126,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,6,0,2,9,1,0,0,0,1,0,0
1485,5958,0,1,0,3,8,7,29,0,0,25,14,0,10,0,0,0,10,0,0,13,0,2,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,67,0,0,2,0,15.5,0,1,94,0,0,0,3,0,2,0,1,97,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0,4,15,2,0,0,0,2,0,2
1505,6231,0,1,0,1,2,2,17,1,0,20,6,0,1,6,1,0,21,0,1,8,0,1,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,63,0,0,2,3,6,0,1,79,0,0,0,5,7,3,0,0,130,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,17,0,1,9,2,0,0,0,2,0,0
1525,6510,0,0,0,0,0,3,17,3,1,18,2,0,5,0,0,0,4,0,0,10,0,3,8,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,43,0,0,0,0,3,0,0,23,0,0,0,0,0,2,0,0,135,1,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,13,0,1,18,0,0,0,0,2,0,0
1545,6792,0,0,0,0,3,2,33,0,0,18,4,0,2,0,0,0,3,0,0,10,0,0,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,9.5,0,0,29,0,0,0,0,0,0,0,0,94,0,0,0,1,0,0,60,0,0,0,1,0,0,0,0,0,4,0,4,12,0,0,0,0,0,0,0
1565,7078,0,0,0,0,0,0,111,0,1,8,2,0,1,0,0,0,0,0,0,15,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2,1,3,0,0,22,0,0,0,1,1,0,0,0,55,0,0,0,1,1,0,11,0,0,0,3,0,0,1,0,0,2,0,1,6,2,0,0,0,1,0,0
1585,7366,0,0,0,0,1,2,53,1,0,18,6,0,5,0,0,0,4,0,0,23,0,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,27,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,15.5,0,0,65,0,0,0,2,0,2,0,0,53,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5,4,0,1,3,0,0,0,0
1605,7657,0,0,0,0,4,4,25,0,0,29,6,0,3,0,0,0,2,0,0,15,0,3,15,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,1,1,5,0,1,53,0,0,0,4,0,5,0,2,121,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,7,0,5,21,5,0,0,0,1,0,2
