"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
44,90,659,1,0,9,3,4,0,41,0,3,4,1,0,14,17,0,1,10,24,11,0,6,1,3,1,0,0,0,0,24,9,0,0,0,4,10,6,46,1,0,262,1,1,0,0,0,10,3,0,16,0,0,6,0,0,1,1,0,0,0,0,0,8,45,2,0,0,0,48,1,0,0,0
48,106,641,1,0,2,6,1,0,36,0,2,13,6,0,21,18,0,0,4,24,9,4,1,2,4,0,1,0,0,0,23,10,9,0,0,8,11,4,46,1,0,259,1,0,0,0,0,12,0,0,20,0,1,4,1,1,1,3,1,0,0,0,0,1,30,0,0,0,0,37,1,0,0,1
52,129,624,0,0,12,2,6,0,28,0,2,3,2,0,5,9,0,1,6,31,19,2,1,2,2,0,0,0,0,0,28,7,4,0,0,1,15,2,44,5,0,260,0,0,0,0,0,15,5,0,19,0,0,1,1,0,0,0,2,0,0,0,0,1,26,0,0,0,0,52,3,0,0,0
56,152,643,0,0,6,5,3,0,38,0,0,15,3,0,11,20,0,0,4,29,12,2,3,1,3,1,1,0,0,0,23,6,1,0,0,4,24,3,38,5,0,249,2,1,0,0,1,12,5,0,15,4,0,3,0,0,0,1,0,0,0,1,0,4,33,0,0,0,2,49,0,0,0,0
60,175,601,0,1,1,5,6,0,31,0,3,14,1,0,10,15,0,4,10,38,8,2,1,0,2,0,1,0,0,0,24,10,2,0,0,0,13,10,45,0,1,240,0,0,0,0,0,12,1,0,10,0,0,4,0,0,0,6,1,0,0,0,1,0,20,0,0,0,0,47,1,0,0,0
64,198,658,0,0,10,12,5,0,38,0,2,13,2,0,8,12,0,1,8,33,16,0,2,2,2,0,0,0,0,0,21,2,2,0,0,6,12,5,56,0,0,253,0,0,0,0,0,13,4,0,21,0,0,3,0,1,0,2,1,0,0,0,0,0,24,0,0,0,0,66,0,0,0,0
68,220,621,0,0,8,3,3,0,67,0,2,5,5,0,4,16,0,2,6,28,20,1,2,2,2,0,0,0,1,0,15,6,2,0,0,3,11,6,54,2,0,250,0,1,0,0,0,20,3,0,9,0,1,1,1,0,0,1,0,0,0,0,0,0,8,0,0,0,2,47,1,0,0,0
72,243,588,0,0,7,8,2,0,50,0,2,8,3,0,5,17,0,0,5,22,12,0,3,1,0,0,0,0,0,0,33,8,2,0,0,6,13,7,44,0,1,267,0,0,0,0,0,16,6,0,9,0,1,5,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0
76,266,585,0,0,13,9,4,0,47,0,2,16,1,0,7,15,0,4,7,25,8,3,1,2,0,0,0,0,1,0,30,5,7,0,0,3,10,7,53,3,0,224,0,0,0,0,0,18,5,0,10,0,0,3,0,0,0,0,1,0,0,0,1,0,15,1,0,0,0,24,0,0,0,0
80,289,540,0,0,14,8,4,0,43,0,3,15,1,0,8,11,0,0,3,17,10,2,7,2,0,1,0,0,0,0,21,3,2,0,0,7,21,7,48,0,0,251,1,0,0,0,0,7,4,0,5,0,2,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0
