"sample.depths","sample.ages","upland.sum","Abies","Alnus.viridis.type","Ambrosia.type","Betula","Cannabaceae","Caryophyllaceae","Pinaceae.undiff.","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Fraxinus","Poaceae","Iva","Alnus.incana.type","Artemisia","Quercus","Ranunculaceae.undiff.","Trees.undiff.","Fabaceae","Rosaceae","Ostrya.Carpinus","Rumex","Myrica","Epilobium","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Amaranthaceae","Fagus","Corylus","Ulmus","Rhamnaceae.Vitaceae","Salix","Cupressaceae","Juglans","Populus","Taxus","Urticaceae","Sambucus","Cornus","Hypericum","Shepherdia.canadensis","Moraceae","Carya","Asteraceae.undiff.","Malvaceae","Thalictrum","Plantago","Polygonum"
118,6465,1153,45,5,0,118,0,0,138,1,0,6,801,0,14,16,0,0,1,0,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,6694,931,56,28,0,189,0,0,68,2,1,0,540,1,3,23,0,0,0,1,0,1,0,8,0,0,1,2,0,0,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,6922,1055,121,24,0,176,0,0,120,6,0,0,547,4,12,32,0,2,1,0,1,0,0,1,0,0,0,1,2,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,7151,746,97,65,0,206,0,0,75,10,0,1,223,1,4,29,0,2,0,1,0,4,0,18,0,0,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,7379,1037,241,93,0,226,0,0,144,11,1,0,227,4,7,49,0,1,0,1,1,7,0,15,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
138,7607,549,98,30,0,41,0,0,128,3,0,0,192,4,9,18,0,0,0,2,1,1,0,0,0,0,10,0,1,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,7922,995,220,94,0,155,0,0,141,10,1,1,293,3,11,35,0,3,0,3,1,2,0,8,0,0,1,1,1,0,1,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,8323,358,11,103,0,60,0,0,23,5,1,0,122,1,3,5,1,7,0,5,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,8724,835,65,105,0,112,0,0,86,29,6,0,267,7,15,47,0,20,0,17,3,5,0,25,0,1,3,0,1,1,1,2,0,0,0,5,1,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
154,9124,635,5,193,2,137,0,0,18,32,5,0,94,4,0,24,0,41,0,4,1,1,0,31,0,0,5,0,5,0,0,1,1,0,0,17,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,9525,647,1,142,1,173,0,1,11,52,4,0,112,2,7,27,0,22,0,2,2,6,1,29,1,0,5,0,5,1,0,1,2,0,0,5,0,0,24,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
162,9926,700,3,116,0,206,0,2,7,79,7,0,55,12,5,33,0,27,0,7,2,4,0,28,0,0,26,1,7,1,0,2,0,0,0,26,1,0,33,7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
166,10327,573,0,38,0,270,0,2,8,75,2,2,33,5,2,21,0,22,0,3,3,7,2,14,3,3,1,0,4,0,0,1,0,0,0,3,0,0,45,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
170,10728,277,1,8,0,87,0,3,6,34,9,0,23,4,3,26,0,20,0,5,4,2,0,11,0,1,2,0,6,0,0,0,0,0,0,2,0,0,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,NA,450,0,19,4,119,0,8,4,78,1,0,11,1,1,16,0,47,0,13,18,6,0,15,2,7,5,1,5,1,0,0,0,1,0,1,0,0,61,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
178,NA,214,0,4,2,22,0,2,3,32,2,0,3,0,1,5,1,67,0,23,6,0,2,7,2,2,0,1,0,0,0,5,0,0,0,0,0,0,16,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
182,NA,292,0,12,1,37,0,6,10,33,1,0,12,0,0,8,0,83,1,23,2,2,0,14,5,4,0,0,1,0,0,3,0,0,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
186,NA,163,0,1,0,8,0,2,7,24,1,0,4,0,0,3,1,53,2,29,0,0,1,12,2,1,0,1,0,2,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
