"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium.simplex.type","Botrychium.undiff.","Botrychium.virginianum","Brasenia.schreberi","Brassicaceae","Caltha","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Empetrum","Epilobium","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Hippuris.vulgaris","Humulus","Huperzia.lucidula","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Lamiaceae","Larix","Linnaea.borealis","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum.alterniflorum","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum","Polypodiaceae","Populus.balsamifera","Populus.tremuloides","Populus.undiff.","Potamogetonaceae","Pteridium","Quercus","Ranunculaceae.undiff.","Rhamnus.frangula","Rumex","Rumex.Oxyria.digyna.undiff.","Salix","Sanguisorba.canadensis","Selaginella.rupestris","Selaginella.sibirica","Shepherdia.canadensis","Sparganium","Sphagnum","Thalictrum","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Urtica","Viburnum"
839,11462,2,0,0,0,0,5,1,1,0,0,1,2,5,0,0,47,0,1,0,0,0,0,0,0,0,0,0,3,6,1,0,55,0,0,0,5,0,0,0,0,1,0,0,0,0,0,14,823,0,0,0,0,2,0,19,19,1,38,1,0,0,0,0,1,1,5,13,13,0,15,38,0,9,0,0,0,0,0,0,0,13,0,0,0,0,9,0,0,0,0,1,3,1,4,0,2,3,0,0
840,11576,0,0,0,0,0,11,4,0,0,0,0,3,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,30,0,1,0,15,0,0,0,0,2,0,0,0,0,0,21,497,0,0,0,0,5,0,12,3,0,33,1,0,0,0,0,0,0,3,13,11,0,27,16,0,7,0,0,0,0,0,0,4,4,0,0,0,0,12,0,0,0,0,0,5,0,1,0,0,3,0,0
841,11691,2,0,0,0,0,5,5,6,0,1,1,1,8,0,0,68,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,81,0,0,0,15,0,0,0,0,0,0,0,0,0,0,26,297,0,0,1,0,9,0,26,5,2,51,0,0,0,0,0,0,0,6,5,18,0,26,17,0,5,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,2,0,2,0,0,2,0,0
842,11769,1,0,0,0,0,14,3,2,0,0,1,1,10,0,0,67,0,0,0,0,0,0,1,0,1,0,1,0,11,0,0,51,0,0,0,12,0,0,0,0,0,0,0,1,0,0,31,237,0,0,0,0,3,0,14,2,4,37,0,0,0,0,0,0,0,6,8,13,0,14,25,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,0,0,0,0,0
844,11855,2,0,0,0,1,6,3,3,0,2,0,3,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,68,1,0,0,10,0,0,0,0,0,0,0,0,0,0,20,294,0,0,1,0,7,2,19,4,8,40,0,0,0,0,0,0,0,3,5,14,0,20,33,0,10,0,0,2,0,0,0,0,1,0,0,0,0,8,0,0,5,0,0,3,0,0,0,0,2,0,0
846,11941,0,0,0,0,0,6,5,2,0,1,1,1,10,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,65,0,0,0,7,0,0,0,0,0,0,0,0,0,0,22,256,0,0,0,0,10,2,18,5,2,49,0,0,0,0,0,0,0,3,8,8,0,15,27,0,6,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,3,0,0
848,12027,1,0,0,0,0,15,4,3,0,1,0,3,18,0,0,47,0,1,0,0,0,0,0,0,0,0,0,1,23,0,0,117,0,1,0,14,0,0,0,0,1,0,0,0,0,0,16,290,0,0,0,0,8,8,30,5,4,57,0,0,0,0,0,0,0,4,10,15,0,13,48,0,26,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,2,3,0,2,0,0,1,0,0
850,12113,0,0,0,0,0,8,1,6,0,0,4,0,25,0,0,41,0,0,1,0,0,0,0,0,0,0,1,0,24,0,0,108,0,0,0,11,0,0,1,0,0,0,1,1,0,0,21,223,0,0,0,0,3,0,25,2,2,70,0,0,0,0,0,0,0,1,8,8,0,21,9,0,4,0,0,0,0,0,0,1,4,0,0,0,0,12,0,0,1,1,0,0,1,0,0,0,4,0,0
852,12199,0,0,0,0,0,11,3,5,1,1,0,0,10,0,1,58,0,2,0,0,0,0,0,0,1,0,0,4,28,0,0,81,0,0,0,4,0,0,0,0,0,0,0,0,1,0,22,372,0,0,0,2,5,1,25,2,1,73,0,0,0,0,0,0,0,5,6,20,0,21,29,0,20,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,6,1,0,0,0,0,0,0
854,12285,0,0,0,0,0,8,2,1,0,0,0,0,18,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,72,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,341,0,0,0,0,4,0,17,5,5,76,0,0,0,0,0,0,0,7,3,11,0,22,16,0,16,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,1,0,2,5,0,0,0,0,1,0,0
856,12370,1,0,0,0,0,6,2,2,0,2,1,4,22,0,0,51,0,0,0,0,0,0,0,0,0,0,1,3,17,0,0,96,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,349,0,0,0,0,5,0,27,7,2,68,0,0,0,0,0,0,0,3,2,3,0,19,17,0,19,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,4,1,0,0,0,0,0,0
857,12419,1,0,0,0,0,7,4,5,0,1,2,5,13,0,0,39,0,0,0,0,0,0,0,0,0,0,1,1,19,0,0,104,0,0,0,5,0,0,0,0,0,0,1,0,1,0,31,382,0,0,1,1,9,1,21,3,4,63,0,0,0,0,0,0,0,3,14,17,0,33,14,0,24,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,4,0,2,0,0,2,0,0
858,12467,0,0,0,0,0,11,3,4,0,1,3,2,18,0,1,40,0,1,0,0,0,0,0,0,0,0,0,2,18,0,0,69,0,0,0,2,0,0,0,1,0,0,0,0,0,0,17,305,0,0,0,0,6,0,25,1,0,77,0,0,0,0,0,0,0,1,20,9,0,41,8,0,32,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,11,0,0
859,12516,0,0,0,0,0,5,7,4,0,0,1,1,21,0,0,31,0,1,0,0,0,0,0,0,0,0,0,7,16,0,0,63,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,470,0,0,1,0,8,1,23,5,0,77,0,0,0,0,0,0,1,4,7,17,0,49,4,0,17,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,1,0,6,1,0,0,1,4,0,0
860,12564,0,0,0,0,0,1,3,0,0,0,0,3,12,0,0,35,0,0,0,0,0,0,0,0,1,0,0,7,10,0,0,88,0,0,0,6,0,0,0,0,1,0,0,0,0,0,24,491,0,0,0,0,5,1,26,1,3,77,0,0,0,0,0,0,0,9,21,19,0,39,17,0,26,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,1,1,1,10,0,0,0,1,2,0,0
862,12661,0,0,0,0,0,1,0,0,0,0,1,2,17,0,5,33,0,0,0,0,0,0,0,0,0,0,1,20,16,0,0,61,0,0,0,2,0,0,0,0,3,0,0,0,1,0,36,156,0,0,0,0,6,0,19,2,7,74,0,0,0,0,0,0,0,5,19,15,0,33,4,0,34,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,1,10,0,0,0,0,2,0,0
864,12758,0,0,0,0,0,0,1,1,0,2,1,4,10,0,2,33,0,0,0,0,0,0,0,0,0,0,1,25,6,0,0,41,0,0,0,8,0,0,0,0,1,0,0,1,0,0,21,26,0,0,0,0,3,0,27,0,1,76,0,0,0,0,0,0,0,5,20,15,0,48,3,0,27,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,4,0,3,5,0,0,0,0,1,0,0
866,12855,1,0,0,0,0,5,1,1,0,0,0,2,19,0,1,36,1,0,0,0,0,0,0,0,0,0,2,22,14,0,0,38,0,0,0,3,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,2,0,31,2,33,77,0,0,0,0,0,0,0,6,32,20,0,56,4,0,60,0,0,0,0,0,0,1,15,0,0,0,0,8,0,0,1,0,1,13,0,0,0,1,4,0,0
868,12952,0,0,0,0,0,2,1,1,0,1,0,3,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,19,5,0,72,0,0,0,0,0,0,0,7,29,14,0,44,3,0,34,0,0,0,0,0,0,0,13,0,0,0,0,8,0,0,0,0,1,6,0,0,0,0,0,0,0
870,13049,0,0,0,0,0,3,0,0,1,0,4,3,15,0,3,48,0,0,0,0,0,0,0,0,0,0,1,23,8,0,0,37,0,0,1,3,0,0,1,0,3,0,0,0,0,0,21,0,0,0,0,0,1,0,9,2,3,137,0,0,0,0,0,0,0,13,26,9,0,44,1,0,35,0,0,2,0,0,0,0,18,0,0,0,0,7,0,0,1,0,1,5,0,0,0,0,3,0,0
872,13146,1,0,0,0,0,0,0,1,1,0,2,3,8,0,3,32,0,0,0,0,0,0,0,0,0,0,0,47,14,0,0,47,0,0,0,2,0,0,0,0,3,0,0,0,0,0,31,0,0,0,0,0,3,2,14,6,1,110,0,0,0,0,0,1,0,10,26,17,0,41,0,0,35,0,0,0,1,0,0,0,17,0,0,0,0,6,0,0,1,0,0,5,1,1,0,0,2,0,0
874,13243,1,0,0,0,0,2,0,0,0,1,0,2,8,0,3,45,0,0,0,0,0,0,0,0,0,0,0,56,7,0,0,34,0,2,2,4,0,0,0,1,5,0,0,0,0,0,6,1,1,0,0,0,4,0,12,2,1,116,0,0,0,0,0,0,0,8,20,5,0,36,4,0,48,1,0,4,2,3,0,2,19,0,0,0,0,5,0,0,0,0,0,3,0,0,1,1,1,1,0
876,13340,0,1,0,0,0,1,0,0,1,1,0,1,7,0,5,49,1,0,0,0,0,0,0,0,0,0,1,69,13,0,0,33,0,1,0,10,0,0,0,0,3,0,0,0,0,0,34,2,0,0,1,0,4,0,10,4,2,91,0,0,0,0,0,0,0,7,26,6,0,32,5,0,50,0,0,3,0,0,0,0,20,0,0,0,0,10,0,0,3,0,0,3,0,0,0,0,2,0,0
878,13437,0,0,0,0,0,0,0,0,0,1,0,2,14,0,2,39,0,0,0,0,0,0,0,0,0,0,3,81,5,0,0,25,0,1,0,9,0,1,0,0,4,0,0,0,0,0,20,4,0,0,0,0,3,0,6,3,0,64,0,0,0,0,0,0,0,5,19,6,0,35,0,0,55,1,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0
880,13534,1,0,0,0,0,5,0,2,0,1,1,4,6,0,0,54,0,0,0,0,0,0,0,1,0,0,0,60,8,0,0,26,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,6,0,0,2,0,2,0,12,4,0,27,0,0,0,0,0,0,0,2,7,5,0,32,1,0,40,0,0,3,0,0,0,0,5,0,0,0,0,5,0,0,1,0,0,4,0,0,0,0,2,0,0
882,13631,0,0,0,0,0,3,0,1,0,1,1,0,22,0,0,56,0,0,0,0,0,0,1,0,1,0,0,27,18,0,0,29,0,0,0,7,0,0,1,0,0,0,0,0,0,0,26,5,0,0,0,0,4,0,9,0,2,45,0,0,0,0,0,0,0,4,24,12,0,47,1,0,41,0,0,2,0,0,0,0,21,0,0,0,0,18,0,0,0,0,0,3,1,0,0,1,4,0,0
884,13728,1,0,0,0,0,1,0,0,0,2,0,1,10,0,1,46,0,0,0,0,0,0,0,0,0,0,2,14,15,0,0,22,0,0,0,9,0,0,0,0,6,0,0,0,1,1,24,3,0,0,1,0,6,1,9,2,0,45,0,1,0,0,0,0,0,20,11,9,0,51,1,0,28,0,0,0,0,0,0,0,26,0,0,0,0,15,0,0,3,0,0,4,0,0,0,0,2,0,1
886,13825,0,0,0,0,0,0,0,0,0,0,3,5,20,0,0,57,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,14,0,1,0,18,0,0,0,1,1,0,0,0,0,0,19,5,0,0,0,0,1,0,7,1,1,58,0,0,0,0,0,0,0,11,18,5,0,21,1,0,10,0,0,0,0,0,1,0,25,0,0,0,0,15,0,0,0,1,2,0,0,0,0,1,8,0,0
888,13922,0,0,0,0,0,0,0,0,0,0,3,5,10,0,2,65,0,3,0,0,0,0,2,1,0,0,2,5,29,0,0,26,1,1,0,10,0,0,0,0,2,0,0,0,0,0,21,12,0,0,0,0,2,0,4,4,0,50,0,0,0,0,0,0,1,13,32,3,0,52,1,0,8,0,0,0,0,1,0,1,9,0,0,0,0,21,0,0,2,1,0,2,0,0,2,0,4,0,0
890,14018,0,0,0,0,0,1,0,0,0,1,3,1,8,0,0,66,0,1,0,0,0,0,0,1,0,0,0,9,19,0,0,14,1,0,2,18,0,1,0,0,3,0,0,0,0,0,7,19,0,0,0,0,0,0,10,0,0,57,0,0,0,0,0,0,0,15,24,3,0,41,1,0,150,0,0,6,1,2,0,1,13,1,0,0,0,9,0,0,3,1,0,5,0,0,1,1,1,0,0
892,NA,1,0,1,0,0,6,0,0,0,1,6,6,4,0,4,51,0,0,0,0,0,0,0,1,0,0,1,1,31,1,0,21,3,1,2,17,0,1,0,0,1,0,0,0,0,0,9,133,2,0,0,0,1,0,13,1,0,11,0,0,0,0,0,0,0,7,31,3,0,42,2,0,17,0,0,1,2,0,0,2,11,1,0,0,0,30,0,0,3,5,0,5,0,0,0,0,1,0,0
894,NA,0.5,0,0,0,0,3,2,16,0,2,0,6,5,1,0,39,0,0,0,0,0,0,0,1,0,0,0,0,42,0,1,7,0,1,0,15,0,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,1,1,0.5,6.5,15,0,53.5,17,0,0,2,0,0,0,0,6,3,0,0,0,33,1,9,0,0,0,4,2,0,0,1,7,0,0
896,NA,0,0,0,0,0,2,5,20,0,1,0,9,1,0,0,48,0,1,0,0,1,0,0,10,0,0,0,0,72,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0.5,2,4.5,3,0,43,19,0,0,2,0,0,0,2,6,0,0,0,2,23,0,14,0,0,1,17,4,0,0,0,5,0,0
