"sample.depths","sample.ages","upland.sum","Picea","Pinus.strobus","Pinus.banksiana","Pinus.undiff.","Abies","Tsuga","Larix","Thuja","Betula","Populus","Quercus","Ulmus","Fagus","Carya","Acer","Fraxinus","Tilia","Juglans","Ostrya.Carpinus","Castanea","Other.trees","Juniperus.type","Juniperus.Thuja","Alnus.undiff.","Alnus.viridis.subsp..crispa","Alnus.incana","Salix","Corylus","Elaeagnus","Shepherdia.argentea","Shepherdia.canadensis","Myrica","Cornus","Other.shrubs","Ericaceae","Poaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Ambrosia","Artemisia","Rubus","Chenopodiaceae","Apiaceae","Fabaceae","Dryas","Potentilla","Rosaceae.undiff.","Saxifragaceae","Caryophyllaceae","Ranunculaceae.undiff.","Thalictrum","Polygonum","Urticaceae","Oxyria.Digyna","Rumex","Plantago","Other.herbs","Cyperaceae"
180,2633,471,47,29,10,10,35,23,3,0,232,0,15,3,18,0,1,8,0,0,2,0,0,0,1,0,5,13,3,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,2802,357,38,18,1,9,39,22,0,0,167,1,19,2,11,0,3,3,0,0,1,0,0,0,2,0,4,7,0,0,0,0,0,4,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2971,323,22,23,2,6,28,21,2,0,163,2,15,1,7,0,3,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
210,3140,405,29,22,10,11,34,23,1,0,199,0,12,1,21,0,3,5,0,0,1,0,0,0,3,0,3,8,2,0,0,0,0,11,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
220,3309,485,26,24,3,11,19,24,1,0,290,1,17,2,23,0,6,5,0,0,1,0,0,0,0,0,7,12,0,1,0,0,0,5,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,3478,477,28,34,5,8,21,33,1,0,276,1,21,1,18,0,3,8,0,0,2,0,0,0,0,0,2,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,3647,467,33,34,6,10,23,24,2,0,280,0,14,0,15,1,3,3,0,0,2,0,0,0,0,0,2,9,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,3816,334,34,23,3,7,22,19,1,0,175,0,12,1,12,0,2,2,0,0,1,0,0,0,0,0,3,14,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,3985,348,30,41,3,10,12,19,3,0,179,0,18,0,3,0,2,2,0,2,1,0,0,0,3,0,2,7,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
270,4154,326,23,33,3,5,27,12,0,0,180,0,20,0,7,0,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
280,4323,347,27,55,3,9,11,19,1,0,170,1,20,0,8,0,1,0,0,1,3,0,0,0,0,0,3,6,1,1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,4492,387,33,56,6,9,15,4,0,0,221,0,21,0,1,0,1,2,0,0,3,0,0,0,1,0,1,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
300,4662,311,19,50,4,12,8,16,0,0,166,0,17,0,2,0,0,2,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,4831,450,36,65,10,17,17,9,1,0,244,2,21,0,0,0,3,3,0,0,1,0,0,0,2,0,0,10,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,5000,303,14,65,5,15,0,11,3,0,153,0,16,0,1,0,1,3,0,0,4,1,0,0,1,0,0,2,1,0,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,5280,387,21,43,6,15,8,75,3,0,163,1,24,0,3,0,2,3,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
340,5671,306,14,67,4,16,2,76,0,0,77,2,15,1,2,0,1,1,0,0,2,0,0,0,1,0,3,8,2,0,0,0,0,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
350,6062,382,16,79,6,21,0,135,1,0,88,1,15,2,1,0,2,1,0,0,1,0,0,0,0,0,4,5,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,6453,359,41,72,6,22,4,56,1,0,91,2,30,0,1,0,2,4,0,0,4,0,0,0,3,0,2,11,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,6844,343,46,97,8,16,8,65,2,0,54,1,12,5,2,0,2,4,0,0,2,0,0,0,1,0,3,8,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,7244,394,46,152,9,31,4,29,7,0,53,1,33,4,2,0,1,4,0,0,3,1,0,0,0,0,0,5,1,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,7643,403,41,168,5,32,8,11,1,0,56,1,59,2,0,0,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
400,8043,376,55,113,15,27,7,2,4,0,86,0,27,1,0,0,1,0,0,0,5,0,0,0,0,0,17,4,2,1,0,0,0,6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,8443,420,49,169,7,24,10,8,4,0,76,0,52,0,1,0,1,1,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,8842,425,58,162,13,19,11,11,4,0,81,0,24,3,1,1,0,2,0,0,4,0,0,0,0,0,5,7,1,2,0,0,0,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
430,9188,434,41,100,9,25,25,4,3,0,149,0,31,4,0,0,3,6,0,0,0,0,0,0,0,0,12,3,1,2,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
440,9481,327,57,41,8,16,15,0,3,0,113,0,22,7,0,0,2,4,0,0,5,0,0,0,1,0,6,5,0,5,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
450,9773,310,50,43,5,15,14,0,7,0,124,1,22,3,0,0,1,0,0,0,1,1,0,0,0,0,8,1,1,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
460,10065,314,71,24,6,6,4,1,11,0,120,1,25,1,0,0,0,4,0,0,4,0,0,0,0,0,7,0,2,3,0,0,0,15,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1
470,10358,271,26,12,9,5,2,1,8,0,142,2,13,3,0,0,1,1,0,0,2,1,0,1,0,0,6,1,1,2,0,0,0,18,0,0,0,3,0,0,2,0,0,2,0,0,0,0,1,0,0,2,2,0,0,0,2,0,0,0
480,10650,353,32,20,7,7,4,1,19,0,159,0,24,1,0,0,1,5,0,0,4,0,0,0,0,0,5,0,2,1,0,0,0,43,1,0,0,10,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
490,10942,180,27,18,3,3,1,1,1,0,40,3,16,2,0,0,0,0,0,0,2,0,0,1,0,0,3,0,2,0,0,0,0,40,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2
500,11235,324,46,24,18,15,2,0,0,0,60,6,25,1,0,1,1,7,0,0,3,0,0,0,0,0,9,1,5,0,0,0,0,62,0,0,8,14,6,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
510,11527,236,13,10,12,5,2,0,0,0,62,2,5,2,0,0,0,2,0,0,4,0,0,0,0,2,6,0,11,0,0,0,0,41,0,0,9,18,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,18
515,11717,284,11,1,28,4,0,0,0,0,93,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,13,5,10,2,0,0,0,18,0,0,19,13,4,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,2,3,0,0,0,47
520,11935,232,13,0,33,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,6,10,0,0,0,0,21,0,0,14,23,1,0,1,3,0,0,0,0,0,0,1,0,0,1,1,0,0,6,0,1,0,40
525,12153,118,12,1,10,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,26,0,0,3,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,2,0,0,0,16
534,12545,173,5,0,20,1,0,0,0,0,26,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,15,3,4,0,0,0,0,29,0,0,5,11,2,0,2,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,41
542,13193,262,27,0,0,35,0,0,0,0,45,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,7,1,0,0,1,23,0,0,5,45,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,57
545,13548,265,13,1,24,4,1,0,0,0,65,1,2,0,0,1,0,1,0,0,5,0,0,6,0,0,0,0,8,0,0,0,0,33,0,0,6,31,7,0,3,2,1,1,0,1,0,0,0,1,0,1,0,0,3,0,2,0,0,41
555,NA,303,22,1,52,2,1,0,0,0,34,1,8,0,0,0,0,1,0,1,4,0,0,2,0,0,4,3,22,0,0,0,24,9,0,0,41,12,2,0,1,11,0,0,0,0,1,2,4,2,0,2,0,0,2,3,0,1,0,28
570,NA,145,6,0,0,45,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,5,0,0,0,1,9,0,0,1,6,3,0,3,8,0,0,0,0,0,1,1,4,0,0,0,0,2,6,0,0,0,10
