"sample.depths","sample.ages","Abies","Acer","Alnus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya","Caryophyllaceae","Castanea","cf..Myrica","Cornus","Corylus","Cyperaceae","Equisetum","Ericales","Eriocaulon","Fagus","Filicopsida.undiff.","Galium","Isoëtes","Juniperus","Lycopodiaceae","Myrica","Nemopanthus","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Salix","Solanaceae","Sphagnum","Taxus","Thalictrum","Tofieldia","Ulmus","Unknown.Indeterminable","Viburnum"
90,398,52,0,11,0,1,0,0,148,0,0,0,0,8,0,0,0,0,4,1,0,8,0,18,0,1,6,0,0,1,0,0,71,11,3,0,0,0,0,3,0,0,0,9,0,1,0,0,13,0
95,577,45,0,6,0,0,0,0,143,0,0,0,0,15,0,0,1,0,3,3,0,4,0,8,0,4,13,0,0,0,2,0,68,5,1,0,0,0,1,3,0,0,0,12,0,0,0,0,4,0
100,756,40,0,12,0,1,1,0,177,0,0,0,0,14,0,0,1,0,9,1,1,6,0,6,1,2,7,3,0,0,3,0,90,7,1,0,0,0,0,1,0,0,0,29,0,1,0,0,12,0
103,864,41,0,2,0,0,1,0,155,0,0,0,0,4,0,0,4,0,1,0,0,5,0,5,0,1,13,0,0,0,3,0,82,6,1,0,2,0,1,1,0,0,0,9,1,0,0,0,3,0
110,1114,54,0,4,0,0,0,0,153,0,0,0,0,4,0,4,0,0,4,0,0,8,0,7,2,3,7,1,1,3,2,1,89,8,0,0,1,0,1,3,0,0,0,9,0,0,0,0,21,0
120,1472,44,0,6,0,0,0,0,133,1,0,0,0,41,0,0,0,0,4,0,0,4,0,16,0,0,16,0,1,0,0,0,74,8,0,0,0,0,0,2,0,0,0,6,0,0,0,0,17,0
130,1830,52,0,13,0,0,3,0,181,0,0,0,0,40,0,0,0,0,2,3,2,10,0,11,0,2,16,0,1,1,0,4,69,14,0,0,0,0,0,2,0,0,0,23,0,0,0,3,13,0
140,2188,65,0,4,0,0,0,0,173,0,0,0,0,7,0,0,3,0,4,2,0,10,0,16,1,2,8,1,1,1,3,1,90,8,0,1,0,0,0,4,0,0,0,11,4,0,0,1,21,0
150,2546,48,0,10,0,0,3,0,172,0,0,0,0,6,0,0,0,0,2,1,0,8,0,7,0,1,16,0,0,0,0,0,69,15,1,0,0,0,0,3,0,0,0,13,0,0,0,0,12,0
160,2904,50,0,9,0,2,0,0,109,0,0,0,0,8,0,0,3,0,6,3,0,3,0,4,0,0,5,0,0,3,2,0,124,9,1,0,0,1,0,3,0,0,0,2,1,0,0,0,6,0
170,3261,34,0,5,0,0,0,0,152,0,0,0,0,4,0,0,1,0,3,0,1,1,0,15,0,2,11,0,1,0,0,0,92,14,1,0,0,0,1,0,0,0,0,7,0,0,0,1,11,0
175,3440,35,0,16,0,1,1,0,142,0,0,0,0,5,0,0,1,0,2,0,0,2,0,20,0,2,9,0,0,3,1,0,94,16,0,0,0,1,0,3,0,0,0,7,2,1,0,0,7,0
180,3619,29,0,50,0,0,2,0,152,0,0,0,0,8,2,0,6,0,5,2,0,3,0,25,0,1,21,0,0,0,2,0,133,22,1,0,0,0,1,3,0,0,0,11,2,1,0,0,7,2
185,3798,22,0,95,1,2,1,0,226,0,0,0,2,13,0,7,5,0,3,0,0,18,0,45,1,8,25,0,0,0,5,0,156,18,2,7,0,1,0,3,0,0,0,10,3,0,0,0,13,0
190,3977,16,0,42,0,0,0,0,123,0,0,0,0,4,0,0,1,0,5,4,0,2,0,52,0,3,12,1,3,0,0,0,124,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0
195,4175,25,1,45,0,0,0,0,90,0,0,0,0,12,0,0,0,0,6,2,0,2,0,37,0,6,24,2,0,0,4,0,104,5,0,1,0,0,1,3,0,3,0,10,1,0,0,0,8,0
200,4543,44,0,13,0,1,1,0,97,2,0,0,0,2,0,0,1,0,4,0,0,2,0,20,0,1,7,2,0,2,2,0,150,24,0,0,1,0,1,3,0,0,0,6,0,2,1,1,10,0
205,4911,25,1,13,0,0,0,0,133,0,0,0,0,7,0,0,1,0,1,1,0,6,0,28,0,1,11,0,1,1,5,0,102,8,1,0,0,0,1,6,0,0,0,10,5,0,0,1,16,0
210,5279,9,0,5,0,0,2,0,171,0,0,0,0,8,1,0,0,0,3,0,1,1,1,19,0,8,12,0,2,1,0,0,88,4,1,0,0,0,0,1,1,0,0,21,0,0,0,0,9,0
220,6015,12,0,8,0,0,0,0,238,0,0,0,0,0,0,0,2,0,2,1,0,4,0,0,6,0,18,0,0,1,1,0,79,1,1,0,0,1,0,3,0,0,0,5,3,0,0,0,17,0
230,6706,6,0,3,0,0,0,0,231,0,0,0,0,7,0,0,1,0,0,0,0,1,0,1,0,1,10,0,0,0,0,0,40,13,1,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0
240,7145,23,2,3,1,1,0,0,291,0,0,0,0,6,0,0,1,0,2,0,0,12,0,0,1,2,12,0,0,1,1,0,83,3,2,0,0,0,1,0,0,1,0,2,3,0,0,0,14,0
250,7583,17,0,4,0,0,0,0,260,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,3,12,0,0,0,0,0,96,6,0,0,0,1,0,0,0,0,0,3,0,0,0,1,7,0
260,8022,16,0,9,0,0,0,0,195,0,0,0,0,1,0,1,10,0,1,2,0,0,0,0,2,15,11,0,0,0,0,0,105,0,0,1,0,0,2,2,0,0,0,4,1,0,2,0,12,0
270,8461,23,0,13,0,0,3,0,247,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,4,9,33,0,0,0,0,0,57,11,0,0,0,1,0,0,0,0,0,3,0,0,0,1,18,0
280,8900,39,0,18,0,0,1,0,296,0,0,1,0,15,0,0,5,0,9,0,0,49,0,0,15,41,49,0,0,0,0,0,73,16,2,2,0,0,1,2,0,0,0,18,0,5,0,2,38,0
290,9339,4,1,5,0,0,3,0,250,0,0,0,0,12,0,0,1,0,1,0,0,11,0,1,4,9,16,0,0,0,0,0,77,10,2,0,0,3,0,0,0,1,0,1,0,2,0,0,12,0
295,9558,3,0,4,0,0,4,0,143,0,0,0,0,13,0,0,2,0,2,0,0,9,0,0,7,23,35,0,0,0,0,0,113,6,0,0,0,1,0,0,0,1,0,1,0,3,0,0,10,0
297.5,NA,5,0,4,0,0,3,0,198,0,0,0,0,10,0,0,2,0,8,0,0,26,0,0,26,39,124,0,0,0,0,0,42,7,4,0,0,0,0,1,0,0,0,0,0,5,0,0,13,0
299,NA,1,0,5,0,0,6,0,148,0,0,0,0,22,0,0,7,0,7,0,0,24,0,1,0,55,86,0,0,0,0,0,5,20,7,0,0,0,0,0,0,2,0,1,0,2,0,1,15,0
302,NA,0,0,0,0,2,1,1,6,1,0,1,0,1,0,0,24,0,1,0,0,2,0,0,0,8,2,0,0,0,0,0,33,20,6,0,0,0,0,1,0,0,0,2,0,0,0,0,9,0
304.5,NA,0,0,0,0,3,3,1,6,2,0,0,0,3,0,0,19,0,9,0,0,26,0,0,0,3,2,1,0,0,0,0,27,26,3,0,0,0,0,2,1,14,0,8,0,0,0,0,9,0
308,NA,0,0,0,0,4,1,0,37,0,0,0,0,1,0,0,8,0,5,0,0,10,0,0,0,9,12,0,0,0,0,0,11,4,14,0,0,0,0,2,0,1,0,1,0,0,0,0,9,0
