"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Poaceae","Pinus.banksiana.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Artemisia","Ericaceae","Fraxinus.pennsylvanica.type","Ulmus","Onagraceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.strobus","Ambrosia.type","Rosaceae","Salix","Tsuga.canadensis","Fraxinus.nigra.type","Corylus.cornuta","Populus.tremuloides.type","Thalictrum","Castanea.dentata","Caryophyllaceae","Ostrya.Carpinus","Acer.rubrum","Ranunculaceae.undiff.","Amaranthaceae","Populus.balsamifera.type","Picea.glauca.type","Taxus","Pinus.resinosa.type","Shepherdia.canadensis","Carya.ovata","Acer.spicatum","Fagus","Juglans.cinerea","Saxifraga.oppositifolia.type"
250,4026,0.0178926441351889,0.302186878727634,0.192842942345924,0.0099403578528827,0.00795228628230616,0.272365805168986,0.0238568588469185,0.00397614314115308,0,0.00795228628230616,0,0.0815109343936382,0.00198807157057654,0.0536779324055666,0.00397614314115308,0.00397614314115308,0,0.00397614314115308,0,0,0,0,0.00397614314115308,0,0,0.00198807157057654,0,0,0,0.00397614314115308,0,0,0,0,0,0,0,0.00198807157057654,0,0,0,0,0,0,0,0,0
275,4271,0.0209302325581395,0.227906976744186,0.232558139534884,0.00930232558139535,0.00581395348837209,0.353488372093023,0.00581395348837209,0.00348837209302326,0,0.00465116279069767,0.00348837209302326,0.0395348837209302,0.00116279069767442,0.0604651162790698,0.00581395348837209,0.00465116279069767,0,0.00116279069767442,0,0,0,0.00232558139534884,0.00930232558139535,0.00232558139534884,0,0.00348837209302326,0,0.00116279069767442,0,0.00116279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4516,0.0282258064516129,0.235887096774194,0.0584677419354839,0.00806451612903226,0.0100806451612903,0.455645161290323,0.0161290322580645,0.00604838709677419,0,0,0.00403225806451613,0.0423387096774194,0.00806451612903226,0.0846774193548387,0.00604838709677419,0.00604838709677419,0,0,0,0.00201612903225806,0,0,0.00201612903225806,0,0,0.00604838709677419,0,0.00604838709677419,0,0,0,0,0,0,0,0,0,0,0.0141129032258065,0,0,0,0,0,0,0,0
325,4876,0.00221238938053097,0.269911504424779,0.174778761061947,0.00663716814159292,0.0132743362831858,0.329646017699115,0.0110619469026549,0,0,0,0.0088495575221239,0.0730088495575221,0.00442477876106195,0.079646017699115,0,0.00442477876106195,0,0.00221238938053097,0,0,0,0.00221238938053097,0.0088495575221239,0,0,0.00221238938053097,0,0,0,0.00221238938053097,0,0,0.00221238938053097,0,0,0,0.00221238938053097,0,0,0,0,0,0,0,0,0,0
350,5504,0.0283018867924528,0.235849056603774,0.261792452830189,0.0070754716981132,0.0070754716981132,0.297169811320755,0.00471698113207547,0,0,0,0,0.035377358490566,0.0070754716981132,0.0683962264150943,0.0070754716981132,0.00235849056603774,0,0,0,0.00235849056603774,0,0.0070754716981132,0.0070754716981132,0,0,0.00235849056603774,0,0,0.00235849056603774,0,0,0,0.00471698113207547,0,0,0,0.00235849056603774,0,0.00943396226415094,0,0,0,0,0,0,0,0
375,6132,0.00343053173241852,0.295025728987993,0.178387650085763,0.00171526586620926,0.00857632933104631,0.382504288164666,0.00343053173241852,0,0.00171526586620926,0.00343053173241852,0.00343053173241852,0.0188679245283019,0.00171526586620926,0.0480274442538593,0.00686106346483705,0,0,0.00171526586620926,0,0,0,0.00343053173241852,0.0120068610634648,0,0,0,0,0.00171526586620926,0.00171526586620926,0.0120068610634648,0,0,0,0,0,0,0.00171526586620926,0,0.00343053173241852,0.00514579759862779,0,0,0,0,0,0,0
400,6761,0.0099502487562189,0.326699834162521,0.195688225538972,0.00165837479270315,0.00497512437810945,0.334991708126036,0.00497512437810945,0.0033167495854063,0,0.00497512437810945,0.00165837479270315,0.0165837479270315,0.00165837479270315,0.0431177446102819,0.00497512437810945,0.00497512437810945,0,0.00165837479270315,0.00165837479270315,0,0,0.00497512437810945,0.0033167495854063,0.00165837479270315,0,0.00497512437810945,0,0.0033167495854063,0,0.00497512437810945,0,0,0,0,0,0,0.00497512437810945,0.0033167495854063,0.00497512437810945,0,0,0,0,0,0,0,0
425,7389,0.0145985401459854,0.340632603406326,0.172749391727494,0.0121654501216545,0,0.313868613138686,0.0024330900243309,0,0,0.0121654501216545,0.0024330900243309,0.0194647201946472,0.0024330900243309,0.024330900243309,0.0072992700729927,0.0024330900243309,0,0.0024330900243309,0,0,0,0.0194647201946472,0,0.0048661800486618,0,0,0,0,0,0.0316301703163017,0,0,0,0,0,0,0,0.0024330900243309,0.0097323600973236,0,0.0024330900243309,0,0,0,0,0,0
440,NA,0.00333333333333333,0.323333333333333,0.126666666666667,0.0116666666666667,0.02,0.1,0.00666666666666667,0,0,0.0366666666666667,0.005,0.0166666666666667,0.0116666666666667,0.00833333333333333,0.005,0.005,0,0.00166666666666667,0,0,0,0.00333333333333333,0.02,0.00333333333333333,0.00333333333333333,0.0233333333333333,0,0.005,0.00333333333333333,0.22,0,0,0,0.00166666666666667,0,0.00166666666666667,0.00166666666666667,0.0133333333333333,0.00666666666666667,0.00166666666666667,0,0.00833333333333333,0.00166666666666667,0,0,0,0
450,NA,0.0105421686746988,0.156626506024096,0.114457831325301,0.0572289156626506,0.00903614457831325,0.117469879518072,0.0120481927710843,0.00903614457831325,0.00903614457831325,0.00602409638554217,0.0105421686746988,0.0873493975903614,0,0.0286144578313253,0.0421686746987952,0.0150602409638554,0,0.00150602409638554,0.00150602409638554,0,0.00150602409638554,0.00301204819277108,0.0225903614457831,0.00753012048192771,0,0.036144578313253,0,0,0.00150602409638554,0.200301204819277,0,0,0.00150602409638554,0.00451807228915663,0,0.00150602409638554,0.00451807228915663,0.0180722891566265,0,0,0,0.00602409638554217,0,0.00150602409638554,0.00150602409638554,0,0
460,NA,0.00538599640933573,0.18850987432675,0.14721723518851,0.0412926391382406,0.00359066427289048,0.0933572710951526,0.073608617594255,0.0107719928186715,0.00718132854578097,0,0.0197486535008977,0.170556552962298,0,0.0359066427289048,0.066427289048474,0.00179533213644524,0.00179533213644524,0.00359066427289048,0,0.00179533213644524,0,0.00359066427289048,0.0394973070017953,0.0466786355475763,0,0.00718132854578097,0,0.00359066427289048,0,0.00538599640933573,0,0,0.00359066427289048,0.00179533213644524,0,0,0.0143626570915619,0,0.00179533213644524,0,0,0,0,0,0,0,0
475,NA,0.00384615384615385,0.0769230769230769,0.1,0.0384615384615385,0.0115384615384615,0.182692307692308,0.142307692307692,0.00192307692307692,0.0173076923076923,0.00192307692307692,0.00961538461538462,0.196153846153846,0,0.119230769230769,0.0346153846153846,0.00192307692307692,0.00192307692307692,0.00961538461538462,0,0,0,0.00192307692307692,0.0134615384615385,0.0134615384615385,0.00192307692307692,0.00384615384615385,0,0,0,0.00192307692307692,0,0,0,0,0,0,0.0115384615384615,0,0,0,0,0,0.00192307692307692,0,0,0,0
485,NA,0,0.152654867256637,0.103982300884956,0.0331858407079646,0,0.152654867256637,0.123893805309735,0.0088495575221239,0.00221238938053097,0.00221238938053097,0.0132743362831858,0.192477876106195,0,0.0685840707964602,0.0376106194690266,0,0.00221238938053097,0.00442477876106195,0,0,0.00221238938053097,0.00442477876106195,0.0265486725663717,0.0309734513274336,0,0.0088495575221239,0,0.0088495575221239,0.00221238938053097,0.00663716814159292,0,0,0.00221238938053097,0.00221238938053097,0,0,0.00442477876106195,0,0,0,0,0,0,0,0,0.00221238938053097,0
500,NA,0.00597609561752988,0.235059760956175,0.177290836653386,0.0398406374501992,0,0.0796812749003984,0.049800796812749,0.0119521912350598,0.00398406374501992,0.00796812749003984,0.0179282868525896,0.177290836653386,0.00398406374501992,0.0139442231075697,0.0637450199203187,0,0,0.0119521912350598,0,0,0,0,0.0139442231075697,0.0458167330677291,0,0.00796812749003984,0,0.00597609561752988,0,0,0,0,0,0,0,0,0.0199203187250996,0.00199203187250996,0,0,0,0,0.00199203187250996,0,0,0,0.00199203187250996
