"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Caprifoliaceae.undiff.","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Brassicaceae","Cyperaceae","Ephedra","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Fabaceae.undiff.","Liquidambar","Morus","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Polygonum.viviparum","Populus","Quercus","Ranunculaceae.undiff.","Robinia","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Viburnum"
673,3472,338,0,0,0,1,0,3,2,4,0,1,10,0,1,7,0,0,2,0,0,39,0,5,0,0,0,0,75,1,0,0,0,0,0,0,0,1,0,0,3,8,0,2,0,0,0,164,0,0,0,0,1,0,1,0,0,0,7,0,0
703,3805,371,0,1,0,8,0,11,0,4,0,3,24,0,0,1,0,0,1,0,0,25,0,11,27,1,0,0,8,0,1,3,1,0,0,1,0,0,0,1,8,2,0,5,0,0,0,191,0,0,2,0,12,0,0,1,4,0,13,1,0
733,4139,334,0,0,0,5,1,3,0,2,0,3,29,0,0,0,0,0,3,3,0,4,0,2,13,2,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,5,0,1,0,0,0,223,0,0,0,0,5,0,0,0,0,0,25,0,0
767,4517,383,0,0,0,1,1,7,3,1,0,0,7,0,0,4,3,0,2,0,0,10,0,0,2,3,2,0,12,0,0,6,0,0,0,0,1,0,0,1,2,5,0,6,0,0,0,281,0,0,0,0,14,0,0,0,0,0,9,0,0
797,4844,472,0,0,0,4,0,11,3,0,0,2,5,0,1,58,2,0,3,0,0,70,0,0,3,3,0,0,16,0,0,1,0,0,0,1,0,0,0,0,2,6,0,10,1,0,0,245,0,0,1,0,12,0,0,0,0,1,11,0,0
827,5163,410,0,0,0,2,0,4,1,0,0,1,19,0,0,69,0,0,10,0,0,30,0,0,4,4,1,0,4,0,3,3,0,0,0,0,0,0,1,1,4,10,0,3,0,0,0,224,0,0,1,0,2,1,0,0,0,0,8,0,0
861,5525,489,0,0,0,1,0,13,3,0,0,0,17,0,0,109,4,0,5,0,0,41,0,0,2,3,2,0,5,2,2,2,0,0,0,1,0,0,4,3,7,9,0,10,0,0,0,230,0,0,0,0,2,0,0,0,0,0,12,0,0
871,5631,578,0,0,0,3,2,8,1,1,0,1,8,0,0,201,1,0,14,1,0,39,0,0,5,2,0,0,5,0,1,1,0,0,0,0,0,0,1,4,7,8,0,14,0,0,2,225,0,0,0,0,3,1,0,0,0,0,18,1,0
916,6110,480,0,0,0,3,1,12,0,0,2,1,14,0,0,78,0,0,7,1,0,37,0,0,14,5,0,0,12,0,2,6,0,0,0,0,0,0,0,0,2,4,0,7,0,0,0,254,0,0,0,0,1,0,0,1,1,1,14,0,0
955,6870,418,0,0,0,3,1,1,1,3,0,3,23,0,0,24,1,0,8,2,0,42,0,0,6,8,2,0,2,0,1,11,0,0,0,0,0,0,0,1,8,4,0,10,0,0,0,237,0,0,0,0,2,0,0,0,0,0,13,1,0
985,7498,313,0,0,0,4,2,7,0,1,0,3,16,0,2,26,1,0,3,5,0,13,0,0,4,1,5,0,4,0,1,5,0,0,0,0,0,0,0,2,2,6,0,5,0,0,0,177,0,0,0,0,2,0,0,0,0,0,16,0,0
1015,8126,579,0,1,0,8,0,10,0,0,0,4,11,0,0,242,1,0,0,1,0,3,0,0,4,3,0,0,3,0,1,4,0,0,0,0,0,0,0,2,0,5,0,15,0,0,1,221,0,0,0,0,7,0,0,0,0,0,30,2,0
1059,9048,1256,1,0,0,2,0,14,2,0,0,7,13,0,0,858,11,0,7,1,0,36,0,0,1,2,1,0,14,0,0,3,0,0,0,0,0,0,0,6,8,28,0,10,0,0,2,182,0,0,0,0,11,0,0,1,1,0,34,0,0
1069,9257,151,0,0,0,0,0,9,0,0,0,3,5,0,0,1,8,0,3,0,0,23,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,9,4,31,0,0,0,0,8,26,0,0,0,2,0,0,0,0,0,0,4,2,0
1099,11273,395,1,0,0,3,5,5,0,7,0,37,5,0,2,0,1,0,1,5,0,10,0,0,0,4,11,0,10,0,11,0,0,0,0,0,0,0,2,13,44,53,0,1,0,0,3,106,0,0,0,0,2,0,0,0,1,0,51,0,1
1145,11784,405,4,0,0,4,6,2,2,22,0,34,4,0,1,0,1,0,2,6,0,7,0,0,0,7,12,0,3,0,9,1,0,1,0,0,0,0,11,33,12,47,0,1,0,0,3,113,0,0,0,0,2,0,0,0,2,0,53,0,0
1175,12117,375,6,0,0,2,10,4,2,35,0,15,3,0,2,0,0,0,0,4,0,5,0,0,0,13,17,0,4,0,4,0,0,5,0,0,0,0,8,26,3,53,0,2,0,0,1,79,0,0,0,0,3,0,0,2,1,0,66,0,0
1205,12495,368,15,0,0,3,13,5,2,70,0,15,1,0,3,0,0,0,1,4,0,6,0,0,0,9,29,0,3,0,1,0,0,2,0,0,0,0,13,49,3,34,0,0,0,1,3,38,0,0,0,0,5,0,0,1,0,1,38,0,0
1239,13026,325,12,0,0,0,12,4,3,40,0,11,2,0,0,0,0,0,1,0,0,2,0,4,0,3,3,0,1,0,0,0,0,1,0,0,0,0,30,82,3,48,0,3,0,0,15,26,0,0,0,0,2,0,0,0,0,0,17,0,0
1259,13339,370,31,0,0,1,11,1,7,35,0,7,1,0,0,0,1,0,1,3,0,4,0,0,0,2,9,0,3,0,1,0,0,6,0,0,0,0,73,66,0,31,0,0,0,0,18,28,0,0,0,0,4,0,0,0,1,0,25,0,0
1289,13807,419,21,0,0,6,13,7,5,25,0,12,4,1,3,3,2,1,1,12,0,6,0,0,0,8,10,0,6,0,2,0,0,8,0,0,0,0,76,41,3,39,0,0,0,0,17,58,0,0,1,0,4,0,0,0,0,0,24,0,0
1299,13963,370,63,0,0,0,10,11,12,2,0,15,0,0,2,1,1,0,3,12,0,9,0,0,1,7,20,0,3,0,0,0,0,5,0,0,0,0,73,1,0,0,0,0,0,0,59,39,0,0,1,0,3,0,1,1,1,0,14,0,0
1309,NA,400,74,0,0,2,7,13,12,4,0,48,5,0,3,0,2,0,3,14,0,13,0,0,1,5,34,0,10,0,0,0,0,5,0,0,0,0,42,0,0,1,0,1,0,0,28,36,0,0,0,0,4,0,3,3,1,0,26,0,0
1799,NA,338,12,0,0,1,17,2,2,49,0,21,1,0,0,0,0,0,0,6,0,5,0,0,0,6,27,0,3,0,1,0,0,4,0,0,0,0,16,39,0,38,0,0,0,0,5,39,0,0,0,0,2,0,0,0,0,0,42,0,0
1819,NA,425,23,0,0,5,16,1,2,75,0,16,3,0,1,0,0,0,0,10,0,5,0,0,0,2,25,0,1,0,2,0,0,3,0,0,0,0,20,47,1,49,0,0,0,0,9,55,0,0,0,0,3,0,0,0,0,0,51,0,0
1829,NA,434,22,0,0,1,17,2,1,74,0,15,1,0,0,0,2,0,1,10,0,8,0,0,0,4,25,0,4,0,3,0,0,4,0,0,0,0,27,57,1,35,0,1,0,0,2,63,0,0,0,0,4,0,0,0,0,0,50,0,0
