"sample.depths","sample.ages","upland.sum","Acer.undiff.","Betula","Carya","Cephalanthus","Corylus","Cyperaceae","Ericaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Liquidambar","Morus","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Populus","Amaranthaceae","Poaceae","Rosaceae","Urtica","Acer.saccharum","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.trees.and.shrubs","Other.herbs","Picea","Tilia","Acer.saccharinum","Pinus.strobus","Abies","Artemisia","Celtis","Galium","Larix","Tsuga","Fagus","Rhus","Rhamnus","Thalictrum","Iva.annua","Cupressaceae","Shepherdia.canadensis","Castanea"
102,12312,355,0,7,3,0,5,32,0,13,68,0,1,43,4,1,52,6,4,19,1,1,25,2,17,0,2,1,0,0,1,0,3,31,0,0,1,4,0,2,0,3,0,1,0,1,0,1,0,0,0
110,12507,366,0,6,3,0,6,34,0,2,52,0,0,62,4,0,45,10,6,12,1,1,17,2,21,1,0,1,0,0,1,0,0,61,0,2,0,3,4,1,0,2,1,0,0,0,3,0,2,0,0
126,12945,356,0,6,4,0,5,38,0,6,58,0,1,44,6,2,52,8,0,12,0,3,14,1,22,0,0,2,0,0,1,0,0,60,0,0,0,6,1,2,0,0,1,1,0,0,0,0,0,0,0
130,13065,384,0,3,7,0,5,39,0,4,56,0,0,43,4,0,63,8,7,15,0,2,8,0,25,0,0,4,2,0,3,1,1,70,0,0,0,4,2,2,0,1,0,2,0,0,1,1,1,0,0
142,13447,363,0,7,5,0,13,27,0,6,42,0,0,40,3,0,76,4,2,6,0,4,4,0,14,1,1,3,0,0,1,0,0,90,1,0,0,3,2,3,2,1,0,1,0,0,0,0,1,0,0
150,13721,322,0,5,4,0,4,40,0,1,41,0,2,40,3,0,45,8,6,10,0,2,4,1,23,1,0,1,1,0,0,0,0,67,0,0,0,9,1,0,1,0,0,0,0,0,1,0,0,1,0
166,14318,504,0,6,1,0,1,51,1,3,73,0,0,62,10,1,50,15,9,5,2,3,5,4,40,2,0,1,0,0,0,0,0,146,0,1,0,2,4,2,0,1,0,0,1,0,0,0,1,0,1
182,14978,326,0,8,0,0,0,19,1,0,42,0,0,23,7,0,37,12,5,2,4,1,8,1,12,1,0,0,0,0,0,0,0,134,0,0,0,1,0,2,0,3,0,0,0,1,1,0,0,1,0
198,NA,329,0,2,0,0,0,21,0,0,8,0,0,9,11,0,15,0,6,1,2,1,0,0,14,0,0,0,0,0,6,0,0,222,1,0,0,4,4,0,0,1,0,0,0,0,1,0,0,0,0
214,NA,333,0,2,1,0,3,20,0,0,21,0,0,6,3,0,29,1,3,0,8,1,4,0,8,0,0,0,0,0,5,0,1,202,0,1,0,2,4,0,0,7,0,0,0,0,1,0,0,0,0
230,NA,476,0,0,0,0,2,28,0,0,10,0,1,10,7,0,23,1,4,2,6,1,0,2,18,1,0,0,0,0,3,0,0,342,0,0,0,4,3,1,0,7,0,0,0,0,0,0,0,0,0
260,NA,420,0,0,1,0,0,24,0,1,16,0,0,5,5,0,18,3,1,1,1,0,2,0,8,0,0,0,0,0,2,0,0,316,0,0,0,7,4,0,0,5,0,0,0,0,0,0,0,0,0
292,NA,362,0,1,1,0,1,24,0,0,7,0,0,5,7,0,16,3,4,0,4,2,0,1,6,1,0,0,1,0,3,0,0,253,0,0,0,5,6,0,0,8,0,0,0,0,2,1,0,0,0
332,NA,388,0,1,2,0,1,32,0,0,19,0,0,5,11,2,26,2,5,3,9,1,1,3,11,0,0,0,1,0,4,1,0,226,0,0,1,0,11,0,0,8,0,1,0,0,1,0,0,0,0
358,NA,361,0,3,0,0,0,16,0,0,10,0,0,4,13,0,18,1,5,1,7,1,2,0,8,0,0,0,0,0,3,0,1,242,0,0,0,2,17,0,0,5,0,0,0,0,2,0,0,0,0
