"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Salix","Alnus","Pinus","Poaceae","Quercus","Populus","Abies","Larix","Asteraceae.subf..Asteroideae.undiff.","Corylus","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Plantago","Rosaceae","Fraxinus","Myrica","Ambrosia.type","Shepherdia","Herbs.undiff.","Ostrya.Carpinus","Trees.undiff.","Polygonaceae.undiff.","Elaeagnus","Juglans","Rumex","Asteraceae.subf..Cichorioideae","Ericaceae","Ephedra","Cupressaceae"
165,3655,278,19,69,1,6,37,5,52,76,7,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,4152,317,23,43,2,3,35,14,39,138,10,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0
205,4649,292,13,43,2,2,41,5,40,133,7,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,5395,237,17,83,0,3,15,8,44,48,10,1,0,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
245,5643,243,15,52,1,9,24,1,31,87,13,0,0,0,0,1,0,4,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
255,5892,233,16,102,4,0,17,2,25,53,5,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
275,6389,282,38,100,9,0,10,2,69,33,9,1,0,0,0,1,2,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
295,6886,221,24,65,9,6,11,11,42,23,17,0,1,0,0,3,1,0,1,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
315,7383,209,25,44,9,7,9,8,43,36,15,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
335,7880,243,47,59,12,7,12,9,31,33,22,0,0,0,0,2,1,0,3,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
355,8377,328,56,85,23,10,12,8,45,61,21,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
365,8626,339,48,78,8,12,21,2,50,79,28,1,0,1,0,1,3,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
375,8874,268,41,63,13,14,30,13,14,35,29,0,0,3,0,3,0,2,0,0,0,0,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0
385,9123,313,51,0,24,20,19,5,47,85,45,0,0,2,0,1,2,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0
395,9371,291,50,32,11,24,17,5,28,84,32,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
405,9620,331,45,47,19,34,28,4,40,65,23,0,0,2,0,6,3,0,1,0,0,1,0,3,5,2,1,0,0,0,0,0,0,2,0,0,0
415,9868,235,32,21,26,9,17,11,32,13,56,1,0,0,0,6,0,0,0,0,0,2,0,0,6,1,1,0,0,1,0,0,0,0,0,0,0
425,10117,379,49,38,36,49,91,10,21,50,19,0,0,1,0,1,1,0,1,0,0,0,0,0,6,2,1,0,0,0,0,0,0,1,1,1,0
435,10365,301,43,37,13,14,98,13,7,31,30,0,1,0,0,3,0,0,3,0,0,2,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0
445,10614,341,97,41,20,31,54,15,5,17,39,0,0,0,0,5,5,0,1,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
455,10862,307,40,48,14,33,79,17,1,17,16,0,4,0,0,6,4,0,4,0,1,0,0,0,1,5,11,1,0,0,0,0,0,0,1,0,4
465,11111,246,24,28,4,4,167,2,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0
475,11359,313,29,78,5,3,141,17,6,13,4,0,1,5,0,4,1,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
485,11608,271,15,40,7,10,160,3,1,14,2,0,0,1,0,1,0,2,0,0,0,3,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0
493,11807,277,21,30,5,9,172,14,5,7,3,1,5,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
496,11881,241,9,7,3,2,208,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
500,11981,263,23,14,4,11,178,8,2,9,1,1,2,1,0,2,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0
505,NA,216,5,6,0,3,192,1,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
510,NA,234,11,5,5,4,180,1,1,16,2,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0
