"sample.depths","sample.ages","Abies","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Campanulaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cheilanthes","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Eriocaulon","Fagopyrum","Fagus","Filicopsida.undiff.","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Hippuris.vulgaris","Humulus","Huperzia.lucidula","Huperzia.selago","Ilex.Nemopanthus","Indeterminable","Iva.undiff.","Iva.xanthifolia.type","Juglans","Lamiaceae","Larix","Lemnaceae","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum","Populus","Potentilla","Prunus","Pteridium.type","Quercus","Ranunculaceae","Rosaceae.undiff.","Rubus","Rumex","Salix","Sambucus","Saxifraga.type","Shepherdia.canadensis","Sparganium.type","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete..undiff.","Urtica.type"
460,1159,2,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,69,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,1,0,4,0,0,1,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,22,19,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,75,0,4,3,0,0
480,1497,0,0,0,4,0,8,0,3,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,69,0,0,6,0,0,0,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,9,19,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,98,0,1,2,0,0
500,1847,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,71,0,1,0,1,0,1,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,0,43,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,62,27,1,0,1,0,1,0,33,0,0,0,0,1,0,0,1,0,0,0,42,0,3,4,0,0
520,2194,0,0,0,3,0,8,0,1,1,1,0,0,0,0,1,0,94,0,0,0,1,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,61,0,0,5,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,64,12,2,0,1,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,42,0,1,5,0,0
540,2537,1,0,0,4,0,8,0,1,1,0,0,0,0,0,1,0,90,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,1,0,65,0,0,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,3,8,18,15,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,81,0,2,4,0,0
560,2879,0,0,0,5,0,10,4,2,3,0,0,0,0,0,0,0,91,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,16,24,2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,2,0,5,113,0,4,2,0,0
580,3222,0,0,0,2,0,4,0,1,0,0,0,0,0,0,3,0,57,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,85,0,0,9,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,14,23,0,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,48,0,6,2,0,0
600,3569,0,0,0,4,0,10,0,2,5,0,0,0,0,0,5,0,82,0,1,0,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,117,0,0,7,0,0,0,0,4,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,21,2,2,82,33,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,3,65,0,5,0,1,0
620,3924,0,0,0,7,1,18,0,4,2,0,0,1,0,1,1,0,110,0,0,0,1,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,70,0,0,8,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,144,3,2,0,0,0,0,0,109,0,0,0,0,0,1,0,0,0,0,2,42,0,4,5,0,0
640,4286,0,0,0,8,0,11,0,3,1,0,0,0,1,0,0,0,111,0,0,0,1,1,1,0,4,0,0,6,0,1,0,0,0,0,0,0,0,1,0,77,0,0,8,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,23,1,0,117,4,2,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,20,0,3,6,0,0
660,4641,0,0,0,4,0,12,0,4,1,0,0,1,0,0,0,0,215,0,0,0,0,0,1,1,3,0,0,8,1,0,0,0,0,2,0,0,0,0,0,93,0,0,8,0,0,0,0,5,12,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,13,1,1,58,73,0,0,2,0,0,1,219,0,0,0,0,0,0,0,0,0,0,0,5,0,9,5,0,0
680,4976,0,0,1,2,0,5,0,1,1,0,0,0,0,1,1,0,65,0,0,0,1,0,0,0,1,1,0,16,0,0,0,0,0,2,0,0,0,0,0,61,0,0,8,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,6,36,52,0,0,1,0,0,2,72,0,0,0,0,1,0,0,0,0,0,0,20,0,3,1,1,0
700,5276,0,0,0,1,0,13,0,3,1,0,0,1,0,0,2,0,115,0,0,0,1,0,0,0,2,0,0,6,0,0,0,0,0,1,0,6,0,0,0,69,0,0,12,1,0,0,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,17,0,3,60,9,2,0,0,0,0,0,49,1,0,0,0,1,0,0,0,0,0,0,43,0,2,6,0,0
720,5526,0,0,0,4,0,12,1,1,0,0,0,1,0,0,1,0,63,0,0,0,1,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,136,0,0,0,2,0,0,0,87,0,0,0,0,0,1,0,0,0,0,0,60,0,9,6,0,0
740,5717,1,0,0,0,0,6,0,6,2,1,0,0,0,0,3,0,84,0,0,0,2,0,0,0,2,0,0,7,1,1,0,0,0,1,0,0,0,0,0,58,0,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,38,16,1,0,1,0,0,5,47,0,0,0,0,0,0,0,0,0,0,0,90,0,8,2,0,0
760,5855,0,0,0,3,0,9,0,3,1,1,1,0,1,0,3,0,116,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,69,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,58,38,1,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1,115,0,6,7,0,0
780,5951,0,0,0,3,0,5,0,1,3,0,0,0,0,0,1,0,83,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,44,0,0,11,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,29,44,1,0,0,0,0,1,101,0,0,0,0,0,0,0,0,0,0,0,129,0,6,3,0,0
800,6012,0,0,0,0,0,2,0,0,4,2,2,2,0,1,0,0,54,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,17,0,7,0,0,0,0,0,1,6,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,0,4,47,18,0,0,2,0,0,1,51,0,0,0,0,1,0,0,0,0,0,0,77,0,4,3,0,0
820,6049,0,0,0,2,0,9,1,1,0,1,0,1,0,0,1,0,80,0,0,0,0,0,0,0,3,0,0,12,1,0,0,0,0,2,0,0,0,0,0,35,0,0,6,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,15,1,4,38,10,2,0,2,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,96,0,7,3,0,0
840,6076,0,0,0,3,0,6,0,2,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,0,0,0,0,34,0,0,12,0,0,0,0,2,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,1,15,16,1,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,70,0,6,2,0,0
860,6112,0,0,0,1,0,6,2,1,2,0,0,0,0,0,2,0,91,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,17,21,3,0,1,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,95,0,10,2,0,0
880,6177,0,0,0,6,0,1,0,2,5,0,0,0,0,0,0,2,81,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,55,0,0,14,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,9,21,0,0,1,0,1,0,26,0,0,1,0,1,0,0,0,0,0,0,109,0,8,0,0,0
900,6292,0,0,0,7,0,11,0,1,2,0,0,1,0,0,1,0,73,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,3,0,0,0,0,0,37,0,0,7,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,78,10,1,0,1,0,0,1,63,0,1,0,0,1,0,0,0,0,0,0,70,0,7,3,0,0
920,6475,0,0,0,2,0,5,0,5,0,0,0,0,0,0,3,0,51,0,0,0,2,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,23,0,0,7,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,4,71,7,1,0,1,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,64,0,11,3,0,0
940,6724,0,0,0,4,0,8,0,1,2,2,0,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,14,0,0,14,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,15,39,37,0,0,1,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,98,0,18,3,0,0
960,7018,0,0,0,0,0,4,1,6,3,0,0,0,0,0,1,0,56,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,40,30,1,0,1,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,53,0,9,1,0,1
980,7337,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,1,45,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,7,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,93,82,0,0,2,0,0,2,55,0,0,0,0,2,0,0,0,0,0,0,46,0,6,1,0,0
1000,7671,0,0,0,3,0,3,0,7,1,2,0,2,0,0,1,0,43,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,3,9,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,1,6,179,16,6,0,0,0,0,0,81,0,0,0,0,1,0,0,0,0,0,0,92,0,1,1,0,0
1020,8026,0,2,0,0,0,4,0,1,3,3,0,2,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,81,10,2,0,3,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,30,0,5,2,0,0
1040,8417,4,0,0,0,0,1,0,1,3,0,0,1,0,0,2,0,41,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,15,80,57,3,0,2,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,28,0,4,0,0,0
1060,8855,0,0,0,0,0,3,0,5,4,1,0,2,0,0,3,0,85,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,13,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,18,80,82,2,0,3,0,0,7,103,0,0,0,0,2,0,1,0,1,0,0,15,0,6,4,0,0
1080,9353,1,0,0,0,0,2,0,8,2,1,1,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,79,70,0,0,2,0,0,6,105,0,0,0,0,0,0,0,0,0,1,0,10,0,7,0,0,0
1100,9895,1,0,0,1,0,0,0,2,3,4,0,0,0,0,1,0,53,0,0,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,25,76,31,0,0,2,0,0,2,58,0,0,0,0,1,0,0,0,0,0,0,8,0,8,0,0,0
1120,10427,5,0,0,2,0,3,0,3,2,2,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,14,0,6,85,13,1,0,5,0,0,7,100,0,0,0,0,3,0,0,0,0,0,0,3,0,3,2,0,0
1140,10892,4,0,0,4,0,3,0,5,0,3,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,30,188,126,0,0,2,0,0,2,122,0,0,0,0,2,0,0,0,0,0,0,10,0,7,4,0,0
1160,11263,9,0,0,3,0,1,0,3,3,5,0,0,0,2,0,0,323,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,2,0,0,4,0,0,1,0,0,8,0,1,0,0,0,5,0,0,0,2,2,0,0,1,0,3,2,0,0,0,0,1,0,0,5,18,20,50,65,2,0,10,0,0,5,26,0,0,0,0,3,0,0,0,0,0,0,1,0,2,3,0,0
1180,11604,12,0,0,1,0,1,0,7,26,21,0,0,1,1,3,0,40,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,11,0,0,4,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,16,7,0,0,3,1,2,16,0,0,0,0,0,0,0,3,72,8,15,29,7,0,14,0,0,14,13,0,0,0,0,2,0,0,0,0,0,0,0,0,1,7,0,2
1200,11952,2,0,0,0,0,2,0,0,5,23,0,1,0,0,3,0,76,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,7,1,0,0,0,0,0,7,0,0,0,0,0,0,1,17,113,5,18,6,5,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
1220,12340,1,0,0,0,0,1,0,10,9,5,0,0,0,3,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3,200,16,16,16,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1240,12801,2,0,0,0,0,0,0,0,3,1,0,0,0,6,2,0,13,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,203,29,0,7,2,0,2,0,0,0,16,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1260,13364,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,18,0,0,2,0,0,0,0,0,0,0,3,8,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,26,1,9,2,0,4,1,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0
1280,14018,0,0,0,0,0,0,0,0,0,0,0,2,0,29,7,0,31,0,0,0,0,0,0,0,0,0,0,1,17,5,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,105,40,3,8,2,0,41,0,0,0,5,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,0,0
1310,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,22,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,28,0,2,3,0,1,2,0,1,1,0,0,0,0,4,0,0,0,0,2,0,0,0,2,2,0,0
