"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Caryophyllaceae","Castanea","Cephalanthus","Cornus","Cyperaceae","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus","Ilex","Indeterminable","Isoëtes","Itea","Juglans","Juniperus.type","Liquidambar","Lycopodiaceae","Myrica","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonum.cf..P..hydropiperoides","Polypodium.type","Pontederiaceae","Potamogetonaceae","Pteridium.type","Quercus","Sagittaria","Salix","Sanguisorba","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Unknown..monolete.","Utricularia","Vitis"
340,20709,1,0,0,0,0,1,6,0,1,4,0,1,1,3,0,0,0,0,15,0,0,0,0,0,0,0,53,0,0,0,0,0,0,5,10,1,2,0,0,3,4,231,0,19,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0
350,20949,0,0,0,1,0,2,0,0,1,3,0,0,0,2,0,0,0,0,10,0,1,0,0,2,0,0,150,0,0,0,0,0,0,0,3,1,2,0,0,5,4,249,0,6,0,0,0,1,0,15,1,0,0,2,0,2,0,0,1,3,0,0,0
360,21189,0,0,0,0,0,3,2,0,0,2,0,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,33,0,0,2,0,0,0,0,1,1,2,0,0,3,5,250,0,8,0,0,0,0,0,17,3,0,1,3,0,0,0,0,1,0,0,0,0
380,21670,0,0,0,1,1,0,0,0,2,7,1,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,60,0,0,1,0,0,0,0,2,0,0,0,0,4,6,257,0,8,0,0,1,1,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0
400,22151,0,0,0,0,0,1,3,0,0,1,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,51,0,0,0,0,0,0,1,1,0,0,0,0,2,5,250,1,15,0,0,1,0,0,11,1,0,0,3,0,1,0,0,0,2,2,0,0
420,22632,0,0,0,0,0,1,6,0,0,2,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,96,0,0,0,0,1,0,0,0,1,0,0,0,4,7,248,0,15,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,2,0,0,0
440,23113,0,0,0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,47,0,1,1,0,0,0,0,0,0,0,0,0,4,6,259,0,5,0,0,1,0,0,7,0,1,0,0,0,1,0,0,0,3,0,0,0
460,23594,0,0,0,1,1,0,1,0,1,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,90,0,0,2,0,1,2,0,1,0,0,0,0,4,4,258,0,11,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0
480,NA,0,0,0,1,0,1,2,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,108,0,0,3,0,0,0,0,1,0,0,0,0,1,4,271,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0,0
500,NA,1,0,0,0,0,0,1,0,1,5,0,3,0,2,0,0,0,0,7,0,1,0,0,0,0,0,216,0,1,1,0,0,0,0,0,0,1,0,0,4,8,251,0,14,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,2,0,0,0
520,NA,0,0,0,1,0,1,2,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,2,1,0,1,99,0,0,2,0,0,0,0,0,0,0,0,0,5,4,258,0,7,0,0,0,0,0,10,0,1,0,0,0,0,0,0,1,1,0,0,0
540,NA,0,0,0,1,0,2,1,1,2,3,0,5,0,3,0,0,0,0,4,0,0,0,0,1,0,0,34,0,0,2,0,0,1,1,2,1,0,0,0,1,13,249,0,7,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
550,NA,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,7,0,0,0,0,0,0,0,57,0,1,1,0,0,0,0,0,0,0,0,0,5,20,236,0,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
560,NA,0,0,0,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,8,0,0,0,1,0,0,0,43,0,0,2,0,0,0,0,0,0,0,0,0,7,4,238,1,7,0,0,0,0,0,21,0,0,0,0,0,1,0,0,1,3,0,0,0
580,NA,0,0,0,0,0,2,0,0,0,4,0,1,0,4,0,0,0,0,7,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,1,0,0,0,0,2,15,250,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0
