"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Poaceae","Rosaceae","Thalictrum","Xanthium","Dryopteris.type","Equisetum","Lycopodium","Pteridium","Selaginella.selaginoides","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sagittaria","Sparganium.type","Typha.latifolia","Indeterminable","Unknown"
300,4197,0,11,2,8,0,1,0,5,0,12,2,2,0,0,0,0,8,0,20,0,0,21,1,0,0,7,6,0,0,0,0,0,0,0,0,35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
310,4338,0,14,2,15,1,0,0,5,0,19,1,2,0,0,0,0,2,0,25,1,0,12,1,0,3,6,5,0,2,0,1,0,0,1,0,82,0,2,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0
320,4479,1,12,2,17,1,0,0,4,0,14,4,0,0,0,0,0,5,0,18,1,0,18,0,0,1,4,5,0,0,0,0,1,0,0,0,48,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,0,0,4,0
330,4619,0,7,2,5,1,0,0,7,0,12,4,5,0,0,0,0,6,3,27,0,0,26,0,0,2,1,8,0,1,0,0,0,0,0,0,54,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
340,4760,0,11,1,8,0,0,0,8,0,9,4,6,0,0,0,0,4,0,30,0,0,28,0,0,2,5,9,0,1,0,1,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
350,4901,0,6,1,4,0,1,0,1,0,6,6,1,0,0,0,0,7,0,27,0,0,28,0,0,1,3,14,0,1,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
360,5042,0,9,2,10,2,0,0,4,0,13,5,4,0,0,0,0,6,0,26,1,0,19,0,0,1,4,5,0,0,0,0,1,0,1,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
365,5112,0,9,1,17,0,0,1,3,0,12,5,9,0,0,1,0,3,0,24,0,0,14,0,0,0,7,6,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
370,5390,1,4,1,5,1,0,0,0,0,1,2,1,1,0,0,0,12,1,60,1,1,9,0,0,3,20,11,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
380,5945,1,3,0,5,0,0,1,0,0,1,2,1,0,0,0,0,6,55,70,0,0,11,0,0,1,5,3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
390,6500,1,5,0,10,0,0,1,1,0,2,1,1,0,0,0,0,7,1,61,0,0,15,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
400,7056,1,4,0,12,0,0,0,1,0,0,0,2,1,0,1,0,3,0,84,1,0,10,1,0,0,2,6,0,1,0,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
410,7611,0,3,1,5,0,0,0,0,0,0,1,0,0,0,0,0,4,1,68,0,1,17,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
420,8166,4,2,1,8,0,0,0,0,0,0,0,0,0,0,1,0,7,0,62,0,0,21,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
430,8721,2,1,1,7,0,0,0,0,0,0,1,2,0,0,0,1,2,0,72,1,0,12,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0
440,9277,1,0,0,10,1,0,0,1,0,1,3,4,0,0,0,1,4,1,60,0,0,21,0,0,0,2,8,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
450,9832,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,4,2,81,0,0,10,0,0,0,0,7,0,0,0,1,0,0,0,2,6,0,0,0,7,0,0,3,0,0,0,0,1,6,0,0,0,0,0,0
460,10387,0,1,0,12,0,0,0,2,0,0,0,1,0,0,0,0,7,2,66,0,0,6,1,0,0,1,4,1,0,0,0,0,0,0,5,6,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0
470,10942,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,2,82,0,0,4,2,0,0,1,2,0,0,0,0,0,0,0,4,4,0,0,0,1,6,1,1,0,0,0,0,1,0,0,0,0,2,3,0
475,11069,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,89,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0
480,11196,1,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,1,4,84,0,0,9,2,1,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,3,1
490,11450,4,0,1,4,1,0,0,0,0,1,1,1,0,0,7,0,0,5,93,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,1
500,11704,4,0,3,4,1,0,1,1,0,0,0,0,1,0,10,0,4,28,54,0,0,6,1,0,0,1,4,0,0,0,0,2,0,0,11,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,5,4,0
510,NA,3,0,2,4,0,0,1,1,0,0,0,1,1,0,21,0,3,36,45,0,0,9,1,0,0,0,5,0,1,0,4,0,0,0,42,1,0,0,0,0,3,0,2,0,0,0,1,5,0,0,0,0,11,4,0
515,NA,2,0,1,11,1,0,0,0,0,0,0,2,0,0,15,0,0,40,35,1,0,8,3,1,0,1,4,0,0,1,0,1,0,0,25,1,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,1,10,5,3
520,NA,0,0,3,11,1,0,0,3,0,0,0,2,0,0,2,0,1,30,40,0,0,9,4,0,0,0,5,0,0,0,4,3,0,0,28,1,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,2,1,2
530,NA,0,0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,49,43,0,0,2,2,0,0,1,0,0,1,0,2,1,0,0,67,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,2
540,NA,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,22,58,0,0,4,3,0,0,2,4,0,3,0,3,0,0,1,117,12,0,1,0,2,0,2,0,4,1,0,0,0,0,0,0,0,0,19,5
