"sample.depths","sample.ages","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Zea.mays","Alnus","Ambrosia","Pinus","Populus","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Abies","Artemisia","Corylus","Larix","Iva.annua","Urtica","Iva.xanthifolia","Acer.rubrum","Celtis","Asteraceae.subf..Cichorioideae","Castanea","Humulus","Rosaceae.undiff.","Lamiaceae","Ranunculus","Ephedra.torreyana.type","Apiaceae","Polygonum.persicaria","Morus","Dalea.candida","Myrica","Shepherdia.canadensis","Sanguisorba","Thalictrum","Caryophyllaceae"
120,4877,0.0123711340206186,0.0350515463917526,0.00824742268041237,0.00824742268041237,0.0412371134020619,0.0288659793814433,0.218556701030928,0.00206185567010309,0.00206185567010309,0.00824742268041237,0.0185567010309278,0.00618556701030928,0.189690721649485,0.00206185567010309,0.0123711340206186,0,0,0.00618556701030928,0.00824742268041237,0.0412371134020619,0.0783505154639175,0,0,0.0103092783505155,0.158762886597938,0,0,0.0350515463917526,0.0391752577319588,0.0206185567010309,0.00206185567010309,0.00206185567010309,0.00206185567010309,0,0,0,0,0,0,0,0,0,0,0,0.00206185567010309,0,0,0,0,0,0,0,0,0,0
130,5331,0.00589970501474926,0.028023598820059,0.0132743362831858,0.00294985250737463,0.0265486725663717,0.0162241887905605,0.342182890855457,0.00294985250737463,0.00294985250737463,0.0088495575221239,0.00147492625368732,0.0265486725663717,0.176991150442478,0,0.0147492625368732,0,0.00294985250737463,0.00442477876106195,0.00442477876106195,0.0398230088495575,0.106194690265487,0,0,0.00442477876106195,0.0914454277286136,0,0,0.0088495575221239,0.0545722713864307,0.0088495575221239,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0,0.00147492625368732,0,0,0,0,0,0,0,0,0,0,0
140,5786,0.0132890365448505,0.0398671096345515,0.0149501661129568,0.00664451827242525,0.0315614617940199,0.0215946843853821,0.337209302325581,0.00332225913621262,0,0.00996677740863787,0,0.00332225913621262,0.159468438538206,0,0.0182724252491694,0,0.00498338870431894,0.00996677740863787,0.00664451827242525,0.0232558139534884,0.0946843853820598,0,0.00332225913621262,0.00498338870431894,0.0930232558139535,0,0,0.0249169435215947,0.0581395348837209,0.00830564784053156,0,0.00332225913621262,0,0,0,0,0,0,0,0,0.00166112956810631,0.00166112956810631,0,0,0,0.00166112956810631,0,0,0,0,0,0,0,0,0
150,6241,0,0.0355731225296443,0.0197628458498024,0.00592885375494071,0.00592885375494071,0.0138339920948617,0.306324110671937,0.00790513833992095,0,0.00790513833992095,0,0.00988142292490119,0.276679841897233,0,0.00592885375494071,0,0,0.00592885375494071,0.00395256916996047,0.0375494071146245,0.0355731225296443,0,0,0.0237154150197628,0.0948616600790514,0,0,0.0197628458498024,0.0711462450592885,0.00790513833992095,0,0,0.00197628458498024,0,0,0,0,0.00197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,6666,0.0154867256637168,0.0619469026548673,0.0331858407079646,0.0110619469026549,0.0221238938053097,0.0176991150442478,0.20353982300885,0.00221238938053097,0.0132743362831858,0.00442477876106195,0.00221238938053097,0.0154867256637168,0.269911504424779,0,0.0088495575221239,0,0.00221238938053097,0.00442477876106195,0.00663716814159292,0.0199115044247788,0.0309734513274336,0,0,0.0132743362831858,0.0907079646017699,0,0,0.0553097345132743,0.084070796460177,0.00442477876106195,0,0.00221238938053097,0.00221238938053097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221238938053097,0,0,0,0,0,0,0,0
165,6835,0.0077120822622108,0.0051413881748072,0.0154241645244216,0.0154241645244216,0.0231362467866324,0,0.0488431876606684,0.0051413881748072,0,0.0077120822622108,0,0.0025706940874036,0.401028277634961,0,0.012853470437018,0.0025706940874036,0.0025706940874036,0,0.0025706940874036,0.0231362467866324,0,0,0.0025706940874036,0.0308483290488432,0.218508997429306,0,0,0.0231362467866324,0.138817480719794,0.0077120822622108,0,0.0025706940874036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,7004,0.0140056022408964,0.0112044817927171,0.0140056022408964,0.00840336134453781,0.0196078431372549,0.00280112044817927,0.0420168067226891,0,0.00280112044817927,0.0196078431372549,0.00280112044817927,0.00280112044817927,0.414565826330532,0,0.00560224089635854,0,0.00280112044817927,0.00280112044817927,0.00560224089635854,0.0252100840336134,0,0,0.00280112044817927,0.0224089635854342,0.243697478991597,0,0,0.030812324929972,0.0868347338935574,0.00280112044817927,0,0.00840336134453781,0.00280112044817927,0,0,0,0,0,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,7342,0.00806451612903226,0.0241935483870968,0.00537634408602151,0.00806451612903226,0.00806451612903226,0,0.0456989247311828,0.00268817204301075,0,0.00537634408602151,0,0,0.46505376344086,0,0.010752688172043,0,0.00268817204301075,0,0.00268817204301075,0.021505376344086,0,0,0,0.0295698924731183,0.196236559139785,0.00806451612903226,0,0.0403225806451613,0.0994623655913978,0.00537634408602151,0,0,0.00537634408602151,0,0,0,0,0,0,0,0,0.00268817204301075,0,0,0,0,0,0.00268817204301075,0,0,0,0,0,0,0
190,7680,0.00879765395894428,0.0175953079178886,0.0117302052785924,0.00586510263929619,0.0117302052785924,0,0.0381231671554252,0.00293255131964809,0,0.00586510263929619,0.00293255131964809,0.00586510263929619,0.354838709677419,0,0,0,0,0.00293255131964809,0.00293255131964809,0.0175953079178886,0,0,0.00586510263929619,0.0234604105571848,0.316715542521994,0,0,0.0205278592375367,0.114369501466276,0.00879765395894428,0,0.0175953079178886,0.00293255131964809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,8018,0.0114285714285714,0.02,0.00285714285714286,0.02,0.0114285714285714,0.00285714285714286,0.0371428571428571,0,0,0,0.00285714285714286,0.00285714285714286,0.442857142857143,0,0.0142857142857143,0,0,0,0.00571428571428571,0.0314285714285714,0,0,0.00285714285714286,0.02,0.22,0,0,0.0228571428571429,0.111428571428571,0,0,0.0114285714285714,0,0,0,0,0,0,0,0,0,0,0.00285714285714286,0,0,0.00285714285714286,0,0,0,0,0,0,0,0,0
