"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Stellaria","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Diphasiastrum.complanatum","Huperzia.lucidula","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.obscurum","Lycopodium.undiff.","Osmunda","Polypodium","Pteridium","Thelypteris.palustris","Woodsia","Sphagnum","Brasenia.schreberi","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Ruppia","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Indeterminable.undiff.","Unknown"
20.5,111,1,7,4,0,4,0,0,145,3,88,0,0,0,1,6,1,61,4,1,5,3,1,1,1,0,0,16,1,2,5,2,8,55,1,1,52,0,1,0,0,1,42,7,1,21,1,0,0,1,0,0,2,0,1,0,0,1,20,0,0,0,1,15,0,0,0,0,0,3,0,0,0,0,0,1,1,0,2,0,0,1,0,12,0,0,0,0,0,0,4,1,11,3,19,4,0,0
22.5,126,0,8,4,0,1,0,0,189,6,90,0,0,0,0,1,2,34,3,2,2,1,0,0,0,0,0,6,0,3,3,4,20,41,0,0,73,0,1,0,0,0,39,4,1,27,0,0,0,0,0,0,3,0,0,0,0,0,23,1,0,0,0,21,0,0,0,1,0,1,0,0,0,0,0,3,1,0,6,0,0,3,1,30,0,0,0,0,0,1,3,1,14,4,21,9,0,1
24.5,142,1,3,1,0,4,0,0,149,2,102,0,0,0,1,0,1,54,9,2,2,4,0,0,1,0,0,5,0,1,7,4,7,57,2,0,63,0,0,0,0,1,63,8,1,19,0,0,3,0,0,2,1,0,0,0,0,0,27,0,0,0,3,10,0,0,0,1,0,3,0,0,0,0,0,1,1,0,3,0,0,1,0,23,0,1,0,0,0,0,3,1,13,3,23,1,0,1
26.5,157,1,4,6,1,5,0,0,163,1,99,0,1,0,1,3,4,45,3,2,0,4,3,0,1,0,0,5,0,1,5,1,7,56,3,0,62,0,0,0,0,0,46,2,0,17,0,0,1,0,0,1,1,0,0,1,0,0,25,0,0,0,0,23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,10,0,0,0,0,0,0,6,3,6,5,16,3,0,1
28.5,172,0,7,7,1,2,0,1,139,4,68,0,0,0,0,2,2,56,7,2,1,5,2,0,1,0,0,9,0,3,5,2,21,69,1,0,68,0,1,0,0,1,60,5,0,14,0,0,1,0,0,0,1,0,0,1,0,0,11,0,0,0,1,22,0,0,0,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,6,0,0,1,0,0,0,2,1,11,2,8,3,3,0
30.5,187,0,4,7,1,6,0,0,151,6,79,0,1,0,0,3,3,79,3,2,0,3,1,0,1,0,0,7,0,4,3,2,24,57,2,0,69,0,0,0,0,1,45,1,0,7,0,1,1,0,0,0,1,0,0,0,0,1,14,0,0,0,2,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,0,6,1,8,2,10,3,0,3
32.5,202,0,4,5,1,2,0,1,171,1,60,0,0,0,0,1,1,61,7,1,1,6,2,1,0,0,0,5,0,3,2,2,19,41,2,0,71,0,1,0,0,0,56,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,0,0,1,0,0,0,2,0,8,0,13,0,0,0
34.5,266,0,3,5,1,2,0,2,166,4,49,0,0,0,0,1,0,51,2,2,0,7,0,0,0,0,0,12,0,5,4,7,28,52,1,0,75,0,0,0,0,0,76,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,2,0,4,0,0,1,0,0,1,1,1,3,2,14,0,0,1
36.5,330,0,4,4,1,1,0,0,159,2,54,0,0,0,0,1,4,80,4,0,3,6,1,1,0,0,0,8,0,4,2,9,19,52,1,0,66,0,1,0,0,2,56,4,0,10,0,1,1,0,0,0,4,0,1,0,0,0,6,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,1,0,8,0,0,0,0,1,1,1,1,7,5,14,3,0,0
38.5,394,0,9,10,2,3,0,2,149,0,64,0,0,1,1,3,0,61,3,1,1,7,6,3,0,0,0,12,0,4,0,8,37,49,0,0,74,0,0,0,0,0,62,3,0,4,0,0,0,0,0,1,0,0,1,0,0,1,10,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,0,3,0,8,5,0,0,3,6,3,5,2,8,4,0,0
40.5,457,0,9,10,2,7,0,0,142,3,73,0,0,0,0,1,1,61,12,2,2,2,1,0,0,0,0,7,0,2,5,4,20,36,1,0,92,0,0,0,0,1,63,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,1,7,2,8,6,0,3
42.5,521,0,8,15,2,5,0,1,182,4,44,0,0,0,0,5,1,75,7,1,1,1,2,0,0,0,0,8,0,2,4,5,22,55,1,0,67,1,0,0,0,1,69,3,2,1,0,1,1,0,0,0,1,0,1,0,0,1,8,0,0,0,1,7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,1,1,1,8,3,8,4,0,1
44.5,584,0,6,17,2,2,0,1,194,0,35,0,0,0,0,0,0,62,10,1,3,6,1,0,0,0,0,9,0,3,5,5,17,59,1,0,62,1,0,0,0,1,69,2,2,3,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,0,4,0,0,0,0,0,1,5,0,9,3,9,6,0,2
46.5,641,0,4,13,2,3,0,1,171,4,28,0,0,0,0,2,2,80,11,4,1,5,1,0,0,0,0,9,0,4,9,5,22,49,1,0,54,0,0,0,0,0,64,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,0,3,0,1,0,0,0,0,3,0,5,1,11,5,0,2
48.5,679,0,5,5,2,1,0,0,172,5,37,0,0,0,0,1,0,62,6,1,1,6,0,0,0,0,0,2,1,4,7,6,22,30,2,0,91,6,1,1,0,4,65,5,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,1,0,0,0,0,0,0,2,1,10,2,12,2,0,1
50.5,717,0,6,9,2,7,0,0,180,4,30,0,0,0,0,3,2,53,8,3,3,2,3,1,1,0,0,7,0,1,7,8,23,42,1,0,61,0,0,0,0,3,74,5,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,1,1,0,10,2,4,2,0,1
52.5,755,1,4,6,2,4,0,1,153,3,29,0,1,0,1,1,2,78,5,2,0,3,1,0,0,0,0,4,0,4,6,4,16,55,0,0,78,0,0,0,0,0,88,5,0,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,3,1,5,2,5,0,0,11
54.5,793,1,10,12,1,6,0,0,166,1,21,0,0,0,10,1,1,108,5,2,0,4,1,0,0,0,0,0,0,2,9,4,14,50,1,0,68,0,0,0,0,1,102,4,1,4,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,1,0,1,0,0,0,0,0,0,3,0,6,3,9,2,0,3
56.5,830,0,10,9,0,2,0,1,175,8,17,0,0,0,2,1,0,98,6,2,3,5,1,0,0,0,0,6,1,1,5,4,12,40,1,0,48,0,0,0,0,1,103,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,3,1,5,2,5,0,0,2
58.5,868,1,6,11,1,0,0,0,163,3,14,0,1,0,0,3,1,94,5,1,1,3,1,0,0,0,0,1,0,3,3,7,15,29,0,0,45,10,1,0,0,0,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,7,3,10,1,0,1
60.5,906,0,5,9,1,2,0,0,162,6,12,0,0,0,0,1,1,87,10,3,0,4,0,0,0,0,0,9,2,2,9,9,23,35,1,0,82,0,0,0,0,0,70,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,5,2,0,2
62.5,944,0,4,11,0,2,0,0,167,2,13,0,1,0,1,4,0,110,6,4,1,6,0,0,0,1,0,11,0,2,5,6,13,31,1,0,71,0,0,0,0,2,91,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,7,3,0,1
64.5,982,0,6,10,1,2,0,0,162,6,9,0,0,0,1,2,1,114,11,2,2,1,0,0,0,0,0,19,0,2,10,14,15,25,1,0,55,0,0,0,0,0,97,4,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,3,1,0,2
66.5,1020,0,4,12,1,2,0,0,152,3,9,0,0,0,1,2,1,101,4,2,2,3,0,0,0,1,0,14,1,2,4,6,5,42,1,0,53,0,0,0,0,1,113,3,1,4,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5,0,2,2,6,1,0,2
68.5,1057,1,3,8,1,1,0,1,149,6,5,0,0,0,1,3,2,110,7,1,2,3,0,0,0,0,0,9,0,1,3,7,10,28,0,0,69,0,1,0,0,1,118,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,0,0,1
70.5,1094,0,7,12,2,1,0,0,143,5,10,0,0,0,0,1,0,116,4,4,1,2,0,0,0,0,0,10,1,3,2,5,14,29,2,1,39,0,0,0,0,1,103,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,3,2,5,2,0,1
72.5,1131,1,7,10,2,9,0,0,155,5,11,0,0,1,0,2,1,119,7,2,2,2,3,0,0,0,0,9,0,5,11,6,6,43,4,0,56,0,0,0,0,1,102,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,5,0,5,2,0,0
74.5,1168,1,3,14,2,4,0,0,141,4,4,0,0,0,0,1,1,114,11,1,1,3,1,1,0,0,0,6,1,3,5,6,14,29,1,0,69,0,0,0,0,1,102,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,4,1,0,0
76.5,1205,1,2,8,2,4,0,0,175,3,11,0,1,0,0,2,1,132,11,2,1,2,0,0,0,0,0,15,0,2,5,9,11,30,2,1,54,0,0,0,0,0,69,4,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,1,2,0,4,0,2,1,0,0
78.5,1242,1,1,9,3,3,0,1,137,2,9,0,1,0,0,3,2,107,6,0,0,2,2,0,0,0,0,5,0,3,6,5,5,54,2,0,68,0,0,0,0,1,91,2,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,6,1,2,1,0,0
80.5,1279,0,5,12,1,5,0,0,142,5,8,0,0,0,0,1,1,125,5,2,1,3,1,1,0,1,0,6,0,5,4,4,20,28,0,0,55,0,0,0,0,0,104,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,4,2,0,1
82.5,1316,0,2,10,2,1,0,1,143,4,8,0,1,0,1,1,2,96,15,5,3,2,1,0,0,1,0,8,0,5,5,8,20,42,3,0,52,0,0,0,0,1,92,9,0,1,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,2,0,5,0,6,1,0,0
84.5,1353,3,3,6,2,2,0,0,167,5,15,0,1,1,0,2,2,82,8,1,0,4,0,0,0,0,0,13,0,5,3,6,21,62,1,0,57,0,0,0,0,0,87,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,3,0,1,0,0,0,1,2,0,6,1,3,2,0,1
86.5,1390,0,5,8,2,1,0,2,210,4,6,0,1,0,0,1,1,92,7,1,0,2,2,0,0,0,0,5,1,2,6,7,16,45,2,0,48,0,0,0,0,0,85,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,4,0,0,1
88.5,1427,0,3,12,4,2,0,1,179,5,2,0,1,0,0,1,1,109,8,4,1,1,0,0,0,0,0,7,1,2,3,3,22,36,1,0,50,0,1,0,0,1,66,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1,3,1,0,0
90.5,1464,0,5,7,2,4,0,1,166,14,6,0,0,0,0,2,0,90,6,4,2,1,1,0,0,0,0,6,1,2,2,6,21,40,2,0,72,0,0,0,0,1,82,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,1,6,5,0,0
92.5,1501,1,3,12,1,4,0,2,189,7,1,0,1,0,0,1,1,101,5,2,1,0,0,0,0,0,0,6,1,2,4,4,39,41,2,0,60,0,0,0,0,0,70,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,3,0,4,0,3,0,0,0
94.5,1521,0,5,10,2,1,0,1,158,7,4,0,0,1,0,1,1,112,9,1,2,1,0,0,0,0,0,2,0,3,2,1,39,29,1,0,43,0,0,0,0,2,90,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,2,0,3,1,3,0,0,0
96.5,1535,0,2,8,2,6,0,2,180,3,10,0,1,0,0,1,2,100,8,1,3,2,1,0,0,0,0,5,1,5,1,2,27,30,1,0,59,0,1,0,0,1,71,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,3,0,1,0,0,0,0,2,0,3,1,10,3,0,0
98.5,1550,1,3,9,1,6,0,0,160,4,6,0,0,0,0,0,1,85,11,1,0,2,1,0,0,0,0,2,0,3,2,3,21,27,0,0,66,0,0,0,0,1,95,5,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,0,0,0,0,0,1,2,0,3,2,9,4,0,3
100.5,1564,0,5,9,2,3,0,0,133,4,3,0,0,0,1,0,4,95,3,3,1,3,0,0,0,0,0,3,1,4,1,2,18,36,1,0,88,0,0,0,0,0,102,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,3,0,0,0,0,0,0,4,1,5,2,10,2,0,0
102.5,1579,0,4,9,4,0,0,0,137,4,6,0,0,0,1,0,1,81,11,4,0,1,1,0,0,0,0,7,0,1,1,3,18,38,2,0,59,0,0,0,0,1,123,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,5,0,2,1,6,4,0,2
104.5,1593,0,9,15,1,1,0,1,97,4,11,0,1,0,1,0,0,117,4,0,3,4,2,0,0,0,0,2,0,3,0,4,14,35,3,1,78,0,0,0,0,1,98,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,3,0,0,0,0,0,1,3,1,0,3,2,2,0,0
106.5,1607,0,10,13,3,3,0,1,110,7,8,0,0,0,0,0,1,96,9,1,1,6,1,0,0,0,0,6,0,2,0,2,5,28,2,0,61,0,0,0,0,1,143,4,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,9,1,0,0
108.5,1622,0,6,13,4,2,0,1,103,3,9,0,0,0,0,3,2,84,4,4,1,4,2,0,0,0,0,7,0,2,0,3,8,29,0,0,66,0,0,0,0,2,153,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,2,0,0,0,0,0,0,2,0,2,3,9,2,0,1
110.5,1636,0,12,13,1,3,0,0,166,3,2,0,0,0,0,2,2,121,11,0,2,3,3,0,0,0,0,9,0,2,2,8,11,12,0,0,55,0,0,0,0,2,120,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,3,1,2,2,3,2,0,1
112.5,1651,0,5,11,1,1,0,0,115,6,6,0,1,0,1,1,1,128,6,1,3,5,3,0,0,0,0,11,0,1,0,2,14,39,0,0,55,0,0,0,0,1,107,4,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0,1,0,2,0,0,0,0,0,0,6,0,4,1,5,1,0,0
114.5,1665,0,9,17,2,1,0,0,152,8,4,0,1,0,2,1,0,129,6,2,2,7,0,0,0,0,0,5,0,4,0,1,10,31,0,0,47,0,0,0,0,2,95,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,5,2,0,0
116.5,1680,1,3,13,1,3,0,2,100,11,2,0,0,0,0,1,0,112,5,2,1,4,1,0,2,0,0,8,0,1,2,3,11,25,2,0,63,0,0,0,0,1,133,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,1,4,2,2,3,0,0
119.5,NA,0,3,10,1,2,0,0,111,6,4,0,0,0,0,0,3,127,8,6,3,6,0,0,0,0,0,11,0,2,1,1,6,25,4,0,55,0,0,0,0,1,144,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,1,8,4,0,1
