"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Alnus","Myrica","Poaceae","Brassicaceae","Lamiaceae","Prunus.Sorbus","Acer.spicatum","Iva.xanthifolia.type","Potentilla.type","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Galium","Ledum.Chamaedaphne.calyculata","Xanthium","Ericaceae.undiff.","Carya","Ceanothus","Juglans.nigra","Tsuga","Ephedra","Amorpha.type","Arceuthobium","Rhamnus","Iva.annua.type","Herbs.undiff.","Tilia","Cannabaceae","Populus.undiff.","Rosaceae.undiff.","Dalea","Celtis","Viburnum","Fagus","Juglans.cinerea","Saxifragaceae","Plantago","Bidens.type","Ranunculus","Rumex","Impatiens","Rosaceae.trees","Taxus","Campanulaceae","Asteraceae.subf..Cichorioideae","Primulaceae","Polygonum","Acer.saccharinum.type","Shepherdia.argentea","Shepherdia.canadensis"
615,5994,0.00307219662058372,0,0,0,0.0168970814132104,0.0153609831029186,0.162826420890937,0,0.0076804915514593,0.00307219662058372,0.00153609831029186,0.0199692780337942,0.00921658986175115,0.00460829493087558,0,0.043010752688172,0.00307219662058372,0.021505376344086,0.235023041474654,0.230414746543779,0,0,0.00153609831029186,0.105990783410138,0.00460829493087558,0,0,0.0199692780337942,0.0537634408602151,0.00921658986175115,0.0168970814132104,0,0,0,0,0,0,0,0.00460829493087558,0,0,0,0,0,0,0,0,0,0,0.00153609831029186,0,0,0,0,0.00307219662058372,0,0,0,0,0,0,0,0,0,0,0.00153609831029186,0,0,0,0,0,0,0,0,0,0,0,0
620,6115,0.001953125,0.001953125,0,0,0.01171875,0.021484375,0.1171875,0,0.009765625,0.009765625,0.001953125,0.017578125,0.01171875,0.00390625,0,0.02734375,0,0.033203125,0.388671875,0.15234375,0,0,0,0.109375,0.001953125,0,0,0.029296875,0.021484375,0.0078125,0.01171875,0,0,0,0,0,0,0,0.00390625,0,0,0,0.001953125,0,0,0,0,0,0,0,0,0,0,0,0.001953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,6236,0,0,0,0,0.0192926045016077,0.0241157556270096,0.183279742765273,0,0.0128617363344051,0.00482315112540193,0,0.0241157556270096,0,0.00160771704180064,0,0.0273311897106109,0.00160771704180064,0.00803858520900321,0.20096463022508,0.278135048231511,0,0,0.00321543408360129,0.0964630225080386,0.00964630225080386,0,0,0.0112540192926045,0.0385852090032154,0.00643086816720257,0.0257234726688103,0,0,0,0,0,0,0,0.00643086816720257,0,0.00160771704180064,0,0,0,0,0.00160771704180064,0,0,0,0,0,0,0.00321543408360129,0,0.00482315112540193,0,0,0,0,0,0,0,0,0,0,0.00160771704180064,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0
650,6841,0.00371747211895911,0,0,0,0.0130111524163569,0.033457249070632,0.157992565055762,0,0.00743494423791822,0.016728624535316,0,0.0185873605947955,0.0130111524163569,0.00557620817843866,0,0.0204460966542751,0.00929368029739777,0.0111524163568773,0.16728624535316,0.236059479553903,0,0,0.00185873605947955,0.163568773234201,0.00743494423791822,0.00557620817843866,0,0.016728624535316,0.0315985130111524,0.00557620817843866,0.0353159851301115,0,0,0,0,0,0,0,0.0130111524163569,0,0,0,0,0,0,0,0,0,0,0.00185873605947955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185873605947955,0,0.00185873605947955,0,0,0,0,0,0,0,0,0,0
660,7083,0,0,0.00161290322580645,0,0.00967741935483871,0.0258064516129032,0.12258064516129,0,0.0129032258064516,0.0064516129032258,0,0.0338709677419355,0.0193548387096774,0.00161290322580645,0.00161290322580645,0.032258064516129,0.0064516129032258,0.0306451612903226,0.133870967741935,0.325806451612903,0,0,0.00483870967741936,0.117741935483871,0,0,0,0.0209677419354839,0.0274193548387097,0.0209677419354839,0.0274193548387097,0,0,0,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0.00161290322580645,0.00161290322580645,0,0.00161290322580645,0,0,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0.00483870967741936,0,0,0,0,0,0,0,0,0,0,0,0
665,7204,0.00131578947368421,0,0.00263157894736842,0,0.0236842105263158,0.0210526315789474,0.119736842105263,0,0.0157894736842105,0.0197368421052632,0.00131578947368421,0.0421052631578947,0.00657894736842105,0.00394736842105263,0.00131578947368421,0.043421052631579,0.00263157894736842,0.0131578947368421,0.0855263157894737,0.253947368421053,0,0,0.00657894736842105,0.139473684210526,0.0118421052631579,0,0,0.0315789473684211,0.0539473684210526,0.043421052631579,0.0368421052631579,0,0,0,0,0,0,0.00263157894736842,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0.00131578947368421,0,0,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131578947368421,0,0,0,0,0,0
675,7446,0,0,0.00144508670520231,0,0.023121387283237,0.0332369942196532,0.176300578034682,0,0.0202312138728324,0.00722543352601156,0.00144508670520231,0.0202312138728324,0.00867052023121387,0.00289017341040462,0.00433526011560694,0.0303468208092486,0.00578034682080925,0.0173410404624277,0.0809248554913295,0.25,0,0,0.0101156069364162,0.154624277456647,0.00867052023121387,0,0,0,0.0447976878612717,0.0144508670520231,0.0433526011560694,0,0,0.00289017341040462,0,0,0,0,0.00578034682080925,0,0.00144508670520231,0,0.00144508670520231,0,0.023121387283237,0,0.00144508670520231,0,0,0,0,0,0.00144508670520231,0,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,7809,0,0,0.00108225108225108,0,0.0108225108225108,0.0248917748917749,0.128787878787879,0,0.0216450216450216,0.0119047619047619,0,0.0411255411255411,0.025974025974026,0.00757575757575758,0.00324675324675325,0.0422077922077922,0.0064935064935065,0.0162337662337662,0.079004329004329,0.204545454545455,0,0,0.0064935064935065,0.20995670995671,0.0108225108225108,0.00108225108225108,0,0.0281385281385281,0.0303030303030303,0.0248917748917749,0.0411255411255411,0,0,0,0,0,0.00108225108225108,0,0.00757575757575758,0,0,0,0,0,0,0,0,0,0,0.00108225108225108,0,0.00216450216450216,0,0,0.00324675324675325,0,0,0,0,0,0.00324675324675325,0,0,0,0,0.00108225108225108,0,0.00108225108225108,0,0,0,0,0.00108225108225108,0,0,0,0,0
705,8172,0.00178890876565295,0,0.00178890876565295,0,0.0304114490161002,0.0322003577817531,0.161001788908766,0,0.0143112701252236,0.00536672629695885,0,0.0071556350626118,0.0107334525939177,0.0107334525939177,0,0.0518783542039356,0.0035778175313059,0.0196779964221825,0.0661896243291592,0.180679785330948,0,0.00178890876565295,0,0.270125223613596,0.0232558139534884,0.0035778175313059,0,0.0232558139534884,0.0286225402504472,0.00178890876565295,0.0339892665474061,0,0,0,0,0.00178890876565295,0,0,0.00536672629695885,0,0,0,0,0,0,0,0,0,0.00178890876565295,0.00178890876565295,0,0,0.00178890876565295,0,0,0,0,0,0,0,0,0,0.00178890876565295,0,0,0,0.00178890876565295,0,0,0,0,0,0,0,0,0,0,0
715,8414,0,0,0,0,0.0127388535031847,0.0382165605095541,0.146496815286624,0,0.0191082802547771,0.00955414012738853,0,0.0254777070063694,0.0270700636942675,0.00955414012738853,0,0.0493630573248408,0.00318471337579618,0.0254777070063694,0.0461783439490446,0.17515923566879,0,0,0.00636942675159236,0.256369426751592,0.0111464968152866,0,0,0.0493630573248408,0.0270700636942675,0.00477707006369427,0.0509554140127389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159235668789809,0,0.00159235668789809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318471337579618,0,0,0,0
