"sample.depths","sample.ages","upland.sum","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Juglans.cinerea","Juglans.nigra","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Platanus","Alnus","Ericaceae","Corylus","Myrica","Ilex.Nemopanthus","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Rumex","Vitis","Populus","Acer.rubrum","Liquidambar","Other.shrubs","Ephedra","Polygonum","Thalictrum","Other.herbs"
69,3048,764,268,257,20,1,12,1,4,32,4,1,0,0,5,105,1,0,0,0,4,6,1,11,1,0,0,0,7,8,1,8,0,5,0,0,0,0,0,1,0,0,0,0
74,3161,628,270,165,6,4,5,0,1,29,3,0,0,0,4,75,6,0,1,0,7,4,0,15,0,1,0,1,8,11,2,8,1,1,0,0,0,0,0,0,0,0,0,0
79,3275,507,187,141,8,6,4,1,3,19,5,0,0,0,5,83,2,0,2,1,8,3,1,9,1,1,1,0,4,1,1,8,0,2,0,0,0,0,0,0,0,0,0,0
89,3502,834,329,238,19,2,11,0,0,37,5,0,1,0,9,122,3,0,1,0,4,4,1,13,0,3,0,0,8,11,1,7,3,2,0,0,0,0,0,0,0,0,0,0
99,3729,646,249,188,16,2,4,0,6,32,3,2,0,0,3,87,2,0,2,0,8,3,0,16,0,0,0,0,11,5,0,3,1,3,0,0,0,0,0,0,0,0,0,0
110,3979,640,221,222,13,2,8,1,0,29,2,4,0,0,5,74,4,0,1,0,5,5,0,11,1,2,0,0,11,10,0,2,2,3,0,0,0,0,0,0,0,1,0,1
120,4206,594,203,229,11,4,12,1,1,20,5,2,0,1,3,55,3,0,0,1,6,11,2,7,0,0,0,0,7,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0
129,4410,602,230,221,11,2,2,0,6,23,3,0,0,0,8,59,1,0,0,2,4,5,0,8,0,0,0,0,5,2,0,4,1,2,0,0,0,1,0,0,1,0,1,0
139,4638,551,188,204,12,2,4,0,7,27,4,0,0,0,4,46,3,0,0,1,6,6,0,13,0,1,0,0,9,7,0,5,0,2,0,0,0,0,0,0,0,0,0,0
144,4751,794,329,229,14,4,4,0,1,30,5,2,0,0,7,84,7,1,1,0,7,10,0,11,0,2,0,1,17,11,1,11,1,4,0,0,0,0,0,0,0,0,0,0
154,4978,617,182,273,4,3,8,0,10,27,1,1,1,0,6,43,1,1,1,0,5,11,1,7,1,0,2,0,4,8,0,9,2,5,0,0,0,0,0,0,0,0,0,0
159,5092,539,141,230,7,0,10,0,7,31,3,0,1,0,4,49,2,1,1,0,7,3,1,17,0,0,0,0,5,2,0,12,0,4,0,0,0,0,0,1,0,0,0,0
169,5319,645,213,250,14,1,19,0,3,35,1,3,0,0,3,37,0,0,2,1,4,13,0,7,0,1,2,0,6,8,3,14,1,4,0,0,0,0,0,0,0,0,0,0
174,5432,558,210,201,8,2,13,2,5,24,1,0,0,0,0,30,3,1,1,0,10,11,1,9,0,3,0,0,6,1,1,7,1,7,0,0,0,0,0,0,0,0,0,0
179,5546,533,172,202,18,0,10,0,5,39,1,0,0,0,3,22,2,2,0,1,10,14,1,7,0,0,0,0,5,3,3,6,0,6,0,0,0,0,0,0,0,0,1,0
184,5660,567,240,205,17,0,8,1,1,27,0,1,1,0,2,24,3,0,0,0,7,9,1,4,0,0,0,0,5,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0
189,5773,629,233,263,14,0,9,0,5,30,0,1,0,0,3,23,2,0,1,0,7,9,0,8,0,2,0,0,3,5,0,5,3,3,0,0,0,0,0,0,0,0,0,0
194,5887,897,334,377,7,1,4,0,0,43,4,1,1,0,0,35,11,2,1,0,11,22,2,8,0,3,0,0,7,7,2,5,1,6,0,0,0,0,0,0,0,0,0,2
199,6075,527,210,194,2,0,5,1,6,16,3,1,0,0,4,26,2,0,0,0,7,10,2,9,0,0,0,0,6,4,3,9,1,5,0,0,0,1,0,0,0,0,0,0
209,6489,537,234,156,10,2,3,0,5,31,2,2,0,0,3,34,0,1,0,0,4,21,1,5,1,0,0,0,3,7,0,6,0,6,0,0,0,0,0,0,0,0,0,0
220,6945,488,206,162,2,0,2,1,8,28,1,1,0,0,0,27,4,0,0,0,4,13,0,10,0,1,0,0,3,5,0,7,1,1,0,0,0,0,0,1,0,0,0,0
224,7110,556,240,160,6,4,1,1,4,32,0,1,0,0,4,46,2,0,0,0,12,13,1,7,0,2,1,0,4,4,0,6,1,4,0,0,0,0,0,0,0,0,0,0
234,7524,535,236,171,12,0,0,0,3,25,3,1,0,0,3,25,3,0,1,0,7,22,0,4,0,1,1,0,1,4,0,7,1,4,0,0,0,0,0,0,0,0,0,0
239,7731,530,222,154,15,2,2,0,5,25,2,2,0,0,3,30,2,0,1,1,12,14,1,6,0,3,0,0,10,4,4,6,1,3,0,0,0,0,0,0,0,0,0,0
244,7938,864,445,219,11,1,0,0,0,43,3,4,1,1,1,48,4,2,0,0,19,18,1,2,0,2,0,0,6,12,8,5,2,6,0,0,0,0,0,0,0,0,0,0
249,8145,548,259,180,4,2,0,3,4,23,0,0,0,0,0,27,1,4,0,0,5,13,1,5,0,0,0,0,1,7,0,7,0,2,0,0,0,0,0,0,0,0,0,0
254,8352,593,250,204,6,0,0,0,4,22,1,1,0,0,2,45,1,0,0,0,9,13,2,7,0,1,0,0,2,6,2,13,0,2,0,0,0,0,0,0,0,0,0,0
259,8559,527,184,254,4,5,0,1,4,12,0,0,0,0,0,21,1,0,1,1,3,7,1,2,0,0,0,0,4,9,2,9,0,2,0,0,0,0,0,0,0,0,0,0
264,8766,531,146,228,10,3,0,0,0,28,0,2,0,0,3,60,2,0,0,0,5,9,1,4,0,1,0,0,3,7,2,7,3,7,0,0,0,0,0,0,0,0,0,0
274,9181,569,90,338,9,4,0,1,0,19,0,4,1,0,3,39,2,3,0,0,11,10,0,11,1,2,0,0,3,4,1,7,3,3,0,0,0,0,0,0,0,0,0,0
279,9388,533,35,352,18,8,0,0,0,26,0,0,2,0,1,33,3,0,0,1,7,7,0,7,0,2,0,0,3,7,5,4,2,10,0,0,0,0,0,0,0,0,0,0
284,NA,916,64,642,31,12,0,1,0,44,0,1,1,0,3,46,1,0,0,0,13,12,1,4,0,2,0,0,8,6,2,10,4,7,0,0,1,0,0,0,0,0,0,0
289,NA,355,7,227,10,0,0,0,1,23,0,1,0,0,0,15,3,1,0,0,3,11,1,1,0,0,0,0,14,7,6,14,1,8,0,0,1,0,0,0,0,0,0,0
303,NA,760,33,516,26,7,0,0,0,30,0,1,1,0,4,37,3,0,4,0,17,7,0,7,0,0,0,0,24,13,1,13,2,13,0,0,0,0,0,1,0,0,0,0
316,NA,542,28,365,20,2,0,3,2,22,0,1,1,0,1,38,2,0,3,0,5,8,1,1,0,4,0,0,6,5,2,15,1,5,0,0,1,0,0,0,0,0,0,0
321,NA,487,30,311,19,2,0,2,3,26,0,1,0,0,1,22,2,1,3,0,5,6,1,3,0,1,0,0,27,5,0,7,2,3,0,0,3,0,0,0,0,0,1,0
326,NA,783,40,461,40,17,0,0,0,57,0,0,0,0,1,61,5,1,4,0,16,35,1,3,0,2,0,0,10,9,4,9,0,7,0,0,0,0,0,0,0,0,0,0
333,NA,538,8,367,36,3,0,1,1,24,0,1,0,0,0,45,1,0,1,0,5,8,1,3,0,0,0,0,10,6,1,3,1,12,0,0,0,0,0,0,0,0,0,0
339,NA,420,42,221,29,4,0,3,0,34,1,0,0,0,4,27,3,0,2,0,16,11,0,2,0,1,0,0,8,1,0,5,0,6,0,0,0,0,0,0,0,0,0,0
343,NA,514,8,360,69,1,0,0,0,14,1,3,0,0,0,11,0,0,1,0,8,6,0,0,0,2,0,0,6,3,3,3,3,9,0,0,0,0,0,0,0,0,0,3
