"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Picea","Quercus","Thalictrum","Alnus","Myrica","Pinus","Populus","Poaceae","Ericales","Juniperus","cf..Myrica","Galium","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Nemopanthus","Rosaceae.undiff.","Epilobium","Fagus","Ulmus","Salix","Taxus","Corylus","Viburnum","Carpinus","Fraxinus","Rumex.type","Acer","Urticaceae","Crataegus","Caryophyllaceae","Amaranthaceae","Brassicaceae","Ranunculaceae.undiff.","Juglans","Oxyria.digyna"
230,NA,0.0377906976744186,0.683139534883721,0,0.11046511627907,0,0,0.107558139534884,0.00872093023255814,0.0116279069767442,0,0,0,0,0.0406976744186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,NA,0.0249221183800623,0.632398753894081,0,0.127725856697819,0.00311526479750779,0,0.121495327102804,0.0124610591900312,0.0186915887850467,0.00311526479750779,0,0,0,0.0467289719626168,0,0,0,0,0.00623052959501558,0,0,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,NA,0.040625,0.684375,0,0.084375,0,0,0.146875,0.00625,0.009375,0,0.003125,0,0,0.015625,0,0,0,0,0.003125,0,0,0.003125,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0,0
270,NA,0.0557103064066852,0.392757660167131,0,0.325905292479109,0.011142061281337,0.00557103064066852,0.064066852367688,0.0445682451253482,0.0278551532033426,0.00278551532033426,0.00557103064066852,0,0.00557103064066852,0.0473537604456825,0,0,0,0,0,0,0,0,0.00557103064066852,0,0.00278551532033426,0,0,0,0.00278551532033426,0,0,0,0,0,0,0,0,0
275,NA,0.0199203187250996,0.639442231075697,0.0139442231075697,0.193227091633466,0.00398406374501992,0.00796812749003984,0.0258964143426295,0.047808764940239,0.0159362549800797,0.00199203187250996,0.00597609561752988,0,0.00597609561752988,0.00398406374501992,0,0,0,0,0.00199203187250996,0.00199203187250996,0,0.00199203187250996,0.00199203187250996,0,0,0,0,0,0,0,0,0,0,0.00398406374501992,0.00199203187250996,0,0,0
280,NA,0.0716180371352785,0.806366047745358,0.00530503978779841,0.0822281167108753,0.00530503978779841,0,0,0.00795755968169761,0.013262599469496,0,0,0,0.0026525198938992,0.0026525198938992,0,0.0026525198938992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,NA,0.0485651214128035,0.805739514348786,0.011037527593819,0.0596026490066225,0,0.0022075055187638,0,0.0286975717439294,0.00662251655629139,0,0.0022075055187638,0,0.011037527593819,0.00883002207505519,0,0.0022075055187638,0,0,0.00441501103752759,0,0,0,0.00441501103752759,0,0.0022075055187638,0,0,0,0,0,0,0,0,0,0,0.0022075055187638,0,0
290,NA,0.00977198697068404,0.659609120521173,0.0162866449511401,0.198697068403909,0.00162866449511401,0.00162866449511401,0.0195439739413681,0.0260586319218241,0.00651465798045603,0.0162866449511401,0.00162866449511401,0.00162866449511401,0.00814332247557003,0.011400651465798,0,0,0,0,0,0,0,0,0.0162866449511401,0,0.00325732899022801,0,0,0,0,0,0.00162866449511401,0,0,0,0,0,0,0
295,NA,0.0264705882352941,0.55,0.00588235294117647,0.0117647058823529,0.0176470588235294,0,0.0411764705882353,0.102941176470588,0.0176470588235294,0.141176470588235,0,0.0088235294117647,0.00588235294117647,0.0352941176470588,0,0.00294117647058824,0,0,0,0,0,0.00294117647058824,0.0264705882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294117647058824,0
302.5,NA,0,0.566502463054187,0.00985221674876847,0.0689655172413793,0.00492610837438424,0,0.00985221674876847,0.211822660098522,0.0295566502463054,0,0.0197044334975369,0.0147783251231527,0.0344827586206897,0,0,0.00985221674876847,0.00492610837438424,0,0,0,0,0,0.00985221674876847,0,0,0,0,0,0,0,0,0,0,0,0,0.00492610837438424,0,0
305,NA,0,0.657142857142857,0.0428571428571429,0.0428571428571429,0,0,0.00714285714285714,0.128571428571429,0,0,0.0142857142857143,0.05,0.00714285714285714,0.0214285714285714,0,0,0.0142857142857143,0,0.00714285714285714,0,0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.5,NA,0.0135135135135135,0.317567567567568,0.209459459459459,0.155405405405405,0,0,0.0405405405405405,0.0202702702702703,0.141891891891892,0,0.0405405405405405,0,0.00675675675675676,0.00675675675675676,0,0.00675675675675676,0.0202702702702703,0,0,0,0,0,0.0135135135135135,0,0,0,0,0,0,0,0,0,0.00675675675675676,0,0,0,0,0
312.5,NA,0,0.120689655172414,0.189655172413793,0.103448275862069,0,0,0,0,0.189655172413793,0,0.137931034482759,0,0,0.0172413793103448,0,0.0344827586206897,0.103448275862069,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689655172413793
