"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Celtis","Amaranthaceae.undiff.","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Apiaceae","Alnus","Acer","Fraxinus","Juglans","Populus","Poaceae","Urticaceae","Plantago","Rosaceae","Rhamnaceae.Vitaceae","Fabaceae.undiff.","Morus","Thalictrum","Caprifoliaceae","Iva","Herbs.undiff.","Rhus","Sarcobatus.vermiculatus","Larix","Abies","Castanea","Ilex","Liquidambar","Amorpha.type","Ephedra","Ericaceae","Cornus"
69,NA,550,9,11,21,0,13,1,6,7,0,6,10,2,3,0,14,36,55,8,286,0,5,2,3,6,0,9,0,5,3,12,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
76.5,NA,570,9,7,36,0,14,0,1,8,2,6,19,2,6,0,13,32,44,2,318,0,1,1,1,7,1,3,1,5,3,0,23,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
83.5,NA,521,11,8,32,0,25,0,1,5,1,9,15,2,6,1,11,31,45,5,262,0,2,0,4,2,0,4,1,4,2,9,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
90.5,NA,506,7,11,32,0,14,1,3,10,0,9,16,5,3,0,11,28,40,1,238,0,2,1,3,8,1,12,8,10,0,3,21,3,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
97.5,NA,552,17,8,37,1,18,0,3,8,1,6,20,0,5,1,8,21,55,5,269,0,2,1,4,7,0,5,4,4,4,4,24,0,0,0,2,0,0,1,0,0,0,1,0,2,2,1,0,0,1,0,0,0
104.5,NA,594,16,10,38,0,18,0,1,4,1,13,15,6,6,1,7,43,49,5,279,0,3,0,6,4,0,8,1,13,1,4,33,0,0,1,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0
111,NA,511,9,15,32,0,10,0,1,8,1,4,11,0,2,1,8,28,40,11,258,0,1,1,4,10,0,9,5,5,2,3,28,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
117.5,NA,535,9,12,35,0,12,0,2,1,1,4,18,1,2,0,10,22,21,5,308,0,1,0,4,13,0,8,2,8,1,4,24,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
124,NA,507,10,15,23,0,9,0,4,9,1,3,15,1,8,1,4,28,54,6,248,0,1,0,3,10,0,4,2,11,4,2,28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
130.5,NA,534,10,6,32,0,23,0,0,4,0,10,19,3,5,1,8,30,39,3,271,0,3,1,3,16,1,5,6,9,4,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,NA,514,19,14,25,0,5,0,7,6,0,2,25,3,8,1,9,19,52,5,243,0,6,1,5,11,0,9,3,4,3,1,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
143,NA,1129,27,12,65,1,25,0,11,17,5,14,32,8,20,0,13,54,96,19,537,0,5,6,5,37,1,12,15,16,9,1,45,0,0,0,7,1,2,6,0,1,1,0,2,1,0,0,0,0,0,0,0,0
149,NA,519,14,9,23,0,11,1,2,3,0,4,13,2,14,0,5,21,50,7,252,0,1,3,2,14,1,9,2,12,5,6,27,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
154,NA,557,9,12,30,0,7,0,1,6,3,6,16,3,7,1,5,20,41,8,321,0,2,0,1,15,0,8,2,12,2,2,13,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,NA,532,10,11,24,0,10,0,6,8,1,8,23,0,3,0,2,30,42,1,273,0,2,0,0,9,0,13,6,12,3,0,31,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
164,NA,507,14,13,32,0,5,0,9,6,0,5,16,1,3,2,3,32,43,3,247,0,7,0,2,8,1,4,2,8,2,1,35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
169,NA,505,19,7,26,0,4,0,5,5,1,4,23,2,2,1,3,18,38,3,257,0,4,2,2,10,0,5,3,16,3,0,36,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
174,NA,505,14,7,25,1,12,0,3,2,1,5,15,0,3,0,4,39,37,3,260,0,4,1,2,12,0,8,3,5,1,6,29,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,NA,1026,29,20,53,0,18,2,5,14,1,14,42,1,24,2,6,66,83,12,483,0,3,1,1,20,1,12,11,16,6,4,62,2,0,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
184,NA,515,19,11,22,0,8,0,3,7,0,6,17,0,6,2,7,43,29,5,251,0,4,1,0,10,1,11,0,14,0,0,33,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,NA,510,14,7,20,1,14,1,4,5,2,6,27,0,10,1,4,29,39,3,231,0,3,2,1,11,0,6,2,16,4,7,36,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
194,NA,523,11,14,14,0,9,0,6,5,1,6,21,0,13,0,8,33,40,2,265,0,4,0,0,17,0,7,8,11,3,0,22,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,NA,506,15,7,25,0,8,0,2,11,1,14,32,1,8,1,9,41,29,4,219,0,2,0,0,14,0,9,3,11,1,2,32,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0
204,NA,507,17,11,24,0,8,1,4,2,1,3,20,2,9,1,7,25,42,6,247,0,5,2,0,11,1,7,4,8,8,2,25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
209,NA,522,13,8,18,0,7,0,4,8,2,31,12,1,9,2,4,31,29,8,240,0,6,5,0,15,0,9,7,16,6,1,25,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
214,NA,512,12,12,19,1,8,0,4,7,0,8,20,0,15,1,3,29,40,9,238,0,4,4,0,15,0,7,5,20,5,6,18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,NA,549,13,6,15,0,20,1,4,3,0,7,17,1,4,1,4,17,31,4,324,0,2,1,0,17,0,5,3,21,4,0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
224,NA,549,14,4,11,0,12,0,5,6,2,8,23,1,3,1,7,33,19,7,330,0,3,0,0,9,1,4,2,7,9,3,19,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
229,NA,572,12,6,13,0,8,0,4,7,3,8,36,0,5,0,4,27,40,5,306,0,6,2,0,19,0,9,5,7,5,3,27,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
234,NA,510,14,19,12,0,10,0,4,4,3,3,20,2,18,0,10,19,46,6,225,0,6,0,0,17,2,6,1,14,2,0,39,0,0,1,0,0,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0
239,NA,1029,21,23,40,0,14,0,5,17,3,31,47,1,13,2,17,56,74,10,470,0,9,2,1,29,0,10,11,16,6,5,82,1,0,0,3,0,0,1,4,0,2,0,0,1,0,2,0,0,0,0,0,0
244,NA,528,29,11,11,0,3,0,9,5,2,5,19,2,7,2,6,30,52,6,230,0,6,1,0,12,0,5,1,15,9,1,43,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
249,NA,510,24,10,17,0,6,1,3,11,0,6,23,0,7,1,6,32,37,5,233,0,3,2,0,11,0,7,3,13,2,1,41,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
259,NA,517,31,12,9,0,4,0,6,9,0,19,13,2,6,0,13,29,38,1,226,0,3,2,0,13,0,9,2,13,5,3,37,3,0,0,2,1,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0
263,NA,529,18,8,15,0,2,0,4,9,0,6,18,1,6,1,11,27,51,4,252,0,2,2,0,13,1,12,3,12,2,0,44,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
268,NA,1020,48,24,33,1,6,0,14,20,1,28,64,1,13,3,17,49,84,16,417,0,7,5,0,23,1,12,3,15,9,2,89,1,0,1,1,0,1,1,2,1,3,0,0,0,0,2,1,0,0,1,0,0
273,NA,544,19,12,9,0,4,1,4,5,2,15,32,0,6,0,8,32,45,9,253,0,2,0,0,8,0,7,5,14,3,0,44,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
278,NA,514,22,18,11,0,2,0,4,5,1,11,13,0,15,1,8,28,49,5,233,0,6,1,0,18,0,7,5,12,8,1,23,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,1
283,NA,513,25,20,16,0,1,0,9,13,1,15,21,0,4,1,7,23,44,1,227,0,6,0,0,17,0,8,2,9,6,0,31,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
288,NA,542,17,15,7,0,2,0,9,7,0,18,22,2,9,1,7,25,48,2,261,1,2,1,0,15,1,9,7,7,7,1,33,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
293,NA,518,18,8,9,0,4,0,5,4,1,26,17,1,12,2,24,32,38,11,207,0,1,2,1,20,1,9,10,12,6,5,27,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
298,NA,529,14,7,10,0,1,0,8,6,2,4,18,0,17,1,17,29,59,3,251,1,1,0,2,10,0,7,4,12,5,2,34,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
303,NA,545,26,8,6,0,1,1,6,9,1,18,13,1,13,1,6,41,33,4,255,0,4,1,0,22,1,1,10,15,5,2,36,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
308,NA,1049,32,15,14,0,9,0,7,12,2,24,27,2,19,2,18,50,77,22,522,0,5,3,1,40,2,11,15,22,10,3,71,1,0,1,1,0,2,0,1,3,1,0,0,2,0,0,0,0,0,0,0,0
313,NA,536,16,11,8,0,4,0,7,10,1,13,15,0,16,1,8,31,26,6,266,0,1,1,0,21,0,5,8,6,4,7,37,0,0,0,1,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0
318,NA,507,25,10,4,0,5,1,6,0,1,9,10,1,10,0,7,20,38,5,265,0,5,2,1,21,0,5,11,12,3,0,24,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0
330,NA,535,27,13,3,0,4,2,16,9,0,5,11,1,28,0,3,41,24,5,228,0,3,4,0,34,0,6,14,10,4,2,28,3,0,0,0,1,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0
334,NA,539,16,6,4,0,13,2,8,3,4,17,10,0,38,0,5,27,49,4,214,0,2,5,0,41,1,4,18,13,11,1,19,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
339,NA,553,14,9,4,0,12,0,7,3,2,5,10,2,51,0,11,27,30,1,206,0,0,9,1,65,0,6,33,5,9,3,24,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
344,NA,548,12,7,9,0,13,0,2,3,0,8,9,1,35,0,7,34,35,8,210,0,2,7,0,77,0,4,24,11,6,6,14,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
349,NA,1083,22,18,7,0,19,0,19,5,3,15,24,1,91,2,21,49,52,12,414,0,2,11,0,144,0,9,49,22,6,12,46,1,0,0,0,0,0,0,1,2,0,0,2,1,1,0,0,0,0,0,0,0
354,NA,525,9,5,4,0,8,0,5,5,1,4,16,2,34,0,6,27,22,7,187,0,0,6,0,81,0,4,29,17,6,5,31,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
359,NA,539,11,5,7,0,7,0,8,3,2,2,9,1,48,0,10,22,29,3,220,0,1,8,0,72,1,6,30,8,2,3,14,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0
364,NA,695,19,8,5,0,18,3,6,5,1,5,8,2,91,1,11,32,37,4,265,0,2,12,0,80,1,5,35,6,12,1,15,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
369,NA,519,19,3,4,0,13,2,6,5,3,7,8,0,66,0,5,21,20,6,173,0,4,4,0,78,0,2,31,10,6,6,11,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
374,NA,550,20,6,2,1,19,0,5,4,1,6,4,1,60,0,10,22,22,2,182,0,0,8,0,109,0,3,21,16,6,6,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
379,NA,532,13,8,4,0,13,1,7,2,2,16,6,1,80,0,9,22,25,2,171,0,5,5,0,72,1,2,29,10,3,4,12,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,NA,529,24,9,3,0,15,2,1,4,3,5,7,0,63,1,9,25,19,5,190,0,1,4,0,73,1,4,25,8,6,5,11,1,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
389,NA,587,15,11,2,0,13,0,5,4,2,3,8,0,57,3,12,24,20,7,243,0,4,4,0,65,2,5,25,12,6,11,14,0,0,0,1,0,3,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0
394,NA,572,27,5,4,0,10,7,8,0,4,9,6,0,34,2,8,33,37,6,241,0,1,9,0,55,0,5,11,16,7,4,15,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0
399,NA,515,23,7,4,0,8,0,8,4,4,2,17,0,39,2,14,20,37,3,193,0,6,5,0,52,0,3,25,7,5,7,11,0,0,0,3,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
404,NA,508,30,8,3,0,19,0,8,7,1,3,8,0,38,1,10,14,35,4,213,0,7,4,0,49,0,0,12,10,2,4,8,1,0,1,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,1,0,0
409,NA,1055,57,25,16,0,13,1,23,15,8,17,29,0,59,1,39,62,98,6,325,0,9,15,0,92,2,8,39,20,8,12,42,1,0,0,2,0,0,3,2,1,3,0,1,0,1,0,0,0,0,0,0,0
414,NA,546,28,10,6,0,27,3,5,6,3,3,10,0,44,1,26,22,49,4,176,0,3,2,0,58,0,0,17,12,3,10,9,1,0,0,0,0,1,0,0,2,2,0,0,1,1,0,0,1,0,0,0,0
419,NA,566,27,12,16,0,9,0,11,4,1,10,6,0,40,0,13,58,52,5,145,0,4,13,0,74,1,6,21,11,4,3,15,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
430,NA,516,20,4,5,0,17,0,6,3,4,3,17,0,43,0,16,21,51,3,158,0,7,4,0,69,1,1,23,11,7,3,10,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,3,0,0
434,NA,536,17,9,7,0,10,0,9,4,4,8,5,0,47,0,15,32,49,3,167,0,3,6,0,67,0,5,34,9,8,2,10,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0
439,NA,526,19,3,7,0,16,0,7,2,1,6,7,1,56,0,23,33,52,2,161,0,2,4,0,61,0,4,25,7,3,14,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
444,NA,537,9,9,7,0,11,0,11,2,0,3,8,1,63,0,19,23,45,5,175,0,5,9,0,58,0,2,19,17,6,18,6,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
449,NA,1172,27,15,17,0,27,1,9,3,9,6,19,0,75,1,40,83,83,13,453,0,5,18,0,129,0,7,40,32,10,19,20,1,0,0,3,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0
454,NA,566,23,11,13,0,18,1,11,2,1,1,7,0,37,2,27,21,49,6,190,0,1,7,0,49,0,1,29,14,8,25,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0
459,NA,579,20,6,6,1,10,2,3,6,2,1,1,0,44,0,31,34,65,3,178,0,5,18,0,83,0,5,17,11,3,7,11,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0
464,NA,524,9,9,11,0,14,0,5,4,2,2,5,1,28,0,20,30,53,2,184,1,1,4,0,71,0,1,20,10,3,14,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
469,NA,705,31,8,10,0,20,2,5,1,1,2,10,0,54,0,25,51,104,4,174,0,3,15,1,97,0,3,32,25,3,6,12,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
474,9566,563,19,6,7,0,11,1,2,1,4,1,9,0,36,2,28,34,59,1,182,0,2,11,0,92,0,4,12,8,2,16,8,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
479,9701,880,10,7,13,0,15,3,5,3,4,3,11,2,87,0,47,54,104,2,271,1,1,20,0,136,1,3,34,18,7,4,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,9832,714,9,7,13,0,12,0,3,0,4,0,1,0,64,3,30,49,63,3,157,0,0,11,0,176,0,4,41,25,9,20,3,1,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
489,9963,852,6,4,30,0,22,3,2,1,2,2,4,0,79,2,29,52,63,8,271,0,1,5,0,175,0,5,19,27,11,20,4,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
494,10094,664,7,7,6,0,13,3,3,3,3,1,5,0,71,0,28,31,84,3,163,1,0,12,0,129,0,4,25,27,9,13,8,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
499,10225,562,8,6,19,0,7,4,2,2,5,1,6,0,51,3,46,13,50,2,184,0,0,9,0,72,0,4,27,13,7,10,4,0,0,0,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
504,10356,772,4,3,45,0,5,2,5,0,2,5,3,0,47,2,42,5,48,2,262,0,0,3,0,115,0,2,19,90,10,31,13,2,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
509,10483,2635,12,13,289,0,18,3,5,6,14,21,22,0,78,35,135,12,132,1,586,0,1,7,0,408,2,10,82,535,24,113,32,2,0,2,0,0,6,1,0,0,0,0,0,4,24,0,0,0,0,0,0,0
514,10613,730,5,2,120,0,4,0,0,0,4,1,10,0,10,12,66,0,121,1,65,0,1,1,0,113,0,2,13,132,7,15,11,1,0,1,0,0,0,0,0,0,1,0,1,1,9,0,0,0,0,0,0,0
519,10742,574,1,3,144,0,1,0,2,1,6,2,40,0,9,15,47,2,55,0,43,0,6,0,0,67,0,4,5,83,1,7,4,0,0,1,0,0,0,1,0,0,0,0,0,4,20,0,0,0,0,0,0,0
524,10872,781,1,6,110,0,0,3,0,1,16,2,20,0,7,38,91,0,84,0,60,0,3,0,0,86,0,7,5,159,2,37,9,2,0,0,0,0,0,1,0,0,0,0,0,2,29,0,0,0,0,0,0,0
535,11157,673,3,5,123,0,4,1,2,2,7,0,13,0,10,30,87,0,66,0,59,0,5,0,0,44,0,8,11,117,0,23,6,0,0,0,0,0,1,0,0,0,1,0,0,1,44,0,0,0,0,0,0,0
540,11347,651,3,11,80,0,1,0,2,3,14,2,22,0,22,43,78,1,60,0,31,0,2,0,0,49,0,5,4,74,3,58,7,4,0,1,0,0,0,0,0,0,0,0,0,3,68,0,0,0,0,0,0,0
544,11499,595,2,11,86,0,0,3,2,1,13,5,25,0,34,69,82,4,40,0,29,0,2,0,0,27,0,4,6,47,1,69,5,0,0,0,0,0,0,3,0,0,0,0,2,3,20,0,0,0,0,0,0,0
550,11731,1194,7,32,188,4,0,0,3,11,12,11,36,0,43,169,65,2,58,2,92,0,15,3,0,60,0,24,4,99,0,187,27,1,0,2,0,0,0,2,0,0,0,0,0,9,25,0,0,0,0,0,1,0
554,11839,617,4,19,55,1,2,1,1,10,7,11,71,0,15,129,4,0,5,0,30,0,9,0,0,15,0,19,3,35,1,116,15,7,0,2,0,0,0,3,0,0,0,0,0,3,24,0,0,0,0,0,0,0
560,12001,553,5,28,86,1,0,0,3,6,5,1,31,0,24,191,3,0,6,1,23,0,8,0,0,12,0,12,2,20,1,36,11,0,0,2,0,0,0,5,0,0,2,0,1,10,16,0,0,0,0,0,0,1
564,12109,646,4,22,69,0,0,0,8,5,6,4,33,0,20,169,3,1,6,0,26,0,8,0,0,15,1,15,3,26,0,131,30,0,0,0,0,0,0,4,0,2,2,0,1,6,26,0,0,0,0,0,0,0
568,12217,550,12,26,52,2,0,0,5,6,4,6,31,0,16,155,4,2,6,1,29,0,9,0,0,26,0,8,0,29,0,46,54,0,0,1,0,0,0,4,0,0,0,0,0,1,13,0,0,0,0,2,0,0
570,12271,594,7,19,78,0,0,0,2,3,8,4,37,0,17,188,1,0,6,1,26,1,15,0,1,12,1,10,2,18,1,83,22,3,0,0,0,0,0,2,0,0,0,0,0,2,23,0,0,0,0,1,0,0
574,12379,577,7,33,49,1,0,0,3,8,6,2,26,0,12,200,1,1,6,0,32,0,17,0,0,12,1,11,5,24,0,64,25,1,0,0,0,0,0,1,0,0,1,0,1,1,26,0,0,0,0,0,0,0
578,12487,571,5,27,35,1,0,0,3,1,9,8,19,0,21,247,2,0,3,0,31,0,10,0,0,11,1,10,0,21,0,55,13,1,0,0,0,0,0,3,0,0,0,0,0,4,30,0,0,0,0,0,0,0
580,12541,595,18,39,32,4,1,1,7,10,14,7,42,0,18,139,2,0,2,1,37,0,17,2,0,13,1,14,3,43,0,72,19,1,0,0,0,1,0,6,2,0,1,0,1,3,22,0,0,0,0,0,0,0
584,12653,728,12,18,17,3,4,1,3,5,29,1,24,0,41,127,1,0,1,0,35,0,12,0,0,29,0,4,2,101,0,219,11,1,0,2,0,0,0,1,0,0,2,0,2,4,16,0,0,0,0,0,0,0
588,12823,673,10,27,16,1,1,2,3,11,23,6,20,0,41,113,0,0,2,0,30,0,13,0,0,21,0,6,4,111,1,162,17,3,0,1,0,0,0,5,0,1,0,0,1,3,18,0,0,0,0,0,0,0
590,12908,1305,38,47,6,13,5,3,7,9,10,11,60,0,43,496,3,0,2,1,60,0,11,0,0,19,0,3,2,170,1,215,30,2,0,0,0,0,0,11,0,0,5,0,1,6,14,0,0,0,0,1,0,0
596,13163,606,14,17,3,2,2,4,2,4,2,11,49,0,20,162,0,0,0,0,40,0,10,0,0,16,0,2,0,117,1,86,28,1,0,0,0,0,0,4,0,1,2,0,0,4,2,0,0,0,0,0,0,0
598,13248,590,13,26,6,5,3,1,1,1,5,11,24,0,22,196,2,0,2,1,40,0,12,0,0,5,0,1,2,88,1,87,17,2,0,0,0,0,0,4,1,0,0,0,0,3,5,0,0,0,0,0,1,2
600,13333,576,20,15,6,6,0,1,1,4,3,3,20,0,18,218,0,0,3,0,34,0,10,0,0,9,0,1,2,92,0,76,22,0,0,0,0,0,0,3,0,1,3,0,0,4,1,0,0,0,0,0,0,0
602,13418,1176,30,42,4,1,4,2,4,19,1,11,20,0,29,528,1,1,3,2,60,0,11,0,0,11,0,5,3,146,0,157,60,4,0,0,0,0,0,7,0,0,1,0,1,3,5,0,0,0,0,0,0,0
603,13460,596,20,15,1,2,0,0,1,11,1,7,24,0,14,233,2,1,4,1,26,0,7,0,0,9,0,2,0,94,0,89,16,3,0,0,0,0,0,5,0,0,2,0,0,4,2,0,0,0,0,0,0,0
608,13673,626,10,13,1,2,0,1,0,4,0,9,27,0,15,264,0,0,2,1,30,0,7,0,0,2,1,4,4,100,0,96,19,2,3,1,1,0,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,0
613,13885,557,17,24,2,4,0,0,2,3,0,17,34,0,18,204,1,0,4,2,19,0,17,0,0,3,0,3,1,71,0,54,49,0,0,2,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
