"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Diphasiastrum.tristachyum.type","Drosera","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago.lanceolata.type","Plantago.major","Poaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus.pensylvanica","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.lentago","Viburnum.nudum","Zea.mays"
160,4606,1,0,4,0,15,0,11,4,1,0,0,0,0,251,0,0,5,0,0,0,0,0,0,84,0,0,0,9,0,33,0,6,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,62,50,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,2,23,0,0,15,1,1,25,0,0,0
170,4775,3,0,1,0,8,0,8,0,0,2,0,0,0,185,0,0,1,0,0,0,0,0,0,65,0,0,0,3,0,9,0,7,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,100,42,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,1,2,87,0,0,19,0,0,15,0,0,0
175,4860,0,0,1,1,3,0,4,2,0,0,0,0,0,110,0,0,0,0,0,1,0,0,0,39,0,0,0,1,0,4,0,7,9,0,0,1,0,3,0,1,8,0,1,0,1,0,0,0,1,1,0,0,0,11,4,30,8,33,21,0,0,4,0,2,0,0,0,16,0,0,0,1,0,2,1,0,0,272,0,0,2,88,0,0,16,0,2,4,0,0,0
180,4945,2,0,2,0,4,1,9,2,0,0,1,0,0,199,0,0,4,0,0,0,0,0,0,38,0,0,0,7,0,13,0,8,4,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,4,1,0,0,67,36,0,0,0,0,0,0,0,0,23,0,0,0,1,0,1,1,0,0,8,0,0,5,79,0,0,15,0,0,1,0,0,0
190,5114,3,0,4,0,3,0,5,2,0,0,2,0,0,150,0,0,2,0,0,0,0,0,0,10,0,0,0,3,0,27,0,10,4,0,0,0,0,2,0,0,1,0,0,0,0,0,8,0,14,9,5,0,0,1,4,4,0,43,33,0,0,1,1,0,0,0,0,14,0,0,0,0,0,2,3,0,0,0,0,0,4,101,0,0,13,0,1,8,0,0,0
195,5199,0,1,0,0,8,0,5,0,0,1,0,0,0,223,2,3,2,0,0,0,0,0,1,19,0,0,2,0,1,8,0,4,4,0,0,0,0,5,0,0,3,0,0,0,0,0,8,0,48,3,0,1,0,5,3,27,1,16,36,0,0,1,0,1,1,0,0,18,0,0,0,0,5,3,11,1,0,36,0,0,5,92,0,0,20,3,5,3,0,1,0
200,5214,1,1,4,0,6,0,10,12,0,1,1,1,0,231,0,0,0,0,0,0,0,0,2,7,0,0,0,6,6,10,0,5,0,0,0,0,0,9,0,0,5,0,0,1,1,0,40,0,17,0,0,0,0,4,0,20,0,53,63,0,0,2,0,2,1,2,1,22,0,0,0,0,0,0,93,0,0,83,0,0,3,88,0,2,7,5,7,17,1,0,0
205,5230,1,0,1,0,8,0,7,0,0,1,1,0,0,67,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,8,0,1,3,0,0,1,0,0,2,0,0,0,0,0,1,0,9,3,0,0,0,17,5,39,0,88,34,0,0,3,0,1,1,0,0,11,0,0,2,0,0,1,8,0,0,2,0,0,3,129,0,0,11,0,56,0,0,0,0
210,5246,2,0,0,3,4,0,44,6,0,1,2,0,0,59,0,0,3,0,0,0,0,0,1,6,0,0,0,3,0,4,0,12,1,0,0,0,0,3,0,0,0,0,2,0,0,0,130,0,24,496,0,0,0,1,0,20,0,366,162,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,139,0,0,1,0,0,6,154,0,0,4,0,64,26,0,0,0
220,5278,0,2,0,0,9,0,4,9,1,0,0,2,0,88,0,0,0,0,0,0,0,1,2,23,0,0,0,2,3,4,1,24,0,1,0,2,0,3,0,0,1,0,0,1,0,1,43,0,1,73,0,0,0,7,2,44,0,160,65,0,0,3,0,3,2,1,0,45,0,0,0,0,0,1,112,0,0,5,1,0,1,78,3,2,14,0,211,32,0,0,0
225,5294,2,3,1,4,15,0,4,15,1,0,0,0,0,123,0,0,1,0,0,2,0,0,9,2,0,0,0,2,4,8,0,22,2,1,0,13,0,0,0,3,3,0,1,0,1,0,8,0,5,20,0,0,0,7,2,54,0,307,117,0,0,4,0,4,0,26,0,27,0,0,0,0,0,2,12,0,0,4,0,0,3,63,0,0,10,2,2,26,0,0,0
230,5310,2,0,0,0,3,0,7,3,1,0,0,0,0,23,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,1,0,7,1,0,0,2,0,1,0,0,1,0,1,0,0,0,3,0,0,225,0,0,0,12,1,10,0,290,175,0,0,2,0,0,3,17,0,13,0,0,0,0,0,7,18,0,0,0,0,0,3,54,0,0,4,0,6,6,0,0,0
240,5341,1,0,0,0,2,0,4,2,1,3,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7,0,7,259,0,0,0,5,0,9,0,234,75,0,0,1,0,0,3,0,0,7,0,0,0,0,0,4,16,0,0,3,0,0,7,51,0,0,2,0,8,13,0,0,0
245,5357,0,0,0,3,10,0,5,10,0,10,2,2,0,72,0,0,2,1,2,0,0,0,0,5,0,0,0,10,0,3,0,7,3,0,0,4,0,3,0,0,1,0,0,1,2,0,2,0,10,72,0,2,0,10,6,41,0,209,42,0,0,3,0,0,3,0,0,14,0,0,2,0,0,2,22,0,0,12,0,0,3,70,0,0,7,0,32,79,0,0,0
250,5373,2,2,0,2,6,0,13,2,0,3,1,0,0,93,0,0,0,0,0,1,1,0,1,9,0,0,0,36,0,10,0,7,1,0,0,1,0,1,2,1,0,0,0,1,0,0,3,0,3,16,0,1,0,12,3,11,0,91,61,0,0,4,0,0,0,0,0,25,0,1,2,0,0,0,9,0,0,66,0,0,2,29,0,0,6,11,7,26,0,0,0
255,5389,0,3,0,4,25,0,14,4,2,1,0,1,0,36,1,0,1,2,1,1,0,1,0,11,3,0,1,2,0,0,0,5,1,2,1,5,0,0,0,0,1,1,2,4,0,0,4,0,33,122,0,1,0,3,2,13,0,244,46,0,0,6,0,0,1,0,0,15,0,0,0,0,0,13,24,0,0,2,1,0,6,27,0,0,3,0,11,6,0,0,0
260,5405,1,0,0,0,3,0,4,0,2,2,1,1,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,6,0,13,0,3,0,0,0,3,0,0,2,0,3,0,0,0,6,0,7,46,0,0,2,5,2,14,0,245,110,0,0,0,0,1,2,0,0,6,0,0,0,0,4,1,0,0,0,18,0,0,4,79,0,0,6,0,11,8,0,0,0
270,5436,1,0,1,4,5,0,4,3,0,0,0,0,0,34,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,5,0,6,2,0,0,1,0,2,0,0,1,0,5,0,0,0,1,0,3,43,0,0,2,14,3,7,0,177,103,0,0,1,0,0,2,0,0,11,0,0,0,0,0,2,1,0,0,7,0,0,3,65,0,0,6,1,14,6,0,0,0
275,5452,1,0,0,2,1,0,3,3,1,0,0,1,0,23,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,3,0,0,1,0,0,2,0,8,18,5,0,0,0,0,11,0,154,146,0,0,1,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,2,0,0,1,37,0,0,4,0,4,7,0,0,0
280,5468,0,0,0,5,10,0,1,4,1,0,1,0,0,18,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,6,0,7,0,196,99,0,0,1,0,0,4,0,0,9,0,0,0,0,0,6,0,0,0,1,0,0,2,27,0,0,7,0,9,6,0,0,0
290,NA,4,0,0,2,9,0,1,0,2,2,6,0,0,16,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,2,2,0,0,3,2,0,1,0,5,0,0,0,1,0,0,0,0,32,0,0,0,13,1,19,0,252,291,0,0,2,2,0,0,0,0,8,0,0,0,0,0,15,0,0,0,4,0,0,0,17,0,0,3,0,3,4,0,0,0
295,NA,0,2,1,2,7,0,6,1,0,1,0,1,0,56,0,0,0,0,0,1,2,0,0,108,0,0,0,5,0,3,0,5,0,0,0,3,0,3,1,0,1,0,0,1,0,0,1,0,2,2,0,1,0,6,1,16,0,82,202,0,0,0,0,0,8,0,0,11,0,0,1,0,0,11,0,0,0,11,1,0,1,14,0,0,5,0,22,10,0,0,0
300,NA,0,4,0,0,4,0,2,0,1,0,3,0,0,22,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,8,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,6,1,21,0,104,196,0,0,1,0,2,18,0,0,5,0,0,0,0,0,11,0,0,0,2,0,0,3,15,0,0,2,4,18,11,0,0,0
