"sample.depths","sample.ages","Abies","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Diapensia.lapponica","Corylus.cornuta","Cyperaceae","Dalea","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nuphar","Onagraceae","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga.stellaris.type","Sedum","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum"
125,3984,0,0,0,0,0,23,330,1,0,4,0,0,186,0,0,0,0,0,1,5,0,0,0,0,0,5,0,0,1,0,2,1,18,0,2,4,3,0,1,1,12,0,0,0,4,0,0,0,9,122,62,13,4,9,3,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,2,2,0,0,0
137,4367,0,1,0,0,0,24,198,1,1,2,1,0,67,0,0,0,0,0,1,5,0,0,0,0,0,6,0,0,0,1,0,1,21,0,1,2,1,0,1,0,7,0,0,0,4,0,0,0,3,73,40,10,3,5,7,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0
150,4781,0,9,0,0,0,16,199,0,0,1,2,0,130,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0,1,5,0,5,2,0,0,2,0,5,0,0,0,9,1,0,0,4,152,76,4,0,6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
162,5164,0,0,0,0,0,5,240,1,0,0,2,0,170,0,0,0,0,0,0,8,0,0,0,0,0,4,0,1,2,1,0,0,21,0,2,1,4,0,1,1,4,0,0,0,4,0,0,0,0,161,29,17,4,1,3,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0
175,5578,0,0,1,0,0,0,229,0,2,4,0,0,146,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,13,0,3,2,6,0,0,0,4,0,0,0,2,0,0,0,2,116,47,8,5,4,2,0,0,4,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,0,5,1,0,0
187,5961,0,0,0,0,1,0,275,0,0,3,2,0,117,0,0,0,0,1,0,12,0,0,0,1,0,0,0,0,1,0,0,0,12,0,2,1,0,0,2,2,1,0,0,0,4,2,0,0,0,143,29,13,0,1,4,0,0,6,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0
200,6375,0,0,0,0,0,5,410,0,1,3,1,0,124,0,0,0,0,0,3,7,0,0,0,0,0,1,0,0,0,0,0,1,12,0,3,0,1,1,3,0,8,0,0,1,2,0,0,0,4,84,42,6,6,3,3,0,0,8,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0
207,6598,0,0,0,0,0,1,216,2,2,8,0,0,67,0,0,0,1,0,2,5,1,0,0,0,0,5,0,0,0,0,0,0,3,0,5,4,4,0,5,0,37,0,0,3,0,0,0,3,3,51,41,4,4,2,6,0,2,26,3,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,6,0,0,0,0,1,1,0,2,1,0,0
217,6917,0,0,0,0,0,0,132,0,2,5,2,0,51,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,6,1,70,0,5,0,5,2,76,0,0,0,0,0,0,0,0,43,4,15,0,2,3,0,0,105,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
225,7172,0,0,0,0,0,4,93,0,3,4,1,0,61,0,0,0,0,0,0,34,0,0,1,0,1,5,0,0,1,0,2,0,6,0,82,0,4,2,1,2,96,0,3,0,0,0,0,0,0,25,10,15,6,5,8,0,4,77,0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,10,10,0,0,0,0,0,0,1,4,0,0,0
227,7236,0,0,0,0,0,2,54,2,1,5,2,0,61,0,0,0,0,0,2,20,0,1,0,0,2,2,0,0,0,0,0,1,1,0,5,0,4,1,2,1,24,2,0,0,0,0,0,0,1,56,18,20,4,4,1,0,1,16,0,2,0,1,2,0,0,0,0,0,2,0,0,0,0,3,11,0,0,0,0,0,0,1,5,0,0,0
232,NA,0,0,0,0,0,3,92,5,1,11,5,1,32,0,1,0,1,0,0,35,0,1,1,0,6,2,0,0,0,0,1,0,0,0,5,0,1,2,4,1,4,0,0,0,0,0,0,0,0,62,8,38,11,7,8,0,0,36,2,0,0,3,5,0,0,0,0,0,9,0,0,0,0,8,18,0,0,0,0,1,0,0,7,1,0,0
237,NA,0,0,0,0,1,2,113,3,5,12,7,0,62,0,1,0,0,0,0,48,0,0,0,0,0,6,0,0,0,0,0,0,2,0,2,0,1,0,9,0,8,0,0,0,0,0,0,2,0,89,9,59,14,13,4,0,6,10,0,0,0,4,46,0,0,0,0,1,4,4,0,0,0,7,8,0,0,0,0,2,2,0,5,4,0,1
242,NA,0,0,0,0,1,1,123,11,11,20,6,0,81,0,0,0,0,0,0,50,0,0,0,0,0,7,0,1,3,1,0,0,0,0,1,1,0,0,11,3,5,0,0,0,0,0,0,0,1,103,11,57,4,4,6,0,0,33,3,0,1,5,86,0,1,0,0,0,23,0,0,0,0,15,8,0,0,0,0,0,1,1,1,0,0,0
246,NA,0,0,0,0,1,1,66,6,0,11,13,1,43,0,0,0,0,0,0,39,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,1,2,1,4,0,2,5,0,0,0,0,0,0,0,27,10,27,10,12,12,1,0,4,0,0,0,5,6,0,0,0,0,0,31,0,0,1,0,1,33,1,0,0,0,0,1,0,9,2,0,0
250,NA,0,0,0,0,0,0,102,9,11,22,5,0,58,0,0,0,0,0,2,46,0,0,0,2,0,6,0,0,1,0,0,2,0,0,5,2,1,0,8,1,0,0,0,0,0,0,0,0,1,43,13,73,15,26,38,2,2,9,9,0,0,4,15,1,2,0,0,6,31,0,0,0,0,0,34,0,0,0,0,0,7,1,12,15,0,0
255,NA,0,0,0,0,0,0,62,8,3,21,10,0,33,0,1,0,0,0,0,42,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,13,0,2,0,0,1,0,0,0,0,0,53,43,94,8,37,8,0,1,2,0,0,0,1,1,0,0,0,0,0,6,2,0,0,0,0,6,0,0,0,0,0,4,0,1,4,0,0
262,NA,0,0,0,0,0,0,68,7,9,8,4,0,46,1,1,0,0,0,0,15,0,0,0,1,0,3,0,0,1,0,1,0,1,0,0,2,1,0,12,5,1,0,0,0,0,0,0,0,1,29,33,95,13,59,6,0,0,13,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,52,0,0,0,1,0,1,0,2,7,0,0
275,NA,0,0,0,0,0,2,61,12,16,37,6,0,61,0,0,0,0,0,0,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,7,5,1,0,0,0,0,0,0,0,1,38,41,62,8,52,9,0,1,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,3,0,5,5,0,0
287,NA,0,0,0,0,0,1,41,7,14,18,2,0,48,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,2,0,0,3,0,0,2,2,0,0,2,2,2,0,0,0,0,0,4,1,2,34,16,61,3,37,10,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,12,13,0,0
297,NA,0,0,0,1,0,7,52,10,28,18,1,0,85,0,1,0,0,0,0,20,0,0,0,3,0,2,0,0,3,1,1,3,0,0,2,0,4,1,4,4,1,0,0,0,0,0,1,1,0,33,20,103,5,46,11,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,22,1,0,0,0,0,5,0,4,10,0,0
