"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.saccharinum.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Ulmus","Populus","Poaceae","Plantago","Acer.rubrum","Acer.undiff.","Tilia","Tsuga","Vitis","Rosaceae.undiff.","Corylus","Sambucus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Myricaceae","Picea","Rubus","Liquidambar","Cornus","Ericaceae","Thalictrum","Viburnum","Lamiaceae","Dalea","Apiaceae","Celtis","Pinaceae.undiff.","Alnus.incana.type","Alnus.viridis.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Pinus.subg..Pinus","Pinus.subg..Strobus","Iva","Urtica.type","Abies","Polygonum","Sarcobatus.vermiculatus"
624,9319,304,8,0,0,8,3,11,5,2,1,2,0,11,1,17,92,5,81,3,40,1,0,0,1,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
637,9965,310,12,0,1,5,1,7,3,1,0,7,0,11,1,28,131,2,56,0,28,2,4,0,0,0,4,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
640,10114,332,8,0,4,4,1,24,2,1,0,1,0,16,1,11,118,0,79,0,34,3,3,0,2,0,6,0,0,0,3,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
643,10263,299,10,0,0,1,2,10,3,0,2,5,0,10,0,19,117,6,61,2,39,0,4,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
656,10909,303,2,0,0,3,3,27,6,1,1,3,0,14,0,2,124,1,53,2,43,1,5,0,1,0,0,0,0,0,1,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,11153,298,1,0,0,0,0,66,4,3,5,6,1,32,2,11,60,1,43,3,35,0,4,0,0,0,0,0,0,0,1,0,1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
688,11398,302,0,0,3,3,4,20,0,0,3,9,0,20,5,7,104,0,27,2,16,4,0,0,0,0,0,1,0,0,0,0,0,3,1,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
704,11642,303,0,1,2,1,4,18,1,0,5,7,0,25,5,7,35,1,34,0,26,3,4,0,0,1,0,0,1,0,5,0,1,0,0,102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
720,11887,297,0,0,8,1,1,13,0,2,5,4,0,11,7,8,27,1,16,5,15,5,0,0,0,0,0,0,0,0,1,0,1,0,0,147,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0
736,12133,309,1,2,5,2,14,17,0,0,13,13,0,15,3,16,15,0,16,5,3,8,3,0,0,0,0,1,0,0,2,0,2,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
768,12623,305,2,0,5,7,11,7,0,0,18,17,0,16,1,6,1,0,18,5,6,6,2,0,0,0,0,0,0,0,0,0,3,0,2,167,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
800,13113,307,0,0,5,13,5,4,1,0,7,10,0,37,4,3,2,3,13,8,5,6,2,0,0,0,0,0,0,0,1,0,2,0,0,173,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
816,13358,287,0,0,0,12,1,4,0,0,9,14,0,57,4,10,0,0,33,3,5,2,3,0,0,0,0,0,1,0,0,0,1,0,1,120,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,0,0
832,NA,297,0,0,1,7,7,7,0,1,6,10,0,38,4,12,0,0,19,5,5,5,5,0,0,0,0,0,0,2,0,0,3,0,0,151,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1
