"sample.depths","sample.ages","Acer","Alnus","Aquifoliaceae","Betula","Carya","Castanea","Celtis","Cephalanthus","Cornus.canadensis","Cornus.sericea","Cornus.undiff.","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Liriodendron","Nyssa","Ostrya.Carpinus","Picea","Pinus.strobus","Platanus.occidentalis","Populus","Quercus","Salix","Sambucus","Tilia","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Impatiens","Lycopus","Plantago","Poaceae","Polygonum.aviculare","Polygonum.lapathifolium","Rosaceae","Rumex","Thalictrum","Urtica"
75,1136,0.0422386483632524,0,0.013727560718057,0.00211193241816262,0.0179514255543823,0.00105596620908131,0,0.489968321013728,0,0,0,0,0.0147835269271383,0.0285110876451954,0.0211193241816262,0.00844772967265047,0,0.00211193241816262,0.0105596620908131,0,0.0506863780359029,0.00950369588173178,0,0.0865892291446674,0.0939809926082365,0.00844772967265047,0.0253431890179514,0.013727560718057,0.0200633579725449,0.00422386483632524,0,0.00422386483632524,0.00739176346356917,0,0,0.00211193241816262,0.0126715945089757,0,0,0,0.00422386483632524,0,0,0,0,0.00422386483632524,0
85,1294,0.0164948453608247,0,0.0144329896907217,0.00206185567010309,0.0164948453608247,0.00206185567010309,0.00206185567010309,0.523711340206186,0,0,0,0.00206185567010309,0.0350515463917526,0.0474226804123711,0.0247422680412371,0.00824742268041237,0,0.00206185567010309,0.0103092783505155,0,0.0371134020618557,0.0144329896907217,0,0.0824742268041237,0.0845360824742268,0.00618556701030928,0.0144329896907217,0.00824742268041237,0.00412371134020619,0.00824742268041237,0,0.00206185567010309,0.00412371134020619,0,0,0.00206185567010309,0.00412371134020619,0,0,0,0.0206185567010309,0,0,0,0,0,0
90,1373,0.0262626262626263,0,0.0202020202020202,0.0101010101010101,0.0181818181818182,0.00202020202020202,0,0.298989898989899,0,0,0,0,0.0383838383838384,0.0424242424242424,0.0363636363636364,0.00808080808080808,0.00202020202020202,0,0.0121212121212121,0.00404040404040404,0.0646464646464646,0.0585858585858586,0,0.096969696969697,0.193939393939394,0.00606060606060606,0.00202020202020202,0.0242424242424242,0.00202020202020202,0.00202020202020202,0,0.00202020202020202,0,0,0,0,0.0121212121212121,0,0,0,0.0161616161616162,0,0,0,0,0,0
95,1458,0.0672268907563025,0,0.0252100840336134,0.00630252100840336,0.0315126050420168,0,0,0.365546218487395,0,0,0,0,0.0399159663865546,0.0273109243697479,0.0819327731092437,0.0210084033613445,0,0.00210084033613445,0.00840336134453781,0,0.0357142857142857,0.0273109243697479,0,0.100840336134454,0.0672268907563025,0,0.0189075630252101,0.0315126050420168,0.0105042016806723,0.00630252100840336,0.00210084033613445,0.00210084033613445,0.00420168067226891,0,0,0,0.00210084033613445,0,0,0,0.0147058823529412,0,0,0,0,0,0
105,1628,0.093167701863354,0.0020703933747412,0.0993788819875776,0.0144927536231884,0.0227743271221532,0.0020703933747412,0,0.128364389233954,0,0.0020703933747412,0,0,0.041407867494824,0.0393374741200828,0.031055900621118,0.0041407867494824,0,0,0.0062111801242236,0,0.0910973084886128,0.0393374741200828,0,0.113871635610766,0.0910973084886128,0.020703933747412,0.0227743271221532,0.0289855072463768,0.0082815734989648,0,0.010351966873706,0.0020703933747412,0.0020703933747412,0,0,0.0062111801242236,0.0124223602484472,0,0,0,0.062111801242236,0,0,0,0,0.0020703933747412,0
115,1798,0.0510204081632653,0,0,0.0102040816326531,0.0306122448979592,0,0,0.26530612244898,0,0,0,0,0.0204081632653061,0.0102040816326531,0.0510204081632653,0.0408163265306122,0,0,0.0204081632653061,0,0.102040816326531,0,0,0.0816326530612245,0.183673469387755,0,0.0204081632653061,0.0306122448979592,0,0.0102040816326531,0,0.0102040816326531,0.0102040816326531,0,0,0,0.0306122448979592,0,0,0,0.0204081632653061,0,0,0,0,0,0
125,1967,0.040983606557377,0,0.0430327868852459,0.00819672131147541,0.0266393442622951,0.00614754098360656,0,0.358606557377049,0,0,0,0,0.0512295081967213,0.0348360655737705,0.014344262295082,0.0184426229508197,0,0,0.0102459016393443,0,0.0778688524590164,0.0368852459016393,0,0.0922131147540984,0.100409836065574,0,0.0122950819672131,0.0122950819672131,0.00409836065573771,0.0102459016393443,0,0.00409836065573771,0.00614754098360656,0,0,0.00409836065573771,0.00819672131147541,0,0,0,0.0184426229508197,0,0,0,0,0,0
135,2137,0.0967741935483871,0.010752688172043,0.010752688172043,0.021505376344086,0.010752688172043,0,0,0.10752688172043,0,0,0,0,0.043010752688172,0.0967741935483871,0.032258064516129,0.010752688172043,0,0,0.021505376344086,0,0.064516129032258,0,0,0.064516129032258,0.258064516129032,0,0.021505376344086,0.010752688172043,0.010752688172043,0,0.010752688172043,0,0.010752688172043,0,0,0,0.0537634408602151,0,0,0,0.032258064516129,0,0,0,0,0,0
145,2307,0.0432989690721649,0,0.0185567010309278,0.00618556701030928,0.0123711340206186,0.00206185567010309,0,0.115463917525773,0.00412371134020619,0,0,0,0.0268041237113402,0.0412371134020619,0.0329896907216495,0.00206185567010309,0,0,0.0123711340206186,0,0.0515463917525773,0.0144329896907217,0,0.111340206185567,0.169072164948454,0,0.0164948453608247,0.0288659793814433,0.00412371134020619,0.00412371134020619,0.00618556701030928,0.00824742268041237,0.0123711340206186,0,0,0.00206185567010309,0.0350515463917526,0.00206185567010309,0.00206185567010309,0,0.212371134020619,0,0,0.00206185567010309,0,0,0
155,2477,0.03125,0.00208333333333333,0.0125,0.00625,0.00416666666666667,0,0,0.204166666666667,0,0,0.00208333333333333,0,0.0166666666666667,0.0145833333333333,0.0354166666666667,0.00625,0,0,0.00833333333333333,0,0.04375,0.0291666666666667,0,0.0770833333333333,0.264583333333333,0,0.0104166666666667,0.0166666666666667,0.0333333333333333,0.00208333333333333,0.00625,0,0.0166666666666667,0,0,0.00208333333333333,0.03125,0,0,0,0.122916666666667,0,0,0,0,0,0
160,2561,0.0276595744680851,0.00212765957446809,0.102127659574468,0.00638297872340425,0.0148936170212766,0.00425531914893617,0,0.0638297872340425,0,0,0,0,0.0553191489361702,0.074468085106383,0.0361702127659574,0.00851063829787234,0,0,0.00638297872340425,0,0.0553191489361702,0.0212765957446809,0,0.119148936170213,0.178723404255319,0.00638297872340425,0.00425531914893617,0.0276595744680851,0.00425531914893617,0.00212765957446809,0.00425531914893617,0,0.00425531914893617,0,0,0.00212765957446809,0.0531914893617021,0,0,0,0.114893617021277,0,0,0,0,0,0
165,2646,0.015695067264574,0.00224215246636771,0.307174887892377,0.00224215246636771,0.0134529147982063,0,0,0.0201793721973094,0,0,0,0,0.062780269058296,0.0403587443946188,0.0403587443946188,0.00896860986547085,0,0,0.00224215246636771,0,0.0403587443946188,0.015695067264574,0,0.116591928251121,0.0807174887892377,0,0.00448430493273543,0.0336322869955157,0.00224215246636771,0.00224215246636771,0.00224215246636771,0,0.00224215246636771,0,0.00224215246636771,0.00224215246636771,0.031390134529148,0,0,0,0.145739910313901,0.00224215246636771,0,0,0,0,0
175,2821,0.169230769230769,0.00512820512820513,0.0102564102564103,0,0.0256410256410256,0.00512820512820513,0,0,0,0,0,0,0,0.0205128205128205,0.0615384615384615,0.00512820512820513,0,0,0.0153846153846154,0,0.128205128205128,0.0205128205128205,0.00512820512820513,0.271794871794872,0.0974358974358974,0,0.0153846153846154,0.0307692307692308,0.00512820512820513,0.0153846153846154,0,0.0153846153846154,0,0,0,0,0.0153846153846154,0,0,0,0.0461538461538462,0,0,0,0.0153846153846154,0,0
185,3001,0.183908045977011,0,0,0.0114942528735632,0.028735632183908,0,0,0.0172413793103448,0,0,0,0,0.0114942528735632,0.0114942528735632,0.0402298850574713,0,0,0,0.0114942528735632,0,0.183908045977011,0.0402298850574713,0.00574712643678161,0.14367816091954,0.137931034482759,0,0.028735632183908,0.0229885057471264,0.0114942528735632,0.028735632183908,0,0,0.0114942528735632,0.00574712643678161,0,0.00574712643678161,0.0517241379310345,0,0,0,0.00574712643678161,0,0,0,0,0,0
195,3182,0.0852534562211982,0.00230414746543779,0.0138248847926267,0.00691244239631336,0.032258064516129,0.00921658986175115,0,0.26036866359447,0,0,0.00691244239631336,0,0.0391705069124424,0.0184331797235023,0.0299539170506912,0.00691244239631336,0,0.00460829493087558,0.00921658986175115,0,0.101382488479263,0.0230414746543779,0,0.115207373271889,0.108294930875576,0,0.0138248847926267,0.0161290322580645,0.00921658986175115,0.00921658986175115,0,0.00691244239631336,0.00230414746543779,0,0.00230414746543779,0.00230414746543779,0.0138248847926267,0,0,0,0.0506912442396313,0,0,0,0,0,0
205,3362,0.0302325581395349,0,0.00697674418604651,0.00232558139534884,0.0116279069767442,0.00465116279069767,0,0.195348837209302,0,0,0,0,0.00465116279069767,0.0162790697674419,0.027906976744186,0.00930232558139535,0,0.00232558139534884,0.00697674418604651,0,0.0883720930232558,0.0232558139534884,0,0.0627906976744186,0.346511627906977,0.00232558139534884,0.00697674418604651,0.0209302325581395,0.00697674418604651,0.0325581395348837,0.0162790697674419,0,0.00232558139534884,0,0,0.00232558139534884,0.0372093023255814,0,0,0,0.0302325581395349,0,0,0,0,0.00232558139534884,0
215,3542,0.091533180778032,0.0091533180778032,0.0091533180778032,0.0045766590389016,0.0251716247139588,0,0,0.0663615560640732,0,0.0022883295194508,0,0,0.0205949656750572,0.0091533180778032,0.011441647597254,0.0068649885583524,0,0,0.0297482837528604,0,0.102974828375286,0.0320366132723112,0,0.102974828375286,0.320366132723112,0.0022883295194508,0.0045766590389016,0.022883295194508,0.0022883295194508,0.0297482837528604,0.011441647597254,0.0022883295194508,0.0091533180778032,0,0.0045766590389016,0.0137299771167048,0.0183066361556064,0,0,0,0.034324942791762,0,0,0,0,0,0
225,3722,0.0783847980997625,0,0.00712589073634204,0.00475059382422803,0.0285035629453682,0.00237529691211401,0,0.0261282660332542,0,0,0,0,0.0237529691211401,0.0213776722090261,0.0261282660332542,0.0166270783847981,0,0.00237529691211401,0.0118764845605701,0,0.0570071258907363,0.0285035629453682,0,0.154394299287411,0.327790973871734,0,0.00950118764845606,0.0427553444180523,0.00237529691211401,0.0142517814726841,0.00237529691211401,0,0.0213776722090261,0,0,0.00475059382422803,0.0285035629453682,0,0,0,0.0570071258907363,0,0,0,0,0,0
235,3902,0.1525,0.0025,0.0025,0.0075,0.0475,0.005,0,0.0925,0.0025,0,0,0,0.025,0.015,0.015,0.015,0,0.0025,0.005,0,0.195,0.0375,0,0.0525,0.0775,0.015,0.0425,0.055,0.0175,0.02,0.005,0,0.0275,0,0,0.0025,0.0125,0.0025,0.0025,0,0.045,0,0,0,0,0,0
245,4083,0.021978021978022,0,0.010989010989011,0.00549450549450549,0.00732600732600733,0.00183150183150183,0,0.485347985347985,0,0,0.0146520146520147,0,0.010989010989011,0.00549450549450549,0.0183150183150183,0.00366300366300366,0,0.00366300366300366,0.00732600732600733,0,0.0586080586080586,0.00366300366300366,0,0.102564102564103,0.0824175824175824,0.0238095238095238,0.0146520146520147,0.0128205128205128,0.0347985347985348,0.00366300366300366,0,0.00549450549450549,0.00915750915750916,0,0.00183150183150183,0.00183150183150183,0.0146520146520147,0,0,0,0.0311355311355311,0,0,0,0,0.00183150183150183,0
255,4263,0.00384615384615385,0,0,0,0.0269230769230769,0.00192307692307692,0,0.365384615384615,0.0192307692307692,0,0,0,0.05,0.0192307692307692,0.00192307692307692,0.0173076923076923,0,0.00384615384615385,0.00576923076923077,0,0.0346153846153846,0.00961538461538462,0,0.242307692307692,0.0615384615384615,0,0.00384615384615385,0.0442307692307692,0.0173076923076923,0.00769230769230769,0,0.00192307692307692,0.00384615384615385,0,0,0.00192307692307692,0.0134615384615385,0,0,0,0.0423076923076923,0,0,0,0,0,0
265,4382,0.023454157782516,0,0,0,0.0127931769722814,0,0,0.100213219616205,0,0,0,0,0.0127931769722814,0.00639658848614072,0.023454157782516,0.0127931769722814,0,0.0191897654584222,0.0127931769722814,0,0.0447761194029851,0.00213219616204691,0.00639658848614072,0.125799573560768,0.0149253731343284,0,0,0.0213219616204691,0.00639658848614072,0.00639658848614072,0,0.00213219616204691,0.0362473347547974,0,0,0,0.170575692963753,0,0,0,0.339019189765458,0,0,0,0,0,0
275,4439,0.00739371534195933,0,0,0.0055452865064695,0.011090573012939,0,0,0,0,0,0,0,0.0166358595194085,0.0166358595194085,0,0.00924214417744917,0,0.011090573012939,0.00184842883548983,0,0.00924214417744917,0,0,0.170055452865065,0,0,0.00369685767097967,0.0129390018484288,0,0.0055452865064695,0,0.00369685767097967,0.0184842883548983,0,0.00184842883548983,0,0.055452865064695,0,0,0,0.639556377079482,0,0,0,0,0,0
285,4496,0.00200400801603206,0,0.0160320641282565,0.00200400801603206,0.00400801603206413,0,0,0,0,0,0,0,0.032064128256513,0.00801603206412826,0.00200400801603206,0.00801603206412826,0,0.00601202404809619,0,0,0.0100200400801603,0.00200400801603206,0,0.128256513026052,0.00601202404809619,0,0.00400801603206413,0.00801603206412826,0,0,0,0.00200400801603206,0.0140280561122244,0,0,0,0.0140280561122244,0,0,0,0.731462925851703,0,0,0,0,0,0
295,4554,0.00573613766730402,0.00382409177820268,0.0210325047801147,0.00382409177820268,0.00573613766730402,0.00191204588910134,0,0.00764818355640535,0,0,0.00191204588910134,0,0.0420650095602294,0.0152963671128107,0.0133843212237094,0.0229445506692161,0,0.00382409177820268,0.017208413001912,0,0.0152963671128107,0.00764818355640535,0,0.267686424474187,0,0.00191204588910134,0.0133843212237094,0.0229445506692161,0,0.011472275334608,0,0.00382409177820268,0.00191204588910134,0,0,0.00191204588910134,0.00573613766730402,0,0,0,0.479923518164436,0,0,0,0,0,0
310,4640,0.00601202404809619,0,0.0140280561122244,0.0100200400801603,0.00400801603206413,0,0,0.0240480961923848,0,0,0,0,0.0240480961923848,0.0200400801603206,0.0200400801603206,0.0140280561122244,0,0.00801603206412826,0.00601202404809619,0,0.0160320641282565,0.00801603206412826,0.00801603206412826,0.204408817635271,0.00200400801603206,0,0.00601202404809619,0.0200400801603206,0.00400801603206413,0.00200400801603206,0,0.00200400801603206,0.00400801603206413,0,0,0,0.00601202404809619,0,0,0,0.565130260521042,0,0,0,0,0.00200400801603206,0
320,4697,0.0301724137931034,0,0.0603448275862069,0.0107758620689655,0.021551724137931,0,0,0.0258620689655172,0,0.00431034482758621,0,0,0.0538793103448276,0.0387931034482759,0.0172413793103448,0.0172413793103448,0,0,0.0107758620689655,0,0.0258620689655172,0.0366379310344828,0,0.318965517241379,0.0150862068965517,0.0021551724137931,0.0172413793103448,0.0301724137931034,0,0.0107758620689655,0,0,0.0172413793103448,0,0,0,0.0172413793103448,0,0,0,0.217672413793103,0,0,0,0,0,0
330,NA,0.0168421052631579,0,0.0168421052631579,0.00631578947368421,0.0126315789473684,0,0,0.0168421052631579,0,0,0,0,0.0526315789473684,0.0147368421052632,0.0315789473684211,0.0168421052631579,0,0.0105263157894737,0.0168421052631579,0,0.0147368421052632,0.0147368421052632,0,0.233684210526316,0.00421052631578947,0,0.00210526315789474,0.0315789473684211,0,0.00842105263157895,0.00210526315789474,0.00210526315789474,0.0126315789473684,0,0.00421052631578947,0.00421052631578947,0.0210526315789474,0,0,0,0.429473684210526,0,0,0,0,0.00210526315789474,0
