"sample.depths","sample.ages","Acer","Alnus","Anacardiaceae","Betula","Carya","Celtis","Cephalanthus","Corylus","Ericaceae","Fagus","Fraxinus","Ilex","Itea","Juglans","Liquidambar","Morus","Myrica","Nyssa","Ostrya.Carpinus","Pinus..1.2.grains.","Pinus..whole.grains.","Planera.aquatica","Platanus","Quercus","Salix","Taxodium","Ulmus","Vitis","Alternanthera","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae.undiff.","Cyperaceae","Galium","Iva","Poaceae","Polygonum","Vigna","Osmunda","Nuphar","Potamogeton","Sagittaria","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
265,1728,0,0,0,0,4,0,0,0,0,0,15,1,0,0,5,0,0,13,0,10,6,0,0,18,0,69,0,0,0,0,0,0,11,7,28,0,5,65,0,0,5,0,0,5,4,1,15,2
285,1862,0,0,0,0,1,0,0,0,0,0,14,0,0,0,5,0,0,11,0,6,8,0,0,28,2,89,1,3,0,1,1,1,8,6,22,0,5,46,0,0,5,0,0,0,3,1,21,8
305,1995,2,0,0,2,2,1,0,1,0,1,18,0,0,0,3,0,0,10,0,4,15,0,0,28,0,141,3,0,0,1,1,0,11,3,12,0,5,37,0,0,2,0,0,2,0,0,16,5
332,2175,2,0,0,1,4,0,0,0,0,0,18,0,0,0,5,0,0,8,0,2,12,0,0,17,1,111,4,2,0,0,1,0,7,3,20,0,1,46,0,0,2,0,0,0,4,1,22,9
352,2309,0,0,0,1,1,0,0,1,0,0,16,0,0,0,2,0,0,9,0,4,8,1,0,21,2,112,1,1,0,0,3,0,5,9,23,0,5,48,0,1,2,0,0,2,0,1,18,4
372,2442,0,1,0,1,3,0,1,0,0,0,16,0,0,0,10,0,0,14,1,13,4,0,0,23,0,86,1,1,0,0,1,1,11,4,25,0,2,49,0,0,3,0,0,2,3,0,16,5
392,2576,0,1,0,0,4,0,0,0,0,0,27,0,0,0,4,0,0,6,2,2,11,0,0,18,1,86,3,0,0,0,1,0,11,2,23,0,3,50,0,0,0,0,0,1,2,1,21,3
412,2709,0,1,0,0,0,0,0,2,0,0,17,0,0,0,3,0,0,8,1,8,7,0,1,11,0,96,3,0,1,0,2,0,11,6,30,0,1,64,0,1,1,0,0,2,2,0,22,7
432,2843,2,0,0,0,4,0,1,0,0,0,6,1,0,0,2,0,1,10,0,4,4,1,0,23,0,66,1,0,0,0,2,0,14,1,51,0,2,72,0,0,1,0,0,5,0,1,15,4
446,2936,0,0,0,2,1,1,0,1,0,0,26,0,1,0,8,0,3,12,1,6,9,0,0,30,0,106,3,1,0,0,1,0,9,6,25,0,3,39,0,1,0,0,1,3,3,1,15,4
461,3036,1,2,0,0,3,0,0,0,0,0,16,0,1,0,5,0,1,6,0,3,8,1,0,30,1,73,1,1,0,0,2,0,14,2,32,0,6,56,0,0,0,0,0,3,1,2,25,8
476,3137,0,1,0,0,2,1,0,0,0,0,9,0,0,0,3,0,1,9,1,7,18,0,0,24,0,62,4,1,0,0,1,0,13,4,40,0,3,71,0,1,4,1,0,2,1,0,19,4
491,3237,0,0,0,2,6,0,0,0,0,0,14,0,0,1,7,0,3,3,1,6,14,0,0,25,1,77,1,2,0,0,0,0,9,6,41,0,2,34,0,0,0,0,0,4,4,1,27,6
511,3370,0,0,0,0,2,0,0,0,0,0,18,0,0,0,5,1,2,5,2,8,18,1,1,25,0,69,2,1,0,0,2,0,10,8,29,0,4,38,0,2,1,1,0,2,1,1,22,9
531,NA,0,0,0,0,2,0,0,0,0,0,16,1,0,0,3,0,1,3,1,6,7,2,1,21,2,89,2,2,0,0,1,0,15,20,27,0,7,34,0,1,6,0,0,4,2,0,28,6
