"sample.depths","sample.ages","upland.sum","Acer.negundo","Acer.rubrum","Ambrosia.type","Betula","Carya","Celtis","Cephalanthus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Juglans.nigra","Juglans.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rubus","Salix","Saxifragaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Populus","Amaranthaceae","Acer.saccharinum.type","Castanea","Apiaceae","Viburnum","Artemisia","Bidens.type","Corylus","Juglans.cinerea","Leitneria.floridana","Trees.undiff.","Polygonum","Ilex","Plantago.major","Tsuga","Vitis","Cerealia","Ericaceae","Iva.annua.type","Tilia","Acer.saccharum.type","Herbs.undiff.","Magnolia","Parthenocissus","Dalea","Onagraceae","Picea","Thalictrum","Spiraea.type","Cornus","Sambucus","Prunus.Sorbus","Abies","Lamiaceae","Morus","Potentilla.type","Sanguisorba","Aesculus","Shepherdia.canadensis","Caryophyllaceae"
430,19474,332,0,0,0,0,0,0,0,0,10,0,0,0,2,6,3,0,0,0,0,1,57,0,199,0,15,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,0,0
450,19672,380,0,0,0,1,0,0,0,0,5,0,0,0,1,2,2,0,0,1,0,4,68,0,236,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,3,0,0,0,0,0,0,0,0,0,0,0,0
470,19890,365,0,0,1,0,1,0,0,0,26,1,2,0,4,17,0,0,0,0,0,2,51,0,176,0,14,0,0,0,9,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,1,0,0,4,0,1,0,0,0,1,0
490,20124,334,0,0,0,0,5,0,0,0,8,0,1,0,2,2,0,0,0,0,1,5,51,1,190,0,19,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,1,1,0,0,0,0,0,0
510,20368,327,1,0,1,0,1,0,0,0,8,0,1,0,1,5,0,0,0,0,0,4,58,0,202,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0
530,20617,338,0,0,2,1,1,0,0,1,16,0,4,0,1,5,0,0,0,0,0,3,71,0,183,1,20,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,1,0,0,0,0
550,20867,364,0,0,0,1,0,0,0,1,28,0,3,0,1,11,0,0,0,0,0,2,72,0,202,0,7,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,2,0,1,0,0,3,0,0,0,0,0,0,0
570,21111,408,0,0,1,1,0,0,0,0,61,0,1,0,3,19,0,0,0,0,0,1,42,0,193,0,8,0,0,0,9,2,0,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,1,0,0,0,5,0,0,0,0,0,0,1
590,21346,368,0,0,0,2,0,0,0,0,33,0,3,0,1,14,0,0,0,0,0,4,65,0,168,0,5,0,1,0,12,0,0,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,3,0,0,0,0,0,0,0
610,21566,416,0,0,0,1,1,0,0,0,69,0,2,0,1,24,0,0,0,0,0,3,71,0,161,0,7,2,0,0,8,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1,0,0,1,1,0,0,0
630,21778,463,0,0,0,0,1,0,0,0,117,0,0,0,0,10,0,0,0,0,0,0,13,0,249,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,4,0,0,0,0,0,0,1
650,22003,394,0,0,0,0,0,0,0,0,72,1,0,0,0,3,0,0,1,0,0,1,13,0,216,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,0,0,0,0,3,1,0,0,0,0,0,0
670,22262,376,0,0,1,1,2,0,0,0,58,0,0,0,1,3,1,0,0,0,0,0,20,0,231,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,1,0,0,0,0,0,0,0
690,22575,346,0,0,1,0,2,0,0,0,28,0,1,0,0,5,0,0,0,0,0,1,12,0,221,0,9,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56,2,0,0,0,0,2,0,0,0,0,0,0,0
700,22758,344,0,0,0,0,0,0,0,0,19,0,0,0,0,4,0,0,0,0,0,1,34,0,219,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,3,0,0,0,0,0,0,0
930,30881,377,0,0,1,2,6,1,3,0,23,0,5,0,5,15,0,0,1,0,1,2,30,1,135,0,54,0,1,0,3,2,0,21,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,6,0,0,0,0,0,0,0
