"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Betula...20.µm.","Betula...20.µm..1","Brassicaceae","Campanulaceae","Caryophyllaceae","cf..Myrica","Cornus","Cyperaceae","Epilobium","Ericales","Eriocaulon","Fabaceae","Fagus","Filicopsida.undiff.","Indeterminable","Isoëtes","Juniperus","Lycopodiaceae","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Primulaceae","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Salix","Saxifragaceae","Selaginella","Sorbus","Sphagnum","Taxus","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Urticaceae"
285,4245,19,1,15,0,0,0,0,1,4,86,0,0,0,4,0,1,0,0,1,0,0,25,34,5,0,3,1,0,1,4,0,0,45,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
305,4699,22,0,7,0,0,0,1,1,5,92,1,0,0,0,0,1,0,3,0,0,0,7,17,4,0,3,0,0,0,2,0,0,49,1,0,0,1,0,0,1,0,0,2,0,0,1,1,0,2,3,0,0,0,0,0
325,5152,41,0,18,0,0,0,1,1,5,180,0,0,0,12,0,6,0,0,0,0,0,29,29,7,2,6,3,0,0,6,0,0,128,5,0,0,0,0,1,0,0,2,1,0,0,0,0,0,5,2,0,0,0,1,1
345,5606,23,2,10,0,0,0,0,0,1,95,0,0,0,14,0,4,0,2,0,0,0,29,35,4,2,0,2,1,0,5,0,0,73,5,0,0,3,4,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0
365,6060,31,0,17,0,0,0,0,1,2,120,0,0,0,5,0,2,0,3,0,0,0,35,25,6,2,1,4,0,0,6,0,0,83,6,0,0,0,13,0,0,0,0,1,0,0,0,0,0,6,5,0,0,1,2,0
385,6513,24,0,53,0,0,0,0,0,35,122,0,0,0,3,0,3,0,0,0,0,0,19,50,29,1,7,1,0,0,10,0,0,92,7,0,0,1,10,0,0,1,0,3,0,1,0,0,0,10,5,0,0,0,0,0
405,6967,15,0,33,0,0,0,0,1,23,152,0,0,0,2,0,1,0,0,0,0,0,17,28,26,1,3,0,0,0,5,0,0,62,6,0,0,4,5,1,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,1
425,7421,17,0,30,0,0,0,0,4,17,161,0,0,0,6,0,6,0,0,1,0,0,40,40,15,0,6,2,0,0,21,0,0,101,10,1,0,0,4,0,0,0,0,2,0,0,2,0,0,11,17,0,0,0,0,0
445,7875,9,0,10,0,0,0,0,1,25,135,0,0,0,3,0,2,0,0,0,0,0,11,23,7,3,9,2,0,0,11,0,0,84,5,0,0,1,1,0,0,0,0,3,0,1,0,0,0,1,4,0,0,0,1,0
465,NA,28,2,10,0,0,0,0,0,27,211,0,0,0,2,0,1,0,0,0,0,0,24,50,7,0,3,3,0,1,5,0,0,84,5,0,0,1,1,0,0,5,0,5,0,0,0,0,0,2,32,1,0,0,0,0
475,NA,49,0,5,1,0,0,0,1,32,325,0,0,0,6,0,2,0,2,0,0,1,21,28,3,5,3,2,1,0,1,0,0,165,14,0,0,0,7,1,0,8,0,2,0,0,0,0,0,4,12,0,0,0,1,3
485,NA,54,0,12,0,0,0,1,2,60,429,1,0,0,1,2,6,0,0,0,0,0,50,52,20,0,10,6,0,0,5,0,0,151,17,0,0,2,9,1,0,5,0,9,0,0,0,0,0,4,16,2,1,0,0,1
495,NA,38,0,18,0,0,0,0,0,53,350,0,0,0,2,1,0,0,0,0,0,0,29,37,7,0,7,7,1,0,0,0,0,110,10,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,3,0,0,0,0,0
505,NA,28,0,20,1,0,0,0,2,46,381,1,0,0,2,2,1,0,1,0,0,0,39,61,70,15,2,12,0,0,0,0,0,56,13,0,0,4,2,3,0,8,0,1,0,2,0,0,0,1,1,2,0,0,0,1
510,NA,4,0,18,0,0,0,0,3,29,211,0,0,0,5,1,1,0,1,0,0,0,29,32,40,12,10,3,1,0,0,0,0,27,4,0,0,1,5,0,1,1,1,2,0,2,0,0,0,2,0,1,0,1,0,1
515,NA,35,0,28,0,0,1,0,2,70,207,0,0,0,13,3,1,0,6,0,0,0,50,120,49,20,33,3,1,0,0,0,0,71,14,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0
520,NA,1,0,9,0,0,0,2,4,58,156,0,0,0,6,0,4,0,3,0,1,0,57,66,76,27,33,34,0,0,0,0,0,43,3,0,0,5,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0
525,NA,3,0,18,0,0,0,1,2,76,181,1,0,2,16,0,9,0,19,0,0,0,111,142,286,113,104,93,0,0,0,0,0,83,7,0,0,51,0,0,0,3,4,2,0,0,0,0,0,0,0,13,0,0,1,2
530,NA,0,0,14,1,0,0,1,8,113,203,1,0,0,10,0,17,0,22,0,0,0,78,115,131,88,92,150,0,0,0,0,0,26,8,0,0,75,0,0,0,2,7,1,0,6,0,0,0,1,0,17,0,0,0,4
535,NA,1,0,23,0,0,1,1,13,94,184,0,0,0,21,0,6,1,21,0,0,0,82,129,80,77,107,112,0,0,0,0,0,9,8,0,0,57,0,0,0,4,8,0,0,5,0,0,0,2,0,7,0,0,1,4
540,NA,0,0,1,0,0,0,0,6,64,42,0,0,0,3,0,3,0,0,0,0,0,31,36,13,2,32,69,0,0,0,0,0,2,1,0,0,17,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0
545,NA,0,0,22,0,0,3,0,18,273,208,0,0,0,17,0,19,0,51,0,0,0,130,199,28,5,280,263,0,0,0,0,0,41,3,0,0,96,0,1,1,5,6,1,0,22,1,0,0,0,0,1,0,0,3,5
550,NA,0,0,28,1,0,0,0,15,113,97,0,0,1,72,0,19,0,46,0,0,0,122,140,0,0,207,167,0,0,0,3,0,9,12,0,0,53,2,0,2,0,6,2,0,10,0,0,0,3,0,1,0,0,0,3
552,NA,1,0,37,1,0,4,3,8,297,122,0,0,0,23,1,28,1,46,0,0,0,117,199,27,5,277,201,0,0,0,0,0,27,8,0,0,90,0,0,0,0,9,2,0,17,0,0,0,1,0,0,0,1,0,5
553,NA,0,0,12,0,0,0,1,1,106,57,0,0,0,6,1,22,0,54,0,0,0,19,85,7,6,82,32,0,0,0,0,0,14,8,0,0,14,0,0,1,0,6,1,0,10,0,0,0,0,0,0,0,0,0,1
555,NA,0,0,6,0,0,1,1,5,67,18,0,0,0,1,0,27,0,43,0,0,0,20,15,0,1,76,13,0,0,0,1,0,13,6,0,0,6,0,0,0,0,2,0,0,9,0,0,0,3,0,0,0,0,1,0
560,NA,0,0,6,0,0,5,1,3,45,5,0,0,0,1,0,40,0,46,0,0,0,14,22,0,1,42,6,0,0,0,0,0,8,21,0,0,10,0,0,0,0,2,1,0,17,0,0,0,2,0,0,0,0,0,1
565,NA,0,0,10,0,0,0,1,0,26,4,0,0,1,0,0,67,0,6,0,0,0,6,30,0,0,36,0,0,0,0,0,1,3,16,0,0,26,0,0,0,0,4,0,0,10,1,0,0,3,0,0,0,0,0,0
567,NA,2,0,9,0,0,0,3,2,46,0,0,0,0,0,0,115,0,5,0,0,0,5,10,0,5,14,0,0,0,0,0,9,4,10,0,0,11,0,0,0,0,0,2,1,10,0,0,0,0,0,0,0,0,1,0
568,NA,0,0,10,1,0,0,6,1,14,0,0,0,2,1,0,26,0,8,0,0,0,4,27,0,0,2,0,0,0,0,0,25,5,13,0,0,6,0,0,1,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0
570,NA,0,0,3,4,0,0,0,5,6,11,0,0,0,1,0,31,1,16,0,0,0,12,63,0,0,7,0,0,0,0,0,51,5,16,0,0,10,0,0,2,0,0,0,0,21,0,0,0,0,0,6,0,0,0,0
572,NA,0,0,4,0,0,0,7,3,1,0,0,0,0,1,0,60,0,24,0,0,0,2,35,0,0,3,2,0,0,0,0,8,5,18,0,0,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
573,NA,0,0,1,1,0,0,10,0,1,0,0,0,0,2,0,58,0,39,0,0,0,5,33,0,1,3,1,0,0,0,0,1,5,11,0,0,7,0,0,0,0,1,0,0,28,0,0,0,1,0,0,0,0,0,0
574.5,NA,0,0,3,1,0,0,6,1,4,14,0,1,0,3,0,20,0,35,0,0,0,10,44,0,7,10,3,0,0,0,0,0,5,16,0,0,8,0,0,0,0,0,2,0,24,0,0,0,2,0,0,0,0,1,1
575.5,NA,0,0,0,0,0,0,5,0,2,3,0,0,0,1,0,14,0,19,0,0,0,5,31,0,0,4,1,0,0,0,3,0,6,8,0,0,11,0,0,0,0,0,0,0,57,0,0,0,1,0,0,0,0,0,2
577,NA,0,0,0,0,0,0,8,0,2,0,0,0,1,2,0,11,1,3,0,0,0,13,21,0,0,2,0,0,0,0,0,0,3,12,0,0,9,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,0
