"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Cannabaceae","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Drosera","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Galium","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.obscurum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Pontederiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rhamnaceae","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Salsola","Sambucus","Sarracenia","Scrophulariaceae","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum","Xanthium"
350,3738,0,0,4,0,15,3,0,13,0,1,0,1,1,0,48,0,1,0,0,0,23,0,10,0,3,0,0,4,11,0,0,3,0,1,26,10,4,1,0,0,1,12,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,7,0,1,3,1,21,0,0,0,0,2,0,5,239,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,6,2,0,0,0,0,0
390,4251,0,0,0,0,5,0,0,13,0,0,0,0,1,0,33,1,0,0,0,0,22,0,0,0,0,0,3,2,12,0,0,3,0,0,32,5,1,0,0,1,0,16,1,0,3,0,0,0,0,0,0,1,5,0,0,3,1,4,9,0,0,4,3,18,0,4,2,0,3,1,5,214,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,6,0,12,2,0,0,0,0,0
410,4508,0,1,3,1,5,0,0,14,1,0,0,0,3,0,28,0,2,0,0,0,34,0,1,0,2,0,1,2,9,0,0,11,0,1,26,3,9,2,0,0,0,10,0,0,1,0,0,1,0,0,0,2,3,0,0,1,0,5,13,0,0,1,3,21,0,3,3,0,1,1,6,210,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,4,0,7,1,0,0,0,0,0
450,5018,0,0,1,2,10,0,0,17,0,0,0,0,1,0,48,0,0,0,0,0,22,0,5,0,0,0,1,2,2,0,0,2,0,0,33,8,5,1,0,0,0,9,0,0,6,0,0,0,0,0,0,0,2,0,0,3,0,1,7,0,0,3,1,13,0,2,1,0,1,1,8,214,0,0,0,0,1,0,0,0,0,0,0,1,2,3,2,0,6,0,8,1,1,0,0,0,0
470,5270,1,0,0,0,6,2,0,21,0,2,0,1,2,0,54,0,0,0,0,0,18,0,1,0,1,0,1,2,3,0,0,0,0,0,41,7,6,0,0,0,0,23,1,0,9,0,1,0,0,0,0,0,0,0,1,2,0,4,6,0,1,3,2,11,0,4,4,0,6,0,6,216,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,14,2,12,0,3,2,0,0,0
490,5519,1,0,2,2,4,0,1,15,0,0,0,0,1,0,38,0,1,0,0,0,14,0,5,0,1,0,3,3,7,1,1,12,1,0,48,11,11,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,1,4,2,21,0,10,1,0,1,2,8,218,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,44,0,14,1,0,0,0,0,0
510,5764,0,1,1,0,12,1,0,12,0,1,0,0,1,0,52,0,1,0,0,0,11,0,2,0,0,0,0,0,3,0,0,2,0,0,51,9,11,3,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,2,4,2,7,5,0,1,1,2,17,0,5,4,0,2,1,11,243,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,51,0,10,0,0,0,0,0,0
550,6239,0,1,1,0,7,3,0,21,1,1,0,0,5,0,37,0,1,0,0,0,18,0,1,0,1,0,1,2,8,0,0,3,0,0,66,7,8,2,0,0,0,11,0,0,5,0,1,0,0,0,0,3,0,0,0,6,1,5,8,0,1,3,2,17,0,9,4,0,1,0,4,223,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,11,1,1,0,0,0,0
590,6692,0,0,1,2,8,1,1,14,0,0,1,1,3,0,60,0,2,0,0,0,5,0,1,0,1,0,0,3,9,0,0,4,0,0,66,3,6,0,0,0,0,23,0,0,4,0,0,0,0,0,0,1,0,0,1,2,0,1,11,0,1,2,0,24,0,13,2,0,0,0,6,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,42,0,6,1,0,0,0,0,1
610,6909,0,0,1,1,12,1,0,16,2,0,0,0,0,0,67,0,0,0,0,0,10,0,1,0,6,0,0,0,8,0,0,6,0,0,100,16,5,1,0,0,2,13,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,2,16,0,13,1,0,0,1,2,107,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8,0,119,0,9,1,0,0,1,0,0
650,7323,1,0,4,0,15,2,0,10,1,1,0,0,1,0,76,0,1,0,0,0,13,0,1,0,2,0,2,1,8,0,0,2,0,0,146,17,12,4,0,0,1,25,0,1,8,1,0,0,0,0,0,2,1,0,3,6,0,1,18,0,0,0,4,13,0,13,1,0,2,0,3,195,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,113,0,10,2,0,0,0,0,0
690,7710,0,0,0,3,10,0,0,18,0,2,0,0,0,0,53,0,3,0,0,0,5,0,5,0,1,1,3,1,3,0,0,4,1,0,93,12,4,0,0,0,0,10,0,0,3,0,0,0,0,0,0,2,3,0,0,3,1,1,7,0,0,2,1,11,0,12,1,0,0,2,1,176,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,82,0,15,0,0,0,0,0,0
710,7893,0,0,1,0,7,0,0,14,0,1,0,2,0,0,59,0,5,0,0,0,2,0,0,0,1,0,0,1,5,0,0,0,0,0,53,7,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,4,0,0,1,1,12,0,11,0,0,2,0,4,130,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,83,0,7,4,0,0,1,0,0
750,8240,0,0,4,0,4,0,0,13,0,2,0,1,4,0,30,0,4,0,0,0,4,0,2,0,0,0,2,3,7,0,0,3,0,0,54,5,3,0,0,0,1,9,0,0,0,0,1,0,0,0,1,1,3,0,0,2,0,1,15,0,1,0,9,35,0,1,2,0,1,0,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,69,0,12,1,0,0,1,0,0
790,8566,1,0,1,0,5,0,0,24,0,2,0,0,2,0,27,1,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,37,5,3,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,11,0,1,13,22,31,0,2,2,0,5,0,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,52,0,7,1,0,0,0,0,0
810,8723,0,0,2,0,8,5,0,30,1,7,0,0,2,0,45,0,0,0,0,0,1,0,1,0,1,0,2,2,8,0,0,0,0,0,55,3,13,0,0,0,2,22,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,19,0,1,3,13,67,0,7,4,0,5,0,1,308,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,114,0,10,1,0,1,0,1,0
850,9030,1,0,1,1,2,0,0,17,1,4,0,2,2,1,11,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,22,2,9,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,10,0,4,3,20,58,0,5,2,0,4,0,6,240,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,52,0,10,5,0,0,1,0,0
890,9337,0,0,1,0,2,2,0,9,1,2,0,0,2,0,29,0,0,0,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,0,10,2,1,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,1,5,0,2,2,16,41,0,1,2,0,2,0,6,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,8,0,1,1,0,0,0
910,9494,2,0,0,0,2,0,0,12,1,4,0,1,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,1,4,0,0,0,0,0,9,5,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,1,8,16,35,0,2,2,0,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,3,1,0,0,0,3,0
950,9828,0,0,0,0,2,1,1,15,0,1,0,2,3,0,31,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0,4,0,0,0,2,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,14,0,5,14,49,76,0,1,2,0,4,0,5,199,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,4,2,0,0,0,0,0
980,10103,1,0,0,0,4,3,0,15,0,0,0,0,1,0,25,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,1,2,3,7,0,0,0,0,17,0,0,0,0,2,0,1,0,0,1,3,1,0,2,0,0,13,0,6,3,41,94,0,2,3,0,8,0,15,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,49,0,9,0,0,0,0,0,0
1010,10410,3,0,0,1,0,3,0,6,0,0,0,0,2,0,21,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,11,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,4,13,88,133,0,1,2,0,1,0,0,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,12,0,0,0,0,0,0
1050,10887,3,0,1,0,1,0,0,19,0,3,0,0,2,0,14,0,1,0,1,0,1,0,1,0,0,0,2,2,7,0,0,2,0,1,0,4,7,0,0,1,1,10,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,9,0,8,7,68,149,0,1,2,0,1,2,3,96,0,0,1,0,0,4,0,0,0,0,1,0,0,1,1,0,36,0,6,2,0,0,0,0,0
1090,11467,13,0,0,0,4,1,0,9,0,2,0,0,2,0,34,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,4,3,0,0,0,0,37,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,25,12,203,221,0,0,3,0,0,0,1,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1,10,1,2,0,0,0,0
1110,11806,13,0,0,0,14,2,0,32,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,0,0,0,4,2,2,0,0,0,0,0,0,9,11,0,0,0,1,29,5,0,0,0,2,0,1,0,0,1,2,0,1,0,0,0,32,0,44,11,206,217,0,1,4,0,5,0,2,190,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,9,0,1,0,0,0,0
1130,12183,12,0,2,0,13,2,0,9,0,0,0,1,1,0,47,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,1,3,9,0,0,0,0,21,7,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,5,7,103,164,0,0,2,0,9,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,0,0,0,0
1150,12603,15,0,0,0,1,0,0,73,0,0,0,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0,0,1,0,0,0,0,2,0,0,0,0,11,1,0,1,0,6,0,1,1,0,0,2,0,0,0,0,0,4,0,98,16,16,48,0,0,2,0,21,0,1,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,6,2,0,0,0,0
1185,13458,3,0,0,0,1,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,48,17,1,24,0,0,5,0,21,0,1,11,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,14331,11,0,0,0,1,0,0,3,0,1,0,2,2,0,14,0,0,0,1,0,0,0,2,0,0,0,3,3,15,0,0,0,1,1,0,1,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,189,4,1,20,0,1,7,0,3,0,1,24,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0
1225,14654,0,0,0,0,0,0,0,8,1,0,0,6,1,0,19,0,0,0,0,0,0,1,1,0,0,0,0,2,24,0,0,0,0,2,0,1,0,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,33,5,0,46,0,0,14,0,13,1,1,8,0,0,2,0,0,10,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,1
1240,15172,0,0,0,0,0,1,0,8,1,0,1,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,1,0,0,0,1,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,21,0,0,4,0,2,0,0,8,0,0,2,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,8,0,0,0
1255,15732,1,0,0,0,0,1,0,29,0,0,0,9,5,0,5,0,0,1,0,0,0,2,0,0,0,0,0,2,29,0,0,0,0,1,0,0,0,0,0,0,0,41,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,2,20,7,0,101,0,0,15,0,6,0,0,4,0,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,3,1,0,0,0,0
1270,16337,0,0,0,0,0,0,0,14,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,10,2,0,53,0,0,2,0,1,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0
1290,NA,0,0,0,0,0,0,0,6,0,2,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,8,0,49,0,0,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1310,NA,0,0,0,0,0,0,0,4,1,4,0,12,6,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,6,0,132,0,0,12,0,0,0,0,2,0,0,1,1,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
1350,NA,1,0,0,0,0,0,0,15,1,0,0,4,8,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,21,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,21,14,0,105,0,0,17,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0
1390,NA,0,0,0,0,0,0,0,1,2,1,0,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,20,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1410,NA,1,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,64,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
1450,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,NA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
