"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Aquifoliaceae","Artemisia","Betula","Castanea","Cyperaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Acer","Fraxinus","Poaceae","Rosaceae","Ericaceae","Juglans.cinerea","Larix","Taxus","Ulmus","Amaranthaceae.undiff.","Juglans.nigra","Myrica","Carya","Platanus","Salix","Trees.undiff.","Tilia","Cupressaceae","Populus","Asteraceae.subf..Cichorioideae","Corylus","Sarcobatus.vermiculatus","Shepherdia","Rhamnaceae.Vitaceae","Plantago"
600,8757,813,46,10,31,0,0,2,239,0,5,1,11,9,36,24,187,80,41,0,2,10,3,18,19,2,2,0,0,2,7,10,0,0,9,0,0,1,0,1,2,2,0,1,0,0,0,0
620,9158,543,17,5,37,3,0,1,227,0,2,1,6,1,27,11,90,18,19,0,5,2,2,10,15,5,1,0,0,2,3,13,0,0,7,3,0,3,0,0,1,5,0,1,0,0,0,0
640,9559,802,49,5,136,1,0,2,320,1,4,2,4,3,45,40,74,26,15,0,3,1,2,2,8,7,0,0,1,1,2,9,1,0,3,0,0,2,0,0,0,29,0,4,0,0,0,0
660,9961,897,73,0,299,1,0,0,313,1,5,0,7,1,31,52,24,13,18,1,0,0,3,0,5,4,0,0,0,3,0,3,1,0,1,0,1,0,0,0,1,35,0,1,0,0,0,0
670,10486,906,6,0,447,1,0,3,176,0,5,1,2,2,82,31,26,7,16,0,0,0,8,2,1,5,0,0,0,0,0,4,0,0,0,0,1,5,0,0,0,75,0,0,0,0,0,0
673,10789,722,6,0,424,0,0,1,90,0,2,0,3,3,73,14,19,6,7,0,0,1,2,1,5,2,1,0,0,2,0,5,0,0,1,0,0,3,0,0,0,50,0,1,0,0,0,0
676,11092,379,3,0,100,0,1,1,62,0,5,0,1,2,81,14,27,14,15,0,0,1,6,1,2,2,1,0,0,1,0,6,0,0,2,0,2,0,0,0,0,29,0,0,0,0,0,0
678,11294,375,3,0,9,1,0,3,66,0,9,0,3,5,149,24,22,9,22,0,0,1,6,0,1,7,1,0,0,2,0,8,1,0,1,0,0,3,0,0,3,13,0,3,0,0,0,0
681,11682,284,2,1,11,0,0,2,80,0,11,0,3,6,101,8,16,8,14,0,0,0,0,1,0,1,0,1,0,0,0,5,0,0,0,0,0,6,0,0,1,6,0,0,0,0,0,0
683,11941,430,0,0,14,0,0,7,142,0,17,0,4,3,131,14,14,7,19,1,0,1,2,2,2,5,0,2,0,0,0,2,0,0,0,0,0,17,0,0,2,19,0,0,0,3,0,0
685,12200,345,3,0,16,1,0,1,135,0,29,0,3,0,58,7,17,19,7,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,1,25,0,0,1,12,0,0,0,1,1,0
687,12458,397,1,0,17,1,0,3,187,0,43,0,4,1,26,16,18,18,4,0,1,0,1,2,1,5,0,2,0,0,0,3,0,0,1,0,0,31,0,0,0,11,0,0,0,0,0,0
691,12976,370,1,2,24,0,0,11,124,0,39,0,3,3,15,26,13,12,6,0,1,2,13,0,4,10,1,2,0,0,0,1,0,0,0,0,0,46,0,0,0,11,0,0,0,0,0,0
694,NA,441,2,0,16,2,0,15,105,0,103,0,13,1,22,24,7,25,8,0,0,1,10,0,0,21,6,1,0,0,0,2,1,0,0,0,0,46,0,0,1,5,2,1,0,0,0,1
