"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tilia","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Carya.ovata","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Ericaceae","Thalictrum","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Acer.rubrum","Acer.spicatum","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Larix","Acer.pensylvanicum","Acer.saccharinum","Corylus.cornuta","Elaeagnus.commutata","Rosaceae","Juniperus.communis.Thuja.occidentalis.type","Taxus","Amaranthaceae","Caryophyllaceae","Onagraceae","Myrica.gale","Shepherdia.canadensis","Viburnum","cf..Diapensia.lapponica","Fabaceae","Ranunculaceae.undiff."
250,2981,361,0,12,1,0,63,3,69,14,2,0,0,1,20,0,0,14,0,5,9,0,1,0,10,2,20,13,100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3279,477,3,12,0,4,100,4,80,19,3,0,0,4,21,0,1,23,1,7,16,6,1,0,22,2,34,27,83,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3548,559,1,13,1,4,123,0,110,28,1,0,1,5,40,0,7,27,0,4,16,0,7,1,20,2,52,17,73,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,3701,391,0,7,0,0,102,3,77,13,1,0,0,3,29,0,0,14,0,7,16,3,0,0,10,2,21,50,28,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,3854,438,1,17,0,0,84,0,59,32,1,0,0,3,36,0,0,52,1,3,24,1,0,1,16,5,46,24,24,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4007,534,0,13,0,0,130,1,75,25,2,0,0,3,30,0,0,84,0,3,26,4,1,0,16,7,44,43,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,4160,472,0,9,0,2,130,1,68,27,6,1,2,2,20,0,1,64,0,13,20,2,1,0,23,3,42,18,10,0,0,0,1,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
425,4312,354,0,8,2,0,102,3,60,26,8,0,0,1,11,0,0,52,1,4,17,2,1,0,15,1,21,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,4465,550,0,7,2,0,174,0,106,23,10,0,3,3,17,0,2,48,0,12,36,6,3,0,15,4,28,9,38,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,4618,486,0,6,0,0,143,1,84,30,5,0,0,1,21,0,1,23,1,6,29,1,2,0,21,2,42,18,45,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,5569,832,0,12,1,3,211,0,93,37,8,0,0,4,66,0,3,38,0,6,41,2,4,0,27,8,45,15,203,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
525,5883,410,2,5,1,0,83,2,39,22,12,0,1,2,9,0,2,20,0,5,17,2,1,0,8,5,19,9,142,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,6033,620,9,2,1,1,128,1,97,12,15,0,1,2,34,0,1,26,0,5,27,2,0,1,9,3,19,49,154,2,0,0,13,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
550,6196,606,0,8,0,0,127,0,30,30,6,0,0,3,21,2,3,34,0,9,97,1,1,0,17,1,34,18,159,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
562,6347,640,9,5,1,1,141,0,86,26,5,1,1,1,29,0,1,38,0,3,42,1,2,0,13,1,23,47,139,1,1,0,13,0,0,0,0,1,1,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
575,6510,422,0,15,1,1,64,1,63,28,9,1,0,2,22,0,0,53,2,4,27,0,0,0,18,2,22,10,75,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,6660,528,15,3,1,1,103,2,46,20,16,0,1,0,34,0,0,69,0,4,34,3,0,1,12,1,15,23,102,1,0,0,14,0,0,0,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
600,6823,827,1,38,2,0,156,1,40,43,11,4,0,0,42,0,2,120,2,6,45,1,6,0,11,0,80,28,174,1,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0
625,7137,550,0,8,0,0,102,1,14,24,2,0,0,1,16,0,0,44,2,5,29,0,0,1,23,0,27,33,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,7450,561,1,11,0,0,116,1,6,21,1,0,0,2,26,0,1,62,2,3,34,0,0,0,15,1,77,31,143,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
675,7763,580,1,11,0,0,106,1,13,27,1,0,0,1,41,0,0,88,1,6,33,1,0,0,15,1,112,42,72,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
700,8231,1345,3,27,0,4,114,1,12,29,0,1,1,6,113,2,11,200,3,5,44,1,5,0,10,0,400,264,74,2,0,0,3,0,0,4,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
725,9315,480,0,15,0,0,57,0,3,11,1,0,0,3,41,0,0,81,0,0,26,0,2,0,13,0,132,71,19,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
750,10399,592,2,6,1,0,75,2,6,11,1,0,0,7,52,0,2,70,3,0,23,1,2,0,8,1,195,98,9,3,0,0,2,0,0,2,0,2,1,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0
765,11050,539,0,6,1,1,104,0,9,23,0,0,0,3,45,0,2,47,1,0,44,1,0,5,4,0,123,103,6,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
775,11192,543,0,4,1,1,105,3,2,16,0,0,0,10,48,0,0,33,1,0,39,0,6,5,4,2,175,75,1,7,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
785,11335,476,0,9,1,0,158,6,0,9,0,0,0,9,24,0,0,26,3,0,10,2,1,22,2,1,100,71,3,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
800,11549,301,0,4,1,4,32,8,0,4,0,0,1,30,29,3,12,19,1,1,4,5,6,0,2,2,68,38,0,11,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0
810,11692,479,0,8,0,0,68,4,3,7,0,0,0,91,28,0,1,31,2,1,3,2,6,6,1,2,101,86,1,13,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0
820,11835,511,0,12,1,1,66,9,2,7,0,0,2,90,41,4,10,43,2,0,2,18,3,0,2,0,118,46,4,13,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,2,2,1,0,0
830,11977,349,0,19,0,5,70,4,0,10,0,0,2,34,13,1,25,38,9,0,3,3,3,1,2,0,66,18,5,6,2,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,2,0
835,NA,304,2,13,2,10,57,13,0,8,0,0,1,24,24,0,6,15,9,1,3,0,4,1,3,0,72,12,3,9,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3
840,NA,125,5,1,0,2,17,3,1,1,0,0,0,19,23,0,0,2,1,0,1,3,2,0,3,0,20,2,2,13,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,NA,101,2,2,0,3,19,3,0,1,0,0,0,13,12,0,4,5,2,0,0,0,2,0,2,0,13,3,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
855,NA,8,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,NA,60,0,0,1,1,5,4,1,0,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,15,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,NA,26,0,3,0,0,12,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,NA,103,2,1,1,3,10,2,0,2,0,0,0,22,16,0,2,0,2,0,0,0,0,0,0,0,20,2,2,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
