"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Populus.tremuloides.type","Thalictrum","Amaranthaceae","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Rumex.type","Acer.saccharum","Myrica.gale","Ericaceae","Populus.balsamifera.type","Rosaceae","Nemopanthus.mucronatus","Acer.spicatum","Taxus","Viburnum.alnifolium","Corylus.cornuta","Carya.ovata","Lonicera.involucrata","Castanea.dentata","Ribes","Tilia","Shepherdia.canadensis","Onagraceae","Caryophyllaceae","Plantago","Fabaceae","cf..Oxyria.digyna"
278,4373,388,0,5,1,105,0,5,2,2,0,0,0,23,42,5,0,4,32,0,5,5,109,28,4,8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,4657,413,2,6,2,142,2,3,7,0,0,2,0,45,39,0,0,4,43,1,8,6,68,17,2,9,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,4987,538,1,10,3,217,1,5,6,0,0,0,1,21,55,9,0,0,6,0,20,2,156,4,2,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0
337,5302,525,2,13,5,162,1,8,7,1,0,0,0,40,50,3,0,2,6,4,19,1,176,5,0,7,0,0,2,0,2,0,0,0,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
356,5601,490,4,2,0,210,0,6,7,2,0,1,0,18,50,6,1,2,0,1,11,0,155,0,2,6,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
376,5915,411,3,4,2,163,0,2,1,1,0,0,0,16,46,14,0,3,1,0,8,1,124,2,1,4,1,0,3,0,0,0,0,0,0,1,0,0,0,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0
396,6230,504,3,7,4,170,3,7,8,0,0,1,1,16,59,10,0,2,1,1,5,3,180,0,0,10,1,1,2,0,0,3,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
416,6545,524,3,7,5,204,0,2,2,1,0,1,0,13,61,1,0,4,1,0,11,0,191,1,4,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
436,6859,416,0,8,1,154,0,0,2,1,0,0,0,17,45,5,0,3,0,3,8,1,140,0,15,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
456,7174,519,5,3,1,185,0,1,3,1,1,2,0,20,56,8,1,4,0,0,14,2,195,0,3,6,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
466,7331,606,4,14,5,143,2,1,4,0,0,0,0,18,73,11,0,6,3,0,10,9,276,0,4,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
476,NA,716,2,12,8,186,2,3,10,1,0,3,0,46,77,17,0,5,0,0,13,4,295,0,4,7,0,1,1,0,0,0,0,0,1,3,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0
486,NA,559,1,8,2,226,0,0,11,4,2,3,0,31,45,19,0,2,0,1,11,4,141,0,2,7,2,2,9,0,2,0,0,0,0,7,0,0,0,0,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0
496,NA,541,0,3,41,306,4,1,2,2,0,2,0,47,18,2,2,0,2,4,22,1,37,0,0,11,2,2,11,0,0,0,1,0,0,11,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
506,NA,569,0,2,39,378,3,1,1,0,0,2,2,25,20,12,1,2,0,0,8,1,23,0,0,15,0,0,16,0,0,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
514,NA,522,1,2,43,343,0,0,2,0,0,2,1,28,17,5,0,3,1,3,20,2,22,0,2,9,0,1,4,0,0,0,0,0,0,7,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
524,NA,568,0,1,348,49,6,0,0,0,0,0,0,50,13,7,8,0,1,2,2,2,10,0,0,25,1,2,29,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,NA,523,0,0,51,302,17,0,1,0,0,0,0,6,34,14,5,0,0,6,1,3,19,0,0,16,3,5,23,0,0,0,4,0,0,8,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
544,NA,359,0,0,35,65,92,0,0,0,0,0,0,7,22,8,22,0,0,46,1,7,15,0,2,6,1,6,3,0,2,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0
550,NA,368,0,6,52,29,52,0,0,0,0,0,0,15,26,4,19,3,0,49,0,19,23,0,2,9,1,9,6,0,1,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,28,0,2,3
