"sample.depths","sample.ages","Microsphere.suspension","Microsphere.suspension.1","Microspheres","Sample.quantity","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Betula","Carya","Castanea","Ceanothus","Celtis","Corylus","Cupressaceae","Ephedra.viridis.type","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar.styraciflua","Morus","Myrica","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Ribes","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Ambrosia.type","Amelanchier.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","cf..Hypericum","Amaranthaceae","Cyperaceae","Fabaceae.undiff.","Galium","Humulus.lupulus","Iva.annua.type","Iva.xanthifolia.type","Melilotus.type","Phlox","Poaceae","Polygonum.lapathifolium.type","Rosaceae.undiff.","Thalictrum","Urtica.type","Diphasiastrum.complanatum.type","Dryopteris.type","Lycopodium.annotinum","Pteridium.aquilinum","Selaginella.selaginoides","Nuphar","Potamogeton.Triglochin","Sagittaria","Sparganium.type","Typha.latifolia","Indeterminable"
1797,9772,91384,0,72,0,0,0,0,0,17,3,0,1,16,0,0,0,1,1,0,1,17,1,3,0,0,0,0,0,53,1,0,2,16,1,0,0,0,135,0,0,2,0,0,0,0,6,88,0,3,0,0,0,3,0,0,0,0,2,1,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1801,9875,119880,0,30,0,1,2,0,2,12,1,0,0,9,0,0,5,0,0,0,0,11,0,1,0,0,0,0,0,52,0,5,16,10,2,0,0,0,115,0,0,0,0,0,0,0,2,63,0,1,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
1805,9979,91384,0,72,0,0,0,0,1,16,1,0,2,10,0,0,1,3,0,0,0,20,0,3,1,0,0,0,0,30,0,1,3,34,2,0,0,0,135,0,0,0,0,0,0,0,5,113,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
1809,10085,91384,0,63,0,1,1,0,3,12,0,0,2,4,0,0,1,1,0,0,0,21,2,4,0,0,0,0,0,45,2,0,2,48,6,0,0,0,126,0,0,1,0,0,0,0,6,82,0,2,0,0,0,3,0,0,0,0,1,3,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1813,10192,91384,0,75,0,0,0,0,0,11,2,0,1,11,0,0,1,3,0,0,0,16,0,5,0,1,0,0,0,66,2,2,2,14,5,1,0,0,146,0,0,0,0,0,0,0,5,77,0,4,0,0,0,1,1,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1817,10298,119880,0,44,0,1,0,0,5,8,3,0,8,16,0,0,1,1,1,0,0,23,0,9,0,2,0,0,0,63,1,4,2,22,2,0,1,0,142,0,0,3,0,0,0,0,6,64,0,5,0,0,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1821,10405,91384,0,31,0,0,0,1,0,10,1,0,3,3,0,0,1,2,1,0,0,13,0,6,0,2,0,0,0,56,1,1,1,13,0,0,0,0,114,1,0,0,0,1,0,0,5,57,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1825,10510,91384,0,93,0,1,0,0,0,9,0,0,5,7,0,0,0,1,0,0,0,37,0,6,0,0,0,0,0,35,0,0,0,18,5,1,0,0,135,0,0,2,0,0,0,0,2,55,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1829,10613,91384,0,80,0,0,0,0,3,4,4,0,10,8,0,0,0,6,0,1,0,34,0,7,0,2,0,0,0,35,1,3,0,30,0,2,0,0,120,1,0,0,0,0,0,0,1,87,0,2,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1833,10714,91384,0,65,0,1,0,0,3,3,1,0,14,9,0,0,1,8,2,0,0,25,0,6,0,0,0,0,0,45,0,4,5,10,0,0,0,0,122,0,0,1,0,0,0,0,2,78,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,1,4
1835,10764,91384,0,89,0,0,1,0,1,12,4,0,14,7,0,0,0,1,0,0,0,46,0,10,0,2,0,0,0,31,2,1,0,15,0,0,0,0,139,0,0,0,0,0,0,0,3,80,0,3,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
1837,10813,91384,0,84,0,0,0,0,0,7,4,0,15,10,0,0,0,2,0,0,0,45,0,5,0,1,0,0,0,30,1,2,2,32,0,1,0,0,115,0,0,0,0,0,0,0,4,64,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,10909,91384,0,76,0,2,0,0,2,6,1,0,19,6,0,0,0,1,0,0,0,38,0,11,4,0,0,0,0,19,0,0,0,18,4,0,0,0,84,0,0,1,0,0,0,0,3,77,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
1845,11001,91384,0,126,0,7,0,0,2,6,9,0,32,4,0,0,3,3,1,0,0,37,0,7,0,4,0,0,0,18,0,3,0,36,1,2,0,0,68,0,0,1,0,0,0,0,2,59,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0
1849,11092,91384,0,106,0,6,0,1,1,9,7,0,33,6,0,0,0,5,0,0,0,35,0,6,0,0,0,0,0,19,4,7,1,12,1,1,0,0,66,0,0,3,0,0,0,0,0,83,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,1,0,0,0,0,0,0,2
1853,11179,91384,0,176,0,12,0,0,1,3,8,0,69,1,0,0,0,3,0,1,0,66,1,5,0,4,0,0,0,13,5,4,0,33,0,0,0,0,35,0,0,1,0,0,0,0,1,63,0,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
1857,11264,91384,0,202,0,12,0,0,1,2,4,0,65,5,0,0,3,6,0,0,0,51,2,6,0,3,0,0,0,10,3,8,0,23,1,2,0,0,41,0,0,0,0,0,0,0,1,76,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1861,11346,91384,0,168,0,16,0,0,1,3,9,0,46,2,0,0,0,4,0,0,0,45,0,3,0,0,0,0,0,16,11,1,0,70,0,1,0,0,53,0,0,1,0,0,0,0,0,56,1,1,0,0,0,2,0,0,0,0,1,2,0,1,1,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1
1865,11425,91384,0,120,0,16,0,0,1,4,11,0,36,2,0,0,2,6,0,0,0,36,1,1,0,5,0,0,0,12,11,25,1,50,1,4,2,0,41,0,0,1,0,1,0,0,0,47,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1869,11501,91384,0,151,0,18,0,0,1,4,16,0,30,3,0,0,1,0,0,0,0,59,0,1,0,2,0,0,0,18,13,3,0,76,0,2,0,0,31,0,0,1,0,0,0,0,0,48,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1873,11574,91384,0,145,0,22,1,0,2,0,4,0,57,1,0,0,0,3,0,0,0,65,0,0,0,5,0,0,0,16,20,9,0,28,1,0,0,0,57,0,0,2,0,0,0,0,0,42,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1877,11644,91384,0,319,0,16,0,0,1,1,20,0,16,1,0,0,0,2,0,0,0,24,0,2,0,7,0,0,0,27,56,7,0,50,0,4,0,0,33,1,0,3,0,0,0,0,0,17,0,3,0,0,0,3,1,0,0,0,1,3,0,1,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2
1881,11711,91384,0,239,0,18,0,0,0,0,9,0,22,2,0,0,1,1,0,0,0,39,0,1,0,4,0,0,0,18,30,26,0,66,0,6,1,1,34,0,0,3,0,0,0,0,0,16,0,2,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
1885,11775,91384,0,370,0,20,0,0,0,0,18,0,15,0,0,0,1,3,0,0,0,42,2,0,0,7,0,0,0,16,75,5,0,28,1,10,0,0,34,0,0,4,0,0,0,0,0,17,0,3,0,0,0,3,2,0,0,0,0,4,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1
1889,11834,91384,0,482,0,6,0,0,1,2,13,0,28,1,0,0,0,6,3,0,0,24,2,0,0,10,0,0,0,26,64,1,1,26,3,4,0,0,37,0,0,3,0,0,0,0,0,28,0,1,0,0,0,9,0,0,0,0,2,10,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1893,11890,91384,0,205,0,20,0,0,0,1,23,0,34,0,0,0,0,1,1,0,0,23,0,1,0,5,0,0,0,24,69,3,0,11,1,8,0,0,28,0,0,3,0,0,0,0,0,21,0,2,0,0,0,7,0,0,0,0,1,8,0,0,1,1,0,0,0,12,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0
1897,11941,91384,0,352,0,38,0,0,0,0,11,0,15,0,0,0,1,1,2,1,0,19,0,2,0,3,0,0,0,24,76,2,0,16,2,9,0,0,35,0,0,3,0,0,0,0,0,31,0,3,0,0,0,6,1,0,0,0,1,9,0,0,1,1,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
1901,11988,91384,0,356,0,25,0,0,0,3,12,0,12,3,1,0,1,1,1,0,0,19,0,2,0,13,0,0,0,22,94,0,0,6,1,5,0,0,32,0,0,4,0,0,0,0,0,36,0,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1905,12030,91384,0,283,0,20,0,0,0,2,6,0,7,0,0,0,0,2,1,0,0,15,0,0,0,18,0,0,0,12,134,1,0,4,1,5,1,0,32,0,0,5,0,0,0,0,0,17,0,1,0,0,0,3,1,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1909,12067,91384,0,716,0,22,0,0,2,1,14,0,12,1,0,0,2,2,0,0,0,28,3,0,0,6,0,0,0,12,103,2,1,8,0,6,0,0,24,0,0,3,0,0,0,0,0,19,0,3,0,0,0,5,2,0,0,0,3,7,0,0,2,0,0,0,0,11,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
1913,12098,91384,0,316,0,10,0,0,1,0,15,0,13,1,0,0,0,0,0,0,0,31,0,2,0,3,0,0,0,18,80,5,0,14,0,7,0,0,34,0,0,5,0,0,0,0,1,14,0,3,0,0,0,8,2,0,0,0,1,8,0,0,1,0,0,0,0,23,0,1,0,0,0,1,0,4,0,0,0,1,0,0,1
1917,12124,91384,0,261,0,21,0,0,0,3,13,0,9,1,0,0,1,2,2,0,0,26,1,1,0,4,0,0,0,17,120,1,0,11,0,8,0,0,36,0,0,0,0,0,0,0,0,9,0,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1921,12145,91384,0,483,0,12,0,0,0,2,12,0,10,1,0,0,0,6,1,0,0,33,0,0,0,13,0,1,0,15,116,1,0,6,1,10,0,0,29,0,0,1,0,0,0,0,0,9,1,2,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1925,12161,91384,0,302,0,14,0,0,1,1,7,0,5,0,0,0,1,1,0,0,0,25,0,1,0,6,0,0,0,10,148,0,0,6,0,4,0,0,20,0,0,3,0,0,0,0,0,17,0,4,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0
