"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Castanea","Fagus","Poaceae.undiff.","Herbs.undiff.","Liquidambar","Picea","Quercus","Rumex","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Plantago","Rosaceae","Tsuga","Juglans","Nyssa","Salix","Amaranthaceae","Corylus","Cupressaceae","Cerealia","Platanus","Artemisia","Ostrya.Carpinus","Tilia","Asteraceae.subf..Asteroideae.undiff."
75,219,296,8,16,12,3,6,11,4,0,0,100,8,3,71,5,3,2,21,0,4,12,0,0,1,0,1,0,0,0,0,1,0,4
79,231,281,5,30,6,3,5,10,5,0,0,123,0,3,37,5,5,1,21,0,3,10,0,0,0,0,0,1,0,0,0,1,0,7
83,244,295,13,25,11,0,8,6,5,0,0,121,5,2,42,7,2,3,22,0,3,7,1,0,0,1,3,0,0,1,0,4,0,3
87,269,309,5,21,8,4,8,3,3,0,2,141,5,1,63,6,2,4,17,0,3,3,0,0,0,0,1,1,0,0,0,1,0,7
91,306,291,8,37,9,1,8,4,1,0,1,124,1,2,42,5,4,1,24,0,7,6,0,1,0,0,0,0,0,1,0,1,0,3
95,343,286,12,14,7,2,5,6,3,0,1,119,3,4,58,5,1,1,25,0,4,4,0,1,0,0,0,2,0,2,1,1,0,5
99,380,293,15,28,8,4,11,4,1,0,1,99,4,4,53,3,6,2,27,0,2,9,0,0,0,0,0,0,0,0,3,2,0,7
103,416,293,6,31,2,1,10,4,5,0,3,126,1,0,41,10,2,4,21,0,2,5,1,1,0,1,0,1,0,1,2,3,0,9
107,453,290,13,16,8,1,6,7,7,0,1,121,5,3,45,7,2,4,22,0,3,7,0,1,0,1,3,1,0,0,3,3,0,0
111,490,290,6,23,12,6,7,6,6,0,1,119,2,2,59,5,1,2,12,0,2,7,1,1,0,0,0,1,0,0,1,1,0,7
115,527,297,3,23,14,2,6,1,2,0,2,127,2,1,41,13,6,3,22,0,6,11,2,1,0,0,0,0,0,1,1,3,0,4
119,564,297,7,14,12,4,5,4,5,0,1,131,1,3,45,8,3,2,24,0,3,13,1,2,0,0,0,1,0,1,0,3,0,4
123,601,288,2,23,12,0,6,4,2,1,2,127,1,3,47,5,4,2,21,0,2,13,0,0,0,0,0,1,0,0,1,0,2,7
125,619,328,1,26,18,0,8,0,3,0,2,172,1,1,54,5,3,2,17,0,1,6,0,1,0,0,1,1,0,1,1,1,0,2
131,674,301,0,26,14,1,4,2,2,0,0,155,0,1,52,5,2,3,22,0,2,6,0,0,0,0,1,1,0,0,0,2,0,0
135,711,291,0,22,7,1,7,2,4,0,1,152,0,0,50,7,4,2,10,0,1,10,0,2,0,0,1,1,0,0,0,3,0,4
139,748,309,1,20,22,6,7,4,2,0,2,164,0,0,46,7,3,3,11,0,1,5,0,0,0,0,0,0,0,0,0,2,0,3
143,784,325,1,30,19,2,13,4,1,0,2,163,0,1,37,3,5,0,23,0,1,8,0,2,0,0,1,2,0,0,0,2,0,5
147,819,295,2,35,12,1,9,0,2,0,0,148,0,3,37,3,3,0,23,0,1,8,0,0,0,2,1,2,0,0,1,0,0,2
149,837,299,0,21,15,2,11,2,4,0,0,170,0,2,34,9,7,0,8,0,1,8,0,0,0,0,0,1,0,1,0,3,0,0
155,890,285,0,19,18,2,9,2,2,0,2,136,0,1,43,5,5,3,16,0,4,13,1,0,0,0,0,0,0,0,0,1,0,3
159,925,302,0,22,16,1,13,1,5,0,2,167,0,3,40,6,4,1,6,0,4,6,0,0,0,1,1,1,0,0,0,2,0,0
163,960,293,0,23,17,2,13,1,0,0,0,152,0,0,40,6,6,0,14,0,4,8,0,0,0,0,0,0,0,1,0,1,1,4
167,995,306,0,22,11,0,16,3,2,0,1,166,0,0,44,1,5,0,18,0,3,10,0,0,0,0,1,0,0,1,0,2,0,0
171,1031,310,0,23,20,1,14,1,1,0,0,149,0,0,39,4,6,1,19,0,5,17,0,1,0,0,0,1,0,1,0,0,0,7
175,1066,293,0,29,12,1,13,1,8,0,1,146,0,0,42,3,4,0,19,0,1,5,1,1,1,0,1,1,0,2,0,1,0,0
179,1101,304,0,21,11,3,5,1,0,0,2,159,0,2,49,3,4,0,21,0,4,9,0,0,0,0,0,3,0,1,0,5,0,1
183,1137,295,2,25,11,4,17,0,5,1,1,143,0,2,52,4,0,2,10,0,1,7,1,0,0,0,0,0,0,2,0,5,0,0
187,1172,330,1,32,15,2,12,2,1,2,1,166,0,1,44,6,6,0,15,0,3,6,1,2,0,0,2,3,0,2,0,3,0,2
