"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Caryophyllaceae","Celtis","Comptonia.peregrina","Corylus","Cyperaceae","Dalea.purpurea","Diphasiastrum.complanatum","Dryopteris","Ephedra.trifurca.type","Equisetum","Ericaceae","Filicopsida..monolete..undiff.","Fraxinus.nigra","Fraxinus.pennsylvanica","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae","Larix","Lycopodium.annotinum","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera","Populus.tremuloides","Populus.undiff.","Potamogetonaceae","Potentilla","Pteridium.aquilinum","Quercus","Ranunculus","Rosaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Urticaceae","Vitis"
710,10657,6,0,0,0,4,0,1,0,0,8,3,18,0,0,0,0,0,0,4,17,0,0,0,0,8,0,0,13,2,8,0,0,2,0,6,0,11,0,0,0,0,0,1,102,0,0,0,0,44,0,5,3,0,3,4,1,2,17,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,22,1,0,0
720,11143,3,0,0,0,11,4,3,0,0,12,1,17,0,0,0,0,0,1,4,29,0,0,0,0,6,0,0,12,2,12,0,0,0,0,3,0,10,0,1,2,0,0,4,93,0,0,0,0,39,0,8,0,1,2,3,1,1,13,0,2,0,0,0,7,0,0,1,2,0,0,0,1,0,21,0,0,0
725,11386,2,1,0,0,3,2,2,0,0,11,0,11,0,0,0,0,0,0,8,10,0,0,1,0,8,0,1,5,1,3,0,0,0,0,6,0,13,0,0,0,0,0,6,127,0,0,0,0,42,0,6,0,0,0,2,0,0,16,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,21,1,0,0
730,11629,4,2,0,1,3,3,3,0,0,12,0,15,0,0,0,0,0,0,4,14,0,0,2,0,12,0,2,8,0,0,0,0,0,0,1,1,9,0,0,1,1,0,5,124,0,0,0,0,44,0,10,1,2,2,3,0,1,15,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,1,0,0
735,11872,0,1,0,0,1,1,2,0,0,10,1,8,0,0,0,0,0,0,3,16,0,0,2,0,7,0,2,11,0,2,0,0,0,0,2,0,15,0,1,1,0,0,4,160,0,0,0,0,32,0,5,0,0,0,6,0,0,10,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,16,0,0,0
740,12115,2,3,1,1,7,2,4,0,0,25,3,18,0,0,1,0,0,0,4,28,0,1,2,0,12,0,2,10,1,5,0,0,0,0,5,0,10,0,0,2,2,0,4,124,0,0,0,0,14,0,8,1,0,0,7,1,1,8,1,0,0,0,0,12,0,1,1,1,0,0,0,1,1,6,2,0,0
750,NA,1,0,0,1,5,0,2,0,0,2,0,30,0,0,0,0,0,0,2,21,0,0,4,0,11,0,4,15,0,7,0,0,0,0,4,0,19,0,0,3,0,0,4,141,0,0,0,0,11,0,3,0,0,3,7,0,0,13,0,0,0,0,0,7,1,0,0,1,0,1,0,0,0,7,2,0,0
760,NA,1,1,0,0,1,0,0,0,0,10,1,20,1,0,0,0,0,0,0,17,0,0,0,0,16,0,0,8,2,2,1,0,0,0,1,0,18,0,0,3,0,0,3,186,0,0,0,0,8,0,3,0,0,0,1,0,0,8,1,0,0,0,0,5,0,0,0,0,0,0,0,1,1,7,1,0,0
770,NA,0,0,0,0,4,1,2,0,0,13,3,20,1,0,0,0,0,0,4,14,0,0,3,0,2,0,3,3,0,14,0,0,0,0,4,0,16,0,0,5,0,0,1,177,0,0,0,0,7,0,4,0,1,0,1,0,1,6,1,0,0,0,0,6,0,1,0,2,0,0,0,0,1,11,1,1,0
780,NA,4,0,0,1,2,2,0,0,0,7,0,20,0,0,0,0,0,0,1,13,0,0,0,0,3,0,0,1,0,7,0,0,0,0,1,0,13,0,0,6,0,0,4,207,0,0,0,0,4,0,4,0,0,0,1,0,0,5,0,0,0,1,0,5,1,0,0,1,0,0,0,0,1,8,2,0,0
790,NA,1,1,0,0,5,1,2,0,0,13,1,22,0,0,0,0,0,0,0,13,0,0,2,0,2,0,2,4,1,0,0,0,0,0,5,0,8,0,0,8,0,0,1,177,0,0,0,0,10,2,6,0,1,0,4,1,0,3,1,0,1,0,0,11,1,0,0,2,0,0,0,0,2,5,1,0,1
800,NA,0,0,0,0,4,1,3,0,0,6,1,14,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,10,0,0,0,218,0,0,0,0,4,0,8,0,1,0,0,0,0,4,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,1,1,0,0
810,NA,1,0,0,0,5,2,0,0,1,8,0,16,1,0,0,0,0,0,1,23,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,9,0,0,13,0,0,0,204,0,0,0,0,2,0,11,0,0,0,2,0,0,3,4,1,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,0,0
820,NA,0,0,0,0,0,0,3,0,0,11,1,13,2,0,0,0,0,0,2,29,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,5,0,0,17,0,0,0,211,0,0,0,0,1,0,5,1,0,0,2,0,2,4,2,0,0,1,0,4,0,2,0,1,0,0,0,0,0,3,3,1,0
830,NA,0,0,0,0,3,1,3,0,0,11,2,15,6,0,0,0,0,0,0,42,0,0,1,0,0,0,1,4,0,0,0,0,0,0,2,0,5,0,0,5,0,0,1,185,0,0,0,0,3,0,7,0,0,0,8,0,0,3,12,0,0,0,0,4,0,1,0,5,0,0,0,1,1,2,1,0,0
840,NA,0,0,0,0,1,2,2,1,0,9,0,8,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,0,8,0,0,1,252,0,0,0,0,1,0,3,0,0,0,1,0,0,3,5,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,1,0,0
850,NA,1,0,0,0,3,3,3,0,0,13,1,20,0,0,0,0,0,0,1,40,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,0,7,0,0,5,0,0,0,172,0,0,0,0,4,0,12,0,0,2,12,0,0,5,5,1,0,0,0,9,0,0,0,1,0,0,0,0,0,1,6,0,0
860,NA,0,1,0,0,5,1,2,0,0,11,4,12,4,0,0,0,0,0,1,32,0,0,6,0,0,0,6,2,0,0,1,0,0,0,1,0,5,0,0,4,0,0,0,200,0,0,0,0,1,1,5,0,0,0,0,1,0,3,5,0,0,0,0,4,0,1,1,1,0,2,0,0,1,0,0,0,0
870,NA,1,0,0,0,4,0,0,0,0,10,4,20,3,0,0,0,0,0,4,15,0,1,2,0,0,0,2,4,0,0,0,0,0,0,1,0,6,0,0,3,0,0,1,211,0,0,0,0,7,1,5,1,0,0,1,0,0,2,9,1,2,0,0,5,0,1,1,0,0,0,0,0,1,3,0,0,0
880,NA,0,0,0,0,2,2,1,0,0,2,1,19,3,0,0,0,0,0,2,15,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,233,0,0,0,0,2,0,5,0,0,0,0,0,1,2,5,0,0,0,0,2,0,1,1,2,0,0,0,0,0,1,1,0,0
890,NA,0,0,0,0,0,1,1,0,0,5,1,11,5,0,0,2,0,0,1,14,0,0,14,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,246,0,0,0,0,5,0,5,0,0,1,0,0,1,6,2,1,0,1,0,2,0,9,0,2,0,0,0,0,0,0,3,0,0
