"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharinum.type","Acer.undiff.","Alnus.incana.type","Ambrosia.type","Betula","Carya","Corylus","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Ilex","Juglans.nigra","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Rosaceae.undiff.","Populus","Amaranthaceae","Viburnum","Poaceae","Plantago","Artemisia","Juglans.cinerea","Nyssa","Platanus","Tilia","Abies","Castanea","Fraxinus..tricolpate.","Thalictrum","Rhus","Polygalaceae","Ceanothus","Alnus.viridis.type","Cupressaceae","Larix","Myrica","Iva.annua.type","Fraxinus.undiff.","Liliaceae","Liquidambar","Potentilla.type","Celtis","Vitis","Ericaceae","Taxus","Apiaceae","Sanguisorba","Polygonum","Caryophyllaceae"
720,9600,373,1,13,0,3,0,11,2,0,1,12,1,0,0,11,1,80,161,0,0,65,0,4,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,9882,390,0,5,0,5,0,13,1,0,4,14,1,0,0,9,3,110,155,0,0,57,0,2,0,0,0,0,0,3,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,10125,374,0,2,0,4,1,7,1,1,5,6,1,0,0,7,7,133,134,0,0,53,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,10324,392,0,4,0,0,1,14,10,2,0,22,1,0,0,4,3,120,99,0,0,98,1,2,0,0,0,0,0,0,0,0,1,0,1,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
800,10475,359,0,2,0,6,2,20,0,0,2,5,3,0,0,7,18,147,97,0,0,37,1,2,0,0,1,0,0,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
820,10581,348,0,1,0,3,0,9,0,3,2,3,1,0,0,4,11,136,98,0,1,50,0,8,0,0,1,0,0,2,0,0,1,0,1,0,6,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
840,10657,407,0,3,0,4,0,15,0,0,3,1,1,0,0,5,16,156,136,0,0,50,0,4,0,0,1,0,0,0,0,2,0,0,1,0,4,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,10714,461,0,2,0,3,1,14,1,1,1,0,3,0,0,12,7,193,147,0,0,57,0,7,0,0,0,1,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
880,10766,404,0,0,0,1,0,11,2,2,3,2,0,0,0,24,4,153,121,0,0,71,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
900,10825,486,0,5,0,2,0,7,0,1,2,1,4,0,0,22,2,198,130,0,1,93,1,5,0,0,0,0,0,0,0,1,0,0,1,0,2,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,10905,442,1,1,0,6,1,14,1,3,2,4,1,0,0,17,3,189,142,0,1,40,0,4,0,0,2,1,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
940,11020,402,0,1,0,2,0,11,0,0,2,3,1,0,0,20,2,214,115,0,0,16,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
