"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Alnus","Myrica","Poaceae","Brassicaceae","Lamiaceae","Prunus.Sorbus","Acer.spicatum","Iva.xanthifolia.type","Potentilla.type","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Galium","Ledum.Chamaedaphne.calyculata","Xanthium","Ericaceae.undiff.","Carya","Ceanothus","Juglans.nigra","Tsuga","Ephedra","Amorpha.type","Arceuthobium","Rhamnus","Iva.annua.type","Herbs.undiff.","Tilia","Cannabaceae","Populus.undiff.","Rosaceae.undiff.","Dalea","Celtis","Viburnum","Fagus","Juglans.cinerea","Saxifragaceae","Plantago","Bidens.type","Ranunculus","Rumex","Impatiens","Rosaceae.trees","Taxus","Campanulaceae","Asteraceae.subf..Cichorioideae","Primulaceae","Polygonum","Acer.saccharinum.type","Shepherdia.argentea","Shepherdia.canadensis"
280,1148,345,7,0,0,0,3,6,45,0,0,1,1,5,2,0,17,1,24,15,58,125,1,0,3,3,0,0,0,1,18,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1339,699,4,0,0,0,6,11,144,0,2,6,4,4,2,1,29,4,29,26,122,216,0,0,0,22,4,1,0,3,45,4,5,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,1530,904,8,1,0,0,7,15,138,0,1,5,7,6,5,1,43,6,38,22,183,288,0,1,1,35,4,2,0,9,43,15,13,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,1768,935,6,0,0,2,6,15,163,0,2,1,7,6,6,1,35,6,27,37,215,277,0,0,6,27,1,2,0,7,59,5,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
360,1911,1107,30,0,0,0,10,22,229,0,4,2,13,9,7,0,36,7,49,32,214,306,0,1,3,36,8,2,0,14,53,4,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,2121,1079,12,0,0,1,5,22,244,0,7,1,5,12,14,2,40,7,37,21,181,329,1,5,2,48,1,0,0,8,49,6,8,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
400,2292,685,10,1,0,0,5,12,129,0,5,4,0,7,12,0,16,4,15,20,165,187,0,2,0,11,2,0,0,8,44,9,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,2388,1065,20,2,0,0,12,19,195,0,2,2,2,8,7,2,43,10,22,11,89,391,1,1,4,57,4,2,0,18,101,10,20,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
417,2454,1214,37,1,0,0,12,29,293,0,6,9,0,6,9,1,45,14,53,19,166,367,0,0,1,27,3,2,0,21,59,8,11,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
427,2550,812,7,1,0,0,4,23,136,0,9,6,1,5,7,1,25,11,42,17,94,291,0,0,2,29,2,1,0,11,64,8,9,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,2674,978,2,1,0,0,5,21,188,0,6,2,3,4,8,2,26,7,37,43,212,276,0,1,2,36,3,1,0,21,53,4,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,2769,981,18,0,0,0,15,9,204,0,4,3,2,4,17,0,32,5,21,13,162,331,0,1,1,40,3,0,0,21,55,0,10,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
465,3032,588,5,1,1,0,5,16,146,0,1,2,0,0,9,1,21,5,14,15,73,157,0,0,0,35,6,1,1,10,46,3,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
480,3320,745,9,0,0,0,14,16,226,0,7,12,1,11,3,1,27,8,16,24,28,180,0,1,6,25,8,2,3,9,80,9,14,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,3607,944,7,2,0,0,19,27,255,0,5,12,3,7,7,3,27,17,25,13,32,216,0,1,2,80,6,0,1,20,114,19,14,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
505,3799,988,4,0,6,0,11,26,199,0,6,11,0,11,9,3,46,10,10,5,61,280,0,0,2,86,5,3,0,19,113,28,17,2,0,0,1,0,0,1,4,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
520,4086,783,7,0,0,1,15,29,191,0,3,6,0,7,4,2,18,9,22,32,60,196,2,1,2,37,1,0,0,15,66,26,15,0,0,0,0,2,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
526,4201,694,5,0,0,0,9,17,171,0,5,8,1,12,6,3,13,5,8,25,55,176,0,2,6,36,9,1,2,11,74,12,14,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
531,4297,674,10,0,0,0,8,7,128,0,4,1,0,9,14,2,7,9,14,41,104,184,0,0,3,47,1,2,0,16,30,16,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,4393,647,3,1,0,0,7,11,104,0,6,7,1,11,8,0,13,19,5,14,107,153,0,0,2,58,4,0,2,19,45,25,12,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
540,4469,641,7,1,0,0,3,13,128,0,2,6,0,5,7,2,3,18,9,20,50,201,0,0,2,40,6,0,1,13,54,33,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,4661,725,5,0,0,0,7,20,142,0,6,8,0,7,4,3,20,8,11,47,81,190,1,5,1,52,5,1,0,22,46,17,7,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,4852,498,2,1,0,0,5,15,101,0,3,3,0,7,4,0,13,2,5,25,29,157,0,0,0,35,3,0,0,11,45,17,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
570,5044,553,2,1,0,0,7,13,76,0,3,3,0,15,6,3,7,5,4,27,42,185,0,0,2,44,5,1,0,11,46,27,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,5427,565,2,0,0,0,6,10,93,0,3,3,2,6,9,1,4,6,2,6,102,172,0,0,3,32,2,0,0,15,37,26,16,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
600,5631,972,4,1,1,0,8,23,141,0,4,1,0,13,8,7,8,20,8,27,273,214,0,0,3,93,7,1,0,21,54,7,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,5752,894,1,0,1,0,10,19,44,0,8,2,1,20,19,4,2,23,3,25,356,128,1,0,3,96,32,1,1,28,32,5,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
610,5873,885,1,1,0,0,5,17,126,0,9,3,0,19,14,2,3,16,3,17,324,80,0,2,4,127,21,0,0,22,41,4,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,5994,651,2,0,0,0,11,10,106,0,5,2,1,13,6,3,0,28,2,14,153,150,0,0,1,69,3,0,0,13,35,6,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
620,6115,512,1,1,0,0,6,11,60,0,5,5,1,9,6,2,0,14,0,17,199,78,0,0,0,56,1,0,0,15,11,4,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625,6236,622,0,0,0,0,12,15,114,0,8,3,0,15,0,1,0,17,1,5,125,173,0,0,2,60,6,0,0,7,24,4,16,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
650,6841,538,2,0,0,0,7,18,85,0,4,9,0,10,7,3,0,11,5,6,90,127,0,0,1,88,4,3,0,9,17,3,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
660,7083,620,0,0,1,0,6,16,76,0,8,4,0,21,12,1,1,20,4,19,83,202,0,0,3,73,0,0,0,13,17,13,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
665,7204,760,1,0,2,0,18,16,91,0,12,15,1,32,5,3,1,33,2,10,65,193,0,0,5,106,9,0,0,24,41,33,28,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
675,7446,692,0,0,1,0,16,23,122,0,14,5,1,14,6,2,3,21,4,12,56,173,0,0,7,107,6,0,0,0,31,10,30,0,0,2,0,0,0,0,4,0,1,0,1,0,16,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,7809,924,0,0,1,0,10,23,119,0,20,11,0,38,24,7,3,39,6,15,73,189,0,0,6,194,10,1,0,26,28,23,38,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
705,8172,559,1,0,1,0,17,18,90,0,8,3,0,4,6,6,0,29,2,11,37,101,0,1,0,151,13,2,0,13,16,1,19,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
715,8414,628,0,0,0,0,8,24,92,0,12,6,0,16,17,6,0,31,2,16,29,110,0,0,4,161,7,0,0,31,17,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
725,8656,828,1,0,1,0,17,34,103,0,14,12,0,14,12,9,0,34,2,24,8,151,1,1,3,242,6,0,0,60,19,3,49,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
735,8898,707,0,0,0,0,17,34,96,0,9,15,0,12,15,9,0,26,1,11,9,113,0,1,5,218,9,1,0,31,29,2,36,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,8946,577,0,0,0,0,20,24,81,0,12,6,0,13,22,6,0,13,0,25,13,83,0,0,7,146,13,2,0,34,22,0,29,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
740,9019,877,0,0,1,0,29,31,78,0,19,11,0,18,15,4,1,7,1,18,21,164,0,0,3,256,17,1,0,50,41,5,55,0,0,1,0,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0
750,9261,889,0,0,1,0,43,40,69,0,17,8,0,17,18,9,1,4,5,18,9,144,0,0,2,295,24,0,0,38,26,1,79,0,0,0,0,1,1,0,9,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
765,9624,618,1,0,0,0,25,38,61,0,16,13,0,17,8,7,3,7,7,9,3,132,0,1,8,143,12,0,0,11,22,6,47,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
770,9745,737,1,0,0,0,26,33,117,0,26,3,2,16,10,0,0,4,11,39,4,160,0,0,1,137,4,2,0,30,37,0,57,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
775,9866,812,3,1,0,0,29,26,150,0,24,11,1,11,6,1,5,3,24,13,2,266,0,0,4,64,12,3,0,38,52,2,47,0,0,1,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,10108,666,7,0,0,0,30,23,95,1,26,15,0,20,1,1,3,7,22,11,12,192,0,0,4,39,22,0,1,20,32,26,35,1,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
786.5,10144,586,2,1,0,0,27,25,94,0,23,15,1,15,6,1,6,5,23,27,8,174,0,0,1,39,9,0,1,18,32,7,19,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
788,10180,635,4,0,0,0,32,22,103,0,19,7,0,12,5,0,5,1,25,49,4,199,0,0,0,32,14,2,0,17,29,4,36,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
790,10229,613,3,0,1,0,19,24,89,0,22,7,0,11,0,1,5,2,14,14,2,210,0,0,0,35,6,2,0,19,27,9,85,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791.5,10265,559,2,0,0,0,20,23,107,0,18,1,2,5,6,0,7,2,24,24,4,187,0,0,0,30,7,0,0,22,35,0,28,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,10301,662,0,1,0,0,22,31,133,0,18,8,2,11,4,0,4,2,36,37,5,198,0,0,1,38,10,0,0,19,36,2,27,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
795,10331,649,6,0,0,0,29,21,171,0,8,6,0,10,7,0,15,4,57,17,2,219,0,1,0,9,8,1,0,14,18,10,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
805,10482,451,4,0,3,0,16,13,69,0,5,2,2,6,0,1,11,4,48,46,5,153,0,0,3,6,4,0,0,12,17,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
820,10708,765,7,0,0,0,25,23,114,0,10,0,0,16,0,0,12,6,108,79,4,252,0,1,10,21,4,0,0,23,13,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
830,10859,617,8,0,0,0,6,8,75,0,7,2,2,7,1,0,17,10,94,81,3,221,0,1,4,22,8,0,1,10,8,0,16,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,10934,1017,4,0,1,0,17,29,126,0,6,1,1,12,1,0,14,10,174,97,1,409,0,0,1,18,18,1,2,26,21,0,17,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
840,11009,812,2,0,1,0,12,16,81,0,6,3,0,17,0,0,15,10,107,111,8,339,0,0,0,18,5,1,0,29,6,0,18,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,11039,744,9,1,1,0,9,24,87,0,5,3,0,10,0,0,15,7,140,98,6,228,0,1,1,22,5,1,0,30,15,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,11084,705,3,1,0,0,8,18,97,0,9,5,0,7,1,0,21,7,132,88,1,223,0,0,2,11,7,0,0,34,3,1,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
847,11115,849,17,1,0,0,9,25,106,0,9,2,1,13,4,0,80,10,144,111,5,222,0,1,3,21,6,0,1,32,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,11160,512,2,2,0,0,3,10,78,0,5,2,0,18,0,0,14,8,139,54,0,117,0,0,3,19,5,0,0,23,5,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,11386,601,0,0,0,0,9,9,44,0,7,2,2,12,1,1,18,11,181,82,10,150,0,1,1,22,4,1,0,19,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
875,11536,969,0,1,1,0,12,36,34,0,2,7,4,27,10,0,28,9,459,65,6,123,0,1,2,41,7,2,0,58,5,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,11687,602,2,1,0,0,5,17,39,0,2,3,1,21,8,0,14,2,332,43,2,50,0,0,1,14,4,0,0,24,5,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,11841,362,1,0,1,0,4,16,42,2,2,4,2,7,13,0,13,1,193,3,0,2,0,5,6,12,7,0,0,10,3,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
905,12008,248,0,0,0,0,1,16,22,0,2,2,0,9,0,0,15,2,149,0,0,4,0,0,0,5,1,0,0,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
