"sample.depths","sample.ages","upland.sum","Abies.balsamea","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..corroded.","Carya.ovata","Castanea.dentata","Cephalanthus","Cornus","Corylus.cornuta","Ericaceae","Fagus.grandifolia","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix.laricina","Myrica.gale","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Pinus","Platanus","Populus.balsamifera","Populus.tremuloides","Quercus","Salix","Sambucus","Thuja","Tilia.americana","Tsuga.canadensis","Ulmus","Vitis.riparia","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Carex","Chenopodiaceae.undiff.","Cyperaceae.undiff.","Dryas","Galium","Plantago","Poaceae","Rosaceae.undiff.","Rumex","Saxifraga","Stachys","Suaeda"
354,5232,577,3,0,0,6,2,16,2,1,2,59,2,24,0,0,0,0,0,116,14,20,0,2,1,9,0,0,8,5,9,30,3,0,1,58,0,0,0,7,142,23,0,5,0,0,0,0,0,0,1,0,0,0,6,0,0,0
365,5391,515,0,0,0,6,0,16,0,3,0,46,0,16,0,0,0,0,0,96,11,16,0,2,1,13,0,0,5,3,1,24,6,0,2,77,0,0,0,2,149,11,0,2,0,0,0,0,4,0,2,0,0,0,1,0,0,0
373.5,5513,539,1,0,1,2,0,19,3,4,1,51,0,29,0,0,0,0,0,88,11,13,0,2,1,14,0,0,3,3,3,13,3,0,3,100,0,0,0,5,134,23,0,1,0,0,0,0,0,0,2,0,0,0,5,1,0,0
385,5679,504,6,0,2,2,0,11,5,1,2,38,0,26,0,1,6,0,0,108,12,19,0,2,3,12,0,0,9,1,6,9,4,0,6,82,2,0,0,3,104,15,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0
405,5967,507,1,0,1,7,0,11,1,4,3,36,0,40,0,1,1,0,0,123,13,11,0,2,1,5,0,0,5,1,5,22,1,0,2,65,1,0,0,7,112,18,0,1,0,0,0,0,2,0,1,0,0,0,3,0,0,0
425,6256,539,1,0,0,3,0,14,2,3,1,41,0,21,0,0,2,0,0,134,6,7,0,3,0,18,0,0,5,6,5,30,4,0,5,41,0,0,0,6,152,24,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
435,6851,520,3,0,0,5,0,20,5,5,1,30,0,22,0,0,0,0,0,90,16,10,0,5,3,12,0,0,7,3,5,28,1,0,4,72,2,0,0,4,134,26,0,0,0,0,0,0,3,0,1,1,0,0,1,1,0,0
445,6972,521,1,0,1,5,0,8,2,3,1,41,0,28,0,0,0,0,0,117,7,12,0,1,0,9,0,0,3,4,1,22,1,0,1,62,4,0,0,4,160,17,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0
455,7093,535,2,0,0,9,0,12,1,3,0,46,0,22,0,0,1,0,0,105,9,14,0,2,0,11,0,0,15,3,1,28,3,0,4,59,2,1,0,3,150,20,0,2,0,0,0,0,1,0,2,1,0,0,2,0,0,1
465,7214,530,6,0,0,7,0,7,0,3,0,34,0,32,0,0,1,0,0,137,12,4,0,1,0,9,0,0,3,5,11,17,1,0,3,38,1,0,0,4,167,25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
474,7323,546,1,0,0,11,0,4,0,2,0,39,0,31,0,0,2,0,0,146,12,9,0,2,0,13,0,0,8,0,4,32,8,0,3,75,1,0,0,6,118,11,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0
485,7456,516,3,0,0,1,1,12,4,1,2,28,0,24,0,0,0,0,0,128,5,7,0,2,0,11,0,0,6,6,5,42,3,0,0,49,1,0,0,3,149,20,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
493.5,7559,524,0,0,0,0,0,5,0,3,0,31,0,26,3,0,0,0,0,95,8,9,0,6,3,9,0,0,3,2,4,37,1,0,3,68,0,0,0,4,183,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
530,8001,516,0,0,0,5,0,5,0,1,0,33,0,6,0,0,0,0,0,81,18,18,0,1,0,10,0,0,14,1,1,50,2,0,2,84,1,0,0,6,156,18,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
540,8122,448,2,0,0,5,0,11,3,3,0,34,0,4,0,0,0,0,0,82,13,10,0,0,0,15,0,0,10,2,6,42,4,0,4,11,1,0,0,7,156,19,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
548,8219,511,2,0,2,4,0,13,1,3,0,29,0,7,0,0,0,0,0,108,5,15,0,1,0,11,0,0,17,8,9,63,5,0,8,85,0,0,0,5,93,14,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
569,8473,534,1,0,0,9,0,11,0,2,1,24,0,11,0,0,1,0,0,113,11,16,0,4,0,7,0,0,22,2,3,66,4,0,3,102,1,0,2,10,87,10,2,1,0,0,0,0,4,0,1,2,0,0,1,0,0,0
580,8607,513,0,0,0,7,0,9,1,1,1,29,1,30,0,0,0,0,0,104,8,12,0,2,0,7,0,0,8,2,1,54,3,0,0,64,2,0,0,6,140,16,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0
589,8716,553,1,0,0,8,0,14,1,7,1,33,0,34,0,0,0,0,0,86,10,15,0,7,1,23,0,0,8,2,2,47,2,0,5,92,2,0,0,3,128,13,0,1,0,0,0,0,2,1,2,0,2,0,0,0,0,0
625,9152,543,0,0,0,3,0,12,0,4,0,24,0,4,0,0,1,0,0,87,9,16,0,1,0,17,0,0,11,5,2,71,1,0,4,80,2,0,0,0,176,8,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
645,9394,509,2,0,0,1,0,14,0,0,0,24,0,2,0,0,0,0,0,34,6,14,0,0,0,21,0,0,9,13,13,103,1,0,0,124,1,0,0,2,106,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
653,9491,528,3,0,0,4,0,17,1,2,0,21,0,0,0,0,0,0,0,83,6,8,0,0,0,19,0,0,20,11,10,113,0,0,2,93,0,0,0,5,98,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
657,9539,544,1,0,0,2,1,17,1,2,0,14,0,1,2,0,0,0,0,54,6,10,0,0,0,22,0,0,15,15,18,166,0,0,0,83,3,0,0,5,89,14,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
677,9781,503,3,0,0,5,0,8,1,0,0,18,0,0,0,0,1,1,0,12,5,18,0,3,0,14,0,0,22,4,3,167,2,0,0,93,6,0,0,3,86,12,0,5,0,0,0,0,0,1,2,0,0,2,6,0,0,0
685,9878,510,1,0,0,2,0,10,1,2,0,8,0,1,1,0,0,2,0,17,9,8,0,1,1,20,0,0,28,2,9,161,1,0,2,134,3,0,0,6,61,9,0,0,0,0,0,6,0,0,1,0,1,0,2,0,0,0
697,10023,555,2,0,0,7,0,9,3,2,0,22,0,1,0,0,0,2,0,9,12,5,0,1,0,12,0,0,16,21,4,181,0,0,0,96,6,1,1,8,104,20,0,2,0,0,0,0,0,0,5,2,0,0,1,0,0,0
717,10266,541,1,0,0,5,0,5,1,3,0,8,0,2,0,0,0,0,0,1,17,3,0,0,0,19,0,0,15,7,7,302,1,0,5,76,2,1,2,5,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,10290,516,2,0,0,6,0,3,2,0,0,10,0,0,0,0,0,0,0,10,4,1,0,1,0,4,0,0,5,5,8,269,0,0,0,34,6,0,0,4,129,6,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,1
727,10395,514,3,0,0,3,0,10,1,3,2,9,0,0,0,0,1,0,0,2,6,5,0,0,0,32,0,0,20,6,6,228,0,0,1,58,15,0,2,7,78,10,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
739,10566,536,5,0,0,1,0,11,0,3,0,9,0,1,0,0,2,0,0,0,3,4,0,1,0,5,0,0,6,11,4,371,0,0,9,33,10,0,0,1,34,6,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
747,10680,521,3,0,0,2,0,5,2,1,0,11,0,0,0,0,1,0,0,0,7,10,0,1,0,35,0,0,20,7,5,304,0,0,4,58,10,0,0,0,16,12,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0
755,10794,502,4,0,0,5,0,5,3,1,1,15,0,0,0,0,2,2,0,0,2,9,0,0,0,26,0,0,12,3,6,316,0,0,2,35,27,0,0,0,11,10,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0
759,10851,505,6,3,0,3,0,4,1,1,1,20,0,2,0,0,1,0,0,2,0,9,0,1,0,11,0,0,16,1,2,363,0,0,0,19,11,1,0,0,7,8,0,0,0,0,0,0,2,5,4,0,0,0,0,1,0,0
767,10965,505,8,0,0,2,0,5,6,2,0,23,0,0,0,0,0,2,0,0,1,17,0,0,0,27,0,0,9,4,4,321,1,0,6,21,20,0,0,0,4,16,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0
775,11079,513,26,0,0,11,0,6,2,3,0,71,2,1,0,0,0,2,0,0,6,3,0,0,0,65,0,0,8,7,7,249,0,0,0,9,7,0,0,0,0,6,0,1,2,0,0,0,2,1,15,0,0,0,0,1,0,0
783,11269,510,22,0,0,2,0,1,2,18,0,67,2,0,0,0,0,3,0,0,2,11,0,0,0,42,0,0,7,43,13,226,0,0,8,13,11,0,1,0,3,5,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0
787,11364,520,17,0,0,2,0,5,2,9,1,75,0,0,0,0,0,3,0,0,3,2,0,0,0,44,0,0,8,56,21,225,0,0,5,12,16,0,1,0,6,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
791,11458,501,77,0,0,2,0,2,1,18,5,23,0,0,0,0,0,2,0,0,0,8,0,0,0,9,0,0,1,125,6,183,0,0,5,4,4,0,0,1,4,3,0,1,1,0,0,0,9,2,5,0,0,0,0,0,0,0
804,11766,523,90,0,0,1,0,1,1,1,0,45,0,1,0,0,1,0,0,1,1,3,0,0,0,7,0,0,3,32,0,297,1,0,0,19,4,0,0,0,5,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0
819,12122,507,28,0,0,0,0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,1,345,7,94,0,0,1,3,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
823,12217,503,48,0,0,2,0,1,4,7,2,14,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,6,263,0,127,0,0,0,7,4,0,0,0,1,0,0,3,0,0,0,0,5,2,0,2,0,0,0,0,0,0
827,12312,469,4,0,0,1,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,308,0,117,0,0,2,2,2,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
837,12602,501,28,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,3,0,0,8,302,5,133,0,0,2,2,2,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,1,0,0,0
