"sample.depths","sample.ages","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae.undiff.","Aralia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Boehmeria.type","Brasenia.schreberi","Brassicaceae","Cabomba","Carya","Castanea","Celtis","Cephalanthus","cf..Anthoceros","Chamaecrista","Clethra","Cornus","Cyperaceae","Cyrilla.racemiflora","Decodon.verticillatus","Dryopteris.type","Ericales.undiff.","Fagus","Fraxinus","Gleditsia","Gordonia","Hydrocotyle","Ilex","Indeterminable","Isoëtes","Itea","Iva","Juglans.nigra","Lechea","Liquidambar","Liriodendron","Ludwigia","Lycopodium.type","Magnolia","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Phoradendron","Pinus","Plantago","Platanus","Poaceae","Polygonum","Polypodium.type","Pontederiaceae","Potamogetonaceae","Prunus.Sorbus","Pteridium.type","Quercus","Rhexia","Rhus","Rumex","Sagittaria","Salix","Serenoa","Smilax","Sparganium.type","Sphagnum","Symplocos","Taxodium","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Utricularia","Viburnum","Vitis","Xyris"
830,4324,0,0,1,2,3,1,1,0,1,0,1,0,0,0,0,39,0,0,3,0,0,0,0,8,0,0,9,1,0,3,0,15,1,2,2,0,0,0,0,0,31,0,0,0,1,53,0,1,2,21,8,13,0,1289,0,3,24,0,0,0,0,0,6,325,0,0,0,1,1,0,0,0,0,0,33,0,0,0,13,1,0,0,2,0
840,4508,0,0,1,1,1,3,0,0,0,1,3,0,0,0,0,45,0,1,0,0,0,0,0,11,0,1,14,0,2,3,0,16,3,2,4,0,0,0,0,0,19,0,0,0,0,76,0,2,0,13,4,6,0,984,0,2,31,0,0,0,1,0,4,295,0,0,0,0,0,0,0,0,0,0,23,0,0,0,18,3,0,0,2,0
860,4877,0,0,3,3,1,0,0,0,4,2,0,0,0,0,0,53,0,1,0,0,0,0,0,5,0,0,18,0,0,7,0,18,0,2,2,0,1,0,1,0,27,0,0,0,2,46,0,1,4,27,4,7,1,1132,0,1,33,0,0,0,1,0,5,266,0,0,0,2,0,0,0,0,1,0,16,0,0,0,8,1,0,2,2,0
880,5247,0,0,2,9,6,0,0,1,5,1,0,0,0,0,0,47,0,1,0,0,1,0,0,7,0,1,19,1,0,4,0,23,0,4,4,1,1,0,1,3,15,1,0,1,1,60,0,3,0,13,7,6,0,1347,0,3,21,0,0,0,0,0,4,333,0,0,0,2,0,0,0,0,0,0,15,0,0,0,4,4,0,0,3,0
900,5616,0,0,6,2,5,1,0,1,1,1,2,0,0,0,0,46,0,2,1,0,1,1,0,9,0,2,12,0,1,6,0,14,1,2,4,5,1,1,0,0,18,0,0,0,4,49,0,3,0,37,3,6,0,1942,0,1,23,0,0,0,2,0,6,572,1,0,0,11,0,0,1,1,1,0,16,0,0,0,12,4,0,1,3,0
920,5985,2,0,2,1,2,1,0,3,1,0,1,0,0,0,0,47,0,1,1,0,0,0,0,12,0,1,12,1,1,9,0,9,1,1,8,4,0,0,0,1,30,0,0,1,4,53,0,8,0,38,1,7,1,1126,0,1,31,0,0,0,0,0,2,410,0,0,0,2,0,0,0,2,0,0,14,0,0,1,9,1,0,1,0,0
940,6354,2,0,5,4,2,1,0,2,6,3,3,0,0,2,0,64,0,0,2,0,0,0,0,10,0,0,25,1,0,2,0,0,1,0,9,3,1,1,1,0,23,0,0,0,3,37,0,10,4,37,3,7,0,894,0,0,28,0,0,0,1,0,3,504,0,0,0,4,0,0,1,1,0,0,7,0,0,0,13,1,0,0,3,0
960,6723,1,0,4,3,8,1,0,1,0,1,0,1,0,0,0,25,0,0,0,0,1,0,0,12,0,0,50,0,0,10,0,0,1,0,5,4,3,1,0,2,10,0,0,0,4,40,0,0,4,46,8,4,0,963,0,0,36,0,0,0,0,0,3,612,0,0,0,3,0,0,0,0,0,0,13,0,0,0,12,0,0,0,4,0
980,7092,5,0,1,0,6,1,0,3,7,1,0,0,0,0,0,26,0,0,4,0,0,0,0,9,0,2,35,1,0,1,0,0,1,0,1,0,1,2,1,0,19,0,0,0,0,58,0,0,3,44,1,3,1,647,0,0,41,0,0,0,0,0,0,631,0,1,0,0,1,0,1,1,0,0,10,0,0,0,8,4,0,0,1,0
1000,7461,1,0,6,12,10,0,0,2,13,1,0,0,0,1,0,34,0,2,5,0,1,0,0,8,0,3,32,0,1,2,0,0,0,0,7,2,3,6,1,2,14,0,0,1,1,53,0,0,11,32,3,0,0,705,0,2,36,0,0,2,0,0,0,1245,0,1,0,15,1,0,0,1,0,0,4,0,0,0,5,0,0,0,3,0
1020,7759,0,0,2,4,8,0,0,3,3,1,0,0,0,1,0,38,0,0,1,0,0,0,0,11,0,3,44,0,0,5,0,0,0,0,9,2,1,6,0,0,5,0,0,0,0,78,0,0,4,21,7,1,0,426,0,0,34,1,0,1,0,0,0,618,0,1,0,8,1,0,1,3,0,0,12,0,0,0,11,0,0,0,1,0
1040,8017,1,0,1,8,10,1,0,3,10,0,1,0,0,0,0,40,0,0,5,0,1,0,0,26,0,8,20,0,0,2,0,0,1,0,6,1,0,8,0,5,6,0,0,0,0,63,0,0,10,1,2,1,0,540,0,2,51,0,0,4,0,0,3,960,1,3,2,30,1,0,0,0,0,0,9,0,0,1,10,0,0,0,0,1
1060,8275,0,0,2,27,12,2,0,5,11,0,0,0,2,0,0,37,0,0,3,0,0,0,0,16,0,5,43,0,0,3,0,0,2,0,4,0,0,5,0,3,3,0,0,0,0,43,0,0,4,5,1,4,0,121,0,1,49,0,0,2,0,0,0,590,0,0,0,22,1,0,0,1,0,0,8,0,0,2,10,4,0,0,0,0
1070,8404,0,0,1,25,18,0,0,9,10,1,1,0,0,0,0,71,0,0,2,0,1,0,0,18,0,6,10,0,0,6,1,0,0,0,7,0,0,4,1,1,3,0,0,0,3,40,0,0,18,4,0,1,0,265,0,0,51,0,0,1,0,0,0,759,1,0,0,40,0,0,0,0,0,1,5,0,0,1,9,3,0,0,0,0
1100,8792,0,0,6,5,19,1,0,8,8,1,0,0,0,0,0,83,0,0,3,0,0,0,0,34,0,3,5,0,1,4,1,0,1,0,4,1,0,6,0,2,3,0,0,0,1,23,0,0,15,6,0,3,1,330,1,0,64,0,0,2,0,0,1,1170,0,0,0,8,1,0,0,0,0,0,14,0,0,0,5,2,0,0,0,0
1120,9050,0,0,2,5,24,0,0,1,18,0,1,0,0,0,1,89,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,3,0,0,12,0,0,7,0,0,0,0,52,0,0,12,2,0,4,0,135,0,0,49,1,0,0,0,0,0,870,1,1,0,7,0,0,0,0,0,0,6,0,0,0,8,4,0,0,1,0
1140,9308,0,1,3,10,30,0,0,9,23,1,3,0,2,0,1,91,0,1,0,2,0,0,0,10,0,2,0,0,0,2,0,0,0,0,4,0,0,18,0,1,3,0,0,0,0,18,0,0,18,2,0,4,0,234,0,0,57,0,0,0,0,0,1,1162,0,2,0,4,0,0,0,0,0,0,1,0,0,1,6,6,0,0,0,0
1160,NA,0,0,5,0,32,3,0,16,68,0,0,0,0,0,0,58,0,0,0,1,0,0,0,17,0,1,0,0,0,2,0,0,3,1,15,0,0,11,0,0,3,0,2,0,0,1,0,0,30,1,0,1,2,210,0,0,64,1,0,0,0,0,0,1290,0,0,1,2,1,0,0,0,0,0,5,0,0,3,7,0,1,0,1,0
