"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.undiff.","Betula","Caprifoliaceae.undiff.","Carya","Castanea","Celtis","Cupressaceae","Ericaceae","Fagus","Poaceae.undiff.","Liquidambar","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Fraxinus","Juglans","Myrica","Populus","Zea","Acer.saccharum","Aquifoliaceae","Larix","Asteraceae.subf..Cichorioideae","Plantago.major","Plantago.lanceolata","Salix","Viburnum","Fabaceae","Ephedra","Corylus","Tilia","Liliaceae","Urtica","Cyperaceae","Cornus","Liriodendron","Rhus","Acer.negundo","Nyssa","Lamiaceae","Caryophyllaceae","Rosaceae","Rhamnus","Cephalanthus","Abies","Artemisia","Amaranthaceae","Thalictrum","Apiaceae","Humulus","Brassicaceae.type","Vitis"
19.5,129,736,2,0,80,0,12,26,0,4,4,30,4,2,0,10,4,26,14,90,0,312,8,44,0,0,16,18,12,2,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
20.5,137,684,2,0,70,0,10,48,0,2,0,26,4,0,0,10,8,52,8,42,0,300,0,34,0,2,14,14,20,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0
21.5,146,772,8,0,118,0,14,42,0,2,0,38,2,2,0,14,4,12,20,70,0,296,4,42,0,4,32,14,8,2,2,0,0,6,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0
22.5,167,700,2,0,86,0,26,32,0,0,4,54,0,0,0,8,4,30,6,56,2,260,2,74,0,4,8,2,10,4,0,8,0,10,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
23.5,201,674,2,0,82,0,16,38,0,6,0,26,2,0,0,6,4,36,8,48,6,262,4,78,0,6,18,6,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
25.5,270,650,4,0,88,0,26,42,0,0,0,20,0,0,0,8,4,6,8,36,2,262,2,52,0,8,30,6,8,2,2,0,0,14,0,6,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
28.5,372,368,4,0,52,0,4,22,0,8,0,26,2,0,0,2,0,8,2,18,0,140,0,48,0,4,6,6,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
30.5,441,682,4,0,106,0,26,40,0,2,2,34,2,0,0,12,4,16,6,36,2,288,0,36,0,6,22,4,10,4,0,0,0,2,0,8,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
33.5,543,742,4,0,106,0,28,44,0,2,0,32,2,2,0,16,0,18,8,68,2,290,0,62,0,0,18,2,12,2,0,0,0,14,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
35.5,611,606,10,0,74,0,20,42,0,0,2,24,0,0,0,6,10,28,6,48,0,230,0,64,0,4,12,2,2,6,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
37,663,738,4,4,102,0,24,30,0,0,2,32,2,0,2,10,0,20,16,54,2,288,0,74,0,8,24,6,10,2,2,6,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,731,658,2,2,86,0,18,38,0,0,0,30,2,0,0,8,0,22,12,30,4,302,0,52,4,0,0,2,12,0,12,0,0,12,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
41,800,656,6,0,78,0,18,42,0,10,0,30,2,0,0,10,0,30,12,34,0,272,0,56,0,0,18,6,16,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
