"sample.depths","sample.ages","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Onagraceae","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Quercus","Ranunculaceae","Rosaceae.undiff.","Rubus.chamaemorus","Salix.herbacea.type","Salix.undiff.","Sphagnum","Taxus","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum"
92,2906,0,1,187,0,0,3,1,0,152,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,124,46,5,0,2,7,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0
100,3190,0,0,229,0,0,3,1,0,138,0,0,0,0,1,16,0,3,0,0,2,0,0,0,1,1,0,0,0,0,2,0,2,0,8,3,0,0,0,0,146,103,4,0,2,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0
107,3519,0,0,285,0,0,1,1,0,145,0,0,0,0,0,5,0,0,0,0,4,0,0,0,1,0,0,0,4,0,1,0,0,0,6,0,0,0,0,0,118,45,10,0,3,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0
115,3895,0,0,277,0,0,1,1,0,106,0,0,0,0,1,5,0,0,1,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,3,0,1,0,168,46,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0
125,4365,0,1,258,0,1,1,0,0,132,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,4,0,1,0,1,0,8,1,4,0,0,0,172,85,1,0,1,2,0,1,0,0,1,0,0,0,0,3,12,0,0,0,0,0,0,1,2,0
135,4835,0,4,387,0,1,2,1,0,202,0,0,0,0,2,9,1,0,0,0,6,0,0,0,0,0,0,1,7,0,1,1,4,3,12,0,1,1,0,1,125,44,7,2,0,3,0,0,0,0,1,0,0,0,0,3,10,0,0,0,0,0,0,1,0,0
142,5165,0,3,447,0,0,0,2,0,347,0,0,0,0,0,15,0,0,0,0,12,0,0,0,0,0,0,0,5,1,0,0,5,0,34,1,0,1,0,0,85,20,2,1,0,10,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,0,0
150,5541,0,0,379,0,0,1,5,0,349,0,0,0,0,0,16,2,6,0,0,15,0,0,0,1,0,0,1,5,0,1,0,4,6,4,0,3,0,0,0,14,6,7,1,0,8,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,1,0,0,0
155,5776,0,0,683,2,0,3,2,0,442,0,0,0,0,0,28,0,0,2,5,15,0,0,0,0,0,1,0,6,0,0,0,2,6,14,2,6,0,0,0,40,11,13,1,4,14,0,0,0,0,2,0,0,0,0,4,7,0,0,0,0,0,0,1,0,0
160,6011,0,2,464,0,0,3,1,0,290,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,1,14,0,2,1,1,0,9,0,2,0,0,0,49,3,5,2,3,8,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,1,1,1,0
165,NA,1,7,205,1,2,11,1,0,756,0,0,1,0,0,79,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,9,1,3,0,0,0,26,9,18,0,3,6,1,8,1,0,0,0,0,0,0,22,7,0,0,0,1,0,0,4,10,0
170,NA,0,2,48,2,2,6,0,0,114,0,2,1,0,0,59,0,0,0,0,3,2,1,0,1,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,43,4,1,0,0,64,0,0,0,0,0,0,0,0,0,41,9,0,0,0,0,0,0,2,0,0
175,NA,0,0,87,3,0,23,13,0,49,1,0,0,0,0,17,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,0,0,1,6,2,0,0,1,0,63,15,88,3,13,18,1,2,0,0,0,0,2,0,0,5,77,1,0,0,1,0,4,4,1,0
