"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Betula..small.","Betula.undiff.","Carya","Castanea","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Quercus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Poaceae","Rosaceae","Rumex","Thalictrum","Cystopteris.type","Equisetum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Typha.latifolia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
38,3209,2,11,10,0,0,259,0,0,0,0,9,1,2,1,0,0,0,35,1,51,1,0,6,0,0,0,12,1,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,27,10,1,16,0,1,12,7,2,13,3
40.5,3423,16,13,8,0,0,141,0,0,1,0,4,1,1,9,0,0,0,34,0,81,10,0,10,0,0,0,33,1,0,2,0,0,1,0,0,0,6,2,9,0,0,0,0,6,35,13,1,1220,0,7,18,6,1,5,0
42,3551,15,9,5,2,0,152,0,0,3,0,7,4,1,1,0,0,0,31,0,86,2,1,10,0,0,0,15,1,0,1,0,0,1,1,0,0,1,0,7,0,0,0,0,11,85,38,0,127,0,4,19,20,0,12,2
44,3674,10,11,3,0,0,164,0,0,0,0,5,4,0,1,2,0,1,29,0,46,1,0,11,0,0,0,11,1,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,5,25,23,0,96,0,8,11,14,8,1,1
47,3847,18,8,3,0,0,229,0,0,0,0,5,6,2,0,0,0,0,68,1,98,1,4,23,0,0,0,20,0,1,1,0,0,1,0,0,0,1,1,17,0,1,0,0,0,36,33,2,295,0,1,6,13,13,8,1
48,3904,15,6,2,1,0,130,0,1,0,0,4,5,3,2,0,0,0,46,3,48,2,0,6,0,0,0,7,1,0,0,0,0,0,0,0,0,8,0,3,0,1,0,0,0,29,13,1,155,0,3,18,4,0,12,1
50,4020,10,12,3,3,0,123,0,0,3,0,4,0,0,0,0,0,1,72,0,94,1,2,7,0,0,0,7,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,11,68,67,1,0,0,11,30,20,21,6,0
52,4206,2,11,8,0,0,150,0,0,0,0,0,5,0,1,4,0,0,36,0,82,0,0,6,0,0,0,16,0,0,0,0,0,4,1,0,0,0,0,9,0,0,0,0,39,78,56,4,45,0,15,16,43,47,3,4
53,4320,6,9,10,0,0,111,0,0,0,0,3,2,0,2,0,0,0,28,5,142,12,0,7,1,0,0,34,0,0,2,0,0,5,0,0,0,1,0,3,0,0,0,0,35,79,52,7,22,0,13,43,43,4,2,0
54,4434,11,4,14,0,0,65,0,0,0,0,1,3,0,1,0,1,0,20,3,128,26,0,6,0,0,0,27,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,12,55,61,4,19,0,11,28,16,0,3,0
55,4806,4,7,7,0,0,86,0,0,0,0,0,2,0,0,21,0,0,20,0,171,2,0,8,0,0,0,61,1,0,1,0,1,3,0,0,0,1,0,10,0,0,0,0,24,94,86,0,9,0,9,15,32,17,2,0
56,5177,3,7,8,0,0,57,0,0,0,0,0,0,0,0,1,0,0,6,0,144,30,0,8,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20,60,46,2,9,0,2,5,14,4,3,1
58,5920,3,4,15,0,0,97,0,0,1,0,0,1,0,0,1,0,0,2,4,156,22,0,7,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,35,45,79,0,14,0,2,16,8,3,7,0
60,6663,12,22,51,0,0,143,0,0,0,0,1,8,0,1,0,0,1,5,4,231,13,3,29,2,0,0,17,1,0,1,0,1,8,0,1,0,3,11,10,0,1,0,0,7,65,51,5,22,0,5,16,49,31,6,4
62,7406,1,7,64,18,4,107,0,0,0,0,1,3,1,15,0,0,0,4,5,138,6,0,5,25,0,0,13,1,0,2,0,0,1,0,0,0,4,0,8,0,2,0,0,0,25,64,1,6,0,3,31,13,24,3,0
64,NA,0,7,33,3,3,78,0,0,0,0,0,3,1,0,2,0,0,4,4,214,17,0,12,13,0,0,19,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,0,32,40,1,5,1,3,32,11,20,1,2
65,NA,2,14,51,0,0,91,0,1,0,0,0,7,0,5,0,1,2,28,1,251,0,0,18,6,0,0,15,0,0,3,0,1,1,1,0,1,1,1,3,0,0,1,0,9,82,49,1,31,0,2,22,1,24,3,0
