"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Andromeda.glaucophylla","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Campanula.type","Carya.ovata","Castanea.dentata","cf..Callitriche","Corylus.cornuta","Cyperaceae","Dryopteris","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus","Galium","Gentiana","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Rubiaceae.undiff.","Rumex.type","Salix","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
162,3309,9,0,2,0,54,5,0,1,3,0,0,0,37,0,0,7,0,0,4,90,0,0,0,30,10,0,0,0,44,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,10,4,132,0,0,0,5,23,0,0,0,0,2,0,0,12,83,0,0,13,1,2,2
167,3380,2,0,0,0,33,5,0,0,0,0,0,0,81,0,0,6,0,5,2,65,0,0,0,14,8,0,0,0,22,2,0,0,7,0,0,3,0,0,0,0,0,0,0,0,11,2,5,128,1,0,0,0,29,0,0,0,0,0,0,0,8,73,0,0,12,0,12,3
172,3451,7,2,3,0,43,4,0,0,2,0,0,1,31,0,0,3,0,1,3,93,0,0,0,5,9,0,0,0,54,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,16,8,1,194,0,1,0,3,17,1,2,0,0,0,0,0,10,93,0,0,8,2,60,10
177,3521,3,0,0,0,20,6,0,1,1,0,0,1,31,0,0,0,0,0,3,100,0,1,0,6,9,0,0,0,41,1,0,0,23,0,0,0,1,0,0,0,0,0,0,0,4,6,3,112,0,0,0,12,8,0,0,0,0,0,0,0,3,50,0,2,9,2,100,1
182,3584,7,0,1,0,26,3,0,0,3,0,1,1,23,0,0,0,0,0,5,132,0,0,0,1,8,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,27,2,131,0,1,0,0,1,0,0,0,0,0,0,0,1,50,0,0,1,0,20,3
187,3646,3,0,29,0,38,2,0,1,0,0,0,0,22,0,0,1,0,0,1,233,0,0,0,0,24,0,0,0,21,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,28,1,195,0,1,0,1,3,0,0,0,0,1,0,0,8,70,0,0,6,0,8,1
192,3708,4,0,5,0,26,0,0,2,1,0,0,0,15,0,0,1,0,3,0,139,0,0,0,7,8,0,0,0,24,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,42,8,158,0,0,0,0,12,0,1,0,0,3,0,0,6,47,0,0,7,0,82,0
202,3832,0,0,0,0,26,2,0,0,0,0,0,7,13,0,0,4,0,3,1,160,0,0,0,5,11,0,0,0,25,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,34,4,125,0,1,0,1,7,0,0,0,0,1,0,0,7,34,0,0,19,1,13,4
207,3894,2,0,6,0,32,2,0,0,0,0,2,2,17,0,0,7,0,4,7,69,0,0,0,10,7,0,0,0,14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,50,5,0,0,4,0,3,8,0,0,0,0,3,0,0,4,26,0,0,12,0,250,0
212,3956,2,0,3,0,6,5,0,1,1,0,0,2,22,0,0,1,0,0,3,95,0,0,0,1,3,0,0,0,13,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,25,0,99,0,7,0,2,2,1,0,0,0,3,0,0,4,10,0,0,6,0,294,2
217,4018,4,0,9,0,23,6,0,0,2,0,2,0,21,0,0,4,0,1,0,89,0,0,0,7,13,0,0,0,20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,48,3,130,0,8,0,7,11,1,0,0,0,0,0,0,3,26,0,0,13,0,381,3
222,4080,7,0,23,0,33,2,0,1,3,0,2,0,29,0,0,4,0,4,6,43,0,0,0,15,11,0,0,28,10,3,0,0,9,0,0,0,0,0,0,0,5,0,0,0,12,70,12,134,0,2,0,1,3,1,0,0,0,0,0,0,1,33,0,0,2,0,500,4
227,4142,17,0,7,0,36,2,0,2,1,0,2,0,39,0,0,6,0,0,3,26,0,0,0,3,9,0,0,256,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,13,2,103,0,0,0,0,11,0,0,0,0,0,0,0,4,28,0,0,6,0,100,1
232,4204,26,1,11,0,16,10,0,0,0,0,1,2,15,0,0,4,0,0,1,36,0,0,0,2,13,0,0,121,7,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,6,56,0,122,0,5,0,1,7,0,0,0,0,0,0,0,2,14,0,0,3,0,585,2
237,4266,15,0,18,0,47,37,0,1,4,0,2,3,52,0,0,3,0,3,3,37,0,0,0,7,14,0,0,26,16,2,0,0,8,0,0,0,0,0,0,5,0,0,0,0,32,112,0,238,0,5,0,2,8,0,0,0,0,0,0,0,17,21,1,1,18,0,198,5
242,4328,5,0,11,0,29,13,0,2,0,0,1,0,28,0,0,1,0,3,2,18,0,0,0,1,4,0,0,7,10,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,12,128,0,117,0,3,0,0,4,0,0,0,0,0,0,0,3,7,1,1,4,0,16,2
