"sample.depths","sample.ages","Abies","Acer","Alnus","Arceuthobium","Arctostaphylos","Betula","Carya","Castanea","Celtis","Cornus.canadensis","Cornus.sericea","Cornus.suecica","Corylus","Cupressaceae","Elaeagnus","Ericaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Ilex","Juglans.cinerea","Larix","Liquidambar","Myrica","Myricaria","Ostrya.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides","Prunus","Quercus","Rhododendron","Rhus","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga.canadensis","Ulmus","Achillea.type","Ambrosia","Anemone.type","Apiaceae.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Astragalus","Brassicaceae","Campanulaceae","Caryophyllaceae.undiff.","Chenopodiaceae.undiff.","Convolvulus","Crassulaceae.undiff.","Cyperaceae","Diapensia","Epilobium.latifolium","Fabaceae.undiff.","Fagopyrum","Galium","Gentiana.type","Geranium","Geum","Helianthemum","Humulus","Hypericum","Iva","Linaceae","Lysimachia","Mentha.type","Papaver.type","Plantago","Plumbaginaceae.cf..Armeria","Poaceae","Polygonaceae.undiff.","Potentilla","Primula","Ranunculaceae.undiff.","Rhinanthus","Rosaceae.undiff.","Rumex.type","Sanguisorba","Saxifragaceae.type","Scleranthus","Sedum","Sium","Solanum","Stachys.type","Thalictrum","Urtica","Valeriana.type","Adiantum","Athyrium","Botrychium","Cheilanthes","Cystopteris","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris.type","Equisetum","Huperzia.lucidula","Huperzia.selago","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Osmunda.cinnamomea","Osmunda.regalis","Polypodium","Pteridium.aquilinum","Selaginella","Woodsia","Sphagnum","Alisma","Caltha","Drosera","Hippuris.vulgaris","Isoëtes","Menyanthes.trifoliata","Myriophyllum","Nuphar","Potamogeton","Sagittaria","Sparganium","Typha","Indeterminable","Unknown.spore"
605,11621,4,0,25,0,0,65,0,0,0,0,0,0,4,20,0,4,0,0,0,0,1,0,0,0,0,8,42,18,5,79,0,0,4,0,1,0,0,0,30,1,0,0,2,1,0,0,4,0,2,0,0,16,15,2,0,1,2,19,0,0,0,189,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,0,1,0,1,0,3,8,0,2,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,1,0,0,1,14,0
606,11675,6,0,30,0,0,72,1,2,0,2,0,0,3,2,0,2,1,0,0,0,0,0,0,4,0,14,71,64,4,71,0,0,2,0,2,0,0,0,32,1,0,1,1,0,0,5,3,0,0,0,0,35,23,2,0,1,3,24,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,1,0,0,1,0,11,15,0,3,0,0,0,0,0,37,1,0,0,0,3,0,2,0,0,1,1,0,0,2,3,0,0,1,1,1,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0
607,11728,4,1,19,0,0,49,0,0,0,1,0,0,1,21,0,4,0,0,1,0,1,0,0,2,0,6,29,17,0,59,0,0,2,0,0,0,0,0,26,2,0,0,0,0,0,1,3,0,0,0,0,18,13,1,2,1,1,19,3,0,0,162,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,1,0,0,2,0,11,5,0,5,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,20,1
608,11782,4,0,14,0,0,37,0,0,0,1,0,0,2,16,0,3,0,0,0,0,0,0,0,1,0,4,34,16,3,60,0,1,1,0,0,0,0,0,14,1,0,0,1,0,0,4,2,0,0,0,0,23,9,0,0,1,1,5,1,0,0,175,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,0,0,1,0,2,9,0,5,0,0,0,0,0,27,4,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,1,0,0,5,12,0
609,11835,6,0,19,0,0,45,0,0,0,0,0,0,3,21,2,1,0,0,0,0,0,0,0,0,0,4,32,21,1,52,0,0,1,0,1,0,0,0,21,0,0,0,1,0,0,2,7,0,2,0,0,37,24,2,0,0,2,11,0,0,0,199,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,0,0,1,3,0,5,7,0,0,0,0,0,0,1,34,4,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,16,1
610,11889,10,0,37,0,0,63,2,1,1,0,0,0,7,1,0,3,0,0,0,0,0,0,0,3,0,5,38,28,0,30,0,1,4,0,0,0,0,0,31,0,0,0,2,0,0,0,4,0,0,0,0,52,30,2,0,1,4,30,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,20,37,0,3,0,0,0,0,0,31,2,0,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0,0,1,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0,23,2
611,11943,6,0,18,0,0,39,0,0,0,1,0,0,8,31,0,5,0,0,0,0,0,0,0,0,0,1,34,19,1,40,0,2,0,0,0,0,0,0,21,0,0,1,1,0,0,2,0,0,4,0,0,26,11,0,0,0,1,9,4,0,0,189,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,19,1,2,2,0,0,10,13,0,0,0,0,0,0,0,16,1,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,4,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,19,1
612,11996,12,0,24,0,0,52,0,0,0,1,0,0,1,47,0,7,0,0,0,1,0,0,0,1,0,2,29,17,1,52,0,2,1,0,1,0,0,0,24,1,0,0,0,2,0,2,2,0,1,0,0,34,14,1,0,0,2,11,0,0,0,193,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,40,1,0,0,1,0,13,19,0,9,0,0,1,0,0,31,1,0,0,0,0,0,0,0,0,8,2,0,0,4,0,0,0,0,0,1,4,0,5,0,0,0,0,0,0,1,0,0,0,0,3,30,0
613,12050,8,0,25,0,0,81,0,1,0,0,0,0,7,2,1,1,0,1,0,0,0,0,0,0,0,2,80,48,0,45,1,0,5,0,1,0,0,0,40,0,0,1,7,0,0,1,2,0,5,0,0,31,21,0,0,0,0,12,0,0,0,265,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,26,0,0,0,0,0,15,19,0,0,0,0,0,0,0,26,1,0,0,0,2,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,1,0,0,0,0,19,1
614,12104,10,0,28,0,0,76,0,0,0,1,0,0,3,7,2,2,0,0,0,1,0,0,0,3,0,3,84,37,0,42,0,0,3,0,1,0,0,0,44,1,0,0,3,1,0,0,6,0,0,0,0,68,17,0,0,0,2,11,0,0,0,260,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1,2,0,20,17,0,0,0,0,0,0,0,20,2,0,0,1,1,0,2,0,0,2,0,0,0,0,1,0,0,2,1,1,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20,0
615,12157,8,0,34,0,0,56,1,0,0,1,0,1,8,2,1,2,0,1,0,0,0,0,3,1,0,2,73,33,0,30,1,3,3,0,0,0,0,0,60,0,0,0,5,0,0,1,1,0,7,0,0,60,21,0,0,0,1,13,2,0,0,227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,1,0,32,18,0,3,0,1,0,0,0,15,0,0,0,0,5,0,1,0,0,2,0,0,0,3,0,0,1,0,0,1,9,0,2,0,0,0,0,0,0,0,0,1,0,1,0,24,0
616,12211,7,0,29,0,0,60,0,0,0,0,0,0,6,0,1,4,0,0,0,0,1,0,0,1,0,3,70,41,0,38,0,0,5,0,0,0,0,0,56,0,0,1,4,0,0,4,5,0,2,0,0,76,25,0,0,2,1,13,0,0,0,256,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,35,0,0,0,1,0,19,20,0,1,0,0,0,0,0,17,0,0,0,0,1,0,4,0,2,5,0,0,0,1,0,0,1,1,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,4
626,12359,2,1,21,0,0,72,1,0,0,0,0,0,3,8,1,4,0,4,0,0,1,0,0,0,0,1,63,44,0,40,1,1,1,0,0,0,0,0,55,1,0,0,10,0,0,0,0,0,1,0,0,52,40,1,0,0,0,5,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,2,0,0,0,0,21,0
631,12384,0,0,21,0,0,114,1,0,0,0,0,0,7,12,2,0,0,1,2,0,0,1,0,3,0,2,58,26,1,37,1,10,15,0,2,0,0,0,84,2,0,0,6,18,0,1,3,0,1,0,0,52,46,1,0,3,1,5,2,0,0,212,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,43,2,0,0,0,0,8,4,0,1,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,4,0,0,0,2,1,1,0,2,0,3,17,0,0,0,0,0,0,0,0,0,1,3,0,0,6,44,6
636,12410,1,2,8,0,0,290,0,0,0,1,0,0,0,12,1,1,0,0,0,0,0,0,0,1,0,0,94,75,0,26,1,5,5,0,1,0,0,0,88,0,0,0,12,0,0,0,3,0,3,0,0,40,27,0,0,0,0,3,0,0,0,135,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,7,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,2,0,3,0,2,0,0,0,0,0,4,6,0,0,0,12,0
641,12435,0,0,11,0,0,18,4,0,0,1,0,0,4,25,5,3,0,1,0,0,1,1,0,1,0,6,27,33,0,30,0,28,5,0,9,0,0,0,21,0,0,0,8,2,0,0,3,0,2,0,0,206,47,0,0,0,1,0,0,0,0,167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,22,1,0,0,0,2,20,2,0,5,0,0,0,1,0,0,4,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,26,0
646,12460,3,0,5,0,0,8,0,0,0,1,0,1,2,3,3,0,0,1,0,0,0,0,0,2,0,3,49,77,0,18,0,11,1,0,8,0,0,0,27,1,0,1,4,0,0,0,2,0,1,0,0,23,8,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,13,5,0,1,0,20,0
651,12486,4,1,15,1,0,23,1,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,0,3,0,1,80,183,0,56,1,7,4,0,4,0,0,1,20,0,1,0,2,0,0,0,3,0,5,0,0,16,19,3,0,0,0,0,1,0,0,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,15,1,0,2,0,0,0,0,0,1,7,0,0,0,2,0,3,0,0,3,0,0,0,1,1,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,0,22,0,0,1,50,1
661,12537,0,0,6,0,0,16,1,0,0,0,0,0,7,22,4,1,0,0,0,1,0,0,0,3,0,4,74,64,1,68,0,14,8,0,11,0,0,0,56,3,0,0,1,8,1,0,3,0,8,0,1,64,19,1,0,1,0,2,0,1,1,130,0,0,1,0,0,0,1,2,0,0,0,7,0,0,1,0,0,0,16,0,0,0,0,0,18,0,0,6,1,0,0,0,0,0,3,1,0,0,0,0,3,0,0,5,1,0,0,2,0,0,1,0,0,2,0,1,1,0,0,0,0,2,1,1,0,6,0,0,3,65,3
666,12562,0,1,8,0,0,20,1,0,0,0,0,0,4,1,4,0,0,0,1,0,0,0,0,0,0,1,40,50,0,15,1,10,4,0,1,0,0,0,43,0,0,1,9,0,0,0,0,0,3,0,0,193,58,0,0,0,0,3,0,0,0,87,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,19,2,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,20,0,3,0,31,0
671,12587,2,1,28,0,0,31,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,1,0,1,52,84,1,12,0,2,3,0,1,0,0,0,79,0,0,0,14,0,0,0,2,0,2,0,0,15,8,0,0,0,0,2,1,0,0,107,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,4,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,2,0,0,2,NA,0,2,11,0,4,0,1,0,0,1,0,0,2,1,0,0,0,17,3
676,12664,0,3,16,0,0,34,0,0,0,0,0,0,2,19,1,0,0,2,0,0,2,0,0,2,0,5,60,85,0,15,2,11,33,0,6,0,0,0,133,1,0,0,12,22,0,0,4,0,1,0,0,10,21,0,0,0,0,2,1,0,0,169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,1,4,0,0,14,0,3,1,0,0,0,2,0,0,0,0,0,0,2,23,2
681,12948,1,0,3,0,0,13,0,0,0,0,0,0,0,19,1,0,0,1,0,0,0,0,0,0,0,1,52,60,1,6,2,1,2,0,7,0,0,0,51,1,0,0,3,1,0,0,2,0,3,0,0,12,6,0,0,0,0,1,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,2,0,0,5,0,0,0,8,0
