"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Adiantum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Cephalanthus","Chamaedaphne.calyculata","Cornus","Corylus","Cupressaceae","Cyperaceae","Drosera","Empetrum","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus","Gaultheria","Gaylussacia","Huperzia.lucidula","Ilex","Juglans","Larix","Ledum","Menyanthes.trifoliata","Myrica","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Pyrus.type","Quercus","Ranunculaceae.undiff.","Rhododendron","Rosaceae.undiff.","Salix","Sanguisorba","Scheuchzeria.palustris","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vaccinium"
130,1863,18,2,2,0,10,0,0,1,1,0,131,5,0,1,0,1,1,0,0,0,0,1,28,0,7,10,3,1,0,0,0,0,3,7,0,16,0,2,101,164,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,75,1,3,8,0
135,1945,17,1,1,0,2,0,0,0,0,0,59,0,0,0,0,3,1,0,0,0,1,0,47,0,5,5,0,0,0,0,0,0,0,9,0,8,0,0,91,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,0,0,12,0,2,2,0
140,2028,36,0,3,0,17,0,0,0,0,0,135,0,0,1,0,0,0,0,0,1,1,0,2,0,4,18,1,0,0,0,0,0,8,3,0,3,1,0,135,120,0,0,0,1,0,0,2,0,13,0,1,0,0,0,0,107,0,0,70,0,0,4,0
145,2113,21,0,2,0,7,0,0,0,0,0,98,0,0,1,0,0,3,1,0,2,0,0,63,0,18,6,2,0,0,0,0,0,2,9,0,34,2,1,41,203,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,44,0,0,88,0,0,5,0
150,2200,6,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,19,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,1,18,0,1,2,0
155,2288,41,1,1,0,6,1,2,0,1,0,87,0,0,1,0,0,0,0,0,0,0,0,16,0,9,11,0,1,0,0,0,0,2,6,0,9,0,8,165,172,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,169,0,0,33,0,0,6,0
160,2378,7,0,0,0,1,0,0,0,0,0,31,0,0,0,0,4,1,0,0,0,0,0,2,0,6,3,0,0,0,0,0,0,1,4,0,8,1,0,65,170,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,74,0,0,40,0,0,4,0
165,2469,1,0,5,0,4,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,23,47,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,138,0,0,25,0,0,2,0
170,2561,37,2,3,0,5,0,0,0,0,0,83,0,0,1,0,0,1,0,0,0,0,0,8,0,8,8,2,1,0,1,0,0,4,6,0,2,1,2,129,165,0,0,0,3,0,0,2,0,6,0,0,0,0,0,0,52,0,0,141,0,3,5,1
175,2655,7,0,1,0,3,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,7,0,0,0,1,6,25,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,33,0,0,12,0,0,0,0
180,2751,22,0,0,0,2,0,0,0,0,0,68,0,0,0,0,2,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,1,0,0,6,5,0,24,151,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,286,0,0,38,0,1,3,0
185,2848,27,0,2,0,0,0,0,0,0,0,30,0,0,0,0,1,7,0,0,0,0,0,34,0,9,3,0,0,0,1,0,0,3,2,0,4,0,0,77,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,51,0,1,0,0
190,2947,44,0,2,0,7,0,0,0,1,0,122,0,0,0,0,0,0,0,0,0,0,0,80,0,2,11,0,0,0,0,0,0,5,1,0,0,3,0,63,207,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,63,0,0,60,0,0,1,0
195,3047,10,0,0,0,0,0,0,1,0,0,21,0,0,0,0,1,0,0,0,0,0,0,15,0,2,2,0,0,0,0,0,0,1,3,0,1,2,0,67,220,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,164,0,0,40,0,0,3,0
200,3149,12,0,1,0,7,0,0,1,0,0,91,0,0,1,0,0,16,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,1,26,0,1,2,1,40,232,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,164,0,0,22,0,0,7,0
205,3252,24,0,0,0,10,0,0,0,1,0,107,0,0,0,0,0,5,0,2,0,0,0,17,0,7,1,1,0,0,0,0,0,0,6,0,0,2,1,78,291,1,0,0,1,0,0,3,0,0,1,1,0,0,0,0,108,0,0,28,0,0,9,4
210,3357,12,0,2,0,5,0,0,4,0,0,111,0,0,0,0,0,1,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,45,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0,7,0,0,5,0
215,3463,16,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,9,0,11,1,0,0,0,0,0,0,1,0,0,1,2,0,62,353,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,32,0,0,33,0,0,3,0
220,3571,6,0,0,0,1,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,21,173,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,113,0,0,10,0,0,2,0
225,3680,13,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,8,0,2,0,0,0,18,0,6,1,0,0,0,0,0,0,0,4,0,0,1,0,28,236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,0,0,18,0,0,3,0
230,3791,11,0,4,0,11,0,0,0,0,0,133,0,0,0,0,0,1,0,0,0,0,0,45,0,2,4,1,0,0,1,0,0,4,2,0,0,0,2,80,269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92,0,0,24,0,0,2,2
235,3903,3,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,19,43,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
240,4017,21,0,1,0,21,0,0,1,0,0,107,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,2,17,0,0,1,3,69,301,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,28,0,0,8,0,1,6,0
250,4249,100,1,0,0,15,0,0,1,0,0,100,0,0,0,0,0,5,0,0,0,0,0,33,0,6,0,3,0,0,0,0,0,3,4,0,0,1,6,70,281,0,0,0,1,0,0,5,0,7,0,1,0,0,0,0,21,0,1,0,0,6,5,4
255,4368,11,0,1,0,4,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,11,0,0,2,0,80,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,7,0,2,3,0
260,4488,15,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,24,0,8,0,2,0,0,1,0,0,1,14,0,0,3,4,43,235,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,214,0,0,106,0,2,6,1
265,4609,17,0,0,0,2,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,43,115,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,62,0,0,96,0,0,0,1
275,4856,10,0,0,0,4,0,0,0,0,0,81,0,0,0,0,0,4,0,0,0,0,0,32,0,6,1,3,0,0,0,0,0,0,1,0,0,1,7,47,106,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,60,0,0,254,0,0,5,1
280,4982,24,0,3,0,2,0,1,0,0,0,90,0,0,0,0,0,16,0,0,0,0,0,81,0,11,0,7,0,0,0,0,0,0,4,0,0,1,6,84,362,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,48,0,0,48,0,2,5,6
285,5110,5,0,0,0,3,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,8,0,0,1,4,15,79,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,57,0,0,19,0,1,5,1
290,5239,8,0,2,0,14,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,2,0,16,0,8,0,0,0,0,0,0,0,1,1,0,0,1,1,21,249,0,1,0,1,0,0,5,0,2,0,0,0,0,0,0,62,0,0,42,0,1,5,0
295,5369,7,0,0,0,2,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,4,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,33,152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,0,0,75,0,0,2,0
300,5501,6,0,1,0,2,0,0,0,1,0,53,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,33,127,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,88,0,0,77,0,0,4,3
305,5635,15,0,0,0,6,0,0,0,0,0,50,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,39,166,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,191,0,0,113,0,1,2,0
315,5906,25,0,0,0,17,0,0,0,0,0,94,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,1,0,5,0,0,0,6,0,0,0,2,0,42,140,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,42,0,0,101,0,0,3,0
320,6044,16,0,0,0,13,0,1,0,0,0,79,0,0,0,0,0,0,0,2,0,1,0,2,0,6,0,1,0,0,0,0,0,2,19,0,0,1,2,38,259,0,1,0,14,0,0,0,0,3,0,0,1,0,0,0,127,0,0,166,1,3,3,0
322,6100,7,0,0,0,4,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,1,7,0,0,5,0,58,441,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,84,0,0,163,0,1,7,0
330,6325,16,0,0,0,5,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,3,1,0,0,3,0,45,591,0,0,0,6,0,0,9,0,8,0,0,0,0,0,0,99,0,0,27,0,5,5,0
335,6467,15,1,0,0,7,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,1,0,7,0,5,1,0,0,0,0,0,0,6,1,0,0,2,0,38,338,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,38,0,0,48,0,2,4,0
340,6612,19,1,0,0,7,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,5,0,11,0,2,1,1,0,0,0,0,0,8,2,0,0,2,0,52,449,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,66,0,0,169,0,1,3,0
345,6757,2,0,0,0,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,1,0,0,0,0,0,4,1,0,0,0,0,20,537,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,82,0,0,12,0,2,4,0
350,6904,23,4,0,0,17,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,1,3,9,0,7,1,5,0,0,0,0,0,0,0,0,0,2,2,32,353,0,3,0,1,1,0,2,0,3,0,0,0,1,0,0,91,0,0,39,0,6,4,0
360,7203,10,0,0,0,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70,237,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,86,0,0,11,0,0,3,0
365,7355,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,44,528,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,81,0,0,29,0,0,3,0
370,7508,5,0,0,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,83,255,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,71,0,0,10,0,0,4,0
375,7663,2,0,0,0,10,0,0,0,0,0,42,0,0,0,0,0,35,0,0,0,1,0,5,0,12,0,1,0,0,0,0,0,5,0,0,0,2,0,56,306,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,77,0,0,12,0,0,2,0
380,7819,33,0,0,0,25,0,1,0,0,0,59,0,0,0,0,0,5,0,0,1,0,0,4,0,5,0,3,0,0,0,0,0,1,7,0,1,3,0,88,318,0,0,0,0,3,0,15,0,2,0,0,0,0,0,0,19,0,0,10,0,1,4,0
385,7977,149,0,0,0,19,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,1,0,0,0,0,0,5,0,0,1,0,0,205,259,0,0,0,2,0,0,22,0,5,0,0,0,0,0,0,24,0,0,4,0,4,3,0
390,8136,106,0,0,0,50,0,0,0,0,0,127,0,0,1,0,0,0,0,1,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,6,1,133,296,1,3,0,4,0,0,8,0,5,0,0,0,0,0,0,124,2,1,6,0,2,9,0
395,8297,61,0,0,0,32,0,0,0,0,0,75,0,0,0,0,0,2,0,3,0,4,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,84,284,0,1,0,2,0,0,3,0,7,0,0,0,1,0,0,10,0,0,0,0,1,2,0
400,8459,15,0,0,0,33,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,3,1,0,35,167,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,88,1,0,0,0,0,2,0
405,8623,36,0,0,0,26,0,1,0,0,0,18,0,0,0,0,0,25,0,0,0,0,0,43,0,30,0,0,0,0,0,0,0,0,51,0,0,0,3,144,258,0,0,0,2,0,0,3,0,1,0,1,0,0,0,0,325,1,0,18,0,0,0,0
410,8788,52,0,0,0,18,0,2,1,4,0,114,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,139,0,3,0,9,0,0,17,0,0,3,0,0,0,0,0,50,4,0,1,0,0,0,0
415,8955,81,0,0,0,20,0,0,2,0,0,112,0,0,0,0,0,0,0,2,0,2,0,16,0,6,0,1,0,0,0,0,0,18,0,0,0,0,1,204,167,0,3,0,4,0,0,4,0,7,0,0,0,0,0,0,86,0,0,2,0,0,4,0
420,9123,45,0,0,0,16,0,0,0,1,0,80,0,0,0,0,0,1,0,0,0,3,1,3,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,133,109,0,5,0,3,1,0,1,0,5,0,0,0,0,0,0,7,0,0,1,0,0,4,2
425,9293,53,0,0,0,3,1,0,1,0,0,75,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,18,0,0,3,0,3,239,124,0,0,0,3,0,0,2,0,6,0,0,0,0,0,2,90,0,0,4,0,0,4,0
430,9464,7,0,0,0,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,18,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,55,1,0,2,0,0,4,0
435,9637,112,0,0,0,5,0,2,1,0,0,29,0,0,0,0,0,13,0,0,0,1,0,22,0,10,0,0,0,0,2,0,0,7,0,0,0,0,0,235,103,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,506,0,0,2,0,0,5,0
440,9811,13,0,0,0,7,0,1,0,1,0,32,0,1,0,0,0,0,1,0,0,6,0,7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,45,30,0,1,0,3,0,0,3,0,0,0,0,0,0,1,0,83,0,0,0,0,0,5,0
445,9987,15,0,0,0,10,0,1,1,1,0,59,0,0,0,0,0,43,0,0,0,5,0,9,3,6,0,0,0,0,0,0,0,5,0,0,2,0,0,78,37,0,0,0,7,0,0,2,0,2,1,0,1,0,0,0,270,2,0,0,0,0,5,0
450,10165,4,0,0,0,14,0,0,0,1,0,27,0,0,0,0,0,45,0,0,0,2,0,39,2,20,0,0,0,0,0,0,0,1,6,0,2,0,0,27,30,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,200,0,1,0,0,0,0,0
455,10344,48,0,0,0,7,0,1,0,1,0,92,0,0,0,0,0,47,1,0,0,5,0,14,0,29,0,0,0,0,0,0,0,1,2,0,4,0,0,136,51,0,1,0,9,0,0,0,0,5,0,0,0,0,0,0,887,0,0,1,1,0,6,0
460,10524,69,0,0,0,3,0,0,0,2,0,32,0,0,0,0,0,18,0,0,0,16,1,40,2,15,0,0,0,0,0,0,0,1,0,0,20,0,0,131,28,0,1,0,1,3,0,0,0,14,1,0,2,3,0,0,45,0,0,0,0,0,6,3
465,10706,63,1,1,0,1,1,0,1,2,0,41,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,3,0,0,14,0,0,168,47,0,0,0,3,2,0,1,0,5,0,0,1,15,0,0,48,0,0,2,1,0,2,0
470,10889,1,0,0,0,4,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,106,0,8,3,0,0,0,0,0,0,0,0,2,0,2,10,0,0,126,8,0,5,0,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0
475,11074,2,0,0,0,0,0,0,1,4,0,96,0,0,0,0,0,1,0,0,0,167,0,0,23,0,0,0,0,0,0,0,0,0,0,2,8,0,0,61,22,0,12,0,0,0,0,0,0,0,1,0,0,18,0,0,5,0,0,0,0,0,5,0
480,11261,2,0,0,0,1,0,0,1,3,0,68,0,0,0,0,0,0,0,0,0,214,0,0,9,2,0,0,0,0,0,0,0,9,0,5,28,0,0,38,17,0,6,0,2,0,0,3,0,0,0,0,0,7,0,0,1,0,0,0,0,0,4,6
484,11411,2,0,0,1,0,0,0,0,7,0,49,0,0,0,1,0,0,0,0,0,361,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,9,37,0,30,0,3,4,0,0,0,0,0,0,31,2,0,0,0,1,0,0,0,0,9,0
485,11449,1,0,0,0,6,0,0,0,12,0,62,0,0,0,1,0,0,0,0,0,246,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,12,0,20,0,0,0,0,0,0,0,0,0,27,6,0,0,1,0,0,1,0,0,8,0
486,11487,1,0,0,0,0,0,2,1,0,0,18,0,0,0,0,0,0,0,0,0,291,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0,20,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
487,11525,1,0,0,0,3,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,23,0,2,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
488,11562,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,309,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,6,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
489,11600,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
489.5,11619,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,11,271,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,0,5,0,0,0,1,1,0,0,2,0,0,0,0,0,3,1,0,0,0,0,2,0
493.5,11772,1,0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,63,138,0,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,17,13,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0
495.5,11849,1,0,0,1,0,0,0,2,0,0,6,5,0,0,0,0,0,0,0,108,106,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,23,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,6,0
