"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.simplex.type","Botrychium.undiff.","Campanula.type","Carya","Caryophyllaceae","Castanea","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dennstaedtia","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra","Huperzia.selago","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Morus","Myrica","Nyssa","Osmunda","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera","Potentilla","Pteridium","Quercus","Ranunculus","Rhamnus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Selaginella.rupestris","Selaginella.selaginoides","Selaginella.sibirica","Shepherdia.canadensis","Sparganium","Sphagnum","Spiraea","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Woodsia.ilvensis"
354,NA,1,0,0,0,2,3,28,1,0,0,4,2,42,0,0,0,0,0,0,0,0,1,77,0,0,0,13,0,0,1,0,0,0,0,12,0,0,0,0,0,4,4,0,0,2,0,0,2,4,7,20,11,4,54,0,3,0,0,1,5,0,0,0,0,9,0,0,0,1,2,0,0,6,1,0,0,1,0,0,2,2,0
355,NA,0,0,0,0,3,2,30,1,1,0,4,3,53,0,0,0,0,0,0,0,0,1,81,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,2,1,0,0,3,0,1,2,2,8,14,6,5,64,0,8,0,1,2,3,0,0,0,1,14,0,0,0,0,0,0,0,4,0,2,0,2,0,0,3,2,0
357,NA,0,0,0,0,2,0,21,0,0,0,2,2,40,1,0,0,0,0,0,0,0,5,82,0,0,0,17,0,0,0,0,0,1,0,20,0,0,0,0,0,6,2,0,0,1,0,0,0,4,5,14,4,4,45,0,1,0,0,1,2,0,0,0,0,10,0,0,0,0,2,0,0,5,0,0,0,1,0,0,2,0,0
359,NA,0,1,0,0,0,2,36,0,0,0,3,3,20,0,0,0,0,1,1,0,0,1,91,0,0,0,20,0,0,2,0,0,0,0,22,0,0,0,0,3,6,3,1,0,5,0,0,2,1,4,33,5,5,68,0,6,1,0,2,2,0,0,0,1,9,0,0,0,0,2,1,0,9,0,0,0,1,0,0,1,3,0
361,NA,0,0,0,0,2,5,26,1,1,0,3,7,27,0,0,0,0,2,0,0,1,7,54,0,0,0,26,0,0,0,0,0,1,0,14,0,0,0,0,0,2,3,0,0,5,0,0,2,2,5,29,11,8,88,0,7,2,0,0,2,0,0,0,0,8,0,0,0,0,3,1,0,9,0,0,0,1,0,0,1,3,0
362,NA,1,0,0,0,1,1,20,0,1,0,3,6,32,0,0,0,0,0,0,0,0,3,55,0,0,0,17,0,0,0,0,0,0,0,14,0,0,0,0,0,5,2,2,0,6,0,0,1,1,6,44,13,2,64,0,16,2,0,0,4,0,0,0,0,9,0,0,0,0,4,0,0,12,0,1,0,1,0,0,0,1,0
363,NA,0,0,0,0,0,0,11,0,1,0,4,9,50,1,0,0,0,1,0,0,0,9,55,0,0,0,34,0,0,2,0,0,1,0,16,0,0,0,1,2,8,7,0,0,27,0,0,2,7,20,80,12,3,76,0,16,0,3,2,6,0,0,0,0,5,0,0,0,0,2,2,0,13,0,2,0,1,0,0,0,2,0
364,NA,0,0,0,0,0,0,2,1,2,0,4,6,48,0,0,0,0,0,0,0,0,7,31,0,0,0,29,0,0,2,0,1,1,0,15,1,0,0,0,1,15,9,2,0,14,0,0,1,29,6,81,7,1,37,0,5,2,0,0,5,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
365,NA,0,0,0,0,0,0,3,0,1,0,4,2,41,0,0,0,0,0,1,0,0,4,28,0,0,0,19,0,1,0,0,0,0,0,12,0,0,1,0,3,9,4,2,0,27,0,0,1,39,3,106,5,3,24,0,7,2,0,1,3,0,0,0,0,3,0,0,0,0,0,1,0,6,0,0,0,0,0,0,3,1,0
366,12631,0,0,0,0,0,1,1,0,0,0,3,2,39,1,0,0,0,0,0,0,0,10,20,0,2,0,18,0,0,3,0,0,1,0,9,0,0,0,0,0,10,7,0,0,15,0,0,5,26,9,99,2,1,36,0,3,3,0,0,13,0,0,0,0,5,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,2,0
367,12716,0,0,0,0,0,0,6,0,2,0,1,6,77,1,1,0,1,0,0,0,0,19,45,0,1,0,24,0,0,4,0,1,3,0,24,0,0,0,0,0,11,13,2,0,19,0,0,8,26,14,100,4,1,51,0,7,4,1,1,7,0,0,0,0,7,0,0,0,0,2,2,0,5,0,0,0,0,0,0,2,1,2
368,12800,0,0,0,0,1,0,7,0,0,0,6,8,50,0,0,0,0,0,0,0,0,21,51,0,0,0,20,0,0,0,0,1,1,0,14,0,0,0,0,2,2,5,0,0,10,0,0,7,18,5,53,2,2,60,0,3,3,2,0,10,0,0,0,0,11,0,0,0,0,0,3,0,8,0,0,0,1,0,0,2,1,0
370,12969,0,0,0,0,0,0,1,0,3,0,8,4,89,1,0,0,0,0,0,0,0,18,44,0,0,0,21,0,0,1,0,0,3,0,13,0,0,0,0,1,2,2,2,1,6,0,0,3,18,4,31,13,0,33,0,6,33,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,3,0,0,0,1,0,1,0,2,0
372,13138,0,0,0,0,0,1,2,0,1,0,9,5,72,0,0,0,0,0,0,0,0,35,47,0,0,0,11,0,0,2,0,0,1,0,4,0,1,0,0,1,0,1,1,0,10,0,0,1,1,1,16,3,5,26,0,4,48,0,0,7,0,0,0,0,14,0,0,0,0,1,4,0,1,0,1,0,0,0,0,2,0,0
374,13307,0,0,0,0,0,1,4,0,1,0,27,4,81,0,0,0,0,1,0,0,0,9,34,0,0,0,9,0,0,1,0,0,2,1,11,0,0,0,0,0,0,1,2,0,13,0,0,4,4,1,8,21,0,44,0,8,32,0,1,11,0,0,0,0,17,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,1
376,13476,0,0,0,0,0,0,2,0,1,0,50,5,58,1,0,0,1,2,1,0,0,5,65,0,0,0,10,0,0,3,1,1,1,0,10,0,0,0,0,0,0,2,0,0,12,0,0,3,2,5,15,6,3,33,0,11,27,0,0,14,0,0,1,1,29,3,0,0,0,3,2,0,6,0,0,0,0,0,0,1,3,7
378,13645,0,0,0,0,0,1,1,0,4,0,70,11,30,0,0,0,1,1,0,0,0,6,58,0,1,0,16,0,0,9,3,0,2,1,23,0,1,0,0,0,0,2,0,0,17,0,0,2,5,2,17,19,0,51,0,7,13,1,0,13,0,0,0,0,25,0,0,0,0,2,7,0,3,0,0,0,0,0,0,3,5,0
380,13815,0,0,0,0,0,1,2,1,0,0,74,2,26,0,0,0,1,0,0,0,0,4,72,0,0,0,6,0,0,3,2,0,2,1,24,0,0,0,0,0,0,2,0,0,4,0,0,4,7,2,12,8,3,36,0,17,7,0,1,7,0,0,0,2,35,0,0,0,0,5,3,0,5,0,0,0,0,0,0,3,3,2
382,NA,0,0,0,1,0,2,4,0,2,0,35,5,27,0,0,0,0,0,0,0,0,3,68,0,0,0,2,0,0,1,6,0,6,0,29,0,0,0,0,0,0,0,0,0,4,0,0,6,3,1,10,9,1,53,0,18,0,3,1,4,0,0,3,0,42,0,2,0,0,4,5,0,4,0,0,0,0,0,0,7,14,0
384,NA,0,0,0,0,1,0,1,0,2,1,10,5,40,0,0,0,1,0,0,0,0,0,54,0,0,11,9,0,0,5,13,0,3,0,20,2,0,0,0,0,0,1,0,0,8,1,0,15,5,3,20.5,14,3,35,8,14,4,0,2,22,1,0,0,0,38,2,0,3,0,0,17,0,6,0,0,0,0,0,0,3,8,0
386,NA,0,0,0,0,1,0,0,0,4,2,14,3,31,0,0,0,2,1,0,0,0,5,37,0,0,4,6,0,3,0,3,0,1,0,17,0,0,0,0,0,2,0,0,0,3,1,0,3,2,0.5,21.5,20,2,47.5,1,20,12,0,3,10,0,0,0,0,27,3,0,4,0,0,3,0,8,0,0,0,0,0,1,0,1,0
388,NA,0,0,0,0,2,4,6,0,8,0,19,12,26,0,0,0,0,0,0,0,0,1,21,1,0,0,20,0,1,2,1,0,1,0,28,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0.5,17,16.5,0,66,1,10,1,0,1,14,0,0,0,0,25,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0
