"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Humulus","Impatiens","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.persicaria.type","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis","Xanthium"
100,1436,3,0,0,2,20,1,6,0,1,5,3,0,64,0,0,3,9,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,3,4,73,141,0,0,0,11,0,2,0,2,19,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0
115,1643,3,0,0,0,14,2,3,0,0,8,1,0,55,0,0,1,10,3,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,3,2,122,96,0,0,1,14,0,6,0,1,19,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0
140,1983,1,0,1,1,10,1,7,0,0,8,0,0,60,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,2,3,6,53,169,0,0,0,3,0,1,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
160,2248,1,0,0,2,15,1,4,0,0,3,2,0,54,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,3,0,0,0,2,1,105,105,0,0,0,11,0,0,0,1,22,0,0,0,0,2,0,0,1,0,1,0,0,2,1,0,0,0
180,2507,0,0,0,0,5,2,2,0,0,2,1,0,29,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,4,1,104,134,0,0,0,2,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
200,2758,3,0,0,0,16,0,3,0,0,5,2,0,39,0,0,2,0,5,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,3,0,0,0,1,4,113,123,0,0,0,4,0,0,0,0,11,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0
220,3001,6,0,0,1,8,0,2,0,0,7,1,0,49,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,6,0,0,0,5,5,105,145,0,0,0,6,0,2,0,0,17,0,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0
240,3234,3,0,0,0,15,2,5,0,0,11,5,0,37,0,0,3,2,7,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,0,7,1,103,169,0,0,1,9,0,3,0,2,15,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0
260,3458,1,0,0,0,12,2,5,0,0,4,3,0,46,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,6,0,59,185,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
280,3671,1,0,1,0,17,1,6,0,0,5,0,0,38,0,0,3,0,2,0,0,3,1,0,0,1,5,0,0,4,0,0,0,0,2,0,0,0,8,2,26,189,0,0,0,6,0,0,1,0,26,1,1,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0
290,3773,0,0,0,1,9,3,5,0,0,11,0,0,44,0,1,4,1,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,1,43,183,0,0,0,8,0,1,0,0,35,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0
300,3872,0,0,0,2,26,1,13,0,0,8,6,0,78,0,0,4,2,3,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,10,2,60,107,0,0,0,8,0,1,0,0,47,0,0,0,1,1,0,0,0,0,2,0,1,1,1,0,0,0
310,3968,0,0,0,0,38,3,15,0,0,17,13,0,55,0,0,5,4,12,0,0,2,0,0,0,5,2,0,0,2,2,0,0,0,3,0,0,0,16,1,65,51,0,0,0,13,0,0,2,1,71,0,0,0,3,1,0,0,0,2,2,0,0,5,1,0,0,0
320,4061,0,0,0,0,34,3,16,0,0,17,9,0,63,0,0,9,1,9,0,0,4,0,0,0,3,4,0,0,4,1,0,0,0,10,0,0,0,10,0,85,30,0,0,1,16,0,4,0,0,60,0,0,0,6,0,0,0,0,1,1,0,1,5,4,0,0,0
330,4152,1,0,0,0,34,2,20,1,0,24,5,0,56,0,0,6,0,14,0,0,6,1,0,0,2,8,0,0,6,1,0,0,0,4,0,0,0,15,1,0,0,82,0,0,92,0,3,0,5,83,0,0,0,2,0,0,0,0,1,2,0,1,9,1,0,0,0
340,4240,1,1,0,0,23,7,15,1,0,27,8,1,54,0,0,3,3,16,0,0,6,1,0,0,1,6,0,0,7,0,0,0,0,7,0,0,0,13,0,69,55,0,0,0,77,0,6,0,5,75,1,0,0,8,0,0,0,0,0,5,0,0,7,2,0,0,0
360,4410,0,0,0,1,41,11,15,1,0,38,12,0,53,0,0,3,2,12,0,1,5,0,0,0,1,14,0,0,3,3,0,0,0,4,0,0,0,8,2,102,41,0,0,0,32,0,0,0,6,48,0,0,1,5,1,0,0,1,3,3,0,0,6,1,0,0,0
380,4575,1,0,0,0,36,11,12,0,0,26,3,0,48,0,0,1,6,6,0,0,4,0,0,1,2,5,0,0,7,2,0,1,0,3,0,0,0,13,3,0,0,101,0,0,18,0,0,0,3,93,0,0,0,4,0,0,0,0,0,1,0,1,10,0,0,0,0
400,4738,0,0,0,0,22,5,10,0,0,28,9,0,35,0,0,7,4,13,2,0,9,0,0,0,2,5,0,0,4,2,0,0,2,4,0,0,0,7,0,0,0,103,0,0,34,0,3,1,1,106,0,0,0,6,0,0,0,0,0,1,0,2,7,0,0,0,0
410,4819,0,1,0,1,30,9,19,0,0,34,11,0,30,0,0,6,0,16,0,0,12,0,0,0,2,6,0,0,5,0,0,0,0,1,0,0,0,19,1,0,0,92,0,0,41,0,2,0,12,105,0,0,0,5,0,1,0,0,2,3,0,1,5,0,0,0,0
420,4901,1,0,0,3,15,8,17,0,0,27,3,0,48,0,0,5,3,8,0,0,1,0,0,0,5,6,0,0,3,0,0,0,0,6,0,0,0,34,2,0,0,99,1,0,27,0,2,1,14,65,0,0,0,5,0,0,0,0,1,7,0,2,25,1,0,0,0
430,4984,1,0,0,2,12,6,8,1,0,21,4,0,43,0,0,4,0,3,0,1,4,0,0,0,1,13,0,0,8,0,0,0,0,9,0,0,0,64,0,0,0,49,0,0,15,0,1,1,2,92,0,0,0,4,0,0,0,1,0,4,1,1,31,0,0,0,0
440,5067,1,0,0,0,9,7,12,0,0,16,5,0,41,0,0,5,0,13,2,0,5,0,0,0,15,17,0,0,3,0,0,0,0,1,0,0,0,57,0,0,0,67,0,0,21,0,4,0,1,84,0,0,0,1,1,0,1,0,1,3,0,0,21,0,0,0,0
450,5152,0,0,0,0,13,0,14,0,0,27,4,0,42,0,0,9,1,10,0,0,0,0,0,0,3,14,0,0,5,0,0,0,0,2,0,0,0,81,1,0,0,60,0,0,19,0,1,0,0,59,0,0,0,5,2,0,0,0,1,12,0,0,23,0,0,1,0
460,5239,0,0,0,1,11,4,10,1,0,13,5,0,24,0,0,2,4,8,0,1,1,1,0,0,4,8,0,0,4,1,0,0,0,0,0,0,0,68,0,0,0,41,0,0,4,0,3,1,0,126,0,0,0,2,0,0,3,0,0,19,0,0,15,0,0,0,0
470,5328,0,0,0,1,11,4,23,0,0,28,3,0,37,0,0,13,2,12,1,0,2,0,0,0,1,3,0,0,8,0,0,1,0,1,0,0,0,67,1,0,0,53,0,0,17,0,2,0,7,110,0,0,0,4,0,0,0,0,1,4,0,0,13,1,0,0,0
480,5419,0,0,0,0,10,9,40,1,0,35,12,0,35,0,0,8,0,10,0,0,0,1,0,1,5,8,0,0,12,0,2,0,0,1,0,0,0,22,1,0,0,81,0,0,20,0,2,0,3,135,0,0,0,5,1,0,0,0,2,2,0,0,19,0,0,0,0
500,5610,0,0,0,1,26,17,35,5,1,75,13,1,18,0,0,5,3,32,1,0,4,1,0,0,3,11,0,0,8,0,1,0,0,0,0,0,0,22,0,0,0,106,0,1,75,0,1,0,4,88,0,0,0,10,0,0,0,0,1,4,0,0,10,4,0,1,0
520,5815,0,0,0,0,14,6,24,3,0,42,10,0,19,0,0,1,5,12,0,0,6,2,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,23,0,0,0,96,0,1,35,0,0,1,17,108,1,0,0,5,1,0,1,0,1,3,0,1,9,4,0,0,0
540,6037,0,0,0,0,15,6,16,1,1,32,8,0,25,0,0,7,2,19,0,0,6,0,0,0,1,2,0,0,3,2,0,0,0,1,0,0,1,35,0,0,0,122,0,0,25,0,3,0,15,97,0,0,0,6,2,0,0,0,1,1,0,0,12,1,0,0,0
560,6278,0,1,0,0,8,11,17,0,0,30,6,1,51,1,0,9,0,19,0,0,7,0,0,0,3,5,0,0,7,0,1,0,0,0,0,0,0,27,2,0,0,91,0,0,33,0,4,0,4,97,0,0,0,8,0,0,1,0,1,3,0,1,13,2,0,0,0
580,6541,0,1,0,0,9,9,8,0,0,32,5,0,33,1,0,9,2,5,0,0,3,3,0,0,1,6,0,0,11,0,0,0,0,0,0,0,0,20,2,0,0,76,0,0,18,0,1,0,7,73,0,0,0,5,1,0,0,0,0,1,0,1,15,1,0,0,0
600,6829,1,0,0,1,13,14,16,1,0,39,3,0,45,1,0,8,0,16,1,0,5,0,0,0,2,3,0,0,9,0,0,0,0,0,0,0,0,36,0,0,0,73,0,0,21,0,5,0,11,73,0,0,0,7,3,0,1,0,1,3,0,0,10,2,0,0,0
620,7144,0,1,0,1,12,12,32,0,0,32,4,0,40,1,0,7,0,13,0,0,5,1,0,0,6,6,0,0,6,4,0,0,0,0,0,0,0,34,0,0,0,76,0,0,16,0,7,1,4,122,0,0,0,3,0,0,0,0,0,0,0,0,19,1,0,0,0
640,7490,0,0,0,0,6,13,41,0,0,47,6,0,18,1,0,13,0,11,0,0,1,2,0,0,3,3,0,0,8,1,0,0,0,0,0,0,0,6,0,0,0,69,0,0,37,0,7,1,20,132,0,0,0,1,2,0,0,0,1,0,0,3,19,2,0,0,1
660,7868,0,0,0,1,7,13,45,0,0,50,11,0,18,0,1,20,3,15,0,0,4,1,0,0,9,2,0,0,9,4,1,0,0,0,0,0,0,8,0,50,5,0,0,0,41,0,1,1,5,166,1,0,0,2,3,0,1,0,0,0,0,0,24,3,0,1,0
670,8071,0,0,0,0,8,25,70,0,0,59,9,0,20,0,0,10,3,18,0,0,3,2,0,0,6,3,0,0,6,10,0,2,0,0,0,0,0,12,1,0,0,70,0,0,45,0,10,0,2,137,0,0,0,9,1,0,0,0,0,0,0,1,18,1,0,0,1
680,8282,0,1,0,2,14,31,97,0,0,46,11,0,13,0,0,18,1,11,0,0,3,0,0,0,2,2,0,0,17,19,1,0,0,0,0,0,0,6,0,76,8,0,0,0,31,0,4,0,8,140,0,0,0,6,0,0,1,0,0,0,0,0,24,1,0,0,2
690,8504,0,0,0,0,8,23,95,3,0,97,10,0,13,0,0,10,4,29,0,0,3,0,0,0,1,6,0,0,11,6,0,1,0,1,0,0,0,5,2,0,0,78,0,0,91,1,5,0,2,93,1,0,0,21,0,0,0,0,0,0,0,3,20,3,1,0,0
700,8735,1,0,0,2,6,16,44,0,0,38,4,0,22,2,0,6,5,16,0,0,1,0,0,0,3,3,0,0,2,1,0,0,0,0,0,0,1,3,0,191,16,0,0,0,35,0,3,1,12,39,0,0,0,6,0,0,0,1,0,0,0,2,13,3,0,1,0
710,8975,0,0,0,0,8,10,19,0,1,55,7,0,59,1,0,5,2,13,0,0,0,0,0,0,1,5,0,0,3,1,0,0,0,0,0,0,0,2,2,211,14,0,0,0,20,0,2,1,6,12,0,0,0,7,2,0,0,0,0,0,0,0,6,1,0,0,0
720,9221,1,0,0,0,6,6,17,1,0,26,6,0,34,0,0,4,1,9,0,0,4,1,0,0,0,3,0,0,12,0,0,0,0,3,0,0,0,0,0,228,0,0,0,0,12,0,5,1,6,28,0,0,0,6,1,0,0,1,0,0,0,1,11,1,0,0,0
730,9472,2,0,0,0,0,13,25,0,0,14,3,0,64,2,0,3,1,3,0,0,2,3,0,0,0,4,0,0,3,0,0,0,0,3,0,0,0,4,6,179,4,0,0,0,18,0,4,0,4,8,0,0,0,6,0,0,0,0,0,0,0,1,10,1,0,0,0
740,9726,1,0,0,1,23,6,15,1,0,23,4,0,27,1,0,3,3,3,0,0,1,1,0,0,1,5,0,0,16,1,0,0,0,3,0,0,0,6,5,208,0,0,0,1,20,0,4,1,7,8,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0
750,9982,1,1,0,1,9,7,20,0,0,25,4,0,41,0,0,3,0,10,0,0,9,2,0,0,0,2,0,0,11,0,0,0,0,1,0,0,0,4,4,217,0,0,0,0,12,0,4,1,3,7,0,0,0,5,0,0,0,0,0,0,0,0,13,1,0,0,1
760,10241,3,0,0,0,5,6,11,0,0,16,1,0,39,1,0,3,0,9,0,0,5,1,0,0,0,2,0,0,8,0,0,0,0,2,0,0,0,3,2,221,5,0,0,0,11,0,0,0,7,8,0,0,0,7,0,0,0,0,0,0,0,0,11,2,0,0,0
770,10501,0,0,0,0,5,1,8,0,0,6,0,0,24,0,0,4,3,4,1,0,1,2,0,0,0,6,0,0,2,1,0,1,1,2,0,0,0,5,8,225,5,0,0,0,7,0,3,0,12,10,0,0,0,4,1,0,0,0,0,0,0,1,7,1,0,0,0
780,10763,12,0,0,3,5,5,9,0,0,5,1,0,105,0,0,3,0,4,0,0,2,0,0,0,0,2,0,0,11,0,0,0,0,7,1,0,0,8,13,0,0,156,0,0,8,0,0,0,0,11,0,0,0,1,0,0,0,1,1,0,0,0,15,0,0,0,0
790,NA,2,0,0,2,2,2,6,0,0,6,0,0,62,1,1,8,2,6,0,0,0,0,0,0,1,3,0,0,7,1,0,0,0,5,0,0,0,6,20,176,0,0,0,0,4,0,3,0,10,14,0,0,0,4,1,0,0,0,0,0,0,0,26,0,0,0,0
800,NA,0,0,0,0,3,0,3,0,0,11,1,0,32,1,0,4,0,6,0,0,2,2,0,0,0,2,0,0,8,0,0,2,0,7,0,0,0,6,59,159,4,0,0,0,7,0,9,1,0,15,0,0,0,0,0,0,0,1,0,0,0,3,13,1,0,0,0
810,NA,1,1,0,0,1,1,2,0,0,10,0,0,23,0,0,2,3,14,0,0,0,4,0,0,0,6,0,0,4,0,0,0,0,13,0,0,0,2,228,0,0,10,0,0,9,0,1,0,0,9,0,0,0,2,0,0,0,3,0,0,0,1,7,0,0,0,0
820,NA,0,1,0,0,5,2,2,0,0,18,3,0,13,0,0,1,8,32,0,0,1,4,0,0,1,4,0,0,9,0,1,0,0,13,0,0,0,8,221,0,0,7,0,0,16,0,8,0,0,5,0,0,0,12,1,0,1,0,0,0,0,0,3,1,0,0,0
840,NA,0,0,0,0,2,2,1,0,0,15,2,0,7,0,0,1,3,46,0,0,5,0,3,0,0,0,1,0,25,0,0,0,0,1,0,0,0,2,130,0,0,9,0,0,4,0,2,0,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,4,0,0,0
860,NA,0,0,0,0,0,1,14,0,0,30,7,1,9,0,0,1,3,54,0,0,5,1,2,0,1,3,0,0,17,0,0,0,0,0,0,0,0,2,52,0,0,10,0,0,11,0,2,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0
