"sample.depths","sample.ages","Pinus.Strobus","Pinus.banksiana.P..resinosa","Picea","Abies","Tsuga","Larix","Juniperus.Thuja","Quercus","Fagus","Carya","Juglans.cinerea","Juglans.nigra","Acer.saccharum","Betula","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Salix","Tilia","Ostrya.Carpinus","Ulmus","Platanus","Alnus","Ericaceae","Corylus","Myrica","Ilex.Nemopanthus","Cyperaceae","Poaceae","Chenopodiaceae.Amaranthaceae","Pteridium","Spore..monolete.","Ambrosia","Asteraceae.subf..Asteroideae.undiff.","Artemisia","Nuphar","Nymphaea","Brasenia.schreberi","Potamogeton","Myriophyllum","Indeterminable","Unknown","Typha.Sparganium.undiff.","Lycopodiella.inundata","Huperzia.lucidula","Lycopodium.clavatum","Diphasiastrum.complanatum","Lycopodium.annotinum","Sphagnum","Pediastrum","Isoëtes","Rumex","Vitis","Populus","Acer.rubrum","Liquidambar","Osmunda","Eriocaulon","Sagittaria","Ophioglossum","Other.shrubs","Ephedra","Polygonum","Thalictrum","Other.herbs"
279,9388,35,352,18,8,0,0,0,26,0,0,2,0,1,33,3,0,0,1,7,7,0,7,0,2,0,0,3,7,5,6,0,4,2,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,NA,64,642,31,12,0,1,0,44,0,1,1,0,3,46,1,0,0,0,13,12,1,4,0,2,0,0,8,6,2,7,0,10,4,7,1,0,3,1,0,10,0,1,0,0,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,NA,7,227,10,0,0,0,1,23,0,1,0,0,0,15,3,1,0,0,3,11,1,1,0,0,0,0,14,7,6,7,0,14,1,8,0,0,96,2,0,3,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
303,NA,33,516,26,7,0,0,0,30,0,1,1,0,4,37,3,0,4,0,17,7,0,7,0,0,0,0,24,13,1,12,0,13,2,13,3,0,28,3,0,17,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
316,NA,28,365,20,2,0,3,2,22,0,1,1,0,1,38,2,0,3,0,5,8,1,1,0,4,0,0,6,5,2,4,1,15,1,5,0,0,18,2,0,16,0,0,0,0,0,0,0,1,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,NA,30,311,19,2,0,2,3,26,0,1,0,0,1,22,2,1,3,0,5,6,1,3,0,1,0,0,27,5,0,5,0,7,2,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
326,NA,40,461,40,17,0,0,0,57,0,0,0,0,1,61,5,1,4,0,16,35,1,3,0,2,0,0,10,9,4,7,0,9,0,7,6,0,0,5,0,15,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,NA,8,367,36,3,0,1,1,24,0,1,0,0,0,45,1,0,1,0,5,8,1,3,0,0,0,0,10,6,1,10,0,3,1,12,0,0,2,10,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,NA,42,221,29,4,0,3,0,34,1,0,0,0,4,27,3,0,2,0,16,11,0,2,0,1,0,0,8,1,0,4,0,5,0,6,0,0,0,2,0,11,1,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,NA,8,360,69,1,0,0,0,14,1,3,0,0,0,11,0,0,1,0,8,6,0,0,0,2,0,0,6,3,3,1,0,3,3,9,0,0,0,2,0,23,0,1,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
