"sample.depths","sample.ages","upland.sum","Ambrosia.type","Bidens.type","Carya","Cyperaceae","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Herbs.undiff.","Iva.xanthifolia.type","Leitneria.floridana","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Plantago.major","Quercus","Salix","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Alnus","Cornus","Myrica","Amaranthaceae","Cerealia","Brassicaceae","Onagraceae","Lamiaceae","Artemisia","Betula","Castanea","Cephalanthus","Fagus","Magnolia","Platanus","Rhamnaceae","Rubiaceae.undiff.","Rubus","Apiaceae","Corylus","Ericaceae","Ilex","Pinus.subg..Strobus","Rumex","Iva.annua.type","Cupressaceae","Thalictrum","Trees.undiff.","Populus","Acer.rubrum","Fraxinus.nigra.type","Acer.saccharum.type","Juglans.undiff.","Liliaceae","Caryophyllaceae","Parthenocissus","Rhus","Juglans.cinerea","Polygonum","Potentilla.type","Urtica.type","Viburnum","Tilia","Dalea","Asteraceae.subf..Cichorioideae","Celtis","Picea","Morus","Abies","Juglans.nigra","Saxifragaceae","Sambucus","Lonicera","Ranunculus"
115,2696,396,0,1,4,4,0,2,42,1,0,0,9,0,1,12,233,0,57,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3271,397,0,1,6,10,0,3,52,0,0,4,3,4,0,55,161,0,74,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,3847,407,1,0,9,57,1,2,11,0,1,0,5,0,0,16,193,0,55,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,4423,385,1,5,7,7,0,2,14,1,1,2,4,0,1,19,202,0,85,1,0,2,1,0,0,0,0,4,0,0,0,1,0,0,0,3,0,0,17,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,4998,399,1,5,10,14,0,1,23,0,3,0,3,0,2,25,181,0,101,2,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,0,0,1,13,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5574,385,1,0,8,35,0,0,27,0,1,8,2,2,0,20,102,0,122,0,0,0,2,1,0,1,0,2,0,0,0,0,0,3,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,6150,383,2,0,16,26,0,0,36,0,1,0,4,0,1,2,118,0,150,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,6960,383,5,1,28,13,0,0,41,0,0,0,7,0,1,5,125,0,142,1,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,8963,429,3,2,30,38,0,4,55,0,0,0,12,4,3,5,74,0,157,1,0,16,1,0,1,2,0,1,0,0,0,0,0,3,2,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
215,12663,380,1,2,12,9,0,1,21,0,1,0,13,2,5,4,154,0,108,2,0,9,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
225,17817,386,1,2,16,11,0,2,23,0,0,0,52,1,11,2,78,0,126,2,0,8,0,0,1,3,0,1,0,0,0,29,0,0,2,0,0,5,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,22971,385,3,0,16,12,0,1,11,0,2,0,15,0,5,0,189,0,71,2,0,7,0,0,2,4,0,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,1,0,0,12,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0
245,28124,386,2,5,12,23,0,2,16,0,0,0,23,2,3,2,115,0,109,4,0,10,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,9,24,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
255,NA,380,4,3,3,2,0,2,16,0,4,0,3,0,5,6,261,0,38,0,0,11,0,0,0,6,0,0,1,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
265,NA,452,6,3,5,1,1,1,32,0,0,0,0,1,4,4,271,0,38,0,0,19,1,2,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,12,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275,NA,453,1,1,7,2,0,1,35,0,5,1,2,0,0,15,287,0,30,0,0,9,1,0,0,1,0,2,1,0,0,0,0,0,4,1,0,1,1,0,0,0,3,2,0,0,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
285,NA,506,7,2,6,4,1,2,50,0,0,0,3,0,0,7,294,0,32,0,0,20,4,7,0,1,0,1,0,0,0,0,0,0,3,2,0,3,1,0,0,0,0,1,1,0,0,5,0,43,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
295,NA,420,1,2,13,3,2,1,23,0,2,0,3,0,1,16,251,0,27,0,0,7,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,20,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,NA,463,1,2,20,2,0,1,16,0,1,0,1,0,2,5,275,0,48,0,0,8,2,0,0,0,0,6,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,32,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
315,NA,367,0,1,17,1,0,1,17,0,0,0,4,0,3,6,234,0,34,0,0,4,1,0,0,1,0,4,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,NA,397,6,1,13,1,1,2,15,0,0,0,7,3,8,3,230,0,48,0,0,5,1,0,0,1,0,4,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,2,0,36,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
335,NA,425,4,6,14,5,0,1,39,4,1,0,4,0,4,10,211,0,79,0,0,2,3,0,0,4,0,0,0,0,0,8,0,0,2,2,0,3,3,0,0,0,1,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,NA,454,2,14,12,9,0,2,49,4,0,1,9,4,2,6,178,0,69,0,0,1,0,1,0,3,0,9,1,0,0,0,1,0,2,28,2,2,2,0,0,0,2,5,0,16,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0
355,NA,437,0,23,13,13,0,2,34,3,0,0,7,6,1,1,206,0,52,1,0,2,2,0,0,5,0,2,1,0,0,5,0,0,0,17,0,1,1,0,0,0,2,4,0,20,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
365,NA,522,1,0,20,23,0,4,55,0,0,3,36,19,1,5,118,0,75,0,0,9,2,5,1,4,0,5,4,0,0,0,1,0,1,83,0,1,1,0,0,0,0,4,0,28,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
375,NA,391,0,1,14,10,0,2,27,0,2,3,13,9,2,7,101,0,63,0,0,3,0,0,1,8,0,3,2,0,0,4,0,0,1,88,0,2,0,0,0,0,3,1,0,4,1,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
385,NA,406,2,1,31,7,0,3,29,0,0,0,36,18,4,4,125,0,35,0,0,8,1,4,0,8,0,3,2,0,0,0,2,2,0,57,1,3,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
395,NA,408,0,2,27,17,0,2,18,0,4,2,30,14,1,5,120,0,31,0,0,6,3,0,1,5,0,0,5,0,0,4,0,0,0,72,1,1,0,0,0,0,6,2,0,8,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
405,NA,391,0,0,16,8,0,0,33,0,0,1,40,2,3,13,135,0,32,0,0,13,0,3,1,4,0,0,3,0,1,0,0,0,0,26,0,10,0,0,0,0,1,2,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
415,NA,383,0,1,18,18,0,2,33,0,0,1,26,9,2,9,144,0,43,2,0,6,2,1,0,4,0,2,2,0,0,0,1,1,1,26,0,2,0,0,0,0,0,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
425,NA,381,0,1,23,12,0,3,31,0,3,0,39,8,1,5,138,0,42,0,0,4,1,1,0,2,0,0,2,0,0,1,2,0,0,18,0,6,0,0,0,0,1,2,0,16,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0
435,NA,370,0,1,34,8,0,0,14,0,2,0,45,15,0,11,142,0,41,1,0,2,0,1,3,6,0,0,1,0,0,0,0,0,0,18,0,7,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
445,NA,391,0,2,17,16,0,0,31,0,1,0,45,8,0,11,140,0,41,0,0,5,0,2,2,2,1,3,4,0,0,0,1,0,0,9,1,9,0,0,0,0,2,3,0,20,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
455,NA,399,1,0,16,29,0,0,26,0,2,0,38,28,1,8,136,0,40,0,0,0,0,2,3,4,0,3,6,0,0,0,1,0,1,26,0,3,0,0,0,0,0,1,0,8,4,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
465,NA,376,1,2,11,10,0,2,23,0,0,6,43,18,5,19,104,0,65,0,0,6,0,2,0,4,0,1,3,0,0,0,0,0,0,18,0,13,0,0,0,0,2,3,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
482,NA,522,2,4,23,12,0,2,58,0,0,0,12,1,1,12,208,0,90,1,0,8,1,1,3,1,0,2,1,0,0,0,1,0,1,31,0,3,2,0,0,0,1,6,0,20,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
