"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Bidens.type","Cyperaceae","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Liliaceae","Juglans","Populus","Amaranthaceae","Poaceae","Stachys.type","Pinus.banksiana.type","Eupatorium.type","Iva.type","Polygonum.cf..P..scandens","Apiaceae","Chamaecrista.type","Juniperus.type","Brassica","Opuntia","Ranunculus","Lactuca.type","Celtis","Ephedra","Rosaceae","Cornus.cf..C..sericea","Eriogonum","Dalea","Vitis","Centaurea.type","Helianthus.type","Picea","Salix","Mentha.type","Acer.negundo.type","Solanaceae.type","Xanthium.type","Polygonum.cf..P..lapathifolium","Alnus","Betula","Carya","Corylus","Carpinus.type","Rumex","Shepherdia","Plantago","Fraxinus.cf..F..nigra","Elaeagnus","Onagraceae","Rhamnus","Sambucus.type","Morus.type","Amorpha","Limonium.cf..L..limbatum","cf..Nemopanthus","Calystegia","Thalictrum","Caryophyllaceae","Urtica","Larix","Abies"
534,11073,338,59,15,0,9,3,0,7,0,1,0,1,181,28,1,1,2,11,10,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,11501,392,52,13,0,12,6,2,8,1,0,0,0,231,30,1,4,1,12,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,11715,181,26,27,0,5,4,2,1,0,0,0,2,72,31,0,2,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,12250,337,50,57,0,2,11,3,5,0,0,0,3,106,48,1,25,1,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,30164,225,18,59,0,9,8,3,7,0,0,0,3,14,29,0,48,2,2,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,5,1,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,30180,370,25,99,0,15,19,2,7,0,0,0,7,24,65,0,78,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,30263,275,23,67,0,16,15,2,3,0,0,0,5,28,44,0,37,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,30296,191,20,48,0,8,1,1,4,0,0,0,4,24,27,0,22,1,3,3,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,9,2,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,30339,285,18,68,0,12,9,5,3,0,0,1,5,22,58,1,43,2,2,3,1,2,3,2,0,3,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,0,1,7,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,30362,366,31,64,0,22,6,8,8,0,1,0,8,31,89,3,38,3,3,4,0,0,5,0,0,0,1,1,0,1,1,1,0,0,3,2,8,2,0,3,0,1,0,1,12,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,30418,399,31,100,0,31,15,1,6,0,0,0,6,59,49,2,53,3,2,8,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,1,2,8,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
687,30444,369,24,77,0,24,14,4,6,2,0,0,9,38,63,1,52,1,3,6,0,1,2,2,0,0,1,0,0,0,0,0,0,0,1,2,12,4,0,1,0,0,0,4,11,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
702,30494,338,41,78,0,40,5,2,12,0,1,0,4,52,61,1,10,1,4,5,0,6,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,30573,220,21,70,0,8,3,1,6,0,1,0,1,54,25,1,3,5,1,5,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,30622,330,51,79,0,14,5,5,7,0,1,0,5,89,42,2,8,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
