"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium.filix.femina","Betula","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Cornus.canadensis","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Dryas","Dryopteris.carthusiana","Dryopteris.goldiana","Elaeagnus.commutata","Empetrum","Epilobium","Equisetum","Ericaceae","Euphorbia","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Humulus.Cannabis.sativa","Huperzia.lucidula","Huperzia.selago","Indeterminable","Isoëtes","Iva.annua","Iva.undiff.","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Lysimachia","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.amphibium","Polypodiaceae","Populus.balsamifera","Potamogetonaceae","Potentilla.type","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rumex","Salix","Sarcobatus.vermiculatus","Saxifraga.oppositifolia.type","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Thelypteris.palustris","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica.type"
1205,9353,8,0,2,0,2,3,3,0,19,11,0,77,0,0,0,0,0,0,10,9,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,20,1,2,0,0,1,0,0,2,170,0,0,258,0,22,0,7,11,28,0,2,12,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,37,0
1215,9720,12,0,1,0,1,6,4,0,16,9,0,38,0,0,2,0,0,0,1,9,10,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,7,2,0,0,0,0,0,43,0,3,0,0,0,2,0,4,317,0,0,127,0,12,0,23,22,12,0,5,16,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,32,0
1225,10172,22,0,0,1,2,7,1,0,15,7,0,17,0,1,1,0,0,0,10,45,10,0,0,0,0,0,0,0,2,0,0,0,0,9,1,1,0,1,7,1,3,4,1,0,0,22,0,0,0,0,0,4,2,7,136,0,0,77,0,10,0,23,45,2,0,4,18,3,0,0,0,27,0,0,0,0,1,1,0,0,1,0,0,36,0
1230,10438,24,0,0,1,3,10,1,0,22,8,0,9,0,1,1,1,0,0,4,18,12,0,0,0,0,0,0,0,1,1,0,0,0,15,0,1,0,1,1,5,1,1,0,1,0,13,2,0,0,0,0,0,1,3,247,0,0,61,0,6,0,22,19,0,0,3,19,1,1,0,0,13,2,0,0,0,0,1,0,0,0,0,0,29,0
1235,10734,26,0,0,3,2,8,3,0,25,10,0,21,0,0,1,0,0,0,6,91,18,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,6,2,22,0,0,0,0,0,5,3,0,0,0,0,6,0,3,169,0,0,75,0,10,0,6,32,0,0,0,21,1,1,1,0,13,0,0,0,0,0,9,0,0,1,0,0,45,0
1240,11063,16,0,0,0,1,3,6,0,47,4,0,44,0,0,0,0,0,0,5,51,17,0,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,3,2,39,0,0,0,1,1,0,5,0,0,0,0,17,0,4,190,0,0,46,0,11,0,10,14,0,0,0,16,3,0,0,0,16,0,0,0,0,2,3,0,0,0,0,0,18,3
1245,11428,11,0,0,1,4,5,3,0,25,3,0,112,0,0,1,0,0,0,3,30,42,0,1,0,0,0,0,0,1,0,0,0,0,21,0,3,0,5,11,5,0,0,0,0,0,0,10,0,0,0,1,0,0,13,78,0,0,44,0,13,0,0,7,2,0,0,16,0,0,0,0,26,0,0,0,5,1,2,0,0,0,0,0,28,0
1247,11590,10,0,0,2,5,7,2,0,23,0,0,57,0,0,1,0,0,0,6,8,42,0,2,0,0,0,1,0,12,1,0,0,0,16,0,2,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,125,0,0,56,0,21,0,0,4,0,0,0,13,0,0,0,0,31,0,0,0,2,0,0,1,0,0,0,0,48,0
1251,11950,0,0,0,11,13,4,6,0,19,6,0,6,0,1,0,0,0,0,7,8,70,0,0,0,0,0,0,0,3,0,0,1,0,7,0,0,0,0,6,0,2,2,0,0,0,0,0,0,1,0,0,0,0,11,79,0,0,31,0,20,0,1,4,0,0,0,11,0,0,1,0,48,0,0,0,1,0,4,1,0,0,0,0,24,2
1256,12397,0,3,0,6,4,6,2,0,45,6,0,21,0,5,0,1,0,0,13,9,63,0,0,0,0,0,0,0,1,3,0,0,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,106,0,0,13,0,40,0,1,10,0,0,0,8,0,0,0,2,112,1,0,0,0,0,2,1,0,0,0,0,12,0
1259,12619,0,1,0,4,6,7,0,0,59,4,0,12,0,0,0,1,0,0,3,10,53,0,2,0,0,1,0,1,3,0,0,0,0,13,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,149,0,0,11,0,32,0,1,6,1,0,0,12,0,0,0,4,68,1,0,0,0,0,3,0,0,0,0,0,15,0
1261,12745,0,0,0,11,8,6,2,0,35,3,0,16,0,0,0,0,1,0,11,7,25,0,0,0,0,0,0,0,2,3,0,0,1,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,57,0,0,10,0,26,0,0,2,0,0,0,3,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,0,8,0
1262.5,12831,0,3,0,5,4,6,1,0,34,3,0,3,0,0,0,2,0,0,6,5,35,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,19,0,2,2,0,1,0,0,0,0,0,0,0,0,0,5,136,0,0,23,0,23,0,0,3,1,1,0,5,0,0,1,0,47,1,0,0,0,0,5,0,0,0,0,0,4,0
1264,12910,0,1,0,8,6,6,3,0,58,8,0,15,0,0,0,1,0,0,7,12,36,0,0,0,0,0,0,0,2,0,0,0,0,12,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,96,0,0,11,0,47,0,3,5,0,0,0,9,2,0,0,1,96,0,1,0,0,0,3,1,0,0,0,0,11,1
1267,13057,0,0,0,3,3,7,2,0,35,4,0,9,0,0,0,5,0,0,1,17,23,0,0,0,0,0,1,1,4,2,0,0,0,9,0,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,55,0,0,8,0,12,0,4,5,0,0,0,6,0,0,1,0,72,0,0,0,2,2,0,1,0,0,0,0,4,0
1270,NA,0,0,0,2,13,19,10,0,168,4,0,17,0,0,0,1,0,0,7,5,21,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,97,0,0,8,0,28,0,1,1,0,0,0,12,0,0,0,0,28,2,0,0,0,0,2,0,0,0,0,0,6,0
1275,NA,0,1,0,2,5,33,24,0,94,15,0,5,0,0,0,0,0,0,5,13,25,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,14,15,0,0,1,0,29,0,5,3,0,0,0,4,0,0,0,1,19,1,0,0,0,0,8,0,0,0,0,0,10,0
1280,NA,0,0,0,1,7,6,14,0,71,6,0,8,0,0,0,0,0,0,13,3,23,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,35,0,0,1,1,19,0,2,2,0,0,0,9,0,0,1,0,19,1,0,0,0,0,0,1,0,0,0,0,54,2
1290,NA,0,2,0,3,2,16,14,0,84,5,0,13,0,0,1,0,1,0,7,13,20,0,0,2,0,0,0,0,0,0,0,0,0,25,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,0,0,2,0,17,0,8,4,3,0,0,5,0,0,0,0,24,4,1,2,0,0,6,0,1,0,0,0,10,9
1300,NA,0,2,0,0,4,21,22,0,99,10,3,5,0,0,0,0,0,0,4,14,21,0,0,1,1,0,0,0,1,0,0,0,1,9,0,1,0,0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,50,0,0,8,0,10,0,14,2,1,0,0,5,0,0,0,1,21,0,0,1,0,1,11,1,0,0,0,0,14,3
1310,NA,0,2,0,0,3,16,16,0,89,6,0,3,0,0,1,0,0,0,7,13,11,0,0,0,0,0,0,0,2,0,1,0,2,58,1,2,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,29,0,0,7,1,20,0,3,2,0,0,0,1,0,0,1,2,9,0,1,0,0,1,3,0,1,0,0,0,29,5
1335,NA,0,0,0,0,1,4,22,0,79,3,0,3,0,0,1,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,45,2,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,0,0,7,0,18,0,0,10,4,0,0,9,0,0,1,5,4,0,0,0,0,0,1,0,0,2,0,0,0,7
1380,NA,0,0,0,0,1,9,15,0,72,5,0,5,0,0,0,1,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,17,0,0,5,0,8,0,0,7,4,0,0,1,0,0,2,1,3,0,1,0,0,0,1,0,0,0,0,1,0,12
